BiGG ID,Species,Conditions_old,Conditions_new
e_coli_core,Escherichia coli,"{""c"": {""T"": 298.15, ""pH"": 7.5, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": -0.125}, ""e"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}, ""p"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}}","{""cytosol"": {""T"": 298.15, ""pH"": 7.5, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": -0.125}, ""extracellular space"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}}"
iAB_RBC_283,Homo sapiens,"{""c"": {""pH"": 7.2, ""e_potential"": 0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""e"": {""pH"": 7.4, ""e_potential"": 0.03, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""n"": {""pH"": 7.2, ""e_potential"": 0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""r"": {""pH"": 7.2, ""e_potential"": 0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""g"": {""pH"": 6.35, ""e_potential"": 0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""l"": {""pH"": 5.5, ""e_potential"": 0.019, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""m"": {""pH"": 8.0, ""e_potential"": -0.155, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""i"": {""pH"": 8.0, ""e_potential"": -0.155, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""x"": {""pH"": 7.0, ""e_potential"": 0.012, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}}","{""cytosol"": {""pH"": 7.2, ""e_potential"": 0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""extracellular space"": {""pH"": 7.4, ""e_potential"": 0.03, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}}"
iAF1260,Escherichia coli,"{""c"": {""T"": 298.15, ""pH"": 7.5, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": -0.125}, ""e"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}, ""p"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}}","{""cytosol"": {""T"": 298.15, ""pH"": 7.5, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": -0.125}, ""extracellular space"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}, ""periplasm"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}}"
iAF1260b,Escherichia coli,"{""c"": {""T"": 298.15, ""pH"": 7.5, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": -0.125}, ""e"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}, ""p"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}}","{""cytosol"": {""T"": 298.15, ""pH"": 7.5, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": -0.125}, ""extracellular space"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}, ""periplasm"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}}"
iAF692,Methanosarcina barkeri,"{""e"": {""pH"": 7.0, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""c"": {""pH"": 7.5, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}}","{""extracellular space"": {""pH"": 7.0, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""cytosol"": {""pH"": 7.5, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}}"
iAF987,Geobacter metallireducens,"{""c"": {""T"": 298.15, ""pH"": 7.5, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": -0.125}, ""e"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}, ""p"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}}","{""cytosol"": {""T"": 298.15, ""pH"": 7.5, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": -0.125}, ""extracellular space"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}, ""periplasm"": {""T"": 298.15, ""pH"": 7.0, ""I"": 0.25, ""pMg"": 14.0, ""e_potential"": 0.0}}"
iAM_Pb448,Plasmodium berghei,"{""c"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""e"": {""pH"": 7.4, ""e_potential"": 0.03, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""g"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""r"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""h"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""m"": {""pH"": 7.5, ""e_potential"": -0.155, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""l"": {""pH"": 5.0, ""e_potential"": 0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}}","{""cytosol"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""extracellular space"": {""pH"": 7.4, ""e_potential"": 0.03, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""golgi apparatus"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""endoplasmic reticulum"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""chloroplast"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""mitochondria"": {""pH"": 7.5, ""e_potential"": -0.155, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""lysosome"": {""pH"": 5.0, ""e_potential"": 0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}}"
iAM_Pc455,Plasmodium cynomolgi,"{""c"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""e"": {""pH"": 7.4, ""e_potential"": 0.03, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""g"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""r"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""h"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""m"": {""pH"": 7.5, ""e_potential"": -0.155, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""l"": {""pH"": 5.0, ""e_potential"": 0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}}","{""cytosol"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""extracellular space"": {""pH"": 7.4, ""e_potential"": 0.03, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""golgi apparatus"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""endoplasmic reticulum"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""chloroplast"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""mitochondria"": {""pH"": 7.5, ""e_potential"": -0.155, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""lysosome"": {""pH"": 5.0, ""e_potential"": 0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}}"
iAM_Pf480,Plasmodium falciparum,"{""c"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""e"": {""pH"": 7.4, ""e_potential"": 0.03, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""g"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""r"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""h"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""m"": {""pH"": 7.5, ""e_potential"": -0.155, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""l"": {""pH"": 5.0, ""e_potential"": 0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}}","{""cytosol"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""extracellular space"": {""pH"": 7.4, ""e_potential"": 0.03, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""golgi apparatus"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""endoplasmic reticulum"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""chloroplast"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""mitochondria"": {""pH"": 7.5, ""e_potential"": -0.155, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""lysosome"": {""pH"": 5.0, ""e_potential"": 0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}}"
iAM_Pk459,Plasmodium knowlesi,"{""c"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""e"": {""pH"": 7.4, ""e_potential"": 0.03, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""g"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""r"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""h"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""m"": {""pH"": 7.5, ""e_potential"": -0.155, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""l"": {""pH"": 5.0, ""e_potential"": 0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}}","{""cytosol"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""extracellular space"": {""pH"": 7.4, ""e_potential"": 0.03, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""golgi apparatus"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""endoplasmic reticulum"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""chloroplast"": {""pH"": 7.2, ""e_potential"": 0.0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""mitochondria"": {""pH"": 7.5, ""e_potential"": -0.155, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}, ""lysosome"": {""pH"": 5.0, ""e_potential"": 0, ""T"": 298.15, ""I"": 0.25, ""pMg"": 14.0}}"
