Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,MAR03905,20.031904684021377,0.85580324704309,ALCD2x
1,MAR03907,20.03188469553608,0.8558316953771176,ALCD2y
2,MAR04097,-5.813783816504337,0.4244410693645477,ACS
3,MAR04099,-5.731641369726155,0.424461305141449,ACSm
4,MAR04108,-21.468132379115385,3.954916880675257,
5,MAR04133,15.654360273731657,3.917318564267608,
6,MAR04281,-25.71781036376953,0.6792185450901834,
7,MAR04388,-25.71740460656201,0.6792191940498651,LDH_L
8,MAR04283,-44.99331614946366,1.3047174911226622,
9,MAR08357,-59.9428569411966,1.3046704596975216,ALDD2xm
10,MAR04379,-15.7074853201199,0.8198195041214209,PFK
11,MAR04301,-15.707451858409362,0.8198002013913812,
12,MAR04355,-17.651589891265424,1.6899269819259644,
13,MAR04358,-26.311766141146297,0.5352431137950537,PYK
14,MAR04363,-3.5052927890865195,0.2816460430622101,ENO
15,MAR04365,-4.504675737401222,0.2890390455722809,PGM
16,MAR04368,-19.437210548152088,0.575169563293457,PGK
17,MAR04370,-45.44608041634322,0.7068521913625715,ACYP
18,MAR04371,-29.39339960401953,0.7942663097982366,
19,MAR04372,-16.052688899481893,0.6938048601150513,
20,MAR04373,-2.452031955769009,0.6437000715420963,GAPD
21,MAR04375,-22.097248059131548,0.5638388395309448,FBA
22,MAR04377,-10.301401370886174,0.8425822257995605,FBP
23,MAR04381,-0.2629088299450295,0.182435005903244,PGI
24,MAR04391,5.236016849593302,0.558411180973053,TPI
25,MAR04394,-15.2499477600045,0.4125724681423959,HEX1
26,MAR04396,-6.943808391934361,0.5356407165527344,PGMT
27,MAR04521,-10.7589193616046,0.4067465960979461,G6PPer
28,MAR06412,6.657269121652945,3.0987837314605717,
29,MAR07745,-1.220703097715159e-06,1.5513018297497183e-05,
30,MAR07747,-13.876290830354106,0.4206315879713042,
31,MAR08360,-300.9371032714844,3.336042642593384,CAt7r
32,MAR08652,-32.77366022207991,2.95986270904541,CBPS
33,MAR03989,-13.368474057241444,0.7894224524497986,MALTe
34,MAR04122,-11.839220598993284,2.2085902885049338,UDPGD
35,MAR04837,-14.350891954563714,1.0946202278137207,TREHe
36,MAR05395,,,
37,MAR05396,,,GLGNS1
38,MAR09727,,,
39,MAR05397,,,GLBRAN
40,MAR05398,,,GLPASE1
41,MAR05399,,,
42,MAR05400,,,
43,MAR05401,,,
44,MAR08568,-19.85753529091562,5.044645309448242,
45,MAR08569,-20.12077202739391,5.041545867919922,
46,MAR08570,-9.885528570797833,3.798577547073364,
47,MAR08571,-10.412277044303238,3.8145713806152335,
48,MAR08572,-22.67736115372942,1.2136787176132202,
49,MAR08573,-22.940863943458535,1.1982425451278689,
50,MAR08574,-13.105128548173203,0.7906261682510376,
51,MAR08575,-13.36848632365968,0.7894411087036133,
52,MAR08576,-13.10510272258952,0.7906032800674438,
53,MAR08577,-13.368480961921987,0.7894166707992554,
54,MAR08578,-13.105118255908684,0.7905921339988708,
55,MAR08579,-13.368476903161252,0.7894124984741211,
56,MAR08581,-13.368469219220152,0.7894405126571655,
57,MAR08591,-13.36838373588279,0.7894429564476013,MLTG1
58,MAR08580,-13.105119007331798,0.7906326055526733,
59,MAR08582,-12.841849474774826,0.8327687382698059,
60,MAR08587,-13.368379885551128,0.7894247174263,MALT
61,MAR08585,-35.78483289225687,0.7319362163543701,
62,MAR03944,-2.502284746307117,0.1503091125741049,GALUi
63,MAR04128,2.441406195430318e-06,2.429168853268493e-05,UDPG4E
64,MAR04130,-8.306135458005443,0.5740105653447488,GALKr
65,MAR04131,7.324218586290954e-06,8.772092405706644e-05,UGLT
66,MAR04132,0.0,9.134905849350616e-05,
67,MAR04303,-23.270129153900367,1.2384625673294067,SUCRe
68,MAR04414,-8.306136678708567,0.5740100843989522,
69,MAR04415,-13.368481686635974,0.789421558380127,LACZe
70,MAR04416,-7.000670642150062,0.6975896954536438,
71,MAR04774,15.707431421536128,0.8198112102119459,
72,MAR04775,-15.707462277263016,0.8198277251740584,
73,MAR04831,24.70748846184291,2.6426528785983674,
74,MAR04832,13.015717634798854,1.049004316329956,
75,MAR07674,-16.371621931003155,0.9373765976075816,UGALGTg
76,MAR08761,-16.200876506407354,0.9588044815826088,KHK3
77,MAR08762,20.802963864056306,0.9204448461532592,FBP26
78,MAR08764,-13.368222082671991,0.7894227504730225,LACZly
79,MAR08766,-17.887187518981023,0.7423153026816787,GALSIDEtl
80,MAR08767,-2.502287187713367,0.1503133195826973,GALt2_2
81,MAR00454,-14.41319860734446,0.5683882793750988,TRIOK
82,MAR04297,-0.1211277241326445,3.786473950715983,PFK26
83,MAR04310,-15.749994953505846,0.8198125138853579,KHK
84,MAR04315,18.150474906305394,0.7581775915529767,
85,MAR04316,17.88718965521149,0.7423160538439657,
86,MAR04317,-2.435324683632148,1.768107108890079,
87,MAR04318,,,
88,MAR04319,-15.250304206973198,0.4125692372405634,HEX7
89,MAR04320,-15.206640346754249,0.4125721430259061,
90,MAR04356,-21.302654686882896,0.6808850765228271,FBA2
91,MAR04383,-0.2629088299450295,0.1824354231357574,MAN6PI
92,MAR04385,6.943804577237096,0.5356357097625732,PMANM
93,MAR04386,8.160892055955037,0.4050253924364997,MAN1PT2
94,MAR04387,-2.506310282083356,0.1503157748938232,
95,MAR04399,-40.27059820068774,2.6688382625579834,GMAND
96,MAR04400,-25.68970034837773,2.1883438407828963,
97,MAR04403,1.84139727893168,1.0195248126983645,
98,MAR04490,-15.24994714965294,0.4125704742455947,HEX4
99,MAR04706,-25.88774962086513,3.789327383041382,FBP26
100,MAR08768,-25.689680359892435,2.188358388422999,GFUCS
101,MAR04590,-22.64641932370681,0.8174499004603338,XYLUR
102,MAR04591,22.646439312192108,0.8174681508545268,
103,MAR04592,-16.513466777196566,0.6600585452157499,
104,MAR04593,22.64643992254367,0.817467670412206,
105,MAR04594,-13.720267181239167,2.2760301484770085,
106,MAR04595,15.159908187361347,0.4125671565019372,
107,MAR08341,-16.513466777196566,0.6600585452157499,ARABR
108,MAR08342,-22.646439312192115,0.8174681508545268,ABTD
109,MAR08344,-20.45496709880256,1.987786791245324,GULNDer
110,MAR08352,-24.468445917049063,2.682673008916295,GULN3D
111,MAR08353,-15.713447553345937,3.3232966302227864,DHAPAx
112,MAR08726,-11.614520534754336,0.962868436572164,RBK_Dr
113,MAR08727,-32.77741906075448,0.6906126132763414,UDPG1P
114,MAR08728,-17.729272861058117,0.5632863640785217,GUR1PP
115,MAR08729,-25.874180865442987,0.7614548041894398,UDPGNP
116,MAR06537,-20.454968319505685,1.9877827709966227,
117,MAR01568,-44.99329616097836,1.3046646310898793,ALDD2x
118,MAR03853,-18.89326503884548,2.523566246032715,LGTHL
119,MAR03854,-5.068508333618681,3.0366291607803046,
120,MAR03855,-29.113758535852696,1.0155023132658425,
121,MAR03857,-27.481230716734228,2.927013611012545,GLYOX
122,MAR03859,14.11539462963246,3.2919428071769428,D_LACDcm
123,MAR04087,30.4619584248224,1.739431381225586,ME1m
124,MAR04089,15.52340659315573,1.739412546157837,ME2
125,MAR04091,30.461351325482013,1.7394201755523682,ME2m
126,MAR04101,12.928835814159712,1.8476347923278809,PEPCK_re
127,MAR04103,13.638853189003378,1.847639560699463,PEPCKm
128,MAR04143,-20.559115448116007,0.6891590137491138,PCm
129,MAR04193,-26.31181393621444,0.5352430477808732,
130,MAR08497,-20.30671833701751,3.3336943880374967,ALR2
131,MAR08500,-13.875528543968572,1.3352227223946591,ALR3
132,MAR08501,-5.068488268839441,3.036629761377355,LALDD
133,MAR08502,13.824755103053946,2.846556732838383,LALDO
134,MAR08503,-41.30598604867001,1.290490558069038,LCADi
135,MAR08504,-41.30598581978816,1.2904909031959335,LCADi_D
136,MAR08506,-56.25933368238552,1.2904956415206783,LCADm
137,MAR08507,29.11377860063193,1.015492762872544,ALCD21_D
138,MAR08508,29.11377852433799,1.015492601033517,LCARS
139,MAR08509,-29.11375861214664,1.0155024750924997,PPDOy
140,MAR08511,-45.25378476126315,2.9270161504396035,GLYOXm
141,MAR08514,14.115394934808242,3.2919427009537814,L_LACDcm
142,MAR08516,-68.42218343311168,3.1201038360595703,MGSA
143,MAR08517,-73.65820743526236,3.2061662673950195,MGSA2
144,MAR04280,-25.717736588569288,0.6792154038311515,LDH_Lm
145,MAR00153,-7.323139347120318,1.0337977409362793,ACS2
146,MAR03212,54.37075679437248,5.920502662658691,PPCOAOm
147,MAR03797,-7.243873256354277,1.033809781074524,ACCOALm
148,MAR03800,-14.318062806092456,2.408266305923462,OBDHm
149,MAR04282,-11.871514526215575,2.332036018371582,MMSAD3m
150,MAR04331,23.133956035454585,4.152440005267978,
151,MAR04459,15.810820636545929,4.036085515667205,
152,MAR04460,28.81602320883936,4.036082272350036,
153,MAR04464,-2.1221991319120197,2.193070686941957,ADCim
154,MAR04741,-45.76461978475084,1.2041115003087832,
155,MAR08078,-36.206211795870175,2.0039140387218453,MCITS
156,MAR09803,59.104480989194,2.3448221614431666,
157,MAR09804,29.861519330347548,1.568715975781891,
158,MAR00718,-9.173795088501803,5.197053909301758,
159,MAR00719,-21.94855108100956,1.081533892378428,
160,MAR01434,-27.21437712907742,0.99056476354599,ACACT1r
161,MAR03163,40.88479869500725,5.548440456390381,ACOAD1fm
162,MAR04461,11.718496704796513,0.908421160450172,BDHm
163,MAR04604,-28.73299649780273,4.066654185919732,
164,MAR05351,21.72262328663605,1.39270669729397,
165,MAR07709,3.905177245519342,0.96978497505188,3HBCDm
166,MAR04052,-8.28851865519462,0.574013734295811,PRPPS
167,MAR04304,-9.724083041111578,0.9001188792909048,G6PDH2er
168,MAR04350,15.250005985446071,0.4125659375469884,RBK
169,MAR04351,4.849319286757364,0.6056705713272095,
170,MAR04352,4.849321670943155,0.6056758761405945,RPI
171,MAR04354,-6.9438664240317,0.535636305809021,PPM
172,MAR04398,21.67088472965018,1.843690276145935,DRPA
173,MAR04404,-8.058702592425032,1.4840885400772097,TKT2
174,MAR04473,8.70422314472168,2.015888929367065,GNDer
175,MAR04474,8.704219330024415,2.0159029960632324,GND
176,MAR04477,-2.441406195430318e-06,2.429168853268493e-05,RPE
177,MAR04501,6.196127274834069,0.8721638321876526,TKT1
178,MAR04565,-2.088308376068767,1.0990530252456665,TALA
179,MAR04567,-13.350109740969026,1.0548132448499483,
180,MAR09800,-13.394022230658608,1.054832813857724,
181,MAR04625,-22.43583277465179,1.2351408379607336,PGL
182,MAR04710,-5.392464063181919,1.5421576499938965,
183,MAR04841,-17.8872134556911,0.7423307177817972,
184,MAR08074,-15.247917254671265,0.4125831645816376,DRPA
185,MAR08653,9.72406183192316,0.9001138977293945,G6PDH2r
186,MAR03998,-24.63521599029855,0.3395073535374937,
187,MAR04000,1.9452690357633635,2.0871262550354004,ADNCYC
188,MAR04002,1.3736539160395544,0.1503219902515411,ADK1
189,MAR04004,-0.2606512992707479,0.1503198742866516,ADK1m
190,MAR04010,-10.761697592443497,0.4067383110523224,NTD7
191,MAR04081,-10.503920024777296,0.4067409336566925,NTD7e
192,MAR04082,-10.090710468197862,0.4067363440990448,
193,MAR04012,-15.247179371084547,0.4125729481506248,ADNK1
194,MAR04014,-37.24776442777204,2.4518034076648227,PDE1
195,MAR04020,1.3722533947825788,0.1503113508224487,GK1
196,MAR04022,1.9461815742148385,2.0871262550354004,GUACYC
197,MAR04038,-7.319127165747338,12.060503005981444,IMPC
198,MAR04040,-7.137399641754379,1.9117966516971991,IMPD
199,MAR04042,-1.7587393543763752,1.0285716945927954,ADSS
200,MAR04046,-31.14455468136296,9.26096210697911,GMPS2
201,MAR04048,-37.24999243201798,2.4517946651368807,PDE4
202,MAR04080,-21.553557031122523,0.5803462862968445,AMPDA
203,MAR04085,-18.93601556989529,0.6104022264480591,ADPT
204,MAR04086,-19.36318870382737,0.610405445098877,
205,MAR04134,-21.944107424756783,0.339505027415651,NDP3ex
206,MAR04135,-0.2625063069842497,0.1503108590841293,GK1m
207,MAR04168,-35.30380960848979,0.6570583160338048,
208,MAR04171,-26.31183995278861,0.5352355011359654,
209,MAR04406,-36.50368521089035,5.775006294250488,GLUPRT
210,MAR04412,-10.982442916791673,1.0200027227401731,ADSL1r
211,MAR04417,-10.801182162243888,5.964271545410156,NTD11
212,MAR04421,-26.3117694283199,0.5352304249053124,
213,MAR04449,-10.759443273841876,0.40674489736557,NTD9
214,MAR04450,-10.500102511961313,0.4067460298538208,NTD9e
215,MAR04451,29.97835686857969,0.4125753102592637,GSNKm
216,MAR04453,-20.54055990617242,9.20069271006694,
217,MAR04480,1.375811686586072,0.1503400206565857,
218,MAR04481,-21.59305113766608,5.901231288909912,ADA
219,MAR04482,-21.59265799362435,5.901229381561279,ADAe
220,MAR04486,-15.249930820663243,0.4125811968549591,
221,MAR04487,-15.249944472830895,0.4125680559511708,
222,MAR04488,-15.25028726763194,0.4125779616151827,
223,MAR04489,-15.250300919799592,0.4125648282293184,
224,MAR04492,-15.249930210311682,0.4125792026265297,
225,MAR04493,-15.249943862479334,0.4125660610379882,
226,MAR04495,-15.249944119709868,0.4125953774919446,
227,MAR04496,-15.24995777187752,0.4125822421873658,
228,MAR04518,-31.348775275079287,12.847007751464844,GUAD
229,MAR04519,-23.69371486563456,6.570088089720252,
230,MAR04520,-161.21389639925857,7.67339277267456,
231,MAR04573,-26.31180213276898,0.5352214108687752,
232,MAR04574,9.632047769182831,0.505399763584137,PUNP5
233,MAR04602,-10.761523079786516,0.4067273736000061,NTD8
234,MAR04603,-9.238722531914483,1.7558598518371582,PUNP4
235,MAR04611,-60.71933302392736,2.909306764602661,
236,MAR04612,-60.71934240154867,2.90929651260376,RNDR1
237,MAR04614,-60.719452824546245,2.909304618835449,
238,MAR04615,-60.71948515140181,2.9093034267425537,RNDR2
239,MAR04617,-60.71949224211652,2.909334182739258,
240,MAR04618,-60.7170965865138,2.909311056137085,
241,MAR04619,-60.71949985364071,2.9093027114868164,RNDR3
242,MAR04621,-60.71709363087629,2.909296751022339,RNDR4
243,MAR04632,-10.76387317618942,0.4067314863204956,NTD6
244,MAR04646,-18.32402987125801,7.240207255355353,
245,MAR04648,-18.47438247680664,7.240209512320451,XANDp
246,MAR04649,-155.84419572647627,8.160759925842285,
247,MAR04650,-31.68480491638184,8.819116592407227,XAOx
248,MAR04651,9.620840951560536,0.5053899884223938,PUNP3
249,MAR04663,9.625023285971045,0.5053986310958862,PUNP7
250,MAR04694,-21.551211964504027,0.5803425312042236,DADA
251,MAR04695,-9.245374931047058,1.7558590173721311,PUNP2
252,MAR04705,-27.35048043693938,8.07348918914795,NTD10
253,MAR04709,-9.207966648962213,6.248875141143799,PUNP6
254,MAR04799,-27.52994525062984,5.481984293632907,PRAGSr
255,MAR04802,-10.996929451283416,11.006309046112024,PRAIS
256,MAR04804,4.470724960541422,3.358846902293599,AIRCr
257,MAR04808,4.471778235105667,6.46801750153623,PRFGS
258,MAR04810,-4.98503697306024,6.842309431398308,PRASCSi
259,MAR04812,-25.09009979644633,2.718246936798096,ADSL2r
260,MAR04814,4.985921932416737,2.3614861965179443,AICART
261,MAR05301,-15.2492603307115,0.4125610355437075,URIK2
262,MAR05353,1.3743455772230746,0.1503213346004486,DGK1
263,MAR06602,,,
264,MAR06603,,,
265,MAR06605,,,
266,MAR06606,,,
267,MAR06607,,,
268,MAR06609,-75.31702985677718,20.56051469764804,
269,MAR06610,-54.16888431475995,19.336105346679688,
270,MAR06611,2.943902271019571,23.47096061706543,
271,MAR07144,-32.78718574218934,0.690603377545627,ADPRDP
272,MAR08755,-36.87004852294922,8.030089378356934,XAO2x
273,MAR09797,-21.588611663520027,5.90123987197876,
274,MAR04016,7.991515823135842e-05,0.0001973579055629,NDPK1
275,MAR04018,0.000151957331667,0.0001842048804974,NDPK1m
276,MAR04044,4.507876674608724e-06,0.0001998228108277,NDPK8
277,MAR04291,1.5718637968120674e-05,0.0002011902397498,NDPK9
278,MAR04420,2.2310772678224566e-05,0.0002042043342953,NDPK8m
279,MAR04570,3.965373173286935e-05,0.0001947624114109,NDPK5
280,MAR04572,8.148465006740935e-05,0.0001986223069252,NDPK5m
281,MAR04006,3.224100733945079e-05,0.000258889835095,NDPK2
282,MAR04028,3.9250146215863424e-05,0.0002169832005165,NDPK3
283,MAR04030,0.0001175769053674,0.0002290111879119,NDPK3m
284,MAR04670,5.757856371246817e-05,0.0002100567362504,NDPK7
285,MAR04673,4.618297340641675e-05,0.0002783631207421,NDPK6
286,MAR04675,1.8333782847435032e-05,0.0002716880408115,NDPK6m
287,MAR06614,2.7819575784349126e-05,0.000231406171224,
288,MAR06615,-4.931555733378445e-05,0.0002267322561237,
289,MAR06616,2.0495357198058173e-05,0.000225073294132,
290,MAR04635,3.721026530456584e-05,0.0002423149417154,NDPK4
291,MAR03793,-1.2789270809954658,2.4651498794555664,D3AIBTm
292,MAR03969,-15.249317203012556,0.4125934703172998,URIK3
293,MAR03970,-10.759534810309974,0.4067497253417969,NTD2
294,MAR04008,1.3763621306081468,0.1502911746501922,UMPK
295,MAR04032,-5.1197908815437945,0.998703552372767,CTPS1
296,MAR04034,-12.831143829634684,2.4692339911115457,CBPS
297,MAR04036,-6.152230618257881,5.525301671493966,OMPDC
298,MAR04050,22.088544995719907,1.8382161839536533,ASPCT
299,MAR04056,-10.761642742086243,0.4067387282848358,NTD5
300,MAR04059,-24.63250480026609,0.3395232964060551,NDP7g
301,MAR04060,-21.93554874359761,0.3395236461970556,NDP7ex
302,MAR04127,-32.797463962632264,0.6906213840223515,
303,MAR04177,-10.759686144021234,0.4067443907260895,NTD4
304,MAR04179,-10.5005081009779,0.406745970249176,NTD4e
305,MAR04182,-15.249115176809807,0.4125455397032256,
306,MAR04194,-15.723785656734336,1.4522587399547116,CTPS2
307,MAR04210,-26.311799602856837,0.5352266650266819,
308,MAR04211,-32.72317759549233,0.6570752794492594,
309,MAR04343,-7.650447047633666,1.6222796440124512,
310,MAR04345,-2.3687627112457084,15.97052770235834,DURAD
311,MAR04346,-46.53152434665551,14.41022407618659,DHPM1
312,MAR04470,5.719821818006512,17.396438501732266,
313,MAR04471,-2.436193574565765,17.396442838681267,
314,MAR04472,5.719841806491806,17.396477809564903,DURAD2
315,MAR04484,-10.090658911891694,0.4067371487617492,NTD5m
316,MAR04510,-10.761771054100954,0.4067381620407104,NTD3
317,MAR04512,1.3741478709654764,0.1503124833106994,CYTK2
318,MAR04514,-20.88296658289658,0.9229641556739808,DCYTD
319,MAR04577,-1.814898161767939,2.2543015480041504,ORPT
320,MAR04579,-1.6601231285676574,1.5795272588729858,PYNP2r
321,MAR04580,-20.8846590284936,0.9229628443717957,CYTD
322,MAR04608,-3.3043355823065745,1.2104981784950029,DHORTS
323,MAR04575,-0.1333688403284902,5.327094554901123,DHORD9
324,MAR04637,1.3781473807724929,0.1503230929374694,DTMPK
325,MAR04643,-51.95703836609874,0.6570664131572282,DUTPDPm
326,MAR04644,-33.75782809351834,6.23231315612793,TMDS
327,MAR04672,-20.886691036733087,0.9229440689086914,
328,MAR04676,-15.249153791807204,0.4125897265976943,
329,MAR04736,-47.72428252025745,14.459791768705506,DHPM2
330,MAR04819,-16.128626115725304,3.471927749607046,BUP2
331,MAR05299,-15.249334142353812,0.4125847491513731,URIK1
332,MAR05352,-15.249298945708896,0.4126052215212998,
333,MAR05415,55.45670486940246,2.9093093872070312,
334,MAR05416,55.45701336555575,2.909302234649658,
335,MAR05417,-16.807662444517124,1.3578759061294,
336,MAR06612,-0.2392005284274319,0.1503090560436248,
337,MAR06613,1.378139115418957,0.1503126919269561,
338,MAR06621,55.42930571706732,2.909299850463867,
339,MAR06622,-60.7170965865138,2.9093141555786133,
340,MAR06624,-29.972310055662668,0.412571196506684,
341,MAR06627,-26.311804572114653,0.5352324693069169,
342,MAR08072,-16.153422360600715,1.519723415374756,2DR1PP
343,MAR08637,-21.39826615784684,1.658454418182373,CSNt
344,MAR03965,-24.631109751534787,0.3395035345463341,NDP8
345,MAR03966,-51.976773519790456,0.6570563614108983,HMR_3966
346,MAR03967,1.3720128570458776,0.1502830684185028,CYTK3
347,MAR03968,1.377759553988497,0.1502976864576339,URIDK2r
348,MAR04024,1.3720744807304293,0.1503091007471084,CYTK1
349,MAR04083,-29.97235322234509,0.41257269250989,ADNK1m
350,MAR04136,-22.75917825017408,0.3304972386839551,NTP3e
351,MAR04180,-15.249188988452122,0.4125692529925105,CYTDK1
352,MAR04185,46.93909043300976,0.6714384098353965,SADT
353,MAR04186,-2.496616814826108,1.768099873520332,ADSK
