Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,MAR03905,20.03190346331825,0.8558042439544656,ALCD2x
1,MAR03907,20.03187859202045,0.8558257642588402,ALCD2y
2,MAR04097,-5.813771418738224,0.4244522452354431,ACS
3,MAR04099,-5.731638985540364,0.4244624972343445,ACSm
4,MAR04108,-21.468136651576323,3.954908092831684,
5,MAR04133,15.654368208301968,3.917320963052717,
6,MAR04281,-25.71781036376953,0.6792192046901167,
7,MAR04388,-25.717404301386228,0.679217770294736,LDH_L
8,MAR04283,-44.99332225297928,1.304716423691106,
9,MAR08357,-59.94285572049348,1.3046698947541993,ALDD2xm
10,MAR04379,-15.7074853201199,0.8198194864905565,PFK
11,MAR04301,-15.707453079112488,0.8198044624779082,
12,MAR04355,-17.651589891265424,1.689932346343994,
13,MAR04358,-26.311765835970515,0.5352421660346749,PYK
14,MAR04360,-20.65711540996393,3.095903423951996,
15,MAR04363,-3.5052927890865195,0.2816460430622101,ENO
16,MAR04365,-4.504675737401222,0.2890390455722809,PGM
17,MAR04368,-19.437210548152088,0.5751717686653137,PGK
18,MAR04370,-45.44608041634322,0.7068521913625715,ACYP
19,MAR04371,-29.39340204542578,0.7942654233033253,
20,MAR04372,-16.052688899481893,0.693791389465332,
21,MAR04373,-2.4520307350658843,0.6437051933155434,GAPD
22,MAR04375,-22.097251873828814,0.5638442635536194,FBA
23,MAR04377,-10.301401370886174,0.8425820469856262,FBP
24,MAR04381,-0.2629088299450295,0.1824337989091873,PGI
25,MAR04391,5.236013511733194,0.5584142804145813,TPI
26,MAR04394,-15.24994714965294,0.412575992385106,HEX1
27,MAR04396,-6.94380600774857,0.5356366038322449,PGMT
28,MAR04521,-10.7589193616046,0.4067484736442566,G6PPer
29,MAR06412,6.657284380442007,3.098795890808105,
30,MAR07745,1.5258789289873675e-06,1.5182304196059704e-05,
31,MAR07747,-13.876285337190044,0.4206288830700257,
32,MAR08360,-300.9371032714844,3.336042642593384,CAt7r
33,MAR08652,-32.77366403677718,2.959864377975464,CBPS
34,MAR08757,-438.4571752580393,2.3955896414218163,ETOHtx
35,MAR03989,-13.368471196218492,0.7894225716590881,MALTe
36,MAR04122,-11.839223040399531,2.2085924887538604,UDPGD
37,MAR04837,-14.350891954563714,1.0946204662322998,TREHe
38,MAR05395,,,
39,MAR05396,,,GLGNS1
40,MAR09727,,,
41,MAR05397,,,GLBRAN
42,MAR05398,,,GLPASE1
43,MAR05399,,,
44,MAR05400,,,
45,MAR05401,,,
46,MAR08568,-19.857546735007418,5.044655799865723,
47,MAR08569,-20.120775842091177,5.0415520668029785,
48,MAR08570,-9.885526663449198,3.798590421676636,
49,MAR08571,-10.412291349417984,3.814570903778076,
50,MAR08572,-22.67736687577532,1.2136688232421875,
51,MAR08573,-22.940867758155804,1.198240041732788,
52,MAR08574,-13.105139038590686,0.7906374335289001,
53,MAR08575,-13.368496814077162,0.7894455194473267,
54,MAR08576,-13.105113213007002,0.7906028628349304,
55,MAR08577,-13.368468564155876,0.7894172668457031,
56,MAR08578,-13.105113487537103,0.790601372718811,
57,MAR08579,-13.368484532555785,0.7894032597541809,
58,MAR08581,-13.368473987591734,0.7894412875175476,
59,MAR08591,-13.368377060162576,0.7894351482391357,MLTG1
60,MAR08592,-13.36822708879285,0.7894218564033508,MLTG1ly
61,MAR08580,-13.105111377937266,0.7906311750411987,
62,MAR08582,-12.841854243146408,0.8327736258506775,
63,MAR08587,-13.36838465392271,0.7894222736358643,MALT
64,MAR08589,-13.368223990020624,0.7894203662872314,MALTly
65,MAR08583,-106.9478729486202,6.315392971038818,AMY1e
66,MAR08584,-7.000639456895136,0.6975924372673035,O16G2e
67,MAR08585,-35.78482907755961,0.731931746006012,
68,MAR03944,-2.502287187713367,0.150315264579268,GALUi
69,MAR04128,0.0,0.0,UDPG4E
70,MAR04130,-8.306136983884349,0.5740107317024026,GALKr
71,MAR04131,7.324218586290954e-06,8.06403550086543e-05,UGLT
72,MAR04132,4.882812390860636e-06,7.704947347519919e-05,
73,MAR04303,-23.270136783294895,1.238465666770935,SUCRe
74,MAR04414,-8.306140645993723,0.5740103413854617,
75,MAR04415,-13.368478825613025,0.7894243597984314,LACZe
76,MAR04416,-7.000669211638588,0.6975921988487244,
77,MAR04831,24.707489072194477,2.642659447511913,
78,MAR04832,13.015717634798854,1.048996925354004,
79,MAR07674,-16.37162071030003,0.9373637384206064,UGALGTg
80,MAR08761,-16.200876201231573,0.9588105542454533,KHK3
81,MAR08762,20.8029695861022,0.9204398989677428,FBP26
82,MAR08764,-13.368223990020624,0.7894205451011658,LACZly
83,MAR08766,-17.88718263616852,0.7423345402168071,GALSIDEtl
84,MAR08767,-2.502289629119617,0.1503134144142554,GALt2_2
85,MAR00454,-14.41319875993235,0.5683936374907763,TRIOK
86,MAR04297,-0.1211277241326445,3.7864712296848286,PFK26
87,MAR04310,-15.74999373280272,0.8198101348904886,KHK
88,MAR04315,18.15047307525071,0.7581772155621064,
89,MAR04316,17.887183551695866,0.7423322076565452,
90,MAR04317,-2.435319190468085,1.768108716747231,
91,MAR04318,,,
92,MAR04319,-15.250302986270071,0.4125701119941701,HEX7
93,MAR04320,-15.206640346754249,0.4125751342838403,
94,MAR04356,-21.302660408928794,0.6808801889419556,FBA2
95,MAR04383,-0.2629088299450295,0.1824349462985992,MAN6PI
96,MAR04385,6.943804577237096,0.5356337428092957,PMANM
97,MAR04386,8.16088351103316,0.4050240424387335,MAN1PT2
98,MAR04387,-2.506317606302105,0.1503105469773082,
99,MAR04399,-40.27058675659595,2.668839693069458,GMAND
100,MAR04400,-25.68970523119023,2.1883455649678933,
101,MAR04401,-2.5064089331513,0.150308206937078,F1PGT
102,MAR04402,-8.306042046142249,0.5740047046746426,FK
103,MAR04403,1.84139727893168,1.0195252895355225,
104,MAR04490,-15.249948065180282,0.4125740659816018,HEX4
105,MAR04706,-25.88774962086513,3.789325475692749,FBP26
106,MAR08768,-25.689680359892435,2.188370227018045,GFUCS
107,MAR04590,-22.646412609839626,0.817462737106735,XYLUR
108,MAR04591,22.64643748113742,0.8174631310046644,
109,MAR04592,-16.51346067368094,0.6600852420163931,
110,MAR04593,22.646435955258514,0.8174659601495554,
111,MAR04594,-13.720271758875883,2.276030923334872,
112,MAR04595,15.159900557966816,0.4125634884648898,
113,MAR08341,-16.513461284032502,0.660084447588322,ARABR
114,MAR08342,-22.64643809148899,0.8174632801975217,ABTD
115,MAR08344,-20.454964047044747,1.9877914132107688,GULNDer
116,MAR08352,-24.468445917049063,2.682671829064582,GULN3D
117,MAR08353,-15.71344877404906,3.3232956315890294,DHAPAx
118,MAR08726,-11.614519314051211,0.9628725520855436,RBK_Dr
119,MAR08727,-32.777415398645104,0.6906104747626942,UDPG1P
120,MAR08728,-17.729272861058117,0.5632863640785217,GUR1PP
121,MAR08729,-25.87417720333361,0.7614556700362043,UDPGNP
122,MAR06537,-20.454962826341625,1.987793485424581,
123,MAR01568,-44.99329738168149,1.3046672464829792,ALDD2x
124,MAR03853,-18.89326503884548,2.523568630218506,LGTHL
125,MAR03854,-5.068506922180692,3.0366274399352458,
126,MAR03855,-29.113751688471105,1.0155090105871385,
127,MAR03857,-27.4812294960311,2.9270120408854194,GLYOX
128,MAR03859,14.115400122796524,3.29195099703923,D_LACDcm
129,MAR04087,30.461961285845348,1.7394365072250366,ME1m
130,MAR04089,15.523390380692351,1.7394179105758667,ME2
131,MAR04091,30.461350371807697,1.7394182682037354,ME2m
132,MAR04093,-29.4887188138924,0.6216648965803933,ACOAH
133,MAR04095,-46.24515868128382,0.6216628187578818,ACOAHim
134,MAR04101,12.928836767834028,1.8476366996765137,PEPCK_re
135,MAR04103,13.638851281654745,1.847634434700012,PEPCKm
136,MAR04143,-20.559114532588666,0.6891546799102404,PCm
137,MAR04193,-26.31181851385116,0.535240734688116,
138,MAR08497,-20.30671246238372,3.333699222140708,ALR2
139,MAR08498,-381.9771444046662,2.2754578189473613,ACTNMO
140,MAR08499,-438.182341387676,3.9576271490788217,ACTLMO
141,MAR08500,-13.87552127697028,1.3352215439288215,ALR3
142,MAR08501,-5.068481936441979,3.036632687863041,LALDD
143,MAR08502,13.824757925929925,2.84655539528944,LALDO
144,MAR08503,-41.30598791787166,1.290491032712508,LCADi
145,MAR08504,-41.30598742196102,1.2904912736678005,LCADi_D
146,MAR08506,-56.25933192762479,1.2904970996754974,LCADm
147,MAR08507,29.113776674209817,1.0154946533113127,ALCD21_D
148,MAR08508,29.113776559768898,1.0154945987008914,LCARS
149,MAR08509,-29.11375180291202,1.0155090651948584,PPDOy
