Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,MAR03905,20.031901021912,0.8558073932174255,ALCD2x
1,MAR03907,20.03187737131733,0.8558201173664698,ALCD2y
2,MAR04097,-5.813771418738224,0.4244530200958252,ACS
3,MAR04099,-5.731648522283528,0.4244548082351684,ACSm
4,MAR04108,-21.46813359981851,3.9549141902306646,
5,MAR04133,15.65437126005978,3.917318780697878,
6,MAR04281,-25.717806091308592,0.6792184613112793,
7,MAR04388,-25.717399418573727,0.6792230581639902,LDH_L
8,MAR04283,-44.99332347368241,1.304714722570459,
9,MAR08357,-59.94285449979035,1.3046707560927715,ALDD2xm
10,MAR04379,-15.70747311308865,0.8198260501807035,PFK
11,MAR04301,-15.707443313487488,0.8198072708050285,
12,MAR04355,-17.651589891265424,1.6899316310882568,
13,MAR04358,-26.31177804300177,0.5352475484575002,PYK
14,MAR04363,-3.5052927890865195,0.2816460430622101,ENO
15,MAR04365,-4.504675737401222,0.2890390455722809,PGM
16,MAR04368,-19.43721245550072,0.5751643180847168,PGK
17,MAR04370,-45.44607797493697,0.706850323328732,ACYP
18,MAR04371,-29.39339472120703,0.7942651470560284,
19,MAR04372,-16.05269462152779,0.6937931180000305,
20,MAR04373,-2.452025852253384,0.6437058938886338,GAPD
21,MAR04375,-22.097251873828814,0.5638480186462402,FBA
22,MAR04377,-10.30140232456049,0.8425876498222351,FBP
23,MAR04381,-0.2629051642593758,0.1824300438165664,PGI
24,MAR04391,5.236014465407511,0.5584109425544739,TPI
25,MAR04394,-15.24993280639122,0.4125795693892327,HEX1
26,MAR04396,-6.943803623562779,0.535638689994812,PGMT
27,MAR04521,-10.758920315278916,0.4067499041557312,G6PPer
28,MAR06412,6.65726769114147,3.098799705505371,
29,MAR07745,-3.0517577442878974e-07,1.4632532838732004e-05,
30,MAR07747,-13.876288083772076,0.4206311634320325,
31,MAR08360,-300.9371032714844,3.336042642593384,CAt7r
32,MAR08652,-32.77366022207991,2.9598634243011475,CBPS
33,MAR08757,-438.4571740373362,2.395597644520917,ETOHtx
34,MAR03989,-13.368475964590075,0.7894223928451538,MALTe
35,MAR04122,-11.839230364618285,2.20859875227889,UDPGD
36,MAR04837,-14.35089004721508,1.0946227312088013,TREHe
37,MAR05395,,,
38,MAR05396,,,GLGNS1
39,MAR09727,,,
40,MAR05397,,,GLBRAN
41,MAR05398,,,GLPASE1
42,MAR05399,,,
43,MAR05400,,,
44,MAR05401,,,
45,MAR08568,-19.85753529091562,5.044641971588135,
46,MAR08569,-20.12075867595348,5.041549205780029,
47,MAR08570,-9.885528570797833,3.798591375350952,
48,MAR08571,-10.41228467369777,3.814572095870972,
49,MAR08572,-22.677355431683523,1.2136690616607666,
50,MAR08573,-22.940881109596237,1.198245406150818,
51,MAR08574,-13.105125687150256,0.7906306982040405,
52,MAR08575,-13.368482508962416,0.789438784122467,
53,MAR08576,-13.105111305658369,0.7905955910682678,
54,MAR08577,-13.368474286201774,0.7894158959388733,
55,MAR08578,-13.105118255908684,0.7905970215797424,
56,MAR08579,-13.3684797641842,0.7894067764282227,
57,MAR08581,-13.368466358197203,0.7894352674484253,
58,MAR08591,-13.368387550580056,0.7894337177276611,MLTG1
59,MAR08592,-13.368226135118531,0.7894309759140015,MLTG1ly
60,MAR08580,-13.105119007331798,0.7906297445297241,
61,MAR08582,-12.841849474774826,0.8327680230140686,
62,MAR08587,-13.36838179289976,0.7894219160079956,MALT
63,MAR08589,-13.368223990020624,0.7894243001937866,MALTly
64,MAR08583,-106.94785768983112,6.315372943878174,AMY1e
65,MAR08584,-7.000637549546504,0.6975900530815125,O16G2e
66,MAR08585,-35.78482526286234,0.7319318056106567,
67,MAR03944,-2.502282304900867,0.150312686670231,GALUi
68,MAR04128,0.0,4.882812572759576e-05,UDPG4E
69,MAR04130,-8.306126913083569,0.5740088227047949,GALKr
70,MAR04131,7.324218586290954e-06,0.000100394951005,UGLT
71,MAR04132,2.441406195430318e-06,9.452372614759952e-05,
72,MAR04303,-23.270132968597636,1.2384597063064575,SUCRe
73,MAR04414,-8.306130575192944,0.5740068992612128,
74,MAR04415,-13.368474057241444,0.7894223928451538,LACZe
75,MAR04416,-7.000668257964271,0.697593629360199,
76,MAR04774,15.707437525051754,0.8198200678499343,
77,MAR04775,-15.707473263591142,0.8198337179127796,
78,MAR04831,24.70748846184291,2.6426567278630078,
79,MAR04832,13.01571858847317,1.0490031242370603,
80,MAR07674,-16.371625287936745,0.9373683493097176,UGALGTg
81,MAR08761,-16.20086552007923,0.9588138872700404,KHK3
82,MAR08762,20.8029695861022,0.9204445481300354,FBP26
83,MAR08764,-13.368225897369255,0.7894232273101807,LACZly
84,MAR08766,-17.88718416204743,0.7423205837975926,GALSIDEtl
85,MAR08767,-2.502284746307117,0.150325894502484,GALt2_2
86,MAR00454,-14.413187926192114,0.5683973820104794,TRIOK
87,MAR04297,-0.1211106342888945,3.786470066432886,PFK26
88,MAR04310,-15.749979999892563,0.8198088192157432,KHK
89,MAR04315,18.150470633844456,0.7581775973872426,
90,MAR04316,17.887180499938054,0.742319042323849,
91,MAR04317,-2.435306678261054,1.7681075092741962,
92,MAR04318,,,
93,MAR04319,-15.250294136172416,0.4125705002379222,HEX7
94,MAR04320,-15.2066330225355,0.412576164662797,
95,MAR04356,-21.302660408928794,0.6808751225471497,FBA2
96,MAR04383,-0.2629063861545937,0.1824331432580948,MAN6PI
97,MAR04385,6.943804577237096,0.5356360673904419,PMANM
98,MAR04386,8.16088351103316,0.4050202386193823,MAN1PT2
99,MAR04387,-2.506317606302105,0.1503106252945953,
100,MAR04399,-40.27058675659595,2.6688437461853027,GMAND
101,MAR04400,-25.68970034837773,2.188349810108141,
102,MAR04401,-2.5064052710419245,0.1503067423288782,F1PGT
103,MAR04402,-8.30603533227506,0.5740014836421395,FK
104,MAR04403,1.8413947755366,1.019523024559021,
105,MAR04490,-15.249933721918564,0.4125782387649465,HEX4
106,MAR04706,-25.887755342911028,3.7893259525299072,FBP26
107,MAR08768,-25.68967669778306,2.1883561702280723,GFUCS
108,MAR04590,-22.64641322019119,0.8174494349435485,XYLUR
109,MAR04591,22.64643687078586,0.817465418850302,
110,MAR04592,-16.513459147802035,0.6600650616746,
111,MAR04593,22.64643503973117,0.8174639478516643,
112,MAR04594,-13.720274505457915,2.2760311962225543,
113,MAR04595,15.159894759626972,0.4125661626069895,
114,MAR08341,-16.513459452977816,0.6600651494372392,ARABR
115,MAR08342,-22.646436870785863,0.817465418850302,ABTD
116,MAR08344,-20.454971371263497,1.9877862362065688,GULNDer
117,MAR08352,-24.46844347564281,2.68267593827017,GULN3D
118,MAR08353,-15.713446942994374,3.323294540796792,DHAPAx
119,MAR08726,-11.614507717371524,0.9628674692354005,RBK_Dr
120,MAR08727,-32.77740807442635,0.6906017098031983,UDPG1P
121,MAR08728,-17.729272861058117,0.5632863640785217,GUR1PP
122,MAR08729,-25.874171099817985,0.7614542818260834,UDPGNP
123,MAR06537,-20.4549616056385,1.9877891678703736,
124,MAR01568,-44.99329982308774,1.3046706506415895,ALDD2x
125,MAR03853,-18.89326122414821,2.523569345474243,LGTHL
126,MAR03854,-5.06850459521536,3.036626800760029,
127,MAR03855,-29.113750639429355,1.015498590766677,
128,MAR03857,-27.481231327085787,2.927013380790062,GLYOX
129,MAR03859,14.115390357171524,3.291948116585131,D_LACDcm
130,MAR04087,30.461962239519664,1.7394369840621948,ME1m
131,MAR04089,15.5233932417153,1.7394130229949951,ME2
132,MAR04091,30.461345603436115,1.7394195795059204,ME2m
133,MAR04093,-29.488720034595527,0.621664721970222,ACOAH
134,MAR04095,-46.24514281214319,0.6216612745562494,ACOAHim
135,MAR04101,12.92883867518266,1.8476383686065676,PEPCK_re
136,MAR04103,13.63885223532906,1.8476370573043823,PEPCKm
137,MAR04143,-20.55912338268632,0.6891437731010809,PCm
138,MAR04193,-26.31181363103866,0.535233491347405,
139,MAR08497,-20.30671089835785,3.333691334395509,ALR2
140,MAR08498,-381.97714284064034,2.2754630072093134,ACTNMO
141,MAR08499,-438.1823405102956,3.957637068021348,ACTLMO
142,MAR08500,-13.875520685692203,1.3352213876202694,ALR3
143,MAR08501,-5.06848063944491,3.0366281940337774,LALDD
144,MAR08502,13.824757391872303,2.846555174044778,LALDO
145,MAR08503,-41.305989024133865,1.2904928455750442,LCADi
146,MAR08504,-41.30598871895809,1.2904915755191342,LCADi_D
147,MAR08506,-56.25933108839138,1.2904917404035998,LCADm
148,MAR08507,29.113774595199807,1.01549673751146,ALCD21_D
149,MAR08508,29.113774290024026,1.015496496030737,LCARS
150,MAR08509,-29.113750944605137,1.015498832328524,PPDOy
151,MAR08511,-45.25378323538424,2.9270129905981106,GLYOXm
152,MAR08512,25.71739880822216,0.6792236731039618,LDH_D
153,MAR08514,14.115390967523084,3.29194759166378,L_LACDcm
154,MAR08516,-68.42219869190075,3.120105266571045,MGSA
155,MAR08517,-73.65820743526236,3.2061667442321777,MGSA2
156,MAR04280,-25.717739029975537,0.679224141592364,LDH_Lm
157,MAR00153,-7.323125995679888,1.0337997674942017,ACS2
158,MAR03212,54.370745350280686,5.920498371124268,PPCOAOm
159,MAR03797,-7.2438742100285936,1.0338016748428345,ACCOALm
160,MAR03800,-14.318047547303394,2.408252477645874,OBDHm
161,MAR04105,-19.893184994220288,2.646853201498632,MCD
162,MAR04106,-4.940290204781913,2.646857206079098,MCDm
163,MAR04107,-21.04949419433594,2.646853164328109,MCDp
164,MAR04282,-11.871514526215575,2.332015037536621,MMSAD3m
165,MAR04331,23.13394993193896,4.152439814408793,
166,MAR04459,15.810832843577176,4.036085252477806,
167,MAR04460,28.81601710532373,4.036083333364625,
168,MAR04464,-2.122200352615142,2.193070250679466,ADCim
169,MAR04497,23.45415234059896,1.5191086036611878,
170,MAR04741,-45.76461581746568,1.2041042181832182,
171,MAR08078,-36.20621973044049,2.0039216203633354,MCITS
172,MAR09803,59.104480989194,2.344819798864799,
173,MAR09804,29.86152055105067,1.568716837940458,
174,MAR00718,-9.17380176422202,5.197058200836182,
175,MAR00719,-21.948546198197057,1.0815335106353876,
176,MAR01434,-27.21439048051785,0.9905547499656676,ACACT1r
177,MAR01436,0.6405343260656231,1.2551870346069336,AACOAT
178,MAR03163,40.88479869500725,5.548442363739014,ACOAD1fm
179,MAR04461,11.718500519493778,0.9084248467756936,BDHm
180,MAR04604,-28.73300504272461,4.066645160295354,
181,MAR05351,21.72261962452668,1.392710099146393,
