Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,25HVITD2t,,,25HVITD2t
1,25HVITD2tin,,,25HVITD2tin
2,25HVITD2tin_m,,,25HVITD2tin_m
3,25HVITD2tm,,,25HVITD2tm
4,25HVITD3t,,,25HVITD3t
5,25HVITD3tin,,,25HVITD3tin
6,25HVITD3tin_m,,,25HVITD3tin_m
7,25HVITD3tm,,,25HVITD3tm
8,25VITD2Hm,,,25VITD2Hm
9,3SPYRSP,,,3SPYRSP
10,3SPYRSPm,,,3SPYRSPm
11,25VITD3Hm,,,25VITD3Hm
12,2AMACHYD,-18.631155424587263,8.020648956298828,2AMACHYD
13,2AMACSULT,-113.60048438959464,27.03168487548828,2AMACSULT
14,2AMADPTm,27.324652571955426,2.4383525669691156e-05,2AMADPTm
15,2DR1PP,-16.15342045325208,1.5197242498397827,2DR1PP
16,2HBO,21.722622065932928,1.392708799053241,2HBO
17,2HBt2,-12.023026934585149,0.0,2HBt2
18,2HCO3_NAt,-4.157358698695122,3.4283835702808574e-05,2HCO3_NAt
19,2MCITt,8.087582761610712,2.0233866962371397e-05,2MCITt
20,2OXOADOXm,-14.704296553893982,2.35919189453125,2OXOADOXm
21,2OXOADPTm,9.128409274138868,3.829196430160664e-05,2OXOADPTm
22,CYTK14,-1.37412357406512,0.1502938270568847,CYTK14
23,34DHOXPEGOX,-26.109363824562056,4.069575472366909,34DHOXPEGOX
24,34DHOXPEGt,11.395818346520851,6.139174274721881e-06,34DHOXPEGt
25,34DHPHAMT,,,34DHPHAMT
26,34DHPHEt,,,34DHPHEt
27,34DHALDD,-40.83386645108439,2.949448097831947,34DHALDD
28,CYTK14n,-1.37412357406512,0.1502874195575714,CYTK14n
29,CYTK1m,0.2641559015197003,0.1503085345029831,CYTK1m
30,CYTK1n,-1.3720720965446382,0.150312453508377,CYTK1n
31,34DHPLACOX_NADP,-40.83389010167907,2.9494897174572863,34DHPLACOX_NADP
32,CYTK2,-1.3741361884551004,0.1503051668405532,CYTK2
33,34DHXMANDACOX,,,34DHXMANDACOX
34,34DHXMANDACOX_NADP,,,34DHXMANDACOX_NADP
35,CYTK2n,-1.374142387338157,0.1502992510795593,CYTK2n
36,5ADTSTSTERONESULT,,,5ADTSTSTERONESULT
37,34HPLFM,-18.77884660888076,1.7079019937263766,34HPLFM
38,41R1H2MAE12BOOX,,,41R1H2MAE12BOOX
39,CYTK3,-1.3720030818841344,0.1503020972013473,CYTK3
40,CYTK3n,-1.3740931808320234,0.1502961069345474,CYTK3n
41,CYTK4,-1.3740769489563398,0.1503194123506546,CYTK4
42,41R2A1H12BOOX,-95.69198300473386,5.99714994430542,41R2A1H12BOOX
43,42A12BOOX,-103.79431581208718,5.134626388549805,42A12BOOX
44,CYTK4n,-1.3740745647705488,0.150309070944786,CYTK4n
45,34HPPOR,-466.96843092916095,6.017952919006348,34HPPOR
46,35CGMPtn,3.051757857974735e-06,1.3302304068929516e-05,35CGMPtn
47,CYTK2_1,-1.374091988739128,0.1503090411424636,CYTK2_1
48,3AIBTm,-4.1771904304049485,2.471089601516724,3AIBTm
49,CYTK5n,-1.371997121419657,0.1502941250801086,CYTK5n
50,3AIBt,10.26866551038436,0.0,3AIBt
51,CPK1,-1.3719961871576452,0.1503078490495681,CPK1
52,4ABUTtm,41.06724408135939,5.3861576816416346e-06,4ABUTtm
53,3AIBtm,-41.0676134083305,0.0,3AIBtm
54,4HBZCOAFm,-8.109889024489112,10.470436755231969,4HBZCOAFm
55,4HBZFm,-46.26817325813746,10.80944207649774,4HBZFm
56,CYTK6n,-1.371993802971854,0.1503001898527145,CYTK6n
57,CYTK7,-1.3720349250410102,0.1502867192029953,CYTK7
58,CYTK7n,-1.3720239577863715,0.1502749472856521,CYTK7n
59,CYTK8,-1.3720578707266249,0.1503114551305771,CYTK8
60,4HDEBRISOQUINEte,-15.973840472929316,2.1793910491396676e-05,4HDEBRISOQUINEte
61,5ADTSTSTERONESte,,,5ADTSTSTERONESte
62,CYTK8n,-1.372060254912416,0.150308147072792,CYTK8n
63,CYTK9,-1.3720219184938394,0.1503193527460098,CYTK9
64,CYTK9n,-1.3720083286348306,0.1503159403800964,CYTK9n
65,D3AIBTm,4.878173344499494,40.27099990844727,D3AIBTm
66,5ADTSTSTERONEte,,,5ADTSTSTERONEte
67,5ADTSTSTERONEtr,,,5ADTSTSTERONEtr
68,4HGLSDm,-56.13841282223498,1.1737459587171448,4HGLSDm
69,4HOXPACDOX_NADP,-7.909405877766765,12.486990335921163,4HOXPACDOX_NADP
70,4MOPt2im,30.68483585987487,4.315837287515549e-06,4MOPt2im
71,DADA,-22.6921999127823,0.5803466182636653,DADA
72,DADAe,-25.64577619246045,0.5803461411616342,DADAe
73,3DPHBH1,,,3DPHBH1
74,DADNK,-15.244997645676026,0.4125681885375306,DADNK
75,DADNt4,-14.83484328419092,1.4950498552934732e-05,DADNt4
76,4MTOLBUTAMIDEte,-19.420198987235604,3.381121587153757e-06,4MTOLBUTAMIDEte
77,4NPHSFte,,,4NPHSFte
78,3DPHBH2,,,3DPHBH2
79,3DSPHR,-6.73221377783537,3.4295558198791007,3DSPHR
80,3HAO,-320.9560118415266,9.904819445744678,3HAO
81,4NPHSULT,,,4NPHSULT
82,DAGK_hs,,,DAGK_hs
83,DAGKn_hs,,,DAGKn_hs
84,4NPHte,,,4NPHte
85,3HBCDm,,,3HBCDm
86,4PYRDX,,,4PYRDX
87,5ADTSTSTERONEGLCte,16.207956752998495,0.3305116981207537,5ADTSTSTERONEGLCte
88,DAG_HSter,-1.8310546465727384e-06,2.016008875216357e-05,DAG_HSter
89,DALAOXx,-100.35888671875,4.1191182136535645,DALAOXx
90,3HBCOAHLm,-42.09702203808118,3.247775974475772,3HBCOAHLm
91,5ADTSTSTERONEGLCtr,1.220703097715159e-06,4.226877717883326e-05,5ADTSTSTERONEGLCtr
92,5AOPtm,39.35347533274342,1.518230533292808e-06,5AOPtm
93,5DHFtl,-441.66918385126417,3.480074883555062e-05,5DHFtl
