Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,MAR03905,20.031902242615125,0.8558073574732509,ALCD2x
1,MAR03907,20.031881033426707,0.8558332809419273,ALCD2y
2,MAR04097,-5.813783816504337,0.4244717359542846,ACS
3,MAR04099,-5.731643753911946,0.4244605898857116,ACSm
4,MAR04108,-21.468132379115385,3.954916144418019,
5,MAR04133,15.654364546192593,3.917317255770794,
6,MAR04281,-25.71781219482422,0.6792196673840389,
7,MAR04388,-25.717401249628416,0.6792212075374272,LDH_L
8,MAR04283,-44.99331981157303,1.304718551973578,
9,MAR08357,-59.9428569411966,1.3046698415784284,ALDD2xm
10,MAR04379,-15.7074853201199,0.8198153199613184,PFK
11,MAR04301,-15.707457961924987,0.8197996418934405,
12,MAR04355,-17.651591798614056,1.689924716949463,
13,MAR04358,-26.31177224466192,0.5352441948067275,PYK
14,MAR04363,-3.5052927890865195,0.2816460430622101,ENO
15,MAR04365,-4.504675737401222,0.2890390455722809,PGM
16,MAR04368,-19.43721817754662,0.5751736760139465,PGK
17,MAR04370,-45.44608041634322,0.7068521913625715,ACYP
18,MAR04371,-29.393392279800786,0.7942657761288764,
19,MAR04372,-16.052696528876425,0.6937939524650574,
20,MAR04373,-2.452029514362759,0.6437054574704116,GAPD
21,MAR04375,-22.09725568852608,0.563838541507721,FBA
22,MAR04377,-10.30139469516596,0.8425772190093994,FBP
23,MAR04381,-0.2629112439331429,0.1824384480714798,PGI
24,MAR04391,5.236015895918985,0.5584102869033813,TPI
25,MAR04394,-15.249944708246687,0.4125697391535561,HEX1
26,MAR04396,-6.943809345608678,0.5356361269950867,PGMT
27,MAR04521,-10.758921268953232,0.406745970249176,G6PPer
28,MAR06412,6.657280565744742,3.098792314529419,
29,MAR07745,3.0517577442878974e-07,1.856060953286942e-05,
30,MAR07747,-13.876292051057233,0.4206232589955375,
31,MAR08360,-300.9371032714844,3.336042642593384,CAt7r
32,MAR08652,-32.77366022207991,2.9598658084869385,CBPS
33,MAR08757,-438.4571776994456,2.395593663070661,ETOHtx
34,MAR03989,-13.368478825613025,0.7894262075424194,MALTe
35,MAR04122,-11.839235247430782,2.2085938082631653,UDPGD
36,MAR04837,-14.350894815586663,1.094617486000061,TREHe
37,MAR05395,,,
38,MAR05396,,,GLGNS1
39,MAR09727,,,
40,MAR05397,,,GLBRAN
41,MAR05398,,,GLPASE1
42,MAR05399,,,
43,MAR05400,,,
44,MAR05401,,,
45,MAR08568,-19.857546735007418,5.044639587402344,
46,MAR08569,-20.12078347148571,5.041538238525391,
47,MAR08570,-9.8855152193574,3.7985780239105225,
48,MAR08571,-10.412293256766617,3.814570426940918,
49,MAR08572,-22.677370690472586,1.2136787176132202,
50,MAR08573,-22.94087157285307,1.1982333660125732,
51,MAR08574,-13.105130455521838,0.7906305193901062,
52,MAR08575,-13.36849204570558,0.7894482016563416,
53,MAR08576,-13.105098907892256,0.7905937433242798,
54,MAR08577,-13.368479054573356,0.7894173264503479,
55,MAR08578,-13.105118255908684,0.790593683719635,
56,MAR08579,-13.3684854862301,0.789409875869751,
57,MAR08581,-13.368476848614684,0.7894318103790283,
58,MAR08591,-13.368382782208474,0.7894367575645447,MLTG1
59,MAR08592,-13.36822708879285,0.7894296646118164,MLTG1ly
60,MAR08580,-13.105117099983165,0.7906301021575928,
61,MAR08582,-12.841847567426193,0.8327676057815552,
62,MAR08587,-13.368379885551128,0.7894203066825867,MALT
63,MAR08589,-13.368222082671991,0.7894258499145508,MALTly
64,MAR08583,-106.94788820740924,6.315386772155762,AMY1e
65,MAR08584,-7.000642317918086,0.6975974440574646,O16G2e
66,MAR08585,-35.78482526286234,0.731935977935791,
67,MAR03944,-2.502287187713367,0.1503127267601856,GALUi
68,MAR04128,0.0,0.0,UDPG4E
69,MAR04130,-8.306133321774974,0.5740039421445329,GALKr
70,MAR04131,9.765624781721272e-06,9.08255678950809e-05,UGLT
71,MAR04132,4.882812390860636e-06,8.443171827821061e-05,
72,MAR04303,-23.270132968597636,1.2384605407714844,SUCRe
