Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,10FTHF5GLUtl,-419.60924247815126,2.422065419740536e-05,10FTHF5GLUtl
1,10FTHF5GLUtm,-196.3062981608923,2.842397462493463e-05,10FTHF5GLUtm
2,10FTHF6GLUtl,-504.7691161852271,5.0831696322404815e-05,10FTHF6GLUtl
3,10FTHF6GLUtm,-237.3274228816575,5.199106308361048e-05,10FTHF6GLUtm
4,10FTHF7GLUtl,-555.9349640333152,3.925277146194708e-05,10FTHF7GLUtl
5,10FTHF7GLUtm,-260.2145133603814,3.452669830012439e-05,10FTHF7GLUtm
6,10FTHFtl,-208.1059011510168,1.321449895911314e-05,10FTHFtl
7,10FTHFtm,96.05232464288744,1.696678542958696e-05,10FTHFtm
8,11DOCRTSLtm,136.91864571723735,2.1930229764674905e-05,11DOCRTSLtm
9,11DOCRTSLtr,-3.662109375e-06,2.254173011794359e-05,11DOCRTSLtr
10,11DOCRTSTRNtm,136.91870106192462,3.208847516624735e-05,11DOCRTSTRNtm
11,11DOCRTSTRNtr,2.44140625e-06,3.444027338785616e-05,11DOCRTSTRNtr
12,13DAMPPOX,-123.94559279376617,25.325353072256824,13DAMPPOX
13,1a_24_25VITD2Hm,-398.66865980575767,8.488378493139674,1a_24_25VITD2Hm
14,1a_24_25VITD3Hm,-398.6686595853063,8.488373383607424,1a_24_25VITD3Hm
15,1a_25VITD2Hm,-398.00459301623096,8.068471526948038,1a_25VITD2Hm
16,1a_25VITD3Hm,-390.3102414410268,7.554106616905567,1a_25VITD3Hm
17,1MNCAMti,-13.90324526965296,0.3305130224584219,1MNCAMti
18,1PPDCRp,-45.20171633178711,7.160915636591873,1PPDCRp
19,24_25DHVITD2t,50.20351885154601,3.208847516624735e-05,24_25DHVITD2t
20,24_25DHVITD2tm,-200.81408171315,3.208847516624735e-05,24_25DHVITD2tm
21,24_25DHVITD3t,50.20351943365571,3.2088475166247354e-05,24_25DHVITD3t
22,24_25DHVITD3tm,-200.81408211463247,4.649901600278542e-05,24_25DHVITD3tm
23,24_25VITD2Hm,-398.0046004959173,8.068471341788547,24_25VITD2Hm
24,24_25VITD3Hm,-390.3102491411645,7.554109437582108,24_25VITD3Hm
25,24NPHte,-5.053353620717759,5.009142005412928e-06,24NPHte
26,25HVITD2t,50.20352343516999,4.228639666916205e-05,25HVITD2t
27,25HVITD2tin,-50.20352343516999,4.228639666916205e-05,25HVITD2tin
28,25HVITD2tin_m,200.8140949613233,4.046773548401068e-05,25HVITD2tin_m
29,25HVITD2tm,-200.8140949613233,4.046773548401068e-05,25HVITD2tm
30,25HVITD3t,50.20352465586837,2.1107930256092023e-05,25HVITD3t
31,25HVITD3tin_m,200.81409251987372,4.726186690089341e-05,25HVITD3tin_m
32,25HVITD3tm,-200.81409251987372,4.726186690089341e-05,25HVITD3tm
33,25VITD2Hm,-398.668667285444,8.4883781162481,25VITD2Hm
34,25VITD3Hm,-398.668667285444,8.488383115455372,25VITD3Hm
35,2AMACHYD,-40.95544281052781,58.617406195756544,2AMACHYD
36,2AMACSULT,-121.83004379554558,29.93591548672054,2AMACSULT
37,2AMADPTm,27.324654097834305,1.698872761195896e-05,2AMADPTm
38,2DR1PP,-16.153420987309694,1.5197272573175205,2DR1PP
39,2HBO,21.72261962452668,1.3927133779466416,2HBO
40,2HBt2,-12.023026934585149,0.0,2HBt2
41,2HCO3_NAt,-4.157351908534098,0.0,2HCO3_NAt
42,2MCITt,8.087585813368511,2.1001770671490787e-05,2MCITt
43,2OXOADOXm,-16.906548661219027,2.3591999817071727,2OXOADOXm
44,2OXOADPTm,9.12840500167804,6.072921369058959e-06,2OXOADPTm
45,34DHOXPEGOX,-26.10936092539214,4.0695742004570485,34DHOXPEGOX
46,34DHOXPEGt,11.395816591760063,7.0488339004218105e-06,34DHOXPEGt
47,34DHPHAMT,-27.637399200156977,30.91092335594562,34DHPHAMT
48,34DHPHEt,-12.520374651117413,3.03646068452948e-06,34DHPHEt
49,34DHPLACOX,-40.833868968784586,2.949450570707515,34DHPLACOX
50,34DHPLACOX_NADP_,-32.604314902881455,7.621638457877458,34DHPLACOX_NADP_
51,34DHXMANDACOX,-41.50246460042739,3.4533480372895284,34DHXMANDACOX
52,34DHXMANDACOX_NADP_,-33.27291053452426,7.596205034609031,34DHXMANDACOX_NADP_
53,34HPLFM,-18.778844014886605,1.707891479066885,34HPLFM
54,34HPPOR,-466.96841281888567,6.017954101731659,34HPPOR
55,35CGMPtn,6.103515625e-07,1.6136845784182473e-05,35CGMPtn
56,3AIBTm,-4.177192890884678,2.4710904115240098,3AIBTm
57,3AIBtmi,-41.06761337018353,2.979129587275609e-06,3AIBtmi
58,3DPHBH1,-403.21115977785416,5.595453659090259,3DPHBH1
59,3DPHBH2,-396.88981528702936,9.25517694973614,3DPHBH2
60,3DSPHR,-20.95082103534882,8.740350147918543,3DSPHR
61,3HAO,-320.95601207040846,9.904818867763622,3HAO
62,3HBCDm,-4.177354093185937,0.9697574903284594,3HBCDm
63,3HBCOAHLm,-39.85899532063589,3.2477945631661247,3HBCOAHLm
64,3HKYNAKGAT,7.684499973073596,2.2794223387955044,3HKYNAKGAT
65,3HLYTCL,-21.19886919240557,41.01937666725446,3HLYTCL
66,3HPCOAHYD,-28.70229701616418,1.204122114086368,3HPCOAHYD
67,3HPPD,23.454451867851677,1.5191054818904832,3HPPD
68,3HXKYNDCL,-21.66060579435369,40.69935112123275,3HXKYNDCL
69,3HXKYNOXDA,-166.51743414874508,27.609343369122197,3HXKYNOXDA
70,3M4HDXPAC,-40.83404376293947,2.949448339321493,3M4HDXPAC
71,3MLDAt,8.509502625392598,8.624590997915207e-06,3MLDAt
72,3MOBt2im,21.556788228307763,4.315837287515549e-06,3MOBt2im
73,3MOPt2im,30.68482656968096,0.0,3MOPt2im
74,3MOX4HOXPGALDOX,-41.502831932698165,3.4533504319937123,3MOX4HOXPGALDOX
75,3MOX4HOXPGALDOX_NADP_,-33.273277866795034,7.596207117071908,3MOX4HOXPGALDOX_NADP_
76,3MOXTYROX,-126.1192980164262,58.82322704438995,3MOXTYROX
77,3NTD7l,-27.73128951026797,1.880067590911826,3NTD7l
78,3SALAASPm,0.1149183653191636,8.022118791561837e-06,3SALAASPm
79,3SALACBOXL,-22.085922984021217,3.3838828680417925,3SALACBOXL
80,3SALAOX,-505.7739960151744,22.33596181634782,3SALAOX
81,3SALATAi,-4.1655851043498,6.481704425296169,3SALATAi
82,3SALATAim,6.331412541930507,6.481704741180103,3SALATAim
83,3SPYRSP,-2.4718030993636635,19.684748409745968,3SPYRSP
84,3SPYRSPm,-15.859393118916357,19.684748409745968,3SPYRSPm
85,41R1H2MAE12BOOX,-120.5889026460044,21.58265797824641,41R1H2MAE12BOOX
86,41R2A1H12BOOX,-119.68764334790404,26.35974622872057,41R2A1H12BOOX
87,42A12BOOX,-126.09346058557044,25.63211672041092,42A12BOOX
88,4ABUTtm,41.06724421487379,5.922586247586234e-06,4ABUTtm
89,4HBZCOAFm,-10.47149985783739,10.470381291149527,4HBZCOAFm
90,4HBZFm,-43.76340911534447,10.80943022760285,4HBZFm
91,4HDEBRISOQUINEte,-18.86838742117145,1.7263349150062195e-05,4HDEBRISOQUINEte
92,4HGLSDm,-56.13841587399279,1.1737451498147016,4HGLSDm
93,4HOXPACDOX_NADP_,-32.604026186986815,7.621637814960995,4HOXPACDOX_NADP_
94,4MOPt2im,30.684835859874877,0.0,4MOPt2im
95,4MPTNLte,13.691869417113988,1.055396512804601e-05,4MPTNLte
96,4MPTNLtm,54.767480413456845,6.817110566311241e-06,4MPTNLtm
97,4MPTNLtr,3.0517578125e-07,9.150185760842866e-06,4MPTNLtr
98,4MTOLBUTAMIDEte,-19.39439049317326,5.499518216229278e-06,4MTOLBUTAMIDEte
99,4NPHSFte,-4.563955760492079,8.022118791561839e-06,4NPHSFte
100,4NPHSULT,-65.7407377478857,16.938378511921393,4NPHSULT
101,4NPHte,-4.989609549974989,3.6874529948713904e-06,4NPHte
102,4PYRDX,-16.880423549015013,0.330511523716827,4PYRDX
103,5ADTSTSTERONEGLCte,16.20796346686568,0.3305068031730516,5ADTSTSTERONEGLCte
104,5ADTSTSTERONEGLCtr,1.8310546875e-06,3.5014183372225255e-05,5ADTSTSTERONEGLCtr
105,5ADTSTSTERONESte,33.088681020755054,3.192552937163579e-05,5ADTSTSTERONESte
106,5ADTSTSTERONESULT,-46.630816549760816,9.28234008802513,5ADTSTSTERONESULT
107,5ADTSTSTERONEte,-34.22967751084751,2.429168547623584e-05,5ADTSTSTERONEte
108,5ADTSTSTERONEtr,-1.220703125e-06,3.227369156836496e-05,5ADTSTSTERONEtr
109,5AOPtm,39.353475180155534,0.0,5AOPtm
110,5DHFtl,-436.6055684449164,3.269086499882286e-05,5DHFtl
111,5FTHFt2,-21.678388048350648,2.069802851295553e-05,5FTHFt2
112,5HLTDL,-21.20437911969595,41.01937024294803,5HLTDL
113,5HOMEPRAZOLEte,-21.667669956835205,2.659760567566031e-05,5HOMEPRAZOLEte
114,5HOXINDACTO2OX,-178.35288750224444,5.337811451698397,5HOXINDACTO2OX
115,5HOXINDACTOXm,-55.78362306470705,2.949451317218495,5HOXINDACTOXm
