Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,3HAD180,-0.4139030748815884,2.6628050804138184,3HAD180
1,3HAD181,,,3HAD181
2,3HAD40,,,3HAD40
3,3HAD60,-0.0333656693253594,2.6801772117614746,3HAD60
4,3HAD80,-0.4139049226254556,2.662810802459717,3HAD80
5,3KGK,-26.91521211507886,0.4125808321512403,3KGK
6,3NTD2pp,-23.916061401367188,1.8800503015518188,3NTD2pp
7,3NTD4pp,-23.916059494018555,1.880054235458374,3NTD4pp
8,3NTD7pp,-23.916065216064453,1.880063772201538,3NTD7pp
9,3NTD9pp,-23.916051864624023,1.88007128238678,3NTD9pp
10,3OAR100,-19.440281806499502,1.379817644395256,3OAR100
11,3OAR120,-19.440291266948847,1.3798128296956893,3OAR120
12,3OAR121,-26.19332208310345,2.007209703700654,3OAR121
13,3OAR140,-19.44028699448789,1.3798031368289558,3OAR140
14,3OAR141,,,3OAR141
15,3OAR160,-19.440282722026843,1.3798119039841965,3OAR160
16,3OAR161,-29.403051195922902,2.6941043111358223,3OAR161
17,23CAMPtex,-6.103515488575795e-07,2.659760502865538e-05,23CAMPtex
18,23CCMPtex,-1.220703097715159e-06,1.4900581845722629e-05,23CCMPtex
19,23CGMPtex,6.103515488575795e-07,2.1998075681040064e-05,23CGMPtex
20,12DGR120tipp,148.3285942656595,2.9801160053466447e-05,12DGR120tipp
21,12DGR140tipp,,,12DGR140tipp
22,12DGR141tipp,159.7384896175828,6.313525955192745e-05,12DGR141tipp
23,12DGR160tipp,193.96816590772747,8.06403550086543e-05,12DGR160tipp
24,23CUMPtex,-6.103515488575795e-07,1.3634222341352142e-05,23CUMPtex
25,3OAR180,,,3OAR180
26,23DAPPAt2pp,14.12233279756983,4.2724609375e-06,23DAPPAt2pp
27,23DAPPAtex,-7.629394644936838e-07,9.250149560102727e-06,23DAPPAtex
28,12DGR161tipp,182.5582620108827,6.888053758302703e-05,12DGR161tipp
29,12DGR180tipp,216.78793952173112,8.799229544820264e-05,12DGR180tipp
30,12DGR181tipp,205.3780429491045,5.4097941756481305e-05,12DGR181tipp
31,12PPDRtex,-7.629394360719743e-08,5.778479589935159e-06,12PPDRtex
32,12PPDRtpp,22.819783476831244,7.269851266755722e-06,12PPDRtpp
33,12PPDStex,1.0490417707842423e-06,6.999606284807669e-06,12PPDStex
34,12PPDStpp,22.819782504083403,4.557884494715836e-06,12PPDStpp
35,23PDE2pp,-33.19601425170899,2.626507814484087,23PDE2pp
36,23PDE4pp,-33.19600814819336,2.62650903587932,23PDE4pp
37,23PDE7pp,-33.196020965576174,2.626513245302242,23PDE7pp
38,23PDE9pp,-33.196026458740235,2.626518845848081,23PDE9pp
39,26DAHtex,9.155273232863692e-07,1.2549367966130376e-05,26DAHtex
40,2AGPA120tipp,,,2AGPA120tipp
41,2AGPA140tipp,,,2AGPA140tipp
42,2AGPA141tipp,,,2AGPA141tipp
43,2AGPA160tipp,105.86910585820272,2.4383525669691156e-05,2AGPA160tipp
44,2AGPA161tipp,,,2AGPA161tipp
45,2AGPA180tipp,117.27899876872004,3.5505465348251164e-05,2AGPA180tipp
46,2AGPA181tipp,,,2AGPA181tipp
47,14GLUCANabcpp,,,14GLUCANabcpp
48,14GLUCANtexi,,,14GLUCANtexi
49,2AGPE120tipp,102.68363448634948,3.397745604161173e-05,2AGPE120tipp
50,3OAR181,,,3OAR181
51,2AGPE140tipp,114.09352342958144,2.598657192720566e-05,2AGPE140tipp
52,2AGPE141tipp,108.38858402781128,2.657658842508681e-05,2AGPE141tipp
53,3OAR40,,,3OAR40
54,2AGPE160tipp,125.50341756080172,2.3038244762574323e-05,2AGPE160tipp
55,3OAR60,-19.82082560171168,1.4354748932715715,3OAR60
56,2AGPE161tipp,,,2AGPE161tipp
57,2AGPE180tipp,136.91330711438553,3.5014185414183885e-05,2AGPE180tipp
58,2AGPE181tipp,131.20836984884548,3.540039324434474e-05,2AGPE181tipp
59,2AGPEAT120,,,2AGPEAT120
60,ABUTtex,-1.7166138377433526e-07,4.610065843735356e-06,ABUTtex
61,ACACtex,3.0517577442878974e-07,6.817111170676071e-06,ACACtex
62,ACALD,-15.050105821912975,1.0461611671586817,ACALD
63,ACALDtex,0.0,0.0,ACALDtex
64,ACALDtpp,11.409891688812849,0.0,ACALDtpp
65,2AGPEAT140,,,2AGPEAT140
66,3OAR80,-19.440290351451395,1.379810366478238,3OAR80
67,2AGPEAT141,,,2AGPEAT141
68,2AGPEAT160,-21.454716873127644,39.93135070800781,2AGPEAT160
69,ACBIPGT,8.543676355131481,0.1503168369151332,ACBIPGT
70,ACCOAC,-11.506241923423795,2.104694133224881,ACCOAC
71,2AGPEAT161,,,2AGPEAT161
72,ACCOAL,,,ACCOAL
73,3OAS100,,,3OAS100
74,ACGAL1PPpp,-16.876995086669922,1.2119115591049194,ACGAL1PPpp
75,2AGPEAT180,-20.56223793025635,40.849910736083984,2AGPEAT180
76,2AGPEAT181,-15.937216259712224,2.81976056098938,2AGPEAT181
77,2AGPG120tipp,,,2AGPG120tipp
78,ACGAL1Ptex,3.662109293145477e-06,4.032017750432715e-05,ACGAL1Ptex
79,3OAS120,,,3OAS120
80,ACGALtex,-6.103515488575795e-07,1.2933119251101743e-05,ACGALtex
81,ACGAM1PPpp,-16.876995086669922,1.211910605430603,ACGAM1PPpp
82,2AGPG140tipp,114.09893524177778,3.450511212577112e-05,2AGPG140tipp
83,2AGPG141tipp,108.39399313493672,2.987607149407268e-05,2AGPG141tipp
84,2AGPG160tipp,125.50882326948248,3.65396190318279e-05,2AGPG160tipp
85,ACGAM1Ptex,-1.220703097715159e-06,4.399614408612251e-05,ACGAM1Ptex
86,ACGAMK,-27.18037555546792,0.4125672471476407,ACGAMK
87,ACGAMT,-0.5047385071689519,0.0002781382354442,ACGAMT
88,2AGPG161tipp,,,2AGPG161tipp
89,2AGPG180tipp,136.91871556964827,3.0462597351288423e-05,2AGPG180tipp
90,2AGPG181tipp,131.21378017667422,3.550546171027236e-05,2AGPG181tipp
91,ACGAptspp,0.9600386266858648,0.5327877402305603,ACGAptspp
92,ACGAtex,1.220703097715159e-06,1.6102179870358668e-05,ACGAtex
93,2AGPGAT120,,,2AGPGAT120
94,ACGK,15.514233134644911,0.9608950018882751,ACGK
95,2AGPGAT140,,,2AGPGAT140
96,3OAS121,17.45606101107389,3.8834466986978944,3OAS121
97,2AGPGAT141,,,2AGPGAT141
98,2AGPGAT160,-21.00847358939269,2.205993413925171,2AGPGAT160
99,ACGS,-39.843573820194514,1.5099094916653673,ACGS
100,ACHBS,-16.814285981609082,5.047436152250952,ACHBS
101,3OAS140,,,3OAS140
102,ACKr,15.307381228044903,0.730644166469574,ACKr
103,ACLS,-20.8547058244379,4.534311857563488,ACLS
104,2AGPGAT161,,,2AGPGAT161
105,2AGPGAT180,-21.00847549674112,2.2060306072235107,2AGPGAT180
106,2AGPGAT181,,,2AGPGAT181
107,ACM6PH,-7.862916938890963,3.7388529777526855,ACM6PH
108,3OAS141,20.49172241604517,3.498998025965919,3OAS141
109,ACMAMUT,-22.87426411870584,1.2965435896674984,ACMAMUT
110,3OAS160,,,3OAS160
111,ACMANAptspp,0.9600500707776618,0.5327876806259155,ACMANAptspp
112,3OAS161,,,3OAS161
113,ACMANAtex,-1.5258789289873675e-06,1.0896955245698337e-05,ACMANAtex
114,ACMUMtex,-3.0517577442878974e-07,1.5255734979291448e-05,ACMUMtex
115,2DGLCNRx,-24.37088205891247,1.4636390717100818,2DGLCNRx
116,2DGLCNRy,-24.370737833419017,1.4636306585011838,2DGLCNRy
117,2DGULRx,,,2DGULRx
118,2DGULRy,,,2DGULRy
119,ACNAMt2pp,42.13609140606168,1.7263349150062195e-05,ACNAMt2pp
120,ACNAMtex,-1.220703097715159e-06,2.4383525669691156e-05,ACNAMtex
121,ACNML,6.786896094345435,0.8650597929954529,ACNML
122,ACOAD1f,40.490044220291054,5.5484466552734375,ACOAD1f
123,ACOAD2f,,,ACOAD2f
124,2MAHMP,-36.49680349565502,0.3395066138217057,2MAHMP
125,3OAS180,,,3OAS180
126,34dhpactex,1.525878872143949e-07,1.5182303059191329e-06,34dhpactex
127,3AMPtex,-1.8310546465727384e-06,2.1930229195277207e-05,3AMPtex
128,ACOAD3f,40.84518490632598,5.490801334381104,ACOAD3f
129,ACOAD4f,40.84518872102348,5.490815162658691,ACOAD4f
130,ACOAD5f,40.84519635041798,5.4908061027526855,ACOAD5f
131,3CMPtex,-3.051757857974735e-06,2.1793910491396676e-05,3CMPtex
132,3OAS181,,,3OAS181
133,3GMPtex,-1.220703097715159e-06,8.544921911379788e-06,3GMPtex
134,3HAD100,-0.4139030748815457,2.66282057762146,3HAD100
135,3HAD120,-0.4139073664158559,2.66280198097229,3HAD120
136,ACOAD6f,40.84520779450981,5.490813255310059,ACOAD6f
137,ACOAD7f,40.84518109162892,5.490811347961426,ACOAD7f
138,ACOAD8f,40.84518872102348,5.490804672241211,ACOAD8f
139,ACOATA,-2.0043590771825137,1.5570690631866455,ACOATA
140,3HAD121,11.706753310304665,3.866428852081299,3HAD121
141,ACODA,-2.070269781556725,1.4163652658462524,ACODA
142,3OAS60,,,3OAS60
143,3HAD140,-0.4139042967766784,2.662802457809448,3HAD140
144,3OAS80,,,3OAS80
145,3HAD141,,,3HAD141
146,3PEPTabcpp,,,3PEPTabcpp
147,3HAD160,-0.4138994091959205,2.662818431854248,3HAD160
148,3HAD161,,,3HAD161
149,ACOLIPAtex,0.0,0.0,ACOLIPAtex
150,ACONIs,0.0520679018623155,0.0,ACONIs
151,ACONTa,8.235923758444468,0.9688133001327516,ACONTa
152,ACONTb,-0.4869706556993733,0.9837865829467772,ACONTb
153,ADK1,-0.5745125520033554,0.1503238826990127,ADK1
154,ADK3,-0.5743818421017721,0.1502938121557235,ADK3
155,ACOTA,2.570424795333349,1.7711654901504517,ACOTA
156,3PEPTtex,,,3PEPTtex
157,ACPS1,,,ACPS1
158,ACS,-5.873274063657057,0.4244693219661712,ACS
159,ACSERtex,0.0,0.0,ACSERtex
160,ADK4,-0.5745184746029466,0.1503084748983383,ADK4
161,ADMDC,-20.86709872454556,4.61930158176048,ADMDC
162,ADNCYC,1.304260332410351,2.087123155593872,ADNCYC
163,3UMPtex,-1.220703097715159e-06,4.399614408612251e-05,3UMPtex
164,ADNK1,-27.1751533408013,0.4125742466599051,ADNK1
165,ADNUC,-9.45104917192792,0.8949801921844482,ADNUC
166,ADNt2pp_copy1,27.879544672561472,1.5548998050362544e-05,ADNt2pp_copy1
167,ACSERtpp,-25.544150299453094,0.0,ACSERtpp
168,ACt2rpp,-0.644827666650384,0.0,ACt2rpp
169,ACt4pp,-6.349566249045521,9.718124601931775e-06,ACt4pp
170,ADNt2pp_copy2,27.879544672561472,1.5548998050362544e-05,ADNt2pp_copy2
171,4HOXPACDtex,0.0,0.0,4HOXPACDtex
172,ADNtex,9.155273232863692e-07,1.523129776614951e-05,ADNtex
173,ADOCBLabcpp,253.1831312055181,0.3305119031461409,ADOCBLabcpp
174,ACtex,0.0,0.0,ACtex
175,ADA,-10.730786021389523,0.5803473025234128,ADA
176,ADCL,-189.77796145459035,8.444754109476102,ADCL
177,ADOCBLtonex,-9.20815451895275,0.0001268356953892,ADOCBLtonex
178,ADPRDP,-56.65139560721197,0.6906005612143687,ADPRDP
179,ADCS,-20.95631146279177,2.215970993041992,ADCS
180,ADEt2rpp,5.059337672449839,0.0,ADEt2rpp
181,ADEtex,-6.103515488575795e-07,6.072922133171232e-06,ADEtex
182,ADPT,-19.592163281244595,0.6103916764259338,ADPT
183,ADSK,-14.493498408145586,1.7680950830219402,ADSK
184,ADSL1r,10.98515123849845,1.0199977159500122,ADSL1r
185,4PCP,,,4PCP
186,ADSL2r,25.078820426930864,2.718250036239624,ADSL2r
187,ADSS,-25.329001266795792,1.0285796703993988,ADSS
188,AGDC,10.258322821970154,4.223571300506592,AGDC
189,ALDD3y,,,ALDD3y
190,ALLTAMH,-3.0599987133481577,3.869816678015069,ALLTAMH
191,AGM3PA,,,AGM3PA
192,4PCPpp,,,4PCPpp
193,AGM3PApp,,,AGM3PApp
194,AGM3PH,44.32722483324496,11.321507453918455,AGM3PH
195,ALLTN,-25.94640786492696,4.29439583026342,ALLTN
196,ALLTNt2rpp,7.415240140015457,6.034460428859005e-06,ALLTNt2rpp
197,AGM3Pt2pp,139.1029125490506,2.6000904924893976e-05,AGM3Pt2pp
198,ALLTNtex,0.0,5.709316155844135e-06,ALLTNtex
199,AGM4PA,,,AGM4PA
200,4PEPTabcpp,47.51433900983973,0.3305047606211243,4PEPTabcpp
201,AGM4PApp,,,AGM4PApp
202,ALLtex,2.441406195430318e-06,1.4749812180525623e-05,ALLtex
203,4PEPTtex,-2.441406195430318e-06,2.649235284479801e-05,4PEPTtex
204,ALR2,-20.30678507703013,3.333691310254185,ALR2
205,ALR4x,-13.875737774084133,1.3352333031049153,ALR4x
206,AGM4PCP,,,AGM4PCP
207,AGM4PCPpp,,,AGM4PCPpp
208,AM3PA,,,AM3PA
209,AM4PA,,,AM4PA
210,5DGLCNR,-23.346312220243707,0.93196967674159,5DGLCNR
211,AM4PCP,,,AM4PCP
212,AMALT1,1.254005557882465e-05,0.0001105124028981,AMALT1
213,AMALT2,-6.785346243987078e-06,0.0001171557014458,AMALT2
214,AMALT3,1.804771838465058e-05,0.0002359590871492,AMALT3
215,AMALT4,-1.1781218063333654e-05,0.0002237952139694,AMALT4
216,AGM4PH,,,AGM4PH
217,AGM4Pt2pp,,,AGM4Pt2pp
218,AGMH,-10.433835159551244,1.573981761932373,AGMH
219,AGMHE,-6.10351571594947e-06,4.995942435925826e-05,AGMHE
220,AGMT,-30.94004675196021,3.286068916320801,AGMT
221,AGMt2pp,73.51218549765245,2.2114191912222064e-05,AGMt2pp
