Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,MAR03905,20.031902242615125,0.855812353017825,ALCD2x
1,MAR03907,20.03188225412983,0.8558276152843891,ALCD2y
2,MAR04097,-5.81379096906171,0.4244730174541473,ACS
3,MAR04108,-21.468140313685694,3.9549151836421017,
4,MAR04133,15.654371870411342,3.9173189187456186,
5,MAR04281,-25.71780944824219,0.6792240621406979,
6,MAR04388,-25.717401859979976,0.6792203876863054,LDH_L
7,MAR04283,-44.993318590869904,1.3047120308555302,
8,MAR08357,-59.94285449979035,1.3046716410222243,ALDD2xm
9,MAR04379,-15.707476775198025,0.8198209894740363,PFK
10,MAR04301,-15.707451858409362,0.8197970982803435,
11,MAR04355,-17.651584169219525,1.6899274587631226,
12,MAR04358,-26.311775601595517,0.535248810329845,PYK
13,MAR04363,-3.5052927890865195,0.2816460430622101,ENO
14,MAR04368,-19.437214362849357,0.5751855969429016,PGK
15,MAR04373,-2.452029514362759,0.6437076047714649,GAPD
16,MAR04375,-22.097253781177447,0.5638394951820374,FBA
17,MAR04377,-10.301400417211855,0.8425860404968262,FBP
18,MAR04381,-0.2629076080498116,0.1824333518743515,PGI
19,MAR04391,5.236014465407511,0.5584133267402649,TPI
20,MAR04394,-15.24993768920372,0.4125778868237887,HEX1
21,MAR04396,-6.943809345608678,0.5356386303901672,PGMT
22,MAR06412,6.657278658396109,3.0988032817840576,
23,MAR07745,6.103515488575795e-07,1.4938034837541636e-05,
24,MAR07747,-13.8762893044752,0.4206242194272985,
25,MAR08360,-300.9371032714844,3.336042642593384,CAt7r
26,MAR08757,-438.4571789201487,2.395601628287444,ETOHtx
27,MAR03989,-13.368475964590075,0.7894236445426941,MALTe
28,MAR04122,-11.839230364618285,2.2086077430242423,UDPGD
29,MAR04837,-14.350897676609613,1.094621658325195,TREHe
30,MAR05395,,,
31,MAR05396,,,GLGNS1
32,MAR09727,,,
33,MAR05397,,,GLBRAN
34,MAR05398,,,GLPASE1
35,MAR05399,,,
36,MAR05400,,,
37,MAR05401,,,
38,MAR08568,-19.85753529091562,5.044626235961914,
39,MAR08569,-20.12078347148571,5.041534423828125,
40,MAR08570,-9.885519987728983,3.798561334609986,
41,MAR08571,-10.412294210440932,3.814570426940918,
