Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,MAR03905,20.031902242615125,0.8558106036881887,ALCD2x
1,MAR03907,20.03187615061421,0.8558226552694798,ALCD2y
2,MAR04097,-5.813790015387394,0.4244547188282013,ACS
3,MAR04099,-5.731636124517415,0.4244482517242431,ACSm
4,MAR04108,-21.46813848263101,3.9549171634679294,
5,MAR04133,15.654365766895715,3.917313576205979,
6,MAR04281,-25.71781188964844,0.6792194362708324,
7,MAR04388,-25.71740277550732,0.6792253329751193,LDH_L
8,MAR04283,-44.993324694385535,1.3047087275833555,
9,MAR08357,-59.94286060330597,1.3046669148418284,ALDD2xm
10,MAR04379,-15.707488982229275,0.8198259071891624,PFK
11,MAR04301,-15.707456741221865,0.8198065959079177,
12,MAR04355,-17.651597520659955,1.6899276971817017,
13,MAR04358,-26.31176705667364,0.5352535294824808,PYK
14,MAR04363,-3.5052927890865195,0.2816460430622101,ENO
15,MAR04365,-4.504675737401222,0.2890390455722809,PGM
16,MAR04368,-19.43720482610619,0.5751828551292419,PGK
17,MAR04370,-45.44608041634322,0.7068521913625715,ACYP
18,MAR04371,-29.39339472120703,0.7942701051819179,
19,MAR04372,-16.05269462152779,0.6937931180000305,
20,MAR04373,-2.452029514362759,0.6437078797810436,GAPD
21,MAR04375,-22.097261410571974,0.5638440847396851,FBA
22,MAR04377,-10.301396602514592,0.8425829410552979,FBP
23,MAR04381,-0.2629014985737221,0.1824333220720291,PGI
24,MAR04391,5.236014465407511,0.5584102272987366,TPI
25,MAR04394,-15.249939215082629,0.4125747054425276,HEX1
26,MAR04396,-6.9437998088655135,0.5356320142745972,PGMT
27,MAR04521,-10.758920315278916,0.4067495763301849,G6PPer
28,MAR06412,6.65726769114147,3.098781108856201,
29,MAR07745,-2.746582140389364e-06,1.56177284225123e-05,
30,MAR07747,-13.876280454377545,0.4206292523734679,
31,MAR08360,-300.9371032714844,3.336042642593384,CAt7r
32,MAR08652,-32.77366403677718,2.9598617553710938,CBPS
33,MAR08757,-438.457172816633,2.395603907535013,ETOHtx
34,MAR03989,-13.368474057241444,0.7894195318222046,MALTe
35,MAR04122,-11.839227923212032,2.2085970647067867,UDPGD
36,MAR04837,-14.350891954563714,1.0946269035339355,TREHe
37,MAR05395,,,
38,MAR05396,,,GLGNS1
39,MAR09727,,,
40,MAR05397,,,GLBRAN
41,MAR05398,,,GLPASE1
42,MAR05399,,,
43,MAR05400,,,
44,MAR05401,,,
45,MAR08568,-19.85754864235605,5.044657230377197,
46,MAR08569,-20.12076439799938,5.04152250289917,
47,MAR08570,-9.885513312008769,3.7985804080963135,
48,MAR08571,-10.412298978812515,3.814560651779175,
49,MAR08572,-22.67737259782122,1.2136893272399902,
50,MAR08573,-22.940867758155804,1.1982303857803345,
51,MAR08574,-13.105123779801623,0.7906157970428467,
