Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,PFK,-27.607295335203744,0.819824538288429,PFK
1,PFL,-23.838160666806125,1.1782737970352173,PFL
2,PGI,0.2607158530475004,0.1824334114789962,PGI
3,PGK,19.599033951892764,0.5751649737358093,PGK
4,PGL,-34.37865020286047,1.235138786216389,PGL
5,ACALD,-15.05009971839735,1.046148497667457,ACALD
6,AKGt2r,2.203062795604632,8.631674575031098e-06,AKGt2r
7,PGM,-4.37498454048221,0.2890390455722809,PGM
8,PIt2r,-5.391599213582852,0.0,PIt2r
9,ALCD2x,20.032092780384176,0.855804049010377,ALCD2x
10,ACALDt,11.409891688812849,0.0,ACALDt
11,ACKr,15.307383135393536,0.7306445837020874,ACKr
12,PPC,-50.90020426382553,1.7534721743064914,PPC
13,ACONTa,8.235923758444468,0.96881365776062,ACONTa
14,ACONTb,-0.4869706556993733,0.9837865829467772,ACONTb
15,ATPM,-37.57629497416792,0.3305108082070994,ATPM
16,PPCK,13.32391249400331,1.847633957862854,PPCK
17,ACt2r,-0.644827666650384,0.0,ACt2r
18,PPS,-22.35526101774284,0.6807742201729357,PPS
19,ADK1,-0.5745101678175644,0.1503273099660873,ADK1
20,AKGDH,-20.15055290395929,2.317594051361084,AKGDH
21,ATPS4r,0.7436866639819222,0.3305108082070994,ATPS4r
22,PTAr,10.882746222843991,0.7390084862709045,PTAr
23,PYK,-14.64652938667575,0.5352499674832398,PYK
24,BIOMASS_Ecoli_core_w_GAM,,,BIOMASS_Ecoli_core_w_GAM
25,PYRt2,-0.650588854219528,0.0,PYRt2
26,CO2t,0.0,0.0,CO2t
27,RPE,-1.220703097715159e-06,1.2145843356847765e-05,RPE
28,CS,-47.97775183857246,0.4835959611986922,CS
29,RPI,4.938284014120647,0.605674684047699,RPI
30,SUCCt2_2,-6.926065450977177,1.0411817693623036e-05,SUCCt2_2
31,CYTBD,-135.89966951138533,26.289796023688723,CYTBD
32,D_LACt2,5.055244181929212,8.022118791561839e-06,D_LACt2
33,ENO,-3.1878348396557863,0.2816460430622101,ENO
34,SUCCt3,-20.69839078166232,1.0411817693623036e-05,SUCCt3
35,ETOHt2r,7.906685455336069,0.0,ETOHt2r
36,SUCDi,-7.945628411665666,26.292383193969727,SUCDi
37,SUCOAS,1.442260724850101,0.3724992275238037,SUCOAS
38,TALA,-2.1521124273030168,1.0990519523620603,TALA
39,THD2,-18.416447159883315,0.00015869140625,THD2
40,TKT1,6.258261226949948,0.8721689581871033,TKT1
41,TKT2,-8.182917569758612,1.4840912818908691,TKT2
42,TPI,5.299523918868829,0.5584108829498291,TPI
43,EX_ac_e,,,EX_ac_e
44,EX_acald_e,,,EX_acald_e
45,EX_akg_e,,,EX_akg_e
46,EX_co2_e,,,EX_co2_e
47,EX_etoh_e,,,EX_etoh_e
48,EX_for_e,,,EX_for_e
49,EX_fru_e,,,EX_fru_e
50,EX_fum_e,,,EX_fum_e
51,EX_glc__D_e,,,EX_glc__D_e
52,EX_gln__L_e,,,EX_gln__L_e
53,EX_glu__L_e,,,EX_glu__L_e
54,EX_h_e,,,EX_h_e
55,EX_h2o_e,,,EX_h2o_e
56,EX_lac__D_e,,,EX_lac__D_e
57,EX_mal__L_e,,,EX_mal__L_e
58,EX_nh4_e,,,EX_nh4_e
59,EX_o2_e,,,EX_o2_e
60,EX_pi_e,,,EX_pi_e
61,EX_pyr_e,,,EX_pyr_e
62,EX_succ_e,,,EX_succ_e
63,FBA,22.117433418143666,0.5638400316238403,FBA
64,FBP,-9.96901283781671,0.8425814509391785,FBP
65,FORt2,-6.352534666303658,0.0,FORt2
66,FORt,2.855617411242841,0.0,FORt
67,FRD7,7.9456155370624035,26.292381286621094,FRD7
68,FRUpts2,-7.600914107606513,0.5327903032302856,FRUpts2
69,FUM,-3.5386113688214245,0.1696078032255172,FUM
70,FUMt2_2,-12.706389206106016,6.072921369058959e-06,FUMt2_2
71,G6PDH2r,-9.700243417050652,0.9001217553611721,G6PDH2r
72,GAPD,2.142466465643366,0.6436954416504514,GAPD
73,GLCpts,-7.597680208800071,0.5327844023704529,GLCpts
74,GLNS,-25.787896346971205,0.8914675607712418,GLNS
75,GLNabc,-9.077643369539375,0.3305107653921654,GLNabc
76,GLUDy,34.21642859324991,0.337990934087194,GLUDy
77,GLUN,-11.788398169433044,0.9397290349006652,GLUN
78,GLUSy,-46.00482722044661,1.0118511653726678,GLUSy
79,GLUt2r,13.599157180714991,4.315837287515549e-06,GLUt2r
80,GND,20.71222632052421,2.015904426574707,GND
81,H2Ot,5.704945303121597,0.0,H2Ot
82,ICDHyr,20.144184569827964,2.226490974426269,ICDHyr
83,ICL,16.73119908817202,1.593264102935791,ICL
84,LDH_D,25.71718451591746,0.6792237068645303,LDH_D
85,MALS,-59.02871746982954,1.5501404500868654,MALS
86,MALt2_2,-6.98362579983624,1.7805117365496604e-05,MALt2_2
87,MDH,28.896397067845577,0.3388954708570184,MDH
88,ME1,27.57377620788798,1.7394323348999023,ME1
89,ME2,27.57364865262158,1.739416241645813,ME2
90,NADH16,-47.30431160889809,26.179409298680795,NADH16
91,NADTRHD,0.0001417840872619,0.0001921551011037,NADTRHD
92,NH4t,11.337673720778255,0.0,NH4t
93,O2t,0.0,0.0,O2t
94,PDH,-24.301075779368915,1.971763014793396,PDH
