Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,SK_pchol_hs_18_1_18_1_c,,,SK_pchol_hs_18_1_18_1_c
1,SK_pchol_hs_18_1_18_2_c,,,SK_pchol_hs_18_1_18_2_c
2,SK_pchol_hs_18_2_16_0_c,,,SK_pchol_hs_18_2_16_0_c
3,SK_pchol_hs_18_2_18_1_c,,,SK_pchol_hs_18_2_18_1_c
4,SK_pe_hs_16_0_16_0_c,,,SK_pe_hs_16_0_16_0_c
5,SK_pe_hs_16_0_18_1_c,,,SK_pe_hs_16_0_18_1_c
6,SK_pe_hs_16_0_18_2_c,,,SK_pe_hs_16_0_18_2_c
7,SK_pe_hs_18_1_18_1_c,,,SK_pe_hs_18_1_18_1_c
8,SK_pe_hs_18_1_18_2_c,,,SK_pe_hs_18_1_18_2_c
9,SK_pe_hs_18_2_16_0_c,,,SK_pe_hs_18_2_16_0_c
10,SK_pe_hs_18_2_18_1_c,,,SK_pe_hs_18_2_18_1_c
11,UNK3,-0.8623124914236904,1.781511306762695,UNK3
12,3MOXTYRESSte,-4.112611799633996,0.6610305610197066,3MOXTYRESSte
13,4PYRDX,,,4PYRDX
14,5AOPt2,-14.044930930068722,2.724238749901905e-06,5AOPt2
15,EX_ade_e,,,EX_ade_e
16,EX_adn_e,,,EX_adn_e
17,ACALDt,-4.563956675496415,0.0,ACALDt
18,EX_35cgmp_e,,,EX_35cgmp_e
19,ACGAM2E,1.220703097715159e-06,1.3593175026471728e-05,ACGAM2E
20,EX_adrnl_e,,,EX_adrnl_e
21,ACGAMK,-15.249846975292808,0.4125703238210155,ACGAMK
22,EX_ala__L_e,,,EX_ala__L_e
23,EX_arg__L_e,,,EX_arg__L_e
24,ACNAM9PL,,,ACNAM9PL
25,EX_ascb__L_e,,,EX_ascb__L_e
26,EX_3moxtyr_e,,,EX_3moxtyr_e
27,EX_4pyrdx_e,,,EX_4pyrdx_e
28,ACNAMPH,,,ACNAMPH
29,EX_bilglcur_e,,,EX_bilglcur_e
30,EX_ca2_e,,,EX_ca2_e
31,ACNAMt2,-24.573210886941663,2.179390999921524e-05,ACNAMt2
32,EX_camp_e,,,EX_camp_e
33,EX_chol_e,,,EX_chol_e
34,EX_cl_e,,,EX_cl_e
35,ACNML,6.786689681772103,0.8650609850883484,ACNML
36,EX_co_e,,,EX_co_e
37,EX_co2_e,,,EX_co2_e
38,ACP1_FMN,-10.88223831410562,0.4067314267158508,ACP1_FMN
39,EX_cys__L_e,,,EX_cys__L_e
40,EX_dhdascb_e,,,EX_dhdascb_e
41,EX_dopa_e,,,EX_dopa_e
42,EX_5aop_e,,,EX_5aop_e
43,EX_etha_e,,,EX_etha_e
44,ACt2r,-7.460518776008875,0.0,ACt2r
45,EX_fe2_e,,,EX_fe2_e
46,ADA,-22.692088866679697,0.580346354149411,ADA
47,EX_fru_e,,,EX_fru_e
48,EX_fum_e,,,EX_fum_e
49,EX_gal_e,,,EX_gal_e
50,EX_ac_e,,,EX_ac_e
51,EX_gam_e,,,EX_gam_e
52,EX_acald_e,,,EX_acald_e
53,ADEt,-5.7061003708306,0.0,ADEt
54,EX_acnam_e,,,EX_acnam_e
55,EX_glc__D_e,,,EX_glc__D_e
56,ADK1,-1.3736586844111365,0.1503210663795471,ADK1
57,EX_gln__L_e,,,EX_gln__L_e
58,ADMDC,-20.87896468023713,4.6192999666212335,ADMDC
59,ADNCYC,1.9452761883207368,2.087129592895508,ADNCYC
60,EX_gluala_e,,,EX_gluala_e
61,ADNK1,-15.24717021581111,0.41258026200721,ADNK1
62,EX_gly_e,,,EX_gly_e
63,EX_glyc_e,,,EX_glyc_e
64,C181CPT1,,,C181CPT1
65,ADNt,-14.83475013951712,2.0095312720513903e-05,ADNt
66,C181CPT2rbc,,,C181CPT2rbc
67,CA2t,-4.64818180267047,0.0,CA2t
68,EX_gthox_e,,,EX_gthox_e
69,EX_h_e,,,EX_h_e
70,EX_h2o_e,,,EX_h2o_e
71,EX_h2o2_e,,,EX_h2o2_e
72,ADPT,-18.936025106638454,0.6104016304016113,ADPT
73,CAATPS,-12.676964042110974,0.3305171561443096,CAATPS
74,CAMPt,-13.456084914955792,0.3305173118279647,CAMPt
75,ADRNLtu,,,ADRNLtu
76,EX_hco3_e,,,EX_hco3_e
77,AGDC,10.582676742889156,4.223574638366699,AGDC
78,AGPAT1_16_0_16_1,,,AGPAT1_16_0_16_1
79,CAT,-183.4487645484633,7.2573161125183105,CAT
80,AGPAT1_16_0_18_3,,,AGPAT1_16_0_18_3
81,EX_hcys__L_e,,,EX_hcys__L_e
82,AGPAT1_16_0_18_4,,,AGPAT1_16_0_18_4
83,EX_hdca_e,,,EX_hdca_e
84,EX_hxan_e,,,EX_hxan_e
85,CDIPTr_16_0_16_0,,,CDIPTr_16_0_16_0
86,EX_ins_e,,,EX_ins_e
87,AGPAT1_18_1_18_3,,,AGPAT1_18_1_18_3
88,EX_k_e,,,EX_k_e
89,EX_lac__D_e,,,EX_lac__D_e
90,CDIPTr_16_0_18_1,,,CDIPTr_16_0_18_1
91,CDIPTr_16_0_18_2,,,CDIPTr_16_0_18_2
92,EX_lac__L_e,,,EX_lac__L_e
93,AGPAT1_18_1_18_4,,,AGPAT1_18_1_18_4
94,EX_leuktrA4_e,,,EX_leuktrA4_e
95,CDIPTr_18_1_18_1,,,CDIPTr_18_1_18_1
96,CDIPTr_18_1_18_2,,,CDIPTr_18_1_18_2
97,EX_leuktrB4_e,,,EX_leuktrB4_e
98,AGPAT1_18_2_16_0,,,AGPAT1_18_2_16_0
99,EX_lnlc_e,,,EX_lnlc_e
100,EX_mal__L_e,,,EX_mal__L_e
101,EX_man_e,,,EX_man_e
102,CDIPTr_18_2_16_0,,,CDIPTr_18_2_16_0
103,CDIPTr_18_2_18_1,,,CDIPTr_18_2_18_1
104,CDS_16_0_16_0,,,CDS_16_0_16_0
105,CDS_16_0_18_1,,,CDS_16_0_18_1
106,CDS_16_0_18_2,,,CDS_16_0_18_2
107,AGPAT1_18_2_18_1,,,AGPAT1_18_2_18_1
108,CDS_18_1_18_1,,,CDS_18_1_18_1
109,CDS_18_1_18_2,,,CDS_18_1_18_2
110,EX_mepi_e,,,EX_mepi_e
111,EX_met__L_e,,,EX_met__L_e
112,EX_na1_e,,,EX_na1_e
113,CDS_18_2_16_0,,,CDS_18_2_16_0
114,AHCi,35.42991858092663,1.9507323503494265,AHCi
