Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,ACGAM1PPpp,-16.87698745727539,1.2119038105010986,ACGAM1PPpp
1,2AGPA140tipp,,,2AGPA140tipp
2,EX_acser_e,,,EX_acser_e
3,2AGPA141tipp,,,2AGPA141tipp
4,2AGPA160tipp,105.86910341679652,2.9876069675083272e-05,2AGPA160tipp
5,3OAR180,,,3OAR180
6,2AGPA161tipp,,,2AGPA161tipp
7,3OAR181,,,3OAR181
8,2AGPA180tipp,117.27899205485288,3.142569767078385e-05,2AGPA180tipp
9,3OAR40,,,3OAR40
10,2AGPA181tipp,,,2AGPA181tipp
11,3OAR60,-19.82082720388453,1.435477990272899,3OAR60
12,3OAR80,-19.440288215220928,1.3798132495512827,3OAR80
13,3OAS100,,,3OAS100
14,2AGPE120tipp,102.68363265529484,2.987607149407268e-05,2AGPE120tipp
15,3OAS120,,,3OAS120
16,3OAS121,17.456070624111,3.883450871448408,3OAS121
17,3OAS140,,,3OAS140
18,12DGR120tipp,148.3285893828471,2.980116187245585e-05,12DGR120tipp
19,12DGR140tipp,,,12DGR140tipp
20,3OAS141,20.491719669463144,3.498999477696383,3OAS141
21,12DGR141tipp,159.7384847347702,4.7261866711778566e-05,12DGR141tipp
22,2AGPE140tipp,114.0935228192298,3.2034738978836685e-05,2AGPE140tipp
23,12DGR160tipp,193.9681537006965,6.888055213494226e-05,12DGR160tipp
24,12DGR161tipp,182.5582791007265,6.342959386529401e-05,12DGR161tipp
25,3OAS160,,,3OAS160
26,3OAS161,,,3OAS161
27,3OAS180,,,3OAS180
28,3OAS181,,,3OAS181
29,3OAS60,,,3OAS60
30,3OAS80,,,3OAS80
31,3PEPTabcpp,,,3PEPTabcpp
32,3PEPTtex,,,3PEPTtex
33,3UMPtex,1.220703097715159e-06,3.227369234082289e-05,3UMPtex
34,42A12BOOXpp,-103.77699279785156,5.13462495803833,42A12BOOXpp
35,4HOXPACDtex,1.525878872143949e-07,1.518230533292808e-06,4HOXPACDtex
36,4HTHRS,-10.780283099004226,0.4067417681217193,4HTHRS
