Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,2AGPGAT161,,,2AGPGAT161
1,2AGPGAT180,-21.008479311438386,2.206038475036621,2AGPGAT180
2,2AGPGAT181,,,2AGPGAT181
3,2DGLCNRx,-24.370877786451533,1.463633455471542,2DGLCNRx
4,2DGLCNRy,-24.370744547286204,1.4636319458830465,2DGLCNRy
5,2DGULRx,,,2DGULRx
6,12DGR120tipp,148.3285906035502,3.660074798972346e-05,12DGR120tipp
7,2DGULRy,,,2DGULRy
8,12DGR140tipp,,,12DGR140tipp
9,2MAHMP,-36.49679952836986,0.3395021226497571,2MAHMP
10,12DGR141tipp,159.7384798519578,6.786714220652357e-05,12DGR141tipp
11,34dhpactex,7.629394360719743e-08,1.3192455980970408e-06,34dhpactex
12,12DGR160tipp,193.96816102491508,7.320148142753169e-05,12DGR160tipp
13,12DGR161tipp,182.5582620108827,6.888054485898465e-05,12DGR161tipp
14,12DGR180tipp,216.78793952173112,5.453688936540857e-05,12DGR180tipp
15,12DGR181tipp,205.37805027332308,4.882812572759576e-05,12DGR181tipp
16,3AMPtex,-2.441406195430318e-06,2.2706391973770224e-05,3AMPtex
17,12PPDRtex,4.95910626341356e-07,6.9067091317265294e-06,12PPDRtex
18,3CMPtex,-1.220703097715159e-06,1.7220138033735566e-05,3CMPtex
19,12PPDRtpp,22.819783610345635,3.848687356367009e-06,12PPDRtpp
20,3GMPtex,1.8310546465727384e-06,1.6044235962908715e-05,3GMPtex
21,12PPDStex,-1.1444091541079616e-07,6.2088224694889504e-06,12PPDStex
22,12PPDStpp,22.819782523156928,6.1532323343271855e-06,12PPDStpp
23,ADSL1r,10.985149331149817,1.0199989080429075,ADSL1r
24,3HAD100,-0.4139049226255338,2.662813901901245,3HAD100
25,14GLUCANabcpp,,,14GLUCANabcpp
26,ADSL2r,25.078820426930864,2.718245506286621,ADSL2r
27,14GLUCANtexi,,,14GLUCANtexi
28,3HAD120,-0.4139110022991872,2.662805795669556,3HAD120
29,ADSS,-25.32899577363173,1.0285753442397283,ADSS
30,AGDC,10.258321868295836,4.223569393157959,AGDC
31,23CAMPtex,-1.8310546465727384e-06,2.016008875216357e-05,23CAMPtex
32,23CCMPtex,6.103515488575795e-07,2.02338687813608e-05,23CCMPtex
33,23CGMPtex,6.103515488575795e-07,2.1998072043061256e-05,23CGMPtex
34,23CUMPtex,-3.051757857974735e-06,2.4979717636597343e-05,23CUMPtex
35,23DAPPAt2pp,14.122331424278814,4.513610674361889e-06,23DAPPAt2pp
36,23DAPPAtex,1.525878872143949e-07,6.289508746704087e-06,23DAPPAtex
37,23PDE2pp,-33.196013641357425,2.626508148656326,23PDE2pp
38,23PDE4pp,-33.19600936889648,2.62650819781139,23PDE4pp
39,23PDE7pp,-33.19602401733398,2.626513592259704,23PDE7pp
40,AGM3PA,,,AGM3PA
41,AGM3PApp,,,AGM3PApp
42,AGM3PH,44.32722483324496,11.32150650024414,AGM3PH
43,AGM3Pt2pp,139.1029088869412,3.174268251859767e-05,AGM3Pt2pp
44,3HAD140,-0.4139042967766784,2.6628034114837646,3HAD140
45,23PDE9pp,-33.1960270690918,2.6265161611046053,23PDE9pp
46,26DAHtex,3.0517577442878974e-07,1.5854460798436776e-05,26DAHtex
47,3HAD141,,,3HAD141
48,3HAD121,11.706756171327612,3.866430282592773,3HAD121
49,3HAD160,-0.4139018529863563,2.6628124713897705,3HAD160
50,3HAD161,,,3HAD161
51,2AGPA120tipp,,,2AGPA120tipp
52,2AGPA140tipp,,,2AGPA140tipp
53,2AGPA141tipp,,,2AGPA141tipp
54,2AGPA160tipp,105.8691070789058,3.334106440888718e-05,2AGPA160tipp
55,2AGPA161tipp,,,2AGPA161tipp
56,3HAD180,-0.413895743510281,2.6628098487854004,3HAD180
57,3HAD181,,,3HAD181
58,3HAD40,,,3HAD40
59,2AGPA180tipp,117.2789993790717,2.9111915864632465e-05,2AGPA180tipp
60,ACALDtex,0.0,0.0,ACALDtex
61,2AGPA181tipp,,,2AGPA181tipp
62,2AGPE120tipp,102.6836320449433,3.606242898968048e-05,2AGPE120tipp
63,2AGPE140tipp,114.0935258709877,2.49778495344799e-05,2AGPE140tipp
64,2AGPE141tipp,108.38858402781128,2.860198947018944e-05,2AGPE141tipp
65,2AGPE160tipp,125.50341481421977,3.2204359740717337e-05,2AGPE160tipp
66,3HAD60,-0.0333656693253594,2.680178165435791,3HAD60
67,3HAD80,-0.4139033729046915,2.662811517715454,3HAD80
68,3HCINNMH,-400.73569418807006,7.2592920192837695,3HCINNMH
69,3HPPPNH,-400.5584022234418,6.794778254843303,3HPPPNH
70,3KGK,-26.915211504727296,0.412583750229291,3KGK
71,3NTD2pp,-23.916059494018555,1.8800561428070068,3NTD2pp
72,3NTD4pp,-23.91606903076172,1.8800630569458008,3NTD4pp
73,3NTD7pp,-23.916059494018555,1.8800686597824097,3NTD7pp
74,3NTD9pp,-23.91605758666992,1.8800714015960691,3NTD9pp
75,3OAR100,-19.44028913071826,1.379825179618589,3OAR100
76,3OAR120,-19.4402985911676,1.3798187432572029,3OAR120
77,2AGPE161tipp,,,2AGPE161tipp
78,2AGPE180tipp,136.91330894544018,4.401307523949072e-05,2AGPE180tipp
79,2AGPE181tipp,131.20836374533,4.308926145313308e-05,2AGPE181tipp
80,2AGPEAT120,,,2AGPEAT120
81,3OAR121,-26.193328339206964,2.0072116943388214,3OAR121
82,3OAR140,-19.440294318706645,1.3798156541327458,3OAR140
83,2AGPEAT140,,,2AGPEAT140
84,ACALDtpp,11.409891688812849,0.0,ACALDtpp
85,2AGPEAT141,,,2AGPEAT141
86,2AGPEAT160,-21.454716873127644,39.93135833740234,2AGPEAT160
87,3OAR141,,,3OAR141
88,3OAR160,-19.440287604839344,1.3798172237333084,3OAR160
89,2AGPEAT161,,,2AGPEAT161
90,ACANTHAT,-24.52204229747558,4.800329208374023,ACANTHAT
91,2AGPEAT180,-20.56224937434815,40.84992218017578,2AGPEAT180
92,2AGPEAT181,-15.937198139900213,2.8197689056396484,2AGPEAT181
93,3OAR161,-29.40306004602056,2.6941071878930414,3OAR161
94,3OAR180,,,3OAR180
95,3OAR181,,,3OAR181
96,3OAR40,,,3OAR40
97,2AGPG120tipp,,,2AGPG120tipp
98,2AGPG140tipp,114.09893096931684,3.0364606573130004e-05,2AGPG140tipp
99,2AGPG141tipp,108.39399008317886,2.625930756039452e-05,2AGPG141tipp
100,2AGPG160tipp,125.50882571088869,2.58950240095146e-05,2AGPG160tipp
101,2AGPG161tipp,,,2AGPG161tipp
102,2AGPG180tipp,136.91871740070292,3.76245952793397e-05,2AGPG180tipp
103,3OAR60,-19.820833307400157,1.4354797322245385,3OAR60
104,3OAR80,-19.440297065318585,1.3798190454440549,3OAR80
105,3OAS100,,,3OAS100
106,3OAS120,,,3OAS120
107,3OAS121,17.456058111903968,3.883451515171511,3OAS121
108,3OAS140,,,3OAS140
109,3OAS141,20.49171982205103,3.4990025890107828,3OAS141
110,2AGPG181tipp,131.21378078702588,3.384563024155796e-05,2AGPG181tipp
111,2AGPGAT120,,,2AGPGAT120
112,2AGPGAT140,,,2AGPGAT140
113,2AGPGAT141,,,2AGPGAT141
114,ACBIPGT,8.543695886381482,0.1503384140342736,ACBIPGT
115,2AGPGAT160,-21.00848312613585,2.2059972286224365,2AGPGAT160
116,3OAS160,,,3OAS160
117,3OAS161,,,3OAS161
118,ACCOAC,-11.50624314412692,2.104699434902517,ACCOAC
119,3OAS180,,,3OAS180
120,3OAS181,,,3OAS181
121,ACCOAL,,,ACCOAL
122,AGM4PA,,,AGM4PA
123,3OAS60,,,3OAS60
124,ACGAL1PPpp,-16.876991271972656,1.211905598640442,ACGAL1PPpp
125,3OAS80,,,3OAS80
126,AGM4PApp,,,AGM4PApp
127,AGM4PCP,,,AGM4PCP
128,ACGAL1Ptex,-3.662109293145477e-06,3.208847192581743e-05,ACGAL1Ptex
129,AGM4PCPpp,,,AGM4PCPpp
130,AGM4PH,,,AGM4PH
131,AGM4Pt2pp,,,AGM4Pt2pp
132,3PEPTabcpp,,,3PEPTabcpp
133,3PEPTtex,,,3PEPTtex
134,3UMPtex,2.441406195430318e-06,3.85247367375996e-05,3UMPtex
135,42A12BOOXpp,-103.77699279785156,5.134624004364014,42A12BOOXpp
