Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_h2o_e,,,EX_h2o_e
1,ACCOAC_h,0.1423190526519025,2.104699172625851,ACCOAC_h
2,ACCOAtm_1,58.25443366422748,3.860202195937745e-05,ACCOAtm_1
3,ACGAM6PS,-40.07139296278742,4.3139959634879705,ACGAM6PS
4,ACGAMPM,5.78292541355631,1.195954203605652,ACGAMPM
5,ACGPID_18_0_18_1,,,ACGPID_18_0_18_1
6,ACOATA_1,-1.5516989702846686,1.5570636987686155,ACOATA_1
7,ACN_a_m,-8.235924712118784,0.9688130021095276,ACN_a_m
8,ACONTa,8.317895334183804,0.96881365776062,ACONTa
9,ACONTb,-0.5304551642211361,0.9837865829467772,ACONTb
10,ACN_b_m,-0.4869706556993733,0.9837865829467772,ACN_b_m
11,ACP1_FMN,-10.88223831410562,0.4067321121692657,ACP1_FMN
12,ACPS1c,,,ACPS1c
13,ACS,-5.813770465063907,0.4244487881660461,ACS
14,ACYP,-45.44608041634322,0.7068521913625715,ACYP
15,ACtr,-3.4249796070274696,0.0,ACtr
16,ADA,-22.69208932444337,0.5803475229335331,ADA
17,ADCL,-177.7623373258969,8.44475496564127,ADCL
18,ADCS,-20.923602061513765,2.215968370437622,ADCS
19,ADEt,-5.7061003708306,0.0,ADEt
20,ADK1,-1.3736613070155066,0.1503261774778366,ADK1
21,ADK3m,-0.5743854183804586,0.150311604142189,ADK3m
22,ADMDC,-20.87896223883088,4.619306177467896,ADMDC
23,ADNCYC,1.945274996227841,2.087130308151245,ADNCYC
24,ADNt,-14.834746477407828,1.775273085513618e-05,ADNt
25,ADPT,-18.936021291941188,0.610404908657074,ADPT
26,ADPtc,-3.662109293145477e-06,4.032017750432715e-05,ADPtc
27,ADSL1r,10.982444824140304,1.0200003385543823,ADSL1r
28,ADSL2r,25.09011314788676,2.718245267868042,ADSL2r
29,ADSS,-1.7587329456849687,1.028581075640228,ADSS
30,AGPAT1_16_0_16_2,,,AGPAT1_16_0_16_2
31,AGPAT1_16_0_18_5,,,AGPAT1_16_0_18_5
32,AGPAT1_16_0_18_6,,,AGPAT1_16_0_18_6
33,AGPAT1_16_0_18_7,,,AGPAT1_16_0_18_7
34,AGPAT1_18_0_18_3,,,AGPAT1_18_0_18_3
35,AGPAT1_18_0_18_4,,,AGPAT1_18_0_18_4
36,AGPAT1_18_1_18_5,,,AGPAT1_18_1_18_5
37,AGPAT1_18_1_18_6,,,AGPAT1_18_1_18_6
38,AGPAT1_18_2_18_3,,,AGPAT1_18_2_18_3
39,AHCYSt_c,-9.155273232863692e-07,1.903621705423575e-05,AHCYSt_c
40,AHCYStg,0.0,2.0243071048753336e-05,AHCYStg
41,AHCYStm,34.21990244726279,1.437569153495133e-05,AHCYStm
42,AHCi,35.42991858092663,1.9507311582565308,AHCi
43,AKGCITtm,-1.8196985485668409,4.2215859139105305e-05,AKGCITtm
44,AKGDm,-17.256025792142907,2.317601203918457,AKGDm
45,AKGMALtm,0.0099032190217727,4.526076736510731e-05,AKGMALtm
46,OAAAKGtm,-3.423261316860497,4.1378054447704926e-05,OAAAKGtm
47,AKGtc,-1.220703097715159e-06,8.544921911379788e-06,AKGtc
48,AKGtm,6.8465441323202185,0.0,AKGtm
49,AKP1,-61.399520789842754,0.8944839059378515,AKP1
50,r1571,6.84772143994682,7.442473361152224e-06,r1571
51,r1565,6.846657050185506,8.10154051578138e-06,r1565
52,ALASm,14.471871577160591,3.3547778008455102,ALASm
53,ALAPAT4te,-7.979259943110179,7.498184459109325e-06,ALAPAT4te
54,ALCD19c,-26.85467294304658,0.9018341029689916,ALCD19c
55,ALLTAHr,2.9615377262066067,2.49249005317688,ALLTAHr
56,AMETt_h,-6.103515488575795e-07,2.515803680580575e-05,AMETt_h
