Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_gly_e,,,EX_gly_e
1,EX_4abz_e,,,EX_4abz_e
2,EX_4ahmmp_e,,,EX_4ahmmp_e
3,EX_5fthf_e,,,EX_5fthf_e
4,EX_Hb_e,,,EX_Hb_e
5,EX_ac_e,,,EX_ac_e
6,EX_ade_e,,,EX_ade_e
7,EX_adn_e,,,EX_adn_e
8,EX_adp_e,,,EX_adp_e
9,EX_ala__L_e,,,EX_ala__L_e
10,EX_amp_e,,,EX_amp_e
11,EX_arachd_e,,,EX_arachd_e
12,EX_arg__L_e,,,EX_arg__L_e
13,EX_asn__L_e,,,EX_asn__L_e
14,EX_asp__L_e,,,EX_asp__L_e
15,EX_atp_e,,,EX_atp_e
16,EX_ca2_e,,,EX_ca2_e
17,EX_chol_e,,,EX_chol_e
18,EX_cl_e,,,EX_cl_e
19,EX_co2_e,,,EX_co2_e
20,EX_cobalt2_e,,,EX_cobalt2_e
21,EX_csn_e,,,EX_csn_e
22,EX_cu_e,,,EX_cu_e
23,EX_cu2_e,,,EX_cu2_e
24,EX_cys__L_e,,,EX_cys__L_e
25,EX_dha_e,,,EX_dha_e
26,EX_dhpt_e,,,EX_dhpt_e
27,EX_fe2_e,,,EX_fe2_e
28,EX_fol_e,,,EX_fol_e
29,EX_for_e,,,EX_for_e
30,EX_fru_e,,,EX_fru_e
31,EX_glc__D_e,,,EX_glc__D_e
32,EX_gln__L_e,,,EX_gln__L_e
33,EX_glu__L_e,,,EX_glu__L_e
34,r2532,-9.04856503968005,5.577291176450672e-06,r2532
35,ASPCT,-22.08854408019257,1.8382150713213496,ASPCT
36,ASPTA,3.639218293363591,0.4524435400962829,ASPTA
37,ASPte,6.8407049183682105,3.036461066585616e-06,ASPte
38,ATPS,-21.97333130956129,0.3305115136411063,ATPS
39,ATPS4m,-12.503924894756178,0.330509555337578,ATPS4m
40,ATPasel_1,-38.55975133733812,0.3305115136411063,ATPasel_1
41,ATPt,-0.0017634368620562,0.0001063904201146,ATPt
42,ATPtc,-4.882812390860636e-06,4.8583369789412245e-05,ATPtc
43,ATPtm,0.0026788345989459,0.0001140949389082,ATPtm
