Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_4ahmmp_e,,,EX_4ahmmp_e
1,EX_5fthf_e,,,EX_5fthf_e
2,EX_Hb_e,,,EX_Hb_e
3,EX_ac_e,,,EX_ac_e
4,EX_4abz_e,,,EX_4abz_e
5,EX_ade_e,,,EX_ade_e
6,EX_hdca_e,,,EX_hdca_e
7,EX_adn_e,,,EX_adn_e
8,EX_his__L_e,,,EX_his__L_e
9,EX_adp_e,,,EX_adp_e
10,EX_hxan_e,,,EX_hxan_e
11,EX_ala__L_e,,,EX_ala__L_e
12,EX_amp_e,,,EX_amp_e
13,EX_ile__L_e,,,EX_ile__L_e
14,EX_ins_e,,,EX_ins_e
15,EX_arachd_e,,,EX_arachd_e
16,EX_k_e,,,EX_k_e
17,EX_lac__D_e,,,EX_lac__D_e
18,EX_lac__L_e,,,EX_lac__L_e
19,EX_leu__L_e,,,EX_leu__L_e
20,ETHAMPtg,0.0,0.0,ETHAMPtg
21,EX_lipoate_e,,,EX_lipoate_e
22,EX_arg__L_e,,,EX_arg__L_e
23,EX_asn__L_e,,,EX_asn__L_e
24,EX_asp__L_e,,,EX_asp__L_e
25,EX_atp_e,,,EX_atp_e
26,EX_ca2_e,,,EX_ca2_e
27,EX_chol_e,,,EX_chol_e
28,EX_cl_e,,,EX_cl_e
29,EX_co2_e,,,EX_co2_e
30,EX_lnlc_e,,,EX_lnlc_e
31,F6PP,-10.758566920068033,0.4067411422729492,F6PP
32,EX_cobalt2_e,,,EX_cobalt2_e
33,EX_lys__L_e,,,EX_lys__L_e
34,EX_man_e,,,EX_man_e
35,EX_met__L_e,,,EX_met__L_e
36,EX_mg2_e,,,EX_mg2_e
37,EX_mthgxl_e,,,EX_mthgxl_e
38,EX_na1_e,,,EX_na1_e
39,EX_nac_e,,,EX_nac_e
40,FA140ACPHi_1,,,FA140ACPHi_1
41,FA160ACPHi_1,,,FA160ACPHi_1
42,EX_csn_e,,,EX_csn_e
43,FACOAL140,,,FACOAL140
44,EX_cu_e,,,EX_cu_e
45,EX_cu2_e,,,EX_cu2_e
46,FACOAL1821,-8.215723996956982,0.7962245345115662,FACOAL1821
47,EX_cys__L_e,,,EX_cys__L_e
48,FACOAL160,-8.214980161852978,0.796207845211029,FACOAL160
