Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_pi_e,,,EX_pi_e
1,ADPtc,1.220703097715159e-06,2.1107929569552653e-05,ADPtc
2,ADSL1r,10.982437194745774,1.0200003385543823,ADSL1r
3,ADSL2r,25.09011124053813,2.7182488441467285,ADSL2r
4,ADSS,-1.7587262318177812,1.0285824803463748,ADSS
5,AGPAT1_16_0_16_2,,,AGPAT1_16_0_16_2
6,AGPAT1_16_0_18_5,,,AGPAT1_16_0_18_5
7,AGPAT1_16_0_18_6,,,AGPAT1_16_0_18_6
8,AGPAT1_16_0_18_7,,,AGPAT1_16_0_18_7
9,AGPAT1_18_0_18_3,,,AGPAT1_18_0_18_3
10,AGPAT1_18_0_18_4,,,AGPAT1_18_0_18_4
11,AGPAT1_18_1_18_5,,,AGPAT1_18_1_18_5
12,AGPAT1_18_1_18_6,,,AGPAT1_18_1_18_6
13,AGPAT1_18_2_18_3,,,AGPAT1_18_2_18_3
14,AHCYSt_c,-2.746582140389364e-06,1.7314521755906753e-05,AHCYSt_c
15,AHCYStg,2.441406195430318e-06,1.8147058653994463e-05,AHCYStg
16,AHCYStm,34.219900005856424,1.1815466677944642e-05,AHCYStm
17,AHCi,35.42991858092663,1.950729250907898,AHCi
18,AKGCITtm,-1.819700379621601,4.337792415753938e-05,AKGCITtm
19,AKGDm,-17.255995274564782,2.317600011825561,AKGDm
20,AKGMALtm,0.0099074914826147,4.781044117407873e-05,AKGMALtm
21,OAAAKGtm,-3.423255823696444,4.306764458306134e-05,OAAAKGtm
22,AKGtc,-2.441406195430318e-06,1.4749812180525623e-05,AKGtc
23,AKGtm,6.846541690914023,1.4749812180525623e-05,AKGtm
24,AKP1,-61.3995299451162,0.8944773614658312,AKP1
25,r1571,6.84772357617727,6.977455541345989e-06,r1571
26,r1565,6.846658423476576,8.357583283213899e-06,r1565
27,ALASm,14.471860590832469,3.354762417609586,ALASm
28,ALAPAT4te,-7.979257806879758,7.013650247245096e-06,ALAPAT4te
29,ALCD19c,-26.854677062919627,0.9018282479577217,ALCD19c
30,ALLTAHr,2.961534865183657,2.4924895763397217,ALLTAHr
31,AMETt_h,-6.103515488575795e-07,2.1998075681040064e-05,AMETt_h
32,AMETtg,-6.103515488575795e-07,2.9265069315442812e-05,AMETtg
33,AMETtm,39.35161894756335,3.550546171027236e-05,AMETtm
34,AMMQT4_2,,,AMMQT4_2
35,AMPDA,-22.69455436355607,0.5803428536764155,AMPDA
36,ANS,-199.61912776189135,8.178830520234095,ANS
37,AOPR2c,,,AOPR2c
38,AOPRXc,,,AOPRXc
39,AOPRc,,,AOPRc
40,AP3AH,,,AP3AH
41,AP4AH1,-34.16285080889778,0.6570621769495346,AP4AH1
42,APTNAT,2.844492180926851,1.6824815273284912,APTNAT
43,ARACHDt2,,,ARACHDt2
44,ARGN,-30.935697598295256,3.2860584259033203,ARGN
45,ARGt5r,-17.097712920151416,1.805186184355989e-05,ARGt5r
46,ASNS1,-34.710785936222855,0.9287778017579236,ASNS1
47,ASNTA,,,ASNTA
48,r2532,-9.048563513801176,8.62627803144278e-06,r2532
49,ASPCT,-22.08854408019257,1.8382150713213496,ASPCT
50,ASPTA,3.639214478666325,0.4524417817592621,ASPTA
51,ASPte,6.840705223543985,0.0,ASPte
52,ATPS,-21.97333008885817,0.3305090681160221,ATPS
53,ATPS4m,-12.503928556865551,0.3305088646761679,ATPS4m
54,ATPasel_1,-38.559750116634994,0.3305090681160221,ATPasel_1
55,ATPt,-0.0017634368620562,0.0001063904201146,ATPt
56,ATPtc,4.882812390860636e-06,4.8583369789412245e-05,ATPtc
57,ATPtm,0.0026763931927504,0.0001116392959374,ATPtm
58,CA2abc1,-21.3606874551691,0.3305090681160221,CA2abc1
59,CAt4,0.6126426336890642,0.0,CAt4
60,CAt8,18.378046578346854,0.0,CAt8
61,CBPS,-12.831136352828045,2.469239537491369,CBPS
62,CDIPTr_16_0_16_1,,,CDIPTr_16_0_16_1
63,CDIPTr_16_0_18_3,,,CDIPTr_16_0_18_3
64,CDIPTr_16_0_18_4,,,CDIPTr_16_0_18_4
65,CDIPTr_18_0_18_3,,,CDIPTr_18_0_18_3
66,DHNATT,,,DHNATT
67,DHNCOAS,,,DHNCOAS
68,DHNCOAT,,,DHNCOAT
69,DHORD10m,,,DHORD10m
70,DHORD9m,-62.31871801004141,26.2304630279541,DHORD9m
71,DHORTS,-3.3043343616034493,1.2104987160023035,DHORTS
72,DHORtm,8.557344732452327,9.47520493355114e-06,DHORtm
73,DHPS2,-45.15015288442402,4.845688343048096,DHPS2
74,DHPTt,-18.85275097595634,6.072921369058959e-06,DHPTt
75,DHQTi,-6.078422757590943,3.0199882984161377,DHQTi
76,DHQS,-68.79439475127992,2.303436040878296,DHQS
77,DIK1,-1.3807691920398852,0.1503195762634277,DIK1
78,DMATT,-68.37779010718765,3.581965208053589,DMATT
79,IDS2,-68.95908701185506,2.443960624538685,IDS2
80,DMPPth,1.220703097715159e-06,2.7268444682704285e-05,DMPPth
81,DMQMTm,-41.41588243244664,31.03305011504387,DMQMTm
82,DNAMTn2r,,,DNAMTn2r
83,DOL11MANPter,,,DOL11MANPter
84,DOL11PMT,,,DOL11PMT
85,DOL12MANPter,,,DOL12MANPter
86,DOL12PMT,,,DOL12PMT
87,DOLDPP11,,,DOLDPP11
88,DOLDPP12,,,DOLDPP12
89,DOLK11,,,DOLK11
90,DOLK12,,,DOLK12
91,DOLP11ter,,,DOLP11ter
92,DOLP12ter,,,DOLP12ter
93,DPCOAKc,-2.495315673913057,1.7680958487054828,DPCOAKc
94,DPCOAtc,3.662109293145477e-06,3.744595596799627e-05,DPCOAtc
95,DPGase,-16.05268699213326,0.693802535533905,DPGase
96,DRPA,21.67088472965018,1.843690276145935,DRPA
97,DTMPK,-1.3781352214249587,0.1503048539161682,DTMPK
98,DUTPDP,-35.29835192527371,0.6570594069643031,DUTPDP
99,DXRI,-13.237622289493851,3.52488675726327,DXRI
100,DXS,-42.379471158770016,2.3085756218718867,DXS
101,EAR100x_1,,,EAR100x_1
102,EAR120x_1,,,EAR120x_1
103,EAR140x_1,,,EAR140x_1
104,EAR160x_1,,,EAR160x_1
105,EAR40x_1,,,EAR40x_1
106,EAR60x_1,,,EAR60x_1
107,EAR80x_1,,,EAR80x_1
108,ECOAH12,6.783784536047818,5.401618003845215,ECOAH12
109,ECOAH40,,,ECOAH40
110,ECOAH9ir,1.9898597275460617,4.660884380340576,ECOAH9ir
111,EHGLAT,0.0160519718733596,1.294566631317139,EHGLAT
112,ENO,-3.5052927890865195,0.2816460430622101,ENO
113,ETHAK,-15.891201011385348,0.7657888381365531,ETHAK
114,ETHAMPtg,0.0,0.0,ETHAMPtg
115,F6PP,-10.75856215169645,0.406739741563797,F6PP
116,FA140ACPHi_1,,,FA140ACPHi_1
117,FA160ACPHi_1,,,FA160ACPHi_1
118,FACOAL140,,,FACOAL140
119,FACOAL160,-8.21498206920161,0.7961938977241516,FACOAL160
120,FACOAL180,-8.214988744922053,0.7962253093719482,FACOAL180
121,FACOAL181,,,FACOAL181
122,FACOAL1821,-8.215723043282665,0.7962239384651184,FACOAL1821
123,FACOAL204,,,FACOAL204
124,FADtm,51.4010349982197,2.001171378651634e-05,FADtm
125,FBA,22.09725568852608,0.5638489127159119,FBA
126,FBP,-10.301397556188908,0.8425835371017456,FBP
127,FCLT,304.4659636799505,69.65594575563865,FCLT
128,FCLTm,306.14374312112795,69.65593926331331,FCLTm
129,FE2t,-4.6645060311983215,0.0,FE2t
130,FEtm,31.59964746742701,0.0,FEtm
131,FMNAT,-2.635983517458831,0.1503297747283678,FMNAT
132,FOLD3,,,FOLD3
133,FOLt,-23.4334244747502,1.6856646093312348e-05,FOLt
134,FORt2,-5.177599440037567,0.0,FORt2
135,GRXR2,,,GRXR2
136,GRXRc,,,GRXRc
137,GSNt,-14.831283326958497,1.295178026339272e-05,GSNt
138,GTHOXti2,8.193075702705492,0.3305102868366731,GTHOXti2
139,GTHOXtm,51.29743380797423,1.895040804811288e-05,GTHOXtm
140,GDR_nadp_h,-12.50454067856036,1.3581446430280806,GDR_nadp_h
141,GTHOr,-12.504539457857232,1.3581578800245353,GTHOr
142,GTHPi,-308.4643801698329,3.638198137283325,GTHPi
143,GTHP_api,-308.4643496522548,3.638206243515015,GTHP_api
144,r1530,-8.28423524706573,0.3305083524426505,r1530
145,GTHRDtm,26.53573975820716,1.1783895388361998e-05,GTHRDtm
146,GTHS,-27.20692204742011,2.3963484105939608,GTHS
147,GTPCI,-51.19218919131977,7.707981275400258,GTPCI
148,GTPDPDP,-26.008997338444317,0.3305495820804036,GTPDPDP
149,r0801,-0.0026978719882819,0.0001540989469503,r0801
150,GUACYC,1.946180382121943,2.087120294570923,GUACYC
151,GUAPRT,-18.93151112808952,0.6104042530059814,GUAPRT
152,GUAt,-5.695076064261725,8.022117071959656e-06,GUAt
153,H2O2tly,-25.101642858714925,0.0,H2O2tly
154,H2Ot,-2.2819781056931934,0.0,H2Ot
155,H2Oth,0.0,0.0,H2Oth
156,H2Otg,0.0,0.0,H2Otg
157,H2Otly,-25.10176132298183,0.0,H2Otly
158,H2Otm,3.4229671117110323,0.0,H2Otm
159,H4ET4er_16_0_16_0,,,H4ET4er_16_0_16_0
160,H4ET4er_16_0_18_1,,,H4ET4er_16_0_18_1
161,H4ET4er_16_0_18_2,,,H4ET4er_16_0_18_2
162,H4ET4er_18_1_18_1,,,H4ET4er_18_1_18_1
163,H4ET4er_18_1_18_2,,,H4ET4er_18_1_18_2
164,H4ET4er_18_2_18_2,,,H4ET4er_18_2_18_2
165,HBD1,,,HBD1
166,HBD2_3,,,HBD2_3
167,HBZOPTm,-71.31986590627218,5.37033748626709,HBZOPTm
168,HCO3E,-6.258009419786809,1.863337208203711,HCO3E
169,HCO3tc,0.0,0.0,HCO3tc
170,HCYSMT,-56.47637056081932,28.705723322294663,HCYSMT
171,FA160h,-6.103515488575795e-07,2.796316039166413e-05,FA160h
172,HDCAt,-35.375803030045645,3.0511475415551104e-05,HDCAt
173,HEMEOMOm,,,HEMEOMOm
174,HEMEOMOym,,,HEMEOMOym
175,HEMEOSm,-78.59087171601703,5.657636642456055,HEMEOSm
176,OPP,-68.37779010283185,3.5819902420043945,OPP
177,HETZK,-14.52246148873678,1.3332356165681556,HETZK
178,HEX1,-15.249939825434188,0.4125759887670481,HEX1
179,HEX10,-15.249955718474952,0.412589113335397,HEX10
180,HEX4,-15.249946234125597,0.4125751090526414,HEX4
181,HEX7,-15.250302986270071,0.4125731127477066,HEX7
182,HEXTT,-68.37779773222684,3.581980466842652,HEXTT
183,HIStiDF,-10.48698160304265,1.4852847016300076e-05,HIStiDF
184,HMBS,-135.61493088021035,37.44198989868164,HMBS
185,PPBNGD,-135.61493088021035,37.44199752807617,PPBNGD
186,HMPK1,-12.643803756769945,2.865120561724617,HMPK1
187,HMZ,,,HMZ
188,HPPK,,,HPPK
189,HPPK2,-13.47391234934354,1.1801659024130915,HPPK2
190,HPROx,53.55383320812031,4.423541647681035,HPROx
191,HPROb,-53.55381444033813,4.423562572899326,HPROb
192,HXPRT,-18.934000696130987,0.6104019284248352,HXPRT
193,HYPOE,-13.399097416580576,2.8879153728485107,HYPOE
194,HYXNt,-4.533270232432942,1.2933119251101743e-05,HYXNt
195,Hbt,,,Hbt
196,Htg,0.0,0.0,Htg
197,Hth,0.0,0.0,Hth
198,Htr,0.0,0.0,Htr
199,ICDHym,23.038748874942705,2.22647762298584,ICDHym
200,MTHFD,5.140674900960633,1.5280089378356934,MTHFD
201,MTHFR2,-36.32869726812503,5.029326529113037,MTHFR2
202,MTHFR3,-36.32867850034286,5.02932984324339,MTHFR3
203,MTHGXLt,4.563956827546034,1.518230533292808e-06,MTHGXLt
204,NACt,-4.564136979695672,3.40855535796436e-06,NACt
205,NADH2_mq4m,,,NADH2_mq4m
206,NADHOR,-74.92877272435011,26.179425266327787,NADHOR
207,NADHth,1.220703097715159e-06,2.726844286371488e-05,NADHth
208,NADK,-6.713899778410656,2.0555737058390395,NADK
209,NADPHth,9.765624781721272e-06,5.086099918116816e-05,NADPHth
210,NADPth,-4.882812390860636e-06,4.200354669592343e-05,NADPth
211,NADS2,-9.60038818180056,6.407929968305488,NADS2
212,NADth,0.0,1.7263348127016798e-05,NADth
213,NAMNPP,-22.38033831041923,1.4059436321258545,NAMNPP
214,NAt3_0_5,-0.5282755636404655,0.0,NAt3_0_5
215,NCAMUP,-6.846181240093824,9.846354259934742e-06,NCAMUP
216,NDP1,-24.635212328189176,0.3395048743312208,NDP1
217,NDP3,-24.63660971185765,0.3395055449623382,NDP3
218,NDP4,-24.634526188779947,0.3395170817830156,NDP4
219,NDPK1,-7.38116411511669e-05,0.0002061651757685,NDPK1
220,NDPK2,-2.1254679232640683e-05,0.0002836552739609,NDPK2
221,NDPK3,-5.389858384319268e-05,0.0002348196285311,NDPK3
222,NDPK4,-4.941729582697008e-05,0.0002543753071222,NDPK4
223,NDPK5,-5.1860763164768287e-05,0.0002207954676123,NDPK5
224,NDPK7,-4.170942276005008e-05,0.0002315606543561,NDPK7
225,NDPK8,-6.949282870039042e-06,0.0002366527478443,NDPK8
226,NH4t,-4.532984120458075,0.0,NH4t
227,NH4tm,6.793460521759271,0.0,NH4tm
228,NIt5,4.64818180267047,0.0,NIt5
229,NMETMTc,,,NMETMTc
230,NMNS,3.081332712728617,2.4003630167720527,NMNS
231,NNAM,-37.19513142778203,6.408063888549805,NNAM
232,NNATr,-2.512478959249639,0.1503455577353927,NNATr
233,NTD11,-10.759237016526596,0.4067369103431701,NTD11
234,NTD7,-10.76169663876918,0.4067414104938507,NTD7
235,NTD9,-10.759444227516193,0.4067438244819641,NTD9
236,NTP1,-26.00886925783957,0.3305090681160221,NTP1
237,NTP5,-26.008819021365177,0.3305038755062498,NTP5
238,NTRARym,-142.01347951417685,2.920374548352047,NTRARym
239,NTRIR2xm,-366.6546532498549,2.757908842742045,NTRIR2xm
240,O2Stl,-4.839769620537058,0.0,O2Stl
241,O2t,0.0,0.0,O2t
242,O2thr,0.0,0.0,O2thr
243,O2tl,0.0,0.0,O2tl
244,O2tm,0.0,0.0,O2tm
245,OCDCAt,-39.93976031632271,2.7268444682704285e-05,OCDCAt
246,OCDCEAt,-37.65822671507297,1.7089843822759576e-05,OCDCEAt
247,OCTDPtm,112.1721291594792,5.0316066335653886e-05,OCTDPtm
248,OHPHMm,-42.0301801158608,31.083257327481185,OHPHMm
249,OIVD1m,-16.250266401337257,2.361748218536377,OIVD1m
250,OIVD2m,-14.930685086811168,3.9183170795440674,OIVD2m
251,OIVD3m,-14.836794661838326,3.855859756469727,OIVD3m
252,OMBZLMm,,,OMBZLMm
253,OMMBLHXxm,,,OMMBLHXxm
254,OMMBLHXym,,,OMMBLHXym
255,OMPDC,-6.15223305966413,5.52529572472886,OMPDC
256,OMPHHXxm,-411.0738795705147,4.403692766528143,OMPHHXxm
257,OMPHHXym,-411.0737499934588,4.403729389329496,OMPHHXym
258,OPHBDCm,19.50536523382977,2.4185860697758,OPHBDCm
259,OPHHXxm,-401.5600917959098,5.472940343334072,OPHHXxm
260,OPHHXym,-401.55996221885385,5.47294608178747,OPHHXym
261,ORNDC,-21.454562147933007,2.190669895543188,ORNDC
262,ORNTA,2.491701870948813,1.7137677669525146,ORNTA
263,ORPT,1.814904241441706,2.254279375076294,ORPT
264,P4AH,,,P4AH
265,P5CRx,-48.604825439989554,2.773946221534981,P5CRx
266,P5CR,-48.604806672207374,2.773977502335066,P5CR
267,PCPLC_16_0_16_0,,,PCPLC_16_0_16_0
268,PCPLC_16_0_18_1,,,PCPLC_16_0_18_1
269,PCPLC_16_0_18_2,,,PCPLC_16_0_18_2
270,PCPLC_18_1_18_1,,,PCPLC_18_1_18_1
271,PCPLC_18_1_18_2,,,PCPLC_18_1_18_2
272,PMPK,-1.6204966996746537,0.1502918154001236,PMPK
273,PNTK,-13.81975330960016,1.1545607321009146,PNTK
274,PNTOt2,-22.29266603769864,3.03646068452948e-06,PNTOt2
275,PPA,-15.341596770268238,0.2858358037874161,PPA
276,PPA2,-25.972108777067625,0.3305291977420457,PPA2
277,PPAP_16_0_16_1,,,PPAP_16_0_16_1
