Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_pro__L_e,,,EX_pro__L_e
1,EX_4abz_e,,,EX_4abz_e
2,EX_4ahmmp_e,,,EX_4ahmmp_e
3,EX_5fthf_e,,,EX_5fthf_e
4,EX_Hb_e,,,EX_Hb_e
5,EX_ac_e,,,EX_ac_e
6,EX_ade_e,,,EX_ade_e
7,EX_adn_e,,,EX_adn_e
8,EX_adp_e,,,EX_adp_e
9,EX_ala__L_e,,,EX_ala__L_e
10,EX_amp_e,,,EX_amp_e
11,EX_arachd_e,,,EX_arachd_e
12,EX_arg__L_e,,,EX_arg__L_e
13,EX_asn__L_e,,,EX_asn__L_e
14,EX_asp__L_e,,,EX_asp__L_e
15,EX_atp_e,,,EX_atp_e
16,EX_ca2_e,,,EX_ca2_e
17,EX_chol_e,,,EX_chol_e
18,EX_cl_e,,,EX_cl_e
19,EX_co2_e,,,EX_co2_e
20,EX_cobalt2_e,,,EX_cobalt2_e
21,EX_csn_e,,,EX_csn_e
22,EX_cu_e,,,EX_cu_e
23,EX_cu2_e,,,EX_cu2_e
24,EX_cys__L_e,,,EX_cys__L_e
25,EX_dha_e,,,EX_dha_e
26,EX_dhpt_e,,,EX_dhpt_e
27,EX_fe2_e,,,EX_fe2_e
28,EX_fol_e,,,EX_fol_e
29,EX_for_e,,,EX_for_e
30,EX_fru_e,,,EX_fru_e
31,EX_glc__D_e,,,EX_glc__D_e
32,EX_gln__L_e,,,EX_gln__L_e
33,EX_glu__L_e,,,EX_glu__L_e
34,EX_gly_e,,,EX_gly_e
35,EX_glyc_e,,,EX_glyc_e
36,EX_gsn_e,,,EX_gsn_e
37,EX_gthox_e,,,EX_gthox_e
38,EX_gthrd_e,,,EX_gthrd_e
39,EX_gua_e,,,EX_gua_e
40,EX_h_e,,,EX_h_e
41,EX_h2o_e,,,EX_h2o_e
42,EX_hco3_e,,,EX_hco3_e
43,EX_hdca_e,,,EX_hdca_e
44,EX_his__L_e,,,EX_his__L_e
45,EX_hxan_e,,,EX_hxan_e
46,EX_ile__L_e,,,EX_ile__L_e
47,EX_ins_e,,,EX_ins_e
48,EX_k_e,,,EX_k_e
49,EX_lac__D_e,,,EX_lac__D_e
50,EX_lac__L_e,,,EX_lac__L_e
51,EX_leu__L_e,,,EX_leu__L_e
52,EX_lipoate_e,,,EX_lipoate_e
53,EX_lnlc_e,,,EX_lnlc_e
54,EX_lys__L_e,,,EX_lys__L_e
55,EX_man_e,,,EX_man_e
56,EX_met__L_e,,,EX_met__L_e
57,EX_mg2_e,,,EX_mg2_e
58,EX_mthgxl_e,,,EX_mthgxl_e
59,EX_na1_e,,,EX_na1_e
60,EX_nac_e,,,EX_nac_e
61,EX_ncam_e,,,EX_ncam_e
62,EX_nh4_e,,,EX_nh4_e
63,EX_ni2_e,,,EX_ni2_e
64,EX_o2_e,,,EX_o2_e
65,EX_ocdca_e,,,EX_ocdca_e
66,EX_ocdcea_e,,,EX_ocdcea_e
67,EX_phe__L_e,,,EX_phe__L_e
68,EX_pi_e,,,EX_pi_e
69,EX_pnto__R_e,,,EX_pnto__R_e
70,DNAMTn2r,,,DNAMTn2r
71,DOL11MANPter,,,DOL11MANPter
72,DOL11PMT,,,DOL11PMT
73,DOL12MANPter,,,DOL12MANPter
74,DOL12PMT,,,DOL12PMT
75,DOLDPP11,,,DOLDPP11
76,DOLDPP12,,,DOLDPP12
77,DOLK11,,,DOLK11
78,DOLK12,,,DOLK12
79,DOLP11ter,,,DOLP11ter
80,DOLP12ter,,,DOLP12ter
81,DPCOAKc,-2.495317504967745,1.768078078353268,DPCOAKc
82,DPCOAtc,4.272460955689894e-06,3.884733087033965e-05,DPCOAtc
83,DPGase,-16.05269271417916,0.693793773651123,DPGase
84,DRPA,21.67088472965018,1.843690276145935,DRPA
85,DTMPK,-1.3781364135178542,0.1503024846315384,DTMPK
86,DUTPDP,-35.29835741843777,0.6570591952626044,DUTPDP
87,DXRI,-13.2376296137126,3.5248648581595066,DXRI
88,DXS,-42.37946932771533,2.3085721870890232,DXS
89,EAR100x_1,,,EAR100x_1
90,EAR120x_1,,,EAR120x_1
91,EAR140x_1,,,EAR140x_1
92,EAR160x_1,,,EAR160x_1
93,EAR40x_1,,,EAR40x_1
94,EAR60x_1,,,EAR60x_1
95,EAR80x_1,,,EAR80x_1
96,ECOAH12,6.783778337164762,5.401597023010254,ECOAH12
97,ECOAH40,,,ECOAH40
98,ECOAH9ir,1.989868310614909,4.660887241363525,ECOAH9ir
99,EHGLAT,0.0160531919059323,1.2945679426193235,EHGLAT
100,ENO,-3.5052927890865195,0.2816460430622101,ENO
101,ETHAK,-15.891202232088474,0.7657935151653232,ETHAK
102,ETHAMPtg,0.0,0.0,ETHAMPtg
103,F6PP,-10.75856215169645,0.4067409038543701,F6PP
104,FA140ACPHi_1,,,FA140ACPHi_1
105,FA160ACPHi_1,,,FA160ACPHi_1
106,FACOAL140,,,FACOAL140
107,FACOAL160,-8.214954412646435,0.796198308467865,FACOAL160
108,FACOAL180,-8.214988744922053,0.7962332963943481,FACOAL180
109,FACOAL181,,,FACOAL181
110,FACOAL1821,-8.21570587714497,0.7962201833724976,FACOAL1821
111,FACOAL204,,,FACOAL204
112,FADtm,51.40103133611029,1.0553964784776326e-05,FADtm
113,FBA,22.09725568852608,0.5638428330421448,FBA
114,FBP,-10.301400417211855,0.8425860404968262,FBP
115,FCLT,304.46596123854425,69.65595579033841,FCLT
116,FCLTm,306.14374678323725,69.65594551044015,FCLTm
117,FE2t,-4.6645060311983215,0.0,FE2t
118,FEtm,31.59964746742701,0.0,FEtm
119,FMNAT,-2.6359816864041434,0.150329001143275,FMNAT
120,FOLD3,,,FOLD3
121,FOLt,-23.43342691615645,1.905577791229146e-05,FOLt
122,FORt2,-5.177599440037567,0.0,FORt2
123,FPGS,32.35692204101297,19.599338927764972,FPGS
124,FPGSa,,,FPGSa
125,FRDPtm,43.71276986532145,4.144552440266125e-05,FRDPtm
126,FRTT,-68.37779773222678,3.581998348236084,FRTT
127,FRUt1r,-13.690665159279828,1.525573679828085e-05,FRUt1r
128,FT,,,FT
129,FUMm,-3.5386156603558483,0.169606015086174,FUMm
130,G3PD1ir,-22.352763664227897,0.7575194819584247,G3PD1ir
131,G3PD1,-22.35275511930602,0.7575146674742256,G3PD1
132,G3PD2m,13.46774388424285,5.1841721534729,G3PD2m
133,G3P_pi_thr,-1.0986328561557455e-05,8.474000787828118e-05,G3P_pi_thr
134,G5SADs,12.218703306976998,3.797974347446312,G5SADs
135,G6PDH2r,-9.724094027439705,0.9001259395281648,G6PDH2r
136,G6PI,0.0,1.7263348127016798e-05,G6PI
137,G6PI3,0.2629088299450295,0.182435542345047,G6PI3
138,G6PP,-10.758921268953232,0.4067519903182983,G6PP
139,GACPAIL_18_0_18_1_16_0ter,,,GACPAIL_18_0_18_1_16_0ter
140,GALUi,-2.502295732635242,0.1503161316262422,GALUi
141,GAPD,2.452034397175256,0.6437074796559572,GAPD
142,GF6PTA,-19.14989380267131,2.324369430541992,GF6PTA
143,GFUCS,-25.68967181497056,2.188355487972085,GFUCS
144,GGTT,-68.37776721464849,3.581977605819702,GGTT
145,GHMT2r,-6.705377617126807,0.7347164154052734,GHMT2r
146,GHMT2rc,-6.705377617126807,0.7347138524055481,GHMT2rc
147,GHMT2rm,-6.685556521306317,0.7347121834754944,GHMT2rm
148,GK1,-1.3722522026896833,0.1503026485443115,GK1
149,GLCt1,-13.691745858360164,1.382079062750563e-05,GLCt1
150,GLNS,-14.263886381782866,0.8914658573286086,GLNS
151,GLNt,-11.39870810244113,2.953866896859836e-06,GLNt
152,GLUCYS,-30.47747485678813,2.177784339887185,GLUCYS
153,GLUDxi,34.258305598017714,0.3379763914297887,GLUDxi
154,GLUDy,34.25827462320428,0.3379964107874839,GLUDy
155,GDH_nadp,34.258281337071466,0.3380001320995658,GDH_nadp
156,GLUSx,-46.003289694777536,1.0118563234791176,GLUSx
157,GLUSy,-46.00325871996411,1.0118506896469706,GLUSy
158,GLUt3,9.122285460462628,0.0,GLUt3
159,XOLESte_16_0,,,XOLESte_16_0
160,GLUtc,0.0,0.0,GLUtc
161,GLYCK2,-9.887114619235213,0.6507767792773697,GLYCK2
162,GLYCLm,29.35182495536891,2.79058051109314,GLYCLm
163,GLYCt,9.127913215757326,7.303526672330918e-06,GLYCt
164,GLYCtc,-1.220703097715159e-06,9.57299107540166e-06,GLYCtc
165,GLYCtm,13.691868864672758,7.316267328860704e-06,GLYCtm
166,GLYK,-15.147297308947929,0.4125921928316036,GLYK
167,GLYOX,-27.481224918394386,2.927012655859907,GLYOX
168,GLYOXc,-27.481228580503757,2.927011941900586,GLYOXc
169,GLYt,-5.691780069013877,0.0,GLYt
170,GLYtc,0.0,0.0,GLYtc
171,GLYtm,8.535053253493622,0.0,GLYtm
