Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,PI4P5K_18_0_20_4,,,PI4P5K_18_0_20_4
1,PI34P5K_18_0_20_4,,,PI34P5K_18_0_20_4
2,PI4P3K_18_0_20_4,,,PI4P3K_18_0_20_4
3,PI4PLC_18_0_20_4,,,PI4PLC_18_0_20_4
4,PIK4_18_0_20_4,,,PIK4_18_0_20_4
5,PIPLC_18_0_20_4,,,PIPLC_18_0_20_4
6,CDIPTr_18_0_20_4,,,CDIPTr_18_0_20_4
7,CDS_18_0_20_4,,,CDS_18_0_20_4
8,LPS2_18_0_20_4,,,LPS2_18_0_20_4
9,DAGK_hs_18_0_20_4,,,DAGK_hs_18_0_20_4
10,PLA2_2_18_0_20_4,,,PLA2_2_18_0_20_4
11,PPAP_18_2_20_4,,,PPAP_18_2_20_4
12,CEPTC_18_0_20_4,,,CEPTC_18_0_20_4
13,AGPAT1_18_2_20_4,,,AGPAT1_18_2_20_4
14,PPAP_18_1_20_4,,,PPAP_18_1_20_4
15,AGPAT1_18_1_20_4,,,AGPAT1_18_1_20_4
16,PI45PLC_18_2_18_2,,,PI45PLC_18_2_18_2
17,PSSA1_hs_18_0_20_4,,,PSSA1_hs_18_0_20_4
18,PI345P3P_18_2_18_2,,,PI345P3P_18_2_18_2
19,PI4P5K_18_2_18_2,,,PI4P5K_18_2_18_2
20,PI34P5K_18_2_18_2,,,PI34P5K_18_2_18_2
21,PI45PLC_18_1_18_2,,,PI45PLC_18_1_18_2
22,PSSA2_hs_18_0_20_4,,,PSSA2_hs_18_0_20_4
23,PI345P3P_18_1_18_2,,,PI345P3P_18_1_18_2
24,PI4P5K_18_1_18_2,,,PI4P5K_18_1_18_2
25,PI34P5K_18_1_18_2,,,PI34P5K_18_1_18_2
26,PI4P3K_18_1_18_2,,,PI4P3K_18_1_18_2
27,PI4PLC_18_1_18_2,,,PI4PLC_18_1_18_2
28,PI4P3K_18_2_18_2,,,PI4P3K_18_2_18_2
29,PI4PLC_18_2_18_2,,,PI4PLC_18_2_18_2
30,PIK4_18_2_18_2,,,PIK4_18_2_18_2
31,PIPLC_18_2_18_2,,,PIPLC_18_2_18_2
32,CDIPTr_18_2_18_2,,,CDIPTr_18_2_18_2
33,CDS_18_2_18_2,,,CDS_18_2_18_2
34,LPS2_18_2_18_2,,,LPS2_18_2_18_2
35,PIK4_18_1_18_2,,,PIK4_18_1_18_2
36,PIPLC_18_1_18_2,,,PIPLC_18_1_18_2
37,DAGK_hs_18_2_18_2,,,DAGK_hs_18_2_18_2
38,CDIPTr_18_1_18_2,,,CDIPTr_18_1_18_2
39,CEPTE_18_0_20_4,,,CEPTE_18_0_20_4
40,CDS_18_1_18_2,,,CDS_18_1_18_2
41,LPS2_18_1_18_2,,,LPS2_18_1_18_2
42,DAGK_hs_18_1_18_2,,,DAGK_hs_18_1_18_2
43,PLA2_2_18_1_18_2,,,PLA2_2_18_1_18_2
44,PLA2_2_18_2_18_2,,,PLA2_2_18_2_18_2
45,CEPTC_18_2_18_2,,,CEPTC_18_2_18_2
46,PSSA1_hs_18_2_18_2,,,PSSA1_hs_18_2_18_2
47,PSSA2_hs_18_2_18_2,,,PSSA2_hs_18_2_18_2
48,CEPTE_18_2_18_2,,,CEPTE_18_2_18_2
49,PPAP_18_2_18_2,,,PPAP_18_2_18_2
50,CEPTC_18_1_18_2,,,CEPTC_18_1_18_2
51,PSSA1_hs_18_1_18_2,,,PSSA1_hs_18_1_18_2
52,PSSA2_hs_18_1_18_2,,,PSSA2_hs_18_1_18_2
53,CEPTE_18_1_18_2,,,CEPTE_18_1_18_2
54,AGPAT1_18_2_18_2,,,AGPAT1_18_2_18_2
55,PI45PLC_18_1_20_4,,,PI45PLC_18_1_20_4
56,PI345P3P_18_1_20_4,,,PI345P3P_18_1_20_4
57,PPAP_18_1_18_2,,,PPAP_18_1_18_2
58,PPAP_18_0_20_4,,,PPAP_18_0_20_4
59,AGPAT1_18_1_18_2,,,AGPAT1_18_1_18_2
60,PI45PLC_18_1_18_1,,,PI45PLC_18_1_18_1
61,PI4P5K_18_1_20_4,,,PI4P5K_18_1_20_4
62,PI34P5K_18_1_20_4,,,PI34P5K_18_1_20_4
63,PI4P3K_18_1_20_4,,,PI4P3K_18_1_20_4
64,PI4PLC_18_1_20_4,,,PI4PLC_18_1_20_4
