Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,3HAD161,,,3HAD161
1,EX_6apa_e,,,EX_6apa_e
2,4H3NALDD,-52.88250698536851,2.949453305194826,4H3NALDD
3,SALCNtex,7.629394644936838e-07,1.3497777217708062e-05,SALCNtex
4,ENLIPIDAt2ex,,,ENLIPIDAt2ex
5,EX_4hoxpac_e,,,EX_4hoxpac_e
6,EX_peng_e,,,EX_peng_e
7,EX_pac_e,,,EX_pac_e
8,3HAD180,-0.4139018529863705,2.6628034114837646,3HAD180
9,3HAD181,,,3HAD181
10,3HAD40,,,3HAD40
11,3HAD60,-0.0333638364825326,2.6801767349243164,3HAD60
12,EX_salcn_e,,,EX_salcn_e
13,DM_4crsol_c,,,DM_4crsol_c
14,DM_5drib_c,,,DM_5drib_c
15,ACGAL6PISO,,,ACGAL6PISO
16,3HAD80,-0.413908260485563,2.662811040878296,3HAD80
17,HEPKA2,,,HEPKA2
18,DM_aacald_c,,,DM_aacald_c
19,3HCINNMH,-400.7356946458337,7.2592973069267615,3HCINNMH
20,DM_amob_c,,,DM_amob_c
21,DM_mththf_c,,,DM_mththf_c
22,3HPPPNH,-400.5584025095441,6.7947877359345625,3HPPPNH
23,DM_oxam_c,,,DM_oxam_c
24,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
25,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
26,EX_5mtr_e,,,EX_5mtr_e
27,3HPPtex,-1.5258789289873675e-06,6.651152034464758e-06,3HPPtex
28,EX_LalaDglu_e,,,EX_LalaDglu_e
29,EX_LalaDgluMdap_e,,,EX_LalaDgluMdap_e
30,EX_LalaDgluMdapDala_e,,,EX_LalaDgluMdapDala_e
31,EX_LalaLglu_e,,,EX_LalaLglu_e
32,EX_ac_e,,,EX_ac_e
33,EX_acac_e,,,EX_acac_e
34,EX_acald_e,,,EX_acald_e
35,EX_acgal_e,,,EX_acgal_e
36,EX_acgal1p_e,,,EX_acgal1p_e
37,EX_acgam_e,,,EX_acgam_e
38,EX_12ppd__R_e,,,EX_12ppd__R_e
39,EX_12ppd__S_e,,,EX_12ppd__S_e
40,EX_14glucan_e,,,EX_14glucan_e
41,EX_15dap_e,,,EX_15dap_e
42,EX_23camp_e,,,EX_23camp_e
43,EX_23ccmp_e,,,EX_23ccmp_e
44,EX_23cgmp_e,,,EX_23cgmp_e
45,EX_23cump_e,,,EX_23cump_e
46,EX_23dappa_e,,,EX_23dappa_e
47,EX_26dap__M_e,,,EX_26dap__M_e
48,EX_2ddglcn_e,,,EX_2ddglcn_e
49,EX_34dhpac_e,,,EX_34dhpac_e
50,EX_3amp_e,,,EX_3amp_e
51,EX_acgam1p_e,,,EX_acgam1p_e
52,EX_acmana_e,,,EX_acmana_e
53,EX_acmum_e,,,EX_acmum_e
54,EX_acnam_e,,,EX_acnam_e
55,EX_3cmp_e,,,EX_3cmp_e
56,3HPPtpp,-5.056904020252682,5.980199567341744e-06,3HPPtpp
57,EX_3gmp_e,,,EX_3gmp_e
58,EX_3hcinnm_e,,,EX_3hcinnm_e
59,EX_acolipa_e,,,EX_acolipa_e
60,EX_acser_e,,,EX_acser_e
61,EX_ade_e,,,EX_ade_e
62,3KGK,-26.915208452969484,0.4125837146475737,3KGK
63,EX_adn_e,,,EX_adn_e
64,EX_3hpp_e,,,EX_3hpp_e
65,EX_3hpppn_e,,,EX_3hpppn_e
66,EX_3ump_e,,,EX_3ump_e
67,EX_4abut_e,,,EX_4abut_e
68,EX_4hoxpacd_e,,,EX_4hoxpacd_e
69,EX_adocbl_e,,,EX_adocbl_e
70,EX_ag_e,,,EX_ag_e
71,EX_agm_e,,,EX_agm_e
72,EX_akg_e,,,EX_akg_e
73,EX_ala_B_e,,,EX_ala_B_e
74,EX_5dglcn_e,,,EX_5dglcn_e
75,EX_ala__D_e,,,EX_ala__D_e
76,3NTD2pp,-23.91605758666992,1.880055904388428,3NTD2pp
77,EX_ala__L_e,,,EX_ala__L_e
78,EX_alaala_e,,,EX_alaala_e
