Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,ASNSERNaEx,-2.844924576038025,2.5211656975443475e-05,ASNSERNaEx
1,P4502D6,-405.0366812756723,4.263212833734027,P4502D6
2,P4502E1,,,P4502E1
3,P4502F1,,,P4502F1
4,P4503A5,,,P4503A5
5,P4504F123r,-393.2125560413151,3.387893880827076,P4504F123r
6,FAS100ACP,,,FAS100ACP
7,FAS140ACP,,,FAS140ACP
8,FAS160ACP,,,FAS160ACP
9,FAS180ACP,,,FAS180ACP
10,FAS80ACP_L,,,FAS80ACP_L
11,LEUKTRC4t,-50.13311293748802,3.192552685504779e-05,LEUKTRC4t
12,KAS8,-484.3379402226044,21.894556432613985,KAS8
13,ACCOAC,0.1423263768706525,2.104697019708779,ACCOAC
14,ASNt4,-10.802194629826168,1.2368329407763667e-05,ASNt4
15,ASNTHRNaEx,-0.5585624986654558,1.6504198356415145e-05,ASNTHRNaEx
16,GPIMTer,,,GPIMTer
17,PRO1x,48.604823837816696,2.7739463313928225,PRO1x
18,H2MTer,,,H2MTer
19,H5MTer,,,H5MTer
20,FBA4,17.846068682972557,1.989885091781616,FBA4
21,ASPPROASCT1,1.6734920943927776,2.163306817237753e-05,ASPPROASCT1
22,GCALDD,-46.335225381932105,2.3204016568768617,GCALDD
23,FAH1,,,FAH1
24,FAH2,,,FAH2
25,BILDGLCURt,,,BILDGLCURt
26,FAH3,,,FAH3
27,GLXO1,-27.766452678288967,3.932147036963874,GLXO1
28,BILGLCURt,,,BILGLCURt
29,BILIRUBt2,-37.593821882408925,3.85247367375996e-05,BILIRUBt2
30,BTNt3,-18.86993059836008,1.2355145372566769e-05,BTNt3
31,BTNt3i,-46.63242822564258,0.3305141927995109,BTNt3i
32,P4502A6,,,P4502A6
33,P4502C18,,,P4502C18
34,P4502C19,,,P4502C19
35,P4502C8,-391.74979144373873,3.416108662098824,P4502C8
36,P4502C9,-396.8979692392197,4.889097832516072,P4502C9
37,BUTt2r,,,BUTt2r
38,CHOLATEt,-43.29843391020743,3.272645699325949e-05,CHOLATEt
39,HPYRR2x,-30.303597714106083,0.4567676030208882,HPYRR2x
40,CHOLESTle,-12.411614145648858,6.545557377355629,CHOLESTle
41,ASNGLNNaEx,0.5965103445633027,1.593228807905689e-05,ASNGLNNaEx
42,HPYRRx,-30.303597714106083,0.4567676030208882,HPYRRx
43,P4502C92,-399.4922659778115,2.8380739548842286,P4502C92
44,P4502C93,-390.1683157826945,3.078890003889069,P4502C93
45,LYSt4,-18.859019026205267,8.176632945833262e-06,LYSt4
46,P4502C94,,,P4502C94
47,CLHCO3tex2,1.201860052931814,1.220703143189894e-05,CLHCO3tex2
48,BDMT_cho,,,BDMT_cho
49,DOLASNTer,,,DOLASNTer
50,LYSt5r,-17.105387223534798,7.130933681764873e-06,LYSt5r
51,DOLPGT1er,,,DOLPGT1er
