Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,24_25VITD2Hm,,,24_25VITD2Hm
1,24_25VITD3Hm,,,24_25VITD3Hm
2,25HVITD2t,,,25HVITD2t
3,25HVITD2tm,,,25HVITD2tm
4,25HVITD3c,,,25HVITD3c
5,25HVITD3t,,,25HVITD3t
6,25HVITD3tm,,,25HVITD3tm
7,25VITD2Hm,,,25VITD2Hm
8,25VITD3Hm,,,25VITD3Hm
9,2AMACHYD,-18.631155424587263,8.020648956298828,2AMACHYD
10,2AMACSULT,-113.60048438959464,27.031681060791016,2AMACSULT
11,10FTHF5GLUtl,-436.9417031794084,3.102604023297317e-05,10FTHF5GLUtl
12,10FTHF5GLUtm,-205.3873064837116,3.1661897082813084e-05,10FTHF5GLUtm
13,10FTHF6GLUtl,-504.7691180162817,4.130146044190042e-05,10FTHF6GLUtl
14,2AMADPTm,27.324652571955426,2.860198947018944e-05,2AMADPTm
15,10FTHF6GLUtm,-237.3274259334153,4.902229193248786e-05,10FTHF6GLUtm
16,2AOBUTtm,28.833555226452045,1.1616740266617852e-05,2AOBUTtm
17,10FTHF7GLUtl,-553.5328427526473,3.990691038779914e-05,10FTHF7GLUtl
18,10FTHF7GLUtm,-260.1586519003,4.9795104132499546e-05,10FTHF7GLUtm
19,2DR1PP,-16.15342045325208,1.5197203159332275,2DR1PP
20,10FTHFtl,-204.30991517827243,2.939050500572193e-05,10FTHFtl
21,10FTHFtm,95.74802732466812,2.435868555039633e-05,10FTHFtm
22,2HBO,21.722620845229805,1.3927077867598443,2HBO
23,11DOCRTSLtm,,,11DOCRTSLtm
24,11DOCRTSLtr,,,11DOCRTSLtr
25,11DOCRTSTRNtm,,,11DOCRTSTRNtm
26,11DOCRTSTRNtr,,,11DOCRTSTRNtr
27,13DAMPPOX,,,13DAMPPOX
28,3SALACBOXL_cho,,,3SALACBOXL_cho
29,1MNCAMti,-12.845431989969946,0.3305143465309826,1MNCAMti
30,2HBt2,-12.023026934585149,0.0,2HBt2
31,1PPDCRp,-36.062619018554685,1.013193192160768,1PPDCRp
32,1a25DHVITD3TRn,,,1a25DHVITD3TRn
33,1a_24_25VITD2Hm,,,1a_24_25VITD2Hm
34,3SALAOX,-505.7739960151744,22.33596429269396,3SALAOX
35,3SALATAi,,,3SALATAi
36,3SALATAim,,,3SALATAim
37,1a_24_25VITD3Hm,,,1a_24_25VITD3Hm
38,3SPYRSP,,,3SPYRSP
39,1a_25VITD2Hm,,,1a_25VITD2Hm
40,2HCO3_NAt,-4.157358698695122,3.4283835702808574e-05,2HCO3_NAt
41,1a_25VITD3Hm,,,1a_25VITD3Hm
42,24NPHte,,,24NPHte
43,3SPYRSPm,,,3SPYRSPm
