Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_tyr__L_e,,,EX_tyr__L_e
1,EX_val__L_e,,,EX_val__L_e
2,EX_ser__D_e,,,EX_ser__D_e
3,EX_orn_e,,,EX_orn_e
4,GGTT,-69.0210302092151,3.58198356628418,GGTT
5,DRPA,21.72502815307072,1.843690276145935,DRPA
6,HEXTT,-69.02105309739903,3.581971406936645,HEXTT
7,EX_ptrc_e,,,EX_ptrc_e
8,PPM2,-5.447524658109177,1.5421578884124756,PPM2
9,G1PTT,8.805075537291941,0.1503074359635567,G1PTT
10,HCO3E,-18.23617767485185,1.863337208203711,HCO3E
11,CYTBD,-135.89966706997907,26.289799183675783,CYTBD
12,MAN6PI,0.2607121873618467,0.1824333518743515,MAN6PI
13,NO3R2,-72.41036457476426,23.79807946497374,NO3R2
14,TDPGDH,-40.27070326504019,2.6688544750213623,TDPGDH
15,PPA,-26.703922133747877,0.2858358037874161,PPA
16,TDPDRE,-4.882812390860636e-06,2.9499624361051247e-05,TDPDRE
17,TDPDRR,-25.689664575793547,2.188348206120507,TDPDRR
18,PPK,-10.872378943935672,0.3840047717094421,PPK
19,GCALDD,-58.39539146642699,2.320403062477957,GCALDD
20,MAN1PT,8.795266239112582,0.1503046938838032,MAN1PT
21,GLUSy,-46.004836986071616,1.0118445956099418,GLUSy
22,TRE6PH,-14.351038024383849,1.09461772441864,TRE6PH
23,UAGDP,8.795481313020149,0.1503080557525039,UAGDP
24,NTRIR2x,-372.4437532498549,2.757916929914868,NTRIR2x
25,UAG2EMA,-35.84385779116222,1.3310541776740352,UAG2EMA
26,G6PI,1.220703097715159e-06,1.2145844266342465e-05,G6PI
27,NTRIR2y,-372.443324235484,2.757961278734504,NTRIR2y
28,FBP,-9.969019513536924,0.8425885438919067,FBP
29,FBA,22.1174296034464,0.5638502836227417,FBA
30,UAG2E,9.765624781721272e-06,4.784160046256147e-05,UAG2E
31,UACMAMO,-23.891120841352997,2.2086127481947035,UACMAMO
32,UAGCVT,-21.134740253522125,4.370319366455078,UAGCVT
33,UAPGR,-48.82804813462159,4.995643981193792,UAPGR
34,AHEXASE3,,,AHEXASE3
35,PPM,-6.936267238211066,0.5356373190879822,PPM
36,PMANM,-6.936139276360287,0.5356398820877075,PMANM
37,FBA2,21.312231800503756,0.6808802485466003,FBA2
38,TPI,5.299522488357354,0.558409571647644,TPI
39,GAPD,2.142466465643366,0.6437022412868583,GAPD
40,ASPT,12.49679149130808,0.4015115797519684,ASPT
41,PGK,19.5990301371955,0.5751698017120361,PGK
42,PGM,-4.37498454048221,0.2890390455722809,PGM
43,GLUSx_copy1,-46.00497632875257,1.0118594092593494,GLUSx_copy1
44,ENO,-3.1878348396557863,0.2816460430622101,ENO
45,UAG4E,1.220703143189894e-05,6.342959386529401e-05,UAG4E
46,NPPDO,-461.42970607427446,50.54656986460982,NPPDO
47,PPS,-22.355255524578777,0.6807692857028688,PPS
48,ACS,-5.873259758542311,0.4244585633277893,ACS
49,DAAD,24.79905072796885,5.240170955657959,DAAD
50,CS,-47.97774695575996,0.4836105691411491,CS
51,LDH_D,25.71718817802684,0.6792196140572168,LDH_D
52,ALDD2x,-57.05100776325691,1.3046662513936624,ALDD2x
53,PPAKr,,,PPAKr
54,ACCOAC,-11.50624558553317,2.104693098184338,ACCOAC
55,ALCD2x,20.03209766319668,0.8558077940556271,ALCD2x
56,ADSK,-14.49349718744246,1.768097857172216,ADSK
57,ACKr,15.307387903765118,0.7306325435638428,ACKr
58,SADT,58.358741692341205,0.6714393842536305,SADT
59,MALS,-59.02871563877485,1.5501313128526275,MALS
60,LGTHL,-18.06432651414105,2.523571252822876,LGTHL
61,ACONT,7.748952506698647,0.2819026410579681,ACONT
62,GDH1,25.0084250136578,0.3379747846117367,GDH1
63,AKGDa,-25.278799209675213,2.4348434890978754,AKGDa
64,PTAr,10.882758620610105,0.738987922668457,PTAr
65,PTA2,12.545127421657032,1.2565301656723022,PTA2
66,PPC,-50.90020426382553,1.7534724368495953,PPC
67,ME1,27.573780976259563,1.7394379377365112,ME1
68,ME2,27.57365628201611,1.7394251823425293,ME2
69,ICDHyr,20.14419887494271,2.2264933586120605,ICDHyr
70,AKGDb,0.7735931781763554,0.6157050132751465,AKGDb
71,MDH,28.89640500241589,0.3389044203605526,MDH
72,ACACT1r,26.759680051641794,0.9905762672424316,ACACT1r
73,GLUDy,34.21643774852334,0.3379977879655568,GLUDy
74,LDH_L,25.717187872851056,0.6792191486670647,LDH_L
75,SUCOAS,1.4422534009293742,0.3724893033504486,SUCOAS
76,IPDPS,-65.94290512671692,3.589618381711318,IPDPS
77,FUM,-3.5386137530072155,0.1696076244115829,FUM
78,FRD2,-15.796205210158991,23.51454734802246,FRD2
79,FRD3,-10.011949915001102,20.938282012939453,FRD3
80,GLYOX,-40.37031733525805,2.92701353775003,GLYOX
81,PAPSR,-53.66058184407265,2.880401932025173,PAPSR
82,RPE,-3.662109293145477e-06,2.704897087824065e-05,RPE
83,RPI,4.938287351980755,0.6056742072105408,RPI
84,DMALRED,16.58821203398027,5.14632511138916,DMALRED
85,TKT1,6.258260273275631,0.8721690773963928,TKT1
86,MCOATA,-2.005185512581969,2.236888885498047,MCOATA
87,TKT2,-8.182916139247137,1.4840925931930542,TKT2
88,TALA,-2.1521136193959123,1.0990513563156128,TALA
89,EDA,15.308494091650582,1.0879549980163574,EDA
90,IPPS,-40.4337735052184,3.0340087411772294,IPPS
91,GNK,-26.89853880372128,0.4125860721672933,GNK
92,SULR,-101.49646717894436,2.899779083636122,SULR
93,EDD,-39.65160354793134,1.5208804607391355,EDD
94,ACOATA,-2.0043639647633853,1.5570597648620603,ACOATA
95,UDPGD,-23.89375438566932,2.2085825139231243,UDPGD
96,FRUK,-27.09294916362712,0.4125801651103674,FRUK
97,FCLPA,16.20080871275327,1.1469141244888306,FCLPA
98,PEPCK_re,13.324015070512552,1.8476366996765137,PEPCK_re
99,ICL,16.731204810217918,1.5932658910751345,ICL
100,GALUi,8.805885909279807,0.150311700552125,GALUi
101,UDPG4E,-2.441406195430318e-06,2.429168853268493e-05,UDPG4E
102,TRE6PS,-22.65909003318901,1.3334818736672718,TRE6PS
103,TRE6PP,-10.395760857977606,0.4067488014698028,TRE6PP
104,FDH,-0.4629093905168702,1.9573286771774288,FDH
105,PGLYCP,-12.668867983987443,1.2646238803863523,PGLYCP
106,TRSARr,-28.724679273563048,2.5669853758934544,TRSARr
107,GF6PTA,-19.46553638249817,2.324366807937622,GF6PTA
108,TARTRDH,27.888931613556142,2.1880470152506803,TARTRDH
109,RDXR,,,RDXR
110,TARTRDH2,27.888930392853016,2.188046607662926,TARTRDH2
111,MALDDH,27.573783837282512,1.7394309043884275,MALDDH
112,HPYRI,-1.5789403014088703,2.6093599796295166,HPYRI
113,MCITS,-48.58467301922198,2.0039232917660708,MCITS
114,MCITL2,6.954934327685404,1.871232390403748,MCITL2
115,ACLDC,-13.926148991421451,4.938584860592227,ACLDC
116,PGAMT,-6.373982067076888,1.0683931112289429,PGAMT
117,G1PACT,-52.85310873249332,4.410633035199486,G1PACT
118,GLUPRT,-37.5053371984034,5.77500581741333,GLUPRT
119,ETHAAL,-31.948718324744355,2.0693647861480717,ETHAAL
120,PRPPS,-20.19916108362157,0.574010748164519,PRPPS
121,PPCOAC,-15.462895168212846,1.8636761918190845,PPCOAC
122,DMATT,-69.02101496196512,3.5819625854492188,DMATT
123,SSALx,-49.9010112298923,1.4856076219907397,SSALx
124,DXPS,-30.2861265175486,2.308575066144308,DXPS
125,HACD1,-19.17590632101282,0.7722971252438531,HACD1
126,PPRGL,-48.17668138546974,5.481978955915513,PPRGL
127,SSALy,-49.90115057257325,1.485652041324257,SSALy
128,DXPRIi,-13.23497552441916,3.5248730028970243,DXPRIi
129,ABTA,0.7481429020904766,1.552648663520813,ABTA
130,PRFGS,-7.923132281978202,6.468007674039648,PRFGS
131,GARFT,-11.129112391772418,3.92040183874086,GARFT
132,PRFGCL,-13.782116439295049,11.006314277648926,PRFGCL
133,MEPCT,8.593730970546765,0.1503122810859831,MEPCT
134,PRASCSi,-17.616548194695614,6.842305218052538,PRASCSi
135,BDH,11.718466464700349,0.908423890719365,BDH
136,MECDPS,0.0389004560174086,0.0001715630787657,MECDPS
137,MECDPDH2,-106.10000361614873,5.801204204559326,MECDPDH2
138,HBCO_nadp,-19.17576697833184,0.7722963309418373,HBCO_nadp
139,GRTT,-69.02104546800419,3.581982374191284,GRTT
140,GLYCK,-26.244932231528747,0.5683960641954685,GLYCK
141,GLYK,-26.97623653945216,0.41259075252973,GLYK
142,BTDD_RR,,,BTDD_RR
143,AIRC1,-54.57842926499756,3.341595428250336,AIRC1
144,ADSL1r,10.985149331149817,1.0199967622756958,ADSL1r
145,G3PD2,22.24369274577,0.7575198533624375,G3PD2
146,IMPC,7.363800370999648,12.060501098632812,IMPC
147,ADSS,-25.328998825389544,1.0285742414954482,ADSS
148,IMPD,-7.191083649136758,1.911799897054105,IMPD
149,G3PD5,-52.68495497916089,26.20755195617676,G3PD5
150,ACTD,8.232164693519033,4.071602792217116,ACTD
151,ACTDa,8.23202535083808,4.071606056459273,ACTDa
152,GK2,-0.5723494992527023,0.1502989381551742,GK2
153,G3PD6,-28.94310895957011,23.153818130493164,G3PD6
154,GMPS2,-55.67215626096478,9.2609656510935,GMPS2
155,G3PD4,-28.9431490138914,23.1538200378418,G3PD4
156,DGK1,-0.5764223498644512,0.1503441929817199,DGK1
157,ADA,-10.730788005032103,0.5803424461920526,ADA
158,NDPK4,-3.8136831889801215e-05,0.0002515833475627,NDPK4
159,OCOAT1,9.438112219788248,1.0846210718154907,OCOAT1
160,DAGK160,-26.344245280221838,0.568383206112359,DAGK160
161,MMSAD3,-16.118141819427706,2.3320255279541016,MMSAD3
162,NTD11,-10.396388335235605,0.4067275524139404,NTD11
163,BPNT,-23.14787004190513,1.88007652759552,BPNT
164,NTD7,-10.401144723271404,0.4067428708076477,NTD7
165,NDPK8,-7.255916834481013e-06,0.0002392079768469,NDPK8
166,DURIPP,-2.391910958790268,2.11318302154541,DURIPP
167,TMDPP,-1.7050279140794622,2.21897554397583,TMDPP
168,NDPK1,-0.0001197044990988,0.0002063529827864,NDPK1
169,NDPK5,-6.541625794653783e-05,0.0002296868915436,NDPK5
170,NDPK9,3.285436206823533e-05,0.0002153979148715,NDPK9
171,CSND,-10.596768122192527,1.6584543735059312,CSND
172,GPDDA2,-35.40432250300583,2.138063136093272,GPDDA2
173,GPDDA1,-34.8041058387246,2.2038330838068845,GPDDA1
174,MCSNAH,-10.79186261774842,3.2376077224114987,MCSNAH
175,NDPK10,-0.000412716343817,0.0002024307177634,NDPK10
176,CYTD,-10.044785209216013,0.922963366220136,CYTD
177,DASYN160,,,DASYN160
178,ASNS1,-47.397919471139865,0.9287755378709712,ASNS1
179,NDPK2,-1.664453101568597e-05,0.0002888297894969,NDPK2
180,NDPK3,-9.506132059300398e-05,0.0002266566589241,NDPK3
181,HXPRT,-19.58670888233933,0.6104066371917725,HXPRT
182,NDPK6,-1.6732662587060076e-05,0.0002673980488907,NDPK6
183,PSSA160,,,PSSA160
184,NTPP8,-47.86551037425156,0.6570732017650208,NTPP8
185,RNDR4,-59.05929904008604,2.909300804138184,RNDR4
186,PSD160,-6.236566730995861,40.54990656680976,PSD160
187,GLUTRS,,,GLUTRS
188,XPPT,-16.44752908322397,1.7072365283966064,XPPT
189,NTD2,-10.39695307544268,0.4067528843879699,NTD2
190,PGSA160,,,PGSA160
191,NTD4,-10.3972143339513,0.4067420959472656,NTD4
192,NTD3,-10.401285599820827,0.4067391455173492,NTD3
193,ADPT,-19.59215374450143,0.6103998422622681,ADPT
194,NTPTP1,-20.890341722548836,0.5909656882286072,NTPTP1
195,OMCDC,-1.3385146428304058,4.190628009699962,OMCDC
196,GTPDPK,-14.406359705748262,1.768098443201173,GTPDPK
197,PPGPPDP,-33.46726306550327,2.068803071975708,PPGPPDP
