Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,ACACT3r,,,ACACT3r
1,AMPTASECG,3.367360769836374,2.543764591217041,AMPTASECG
2,ANPRT,-28.858184809507627,5.503780841827393,ANPRT
3,ANS,-211.6660164873462,8.178831764342087,ANS
4,FE3HOXabcpp,-29.018899280812235,0.3305166300100171,FE3HOXabcpp
5,ACACT4r,26.319888880589478,1.496716856956482,ACACT4r
6,ACACT5r,26.31989078793808,1.4967360496520996,ACACT5r
7,ACACt2pp,5.056005709570648,8.068422892091238e-06,ACACt2pp
8,ACCOAC,-11.506244364830046,2.1047002061851146,ACCOAC
9,ACALD,-15.05010460120985,1.0461741151103956,ACALD
10,PE180abcpp,-271.47367746446434,0.3305292873411575,PE180abcpp
11,ACANTHAT,-24.52204229747558,4.800323486328125,ACANTHAT
12,ACBIPGT,8.543669030912731,0.1503134480206578,ACBIPGT
13,PE181abcpp,-260.0637869953528,0.3305150468084867,PE181abcpp
14,PG120abcpp,-203.01973577844484,0.330520541740206,PG120abcpp
15,PG140abcpp,-225.8395130545572,0.3305199510529946,PG140abcpp
16,PG141abcpp,-214.4296256372044,0.3305067251405251,PG141abcpp
17,PG160abcpp,-248.65929765488832,0.3305241659218749,PG160abcpp
18,NDPK8,-4.814510639050695e-06,0.0002379463257966,NDPK8
19,PG161abcpp,-237.24941328929333,0.330509543101959,PG161abcpp
20,PG180abcpp,-271.47908469662616,0.3305278661023568,PG180abcpp
21,PG181abcpp,,,PG181abcpp
22,PGP120abcpp,-200.6373286515467,0.3305139402826353,PGP120abcpp
23,PGP161abcpp,,,PGP161abcpp
24,PGP180abcpp,-269.0966604798843,0.3305128190860931,PGP180abcpp
25,PGP140abcpp,-223.45710287590168,0.3305208900104758,PGP140abcpp
26,PGP141abcpp,-212.04721362749373,0.3305173632506172,PGP141abcpp
27,ECOAH5,0.6533757990807691,1.8103752136230469,ECOAH5
28,CBL1tonex,-9.2081423119215,5.899924791794225e-05,CBL1tonex
29,EAR141y,,,EAR141y
30,EAR160x,,,EAR160x
31,EAR160y,,,EAR160y
32,EAR161x,,,EAR161x
33,EAR161y,,,EAR161y
