Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_mmet_e,,,EX_mmet_e
1,EX_mn2_e,,,EX_mn2_e
2,EX_mnl_e,,,EX_mnl_e
3,EX_mobd_e,,,EX_mobd_e
4,EX_mso3_e,,,EX_mso3_e
5,EX_n2o_e,,,EX_n2o_e
6,EX_na1_e,,,EX_na1_e
7,EX_nac_e,,,EX_nac_e
8,EX_nh4_e,,,EX_nh4_e
9,EX_ni2_e,,,EX_ni2_e
10,EX_nmn_e,,,EX_nmn_e
11,EX_no_e,,,EX_no_e
12,EX_no2_e,,,EX_no2_e
13,EX_no3_e,,,EX_no3_e
14,EX_doxrbcn_e,,,EX_doxrbcn_e
15,EX_ac_e,,,EX_ac_e
16,EX_acac_e,,,EX_acac_e
17,EX_acald_e,,,EX_acald_e
18,EX_acgal_e,,,EX_acgal_e
19,EX_dtmp_e,,,EX_dtmp_e
20,EX_dump_e,,,EX_dump_e
21,EX_acgal1p_e,,,EX_acgal1p_e
22,DM_4crsol_c,,,DM_4crsol_c
23,EX_duri_e,,,EX_duri_e
24,EX_acgam_e,,,EX_acgam_e
25,EX_acgam1p_e,,,EX_acgam1p_e
26,EX_eca4colipa_e,,,EX_eca4colipa_e
27,EX_acmana_e,,,EX_acmana_e
28,EX_acmum_e,,,EX_acmum_e
29,EX_enlipa_e,,,EX_enlipa_e
30,EX_acnam_e,,,EX_acnam_e
31,EX_acolipa_e,,,EX_acolipa_e
32,EX_enter_e,,,EX_enter_e
33,EX_acser_e,,,EX_acser_e
34,EX_etha_e,,,EX_etha_e
35,EX_ade_e,,,EX_ade_e
36,EX_adn_e,,,EX_adn_e
37,EX_adocbl_e,,,EX_adocbl_e
38,EX_ag_e,,,EX_ag_e
39,EX_agm_e,,,EX_agm_e
40,EX_akg_e,,,EX_akg_e
41,EX_ala_B_e,,,EX_ala_B_e
42,EX_ala__D_e,,,EX_ala__D_e
43,EX_ala__L_e,,,EX_ala__L_e
44,EX_alaala_e,,,EX_alaala_e
45,DM_5drib_c,,,DM_5drib_c
46,DM_aacald_c,,,DM_aacald_c
47,DM_amob_c,,,DM_amob_c
48,DM_mththf_c,,,DM_mththf_c
49,DM_oxam_c,,,DM_oxam_c
50,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
51,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
52,EX_12ppd__R_e,,,EX_12ppd__R_e
53,EX_all__D_e,,,EX_all__D_e
54,EX_ethso3_e,,,EX_ethso3_e
55,EX_alltn_e,,,EX_alltn_e
56,EX_12ppd__S_e,,,EX_12ppd__S_e
57,EX_14glucan_e,,,EX_14glucan_e
58,EX_amp_e,,,EX_amp_e
59,EX_15dap_e,,,EX_15dap_e
60,EX_etoh_e,,,EX_etoh_e
61,EX_23camp_e,,,EX_23camp_e
62,EX_anhgm_e,,,EX_anhgm_e
63,EX_arab__L_e,,,EX_arab__L_e
64,EX_f6p_e,,,EX_f6p_e
65,EX_arbt_e,,,EX_arbt_e
66,EX_arbtn_e,,,EX_arbtn_e
67,EX_23ccmp_e,,,EX_23ccmp_e
68,EX_23cgmp_e,,,EX_23cgmp_e
69,EX_23cump_e,,,EX_23cump_e
70,EX_23dappa_e,,,EX_23dappa_e
71,EX_26dap__M_e,,,EX_26dap__M_e
72,EX_2ddglcn_e,,,EX_2ddglcn_e
73,EX_34dhpac_e,,,EX_34dhpac_e
74,EX_3amp_e,,,EX_3amp_e
75,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
76,EX_arg__L_e,,,EX_arg__L_e
77,EX_ascb__L_e,,,EX_ascb__L_e
78,EX_asn__L_e,,,EX_asn__L_e
79,EX_aso3_e,,,EX_aso3_e
80,EX_asp__L_e,,,EX_asp__L_e
81,EX_btn_e,,,EX_btn_e
82,EX_3cmp_e,,,EX_3cmp_e
83,EX_3gmp_e,,,EX_3gmp_e
84,EX_but_e,,,EX_but_e
85,EX_3hcinnm_e,,,EX_3hcinnm_e
86,EX_butso3_e,,,EX_butso3_e
87,EX_fald_e,,,EX_fald_e
88,EX_ca2_e,,,EX_ca2_e
89,EX_cbi_e,,,EX_cbi_e
90,EX_3hpp_e,,,EX_3hpp_e
91,EX_3hpppn_e,,,EX_3hpppn_e
92,EX_3ump_e,,,EX_3ump_e
93,EX_cbl1_e,,,EX_cbl1_e
94,EX_cd2_e,,,EX_cd2_e
95,EX_4abut_e,,,EX_4abut_e
96,EX_cgly_e,,,EX_cgly_e
97,EX_fe2_e,,,EX_fe2_e
98,EX_chol_e,,,EX_chol_e
99,EX_4hoxpacd_e,,,EX_4hoxpacd_e
100,EX_5dglcn_e,,,EX_5dglcn_e
101,EX_chtbs_e,,,EX_chtbs_e
102,EX_fe3_e,,,EX_fe3_e
103,EX_cit_e,,,EX_cit_e
