Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_idon__L_e,,,EX_idon__L_e
1,EX_ile__L_e,,,EX_ile__L_e
2,EX_imp_e,,,EX_imp_e
3,EX_indole_e,,,EX_indole_e
4,EX_feenter_e,,,EX_feenter_e
5,EX_galct__D_e,,,EX_galct__D_e
6,EX_galctn__D_e,,,EX_galctn__D_e
7,EX_galctn__L_e,,,EX_galctn__L_e
8,EX_inost_e,,,EX_inost_e
9,EX_feoxam_e,,,EX_feoxam_e
10,EX_ins_e,,,EX_ins_e
11,EX_feoxam_un_e,,,EX_feoxam_un_e
12,EX_g3pc_e,,,EX_g3pc_e
13,EX_galt_e,,,EX_galt_e
14,EX_hxan_e,,,EX_hxan_e
15,EX_g3pe_e,,,EX_g3pe_e
16,EX_g3pg_e,,,EX_g3pg_e
17,EX_for_e,,,EX_for_e
18,EX_fru_e,,,EX_fru_e
19,EX_frulys_e,,,EX_frulys_e
20,EX_fruur_e,,,EX_fruur_e
21,EX_fuc__L_e,,,EX_fuc__L_e
22,EX_g3pi_e,,,EX_g3pi_e
23,EX_g3ps_e,,,EX_g3ps_e
24,EX_isetac_e,,,EX_isetac_e
25,EX_g6p_e,,,EX_g6p_e
26,EX_fum_e,,,EX_fum_e
27,EX_fusa_e,,,EX_fusa_e
28,EX_g1p_e,,,EX_g1p_e
29,EX_gal_e,,,EX_gal_e
30,EX_k_e,,,EX_k_e
31,EX_gal_bD_e,,,EX_gal_bD_e
32,EX_gal1p_e,,,EX_gal1p_e
33,EX_kdo2lipid4_e,,,EX_kdo2lipid4_e
34,EX_galur_e,,,EX_galur_e
35,EX_gam_e,,,EX_gam_e
36,EX_gam6p_e,,,EX_gam6p_e
37,EX_gbbtn_e,,,EX_gbbtn_e
38,EX_gdp_e,,,EX_gdp_e
39,EX_glc__D_e,,,EX_glc__D_e
40,EX_glcn_e,,,EX_glcn_e
41,EX_glcr_e,,,EX_glcr_e
42,EX_glcur_e,,,EX_glcur_e
43,EX_glcur1p_e,,,EX_glcur1p_e
44,EX_gln__L_e,,,EX_gln__L_e
45,EX_glu__L_e,,,EX_glu__L_e
46,EX_mn2_e,,,EX_mn2_e
47,EX_mnl_e,,,EX_mnl_e
48,EX_metsox_R__L_e,,,EX_metsox_R__L_e
49,EX_mobd_e,,,EX_mobd_e
50,EX_metsox_S__L_e,,,EX_metsox_S__L_e
51,EX_mg2_e,,,EX_mg2_e
52,EX_mincyc_e,,,EX_mincyc_e
53,EX_minohp_e,,,EX_minohp_e
54,EX_mmet_e,,,EX_mmet_e
55,EX_mso3_e,,,EX_mso3_e
56,EX_n2o_e,,,EX_n2o_e
57,EX_na1_e,,,EX_na1_e
58,EX_nac_e,,,EX_nac_e
59,EX_nh4_e,,,EX_nh4_e
60,EX_ni2_e,,,EX_ni2_e
61,EX_nmn_e,,,EX_nmn_e
62,EX_gly_e,,,EX_gly_e
63,EX_glyald_e,,,EX_glyald_e
64,EX_glyb_e,,,EX_glyb_e
65,EX_glyc_e,,,EX_glyc_e
66,EX_glyc__R_e,,,EX_glyc__R_e
67,EX_glyc2p_e,,,EX_glyc2p_e
68,EX_no_e,,,EX_no_e
69,EX_lac__D_e,,,EX_lac__D_e
70,EX_no2_e,,,EX_no2_e
71,EX_no3_e,,,EX_no3_e
72,EX_novbcn_e,,,EX_novbcn_e
73,EX_o16a4colipa_e,,,EX_o16a4colipa_e
74,EX_o2_e,,,EX_o2_e
75,EX_o2s_e,,,EX_o2s_e
76,EX_glyc3p_e,,,EX_glyc3p_e
77,EX_glyclt_e,,,EX_glyclt_e
78,EX_gmp_e,,,EX_gmp_e
79,EX_gsn_e,,,EX_gsn_e
80,EX_gthox_e,,,EX_gthox_e
81,EX_gthrd_e,,,EX_gthrd_e
82,EX_gtp_e,,,EX_gtp_e
83,EX_gua_e,,,EX_gua_e
84,EX_ocdca_e,,,EX_ocdca_e
85,EX_ocdcea_e,,,EX_ocdcea_e
86,EX_octa_e,,,EX_octa_e
