Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,R1PK,-27.09036049609212,0.4125939596337846,R1PK
1,R5PP,-11.769356350370895,0.7274400591850281,R5PP
2,RBFK,-26.93246455882826,0.4125717073073737,RBFK
3,RBFSa,-99.75461693873932,21.775266647338867,RBFSa
4,RBFSb,-54.03629230080563,30.473636627197266,RBFSb
5,RBK,-25.80693271101625,0.7890527061298382,RBK
6,R5PPpp,-12.464760780334473,0.7274405360221863,R5PPpp
7,RBK_L1,-23.45440390479071,0.962873996879806,RBK_L1
8,R5Ptex,-1.220703097715159e-06,2.1107929569552653e-05,R5Ptex
9,RBP4E,3.662109293145477e-06,2.7048972697230056e-05,RBP4E
10,REPHACCOAI,,,REPHACCOAI
11,RFAMPtex,-4.882812390860636e-06,5.704746945411898e-05,RFAMPtex
12,RMI,1.84157358040855,1.0195244550704956,RMI
13,RFAMPtpp,-9.208147194734,5.704746799583946e-05,RFAMPtpp
14,RMK,-25.33505341435253,1.0548092045886557,RMK
15,RMNtex,-2.136230477844947e-06,1.2400055311445612e-05,RMNtex
16,SBTptspp,-1.7021319437948534,0.5327947735786438,SBTptspp
17,RMNtpp,25.02124459614191,1.410427247105877e-05,RMNtpp
18,RMPA,16.200806805404635,1.146916151046753,RMPA
19,SKMt2pp,16.46624638885173,3.03646068452948e-06,SKMt2pp
20,RHCCE,-31.51746142971079,3.797107219696045,RHCCE
21,RIBabcpp,-9.051835817166795,0.3305162960135191,RIBabcpp
22,RIBtex,-3.0517577442878974e-07,3.036461066585616e-06,RIBtex
23,SELGTHR2,,,SELGTHR2
24,SELGTHR3,,,SELGTHR3
25,SELNPS,-30.09685352967441,12.43903350830078,SELNPS
26,SELtpp,-18.416293405667343,0.0,SELtpp
27,SEPHCHCS,-50.9397922819669,7.061229113244669,SEPHCHCS
28,SERASr,28.80972290083661,4.3236018545320976,SERASr
29,SELR,56.07829809189315,30.9044189453125,SELR
30,SELtex,0.0,0.0,SELtex
31,SKMtex,6.103515488575795e-07,4.272460955689894e-06,SKMtex
32,SBTtex,-3.0517577442878974e-07,1.4632534657721408e-05,SBTtex
33,SCYSDS,,,SCYSDS
34,SDPDS,4.342006876147758,1.2106388807296753,SDPDS
35,RNDR1,-59.06704854861221,2.9093010425567627,RNDR1
36,RNDR1b,,,RNDR1b
37,RNDR2,-59.06732015883088,2.9092984199523926,RNDR2
38,SERAT,-11.423219733147306,1.7772544622421265,SERAT
39,SERD_D,-28.29952397623719,1.092890977859497,SERD_D
40,SERD_L,-28.29952397623719,1.0928897857666016,SERD_L
41,SERTRS,,,SERTRS
42,SDPTA,0.8095171515272099,0.9571442008018494,SDPTA
43,SELCYSS,-60.82296576994179,11.87332003804696,SELCYSS
44,SELGTHR,-130.83773385482584,39.881654115813824,SELGTHR
45,SGDS,4.265297353828276,1.1126307249069214,SGDS
46,SERTRS2,,,SERTRS2
47,SERt2rpp,10.690015520042012,7.756509415978293e-06,SERt2rpp
48,SERt4pp,4.985278082056114,1.180363688035868e-05,SERt4pp
49,SERtex,1.0681152389224735e-06,7.554255716968328e-06,SERtex
50,SFGTHi,-48.21202322268299,4.293260031170466,SFGTHi
51,SGSAD,-50.53601185041344,1.5647272630463485,SGSAD
52,EX_12ppd__S_e,,,EX_12ppd__S_e
53,SHCHCS3,-53.25816900048217,6.676085948944092,SHCHCS3
54,RNDR2b,,,RNDR2b
55,RNDR3,-59.06735166332331,2.909297466278076,RNDR3
56,RNDR3b,,,RNDR3b
57,RNDR4,-59.05930666948057,2.9093024730682373,RNDR4
58,RNDR4b,,,RNDR4b
59,RNTR1c2,,,RNTR1c2
60,RNTR2c2,,,RNTR2c2
61,RNTR3c2,,,RNTR3c2
62,RNTR4c2,,,RNTR4c2
63,RPE,3.662109293145477e-06,3.208847192581743e-05,RPE
64,RPI,4.938282583609173,0.6056732535362244,RPI
