Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_3gmp_e,,,EX_3gmp_e
1,EX_3hcinnm_e,,,EX_3hcinnm_e
2,EX_3hpp_e,,,EX_3hpp_e
3,EX_3hpppn_e,,,EX_3hpppn_e
4,EX_3cmp_e,,,EX_3cmp_e
5,EX_ac_e,,,EX_ac_e
6,EX_4abut_e,,,EX_4abut_e
7,EX_4hoxpacd_e,,,EX_4hoxpacd_e
8,EX_5dglcn_e,,,EX_5dglcn_e
9,EX_5mtr_e,,,EX_5mtr_e
10,EX_LalaDglu_e,,,EX_LalaDglu_e
11,EX_LalaDgluMdap_e,,,EX_LalaDgluMdap_e
12,EX_LalaDgluMdapDala_e,,,EX_LalaDgluMdapDala_e
13,EX_LalaLglu_e,,,EX_LalaLglu_e
14,EX_3ump_e,,,EX_3ump_e
15,EX_acgam_e,,,EX_acgam_e
16,EX_acald_e,,,EX_acald_e
17,EX_acgal1p_e,,,EX_acgal1p_e
18,EX_acac_e,,,EX_acac_e
19,EX_acgal_e,,,EX_acgal_e
20,EX_acolipa_e,,,EX_acolipa_e
21,EX_acgam1p_e,,,EX_acgam1p_e
22,EX_acmana_e,,,EX_acmana_e
23,EX_acmum_e,,,EX_acmum_e
24,EX_acnam_e,,,EX_acnam_e
25,EX_ala__L_e,,,EX_ala__L_e
26,EX_adn_e,,,EX_adn_e
27,EX_ag_e,,,EX_ag_e
28,EX_akg_e,,,EX_akg_e
29,EX_ala_B_e,,,EX_ala_B_e
30,EX_acser_e,,,EX_acser_e
31,EX_ade_e,,,EX_ade_e
32,EX_adocbl_e,,,EX_adocbl_e
33,EX_agm_e,,,EX_agm_e
34,EX_ala__D_e,,,EX_ala__D_e
35,EX_alaala_e,,,EX_alaala_e
36,EX_all__D_e,,,EX_all__D_e
37,EX_amp_e,,,EX_amp_e
38,EX_alltn_e,,,EX_alltn_e
39,EX_arbt_e,,,EX_arbt_e
40,EX_anhgm_e,,,EX_anhgm_e
41,EX_arab__L_e,,,EX_arab__L_e
42,DM_5drib_c,,,DM_5drib_c
43,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
44,EX_arg__L_e,,,EX_arg__L_e
45,EX_ascb__L_e,,,EX_ascb__L_e
46,EX_asn__L_e,,,EX_asn__L_e
47,EX_aso3_e,,,EX_aso3_e
48,EX_asp__L_e,,,EX_asp__L_e
49,EX_btn_e,,,EX_btn_e
50,EX_but_e,,,EX_but_e
51,EX_butso3_e,,,EX_butso3_e
52,EX_ca2_e,,,EX_ca2_e
53,EX_cbi_e,,,EX_cbi_e
