Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,DM_amob_c,,,DM_amob_c
1,EX_colipap_e,,,EX_colipap_e
2,EX_cpgn_e,,,EX_cpgn_e
3,EX_cpgn_un_e,,,EX_cpgn_un_e
4,DM_aacald_c,,,DM_aacald_c
5,DM_oxam_c,,,DM_oxam_c
6,DM_mththf_c,,,DM_mththf_c
7,EX_crn_e,,,EX_crn_e
8,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
9,DM_4crsol_c,,,DM_4crsol_c
10,DM_5drib_c,,,DM_5drib_c
11,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
12,EX_crn__D_e,,,EX_crn__D_e
13,EX_12ppd__R_e,,,EX_12ppd__R_e
14,EX_csn_e,,,EX_csn_e
15,EX_12ppd__S_e,,,EX_12ppd__S_e
16,EX_14glucan_e,,,EX_14glucan_e
17,EX_glyald_e,,,EX_glyald_e
18,EX_glyb_e,,,EX_glyb_e
19,EX_15dap_e,,,EX_15dap_e
20,EX_cu_e,,,EX_cu_e
21,EX_23camp_e,,,EX_23camp_e
22,EX_glyc_e,,,EX_glyc_e
23,EX_glyc__R_e,,,EX_glyc__R_e
24,EX_glyc2p_e,,,EX_glyc2p_e
25,EX_23ccmp_e,,,EX_23ccmp_e
26,EX_cu2_e,,,EX_cu2_e
27,EX_23cgmp_e,,,EX_23cgmp_e
28,EX_glyc3p_e,,,EX_glyc3p_e
29,EX_glyclt_e,,,EX_glyclt_e
30,EX_gmp_e,,,EX_gmp_e
31,EX_23cump_e,,,EX_23cump_e
32,EX_cyan_e,,,EX_cyan_e
33,EX_23dappa_e,,,EX_23dappa_e
34,EX_26dap__M_e,,,EX_26dap__M_e
35,EX_2ddglcn_e,,,EX_2ddglcn_e
36,EX_34dhpac_e,,,EX_34dhpac_e
37,EX_3amp_e,,,EX_3amp_e
38,EX_3cmp_e,,,EX_3cmp_e
39,EX_3gmp_e,,,EX_3gmp_e
40,EX_3hcinnm_e,,,EX_3hcinnm_e
41,EX_3hpp_e,,,EX_3hpp_e
42,EX_3hpppn_e,,,EX_3hpppn_e
43,EX_3ump_e,,,EX_3ump_e
44,EX_gsn_e,,,EX_gsn_e
45,EX_gthox_e,,,EX_gthox_e
46,EX_gthrd_e,,,EX_gthrd_e
47,EX_gtp_e,,,EX_gtp_e
48,EX_gua_e,,,EX_gua_e
49,EX_h_e,,,EX_h_e
50,EX_h2_e,,,EX_h2_e
51,EX_h2o_e,,,EX_h2o_e
52,EX_h2o2_e,,,EX_h2o2_e
53,EX_h2s_e,,,EX_h2s_e
54,EX_hacolipa_e,,,EX_hacolipa_e
55,EX_halipa_e,,,EX_halipa_e
56,EX_hdca_e,,,EX_hdca_e
57,EX_hdcea_e,,,EX_hdcea_e
58,EX_hg2_e,,,EX_hg2_e
59,EX_4abut_e,,,EX_4abut_e
60,EX_4hoxpacd_e,,,EX_4hoxpacd_e
61,EX_5dglcn_e,,,EX_5dglcn_e
62,EX_5mtr_e,,,EX_5mtr_e
63,EX_LalaDglu_e,,,EX_LalaDglu_e
64,EX_LalaDgluMdap_e,,,EX_LalaDgluMdap_e
65,EX_his__L_e,,,EX_his__L_e
66,EX_hom__L_e,,,EX_hom__L_e
67,EX_LalaDgluMdapDala_e,,,EX_LalaDgluMdapDala_e
68,EX_cynt_e,,,EX_cynt_e
69,EX_LalaLglu_e,,,EX_LalaLglu_e
70,EX_ac_e,,,EX_ac_e
71,EX_acac_e,,,EX_acac_e
72,EX_acald_e,,,EX_acald_e
73,EX_acgal_e,,,EX_acgal_e
74,EX_hxa_e,,,EX_hxa_e
75,EX_hxan_e,,,EX_hxan_e
76,EX_acgal1p_e,,,EX_acgal1p_e
77,EX_cys__D_e,,,EX_cys__D_e
78,EX_acgam_e,,,EX_acgam_e
79,EX_acgam1p_e,,,EX_acgam1p_e
80,EX_cys__L_e,,,EX_cys__L_e
81,EX_acmana_e,,,EX_acmana_e
82,EX_acmum_e,,,EX_acmum_e
83,EX_acnam_e,,,EX_acnam_e
84,EX_acolipa_e,,,EX_acolipa_e
85,EX_idon__L_e,,,EX_idon__L_e
86,EX_ile__L_e,,,EX_ile__L_e
87,EX_acser_e,,,EX_acser_e
88,EX_cytd_e,,,EX_cytd_e
89,EX_ade_e,,,EX_ade_e
90,EX_adn_e,,,EX_adn_e
91,EX_adocbl_e,,,EX_adocbl_e
92,EX_imp_e,,,EX_imp_e
93,EX_indole_e,,,EX_indole_e
94,EX_inost_e,,,EX_inost_e
95,EX_ag_e,,,EX_ag_e
96,EX_agm_e,,,EX_agm_e
97,EX_ins_e,,,EX_ins_e
98,EX_akg_e,,,EX_akg_e
99,EX_dad_2_e,,,EX_dad_2_e
100,EX_ala_B_e,,,EX_ala_B_e
101,EX_isetac_e,,,EX_isetac_e
102,EX_k_e,,,EX_k_e
103,EX_kdo2lipid4_e,,,EX_kdo2lipid4_e
104,EX_ala__D_e,,,EX_ala__D_e
105,EX_damp_e,,,EX_damp_e
106,EX_ala__L_e,,,EX_ala__L_e
107,EX_lac__D_e,,,EX_lac__D_e
108,EX_dca_e,,,EX_dca_e
109,EX_lac__L_e,,,EX_lac__L_e
110,EX_lcts_e,,,EX_lcts_e
111,EX_leu__L_e,,,EX_leu__L_e
112,EX_lipa_e,,,EX_lipa_e
113,EX_alaala_e,,,EX_alaala_e
114,EX_all__D_e,,,EX_all__D_e
115,EX_alltn_e,,,EX_alltn_e
116,EX_amp_e,,,EX_amp_e
117,EX_anhgm_e,,,EX_anhgm_e
118,EX_arab__L_e,,,EX_arab__L_e
119,EX_arbt_e,,,EX_arbt_e
120,EX_arbtn_e,,,EX_arbtn_e
121,EX_lipa_cold_e,,,EX_lipa_cold_e
122,EX_lipoate_e,,,EX_lipoate_e
123,EX_lys__L_e,,,EX_lys__L_e
124,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
125,EX_dcmp_e,,,EX_dcmp_e
126,EX_arg__L_e,,,EX_arg__L_e
127,EX_lyx__L_e,,,EX_lyx__L_e
128,EX_mal__D_e,,,EX_mal__D_e
