Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,ACACT1r,26.759681958990427,0.9905740022659302,ACACT1r
1,ACACT2r,26.31988418962557,1.49671733379364,ACACT2r
2,ACACT3r,,,ACACT3r
3,ACACT4r,26.31989269528674,1.4966961145401,ACACT4r
4,ACACT5r,26.31988506589218,1.496729612350464,ACACT5r
5,ACACT6r,26.31988888058919,1.4967069625854492,ACACT6r
6,ACACT7r,26.31994037900273,1.4966938495635986,ACACT7r
7,ACCOAC,-11.50623337850192,2.1046922867914524,ACCOAC
8,ACGK,15.514242671388075,0.96087908744812,ACGK
9,ACGS,-39.84356985290936,1.5099177097417096,ACGS
10,ACHBS,-16.81428537125752,5.047436015928307,ACHBS
11,ACKr,15.307387903765118,0.7306346893310547,ACKr
12,ACLS,-20.85470612961368,4.534312056092529,ACLS
13,ACNML,6.786892279648169,0.8650583028793335,ACNML
14,ACOATA,-2.004355500903827,1.5570614337921145,ACOATA
15,EX_lcts_e,,,EX_lcts_e
16,ACOTA,2.5704195501246083,1.7711645364761353,ACOTA
17,EX_lys__L_e,,,EX_lys__L_e
18,EX_mal__L_e,,,EX_mal__L_e
19,ACPS1,,,ACPS1
20,EX_malt_e,,,EX_malt_e
21,ACS,-5.873279308865797,0.4244653880596161,ACS
22,EX_man_e,,,EX_man_e
23,EX_met__L_e,,,EX_met__L_e
24,CYSTL,6.116180432041215,3.0878703594207764,CYSTL
25,EX_mg2_e,,,EX_mg2_e
26,ADCL,-189.7779622938237,8.444753742937362,ADCL
27,EX_mn2_e,,,EX_mn2_e
28,EX_mnl_e,,,EX_mnl_e
29,CYSTRS,,,CYSTRS
30,ADCS,-20.95631146279177,2.21596908569336,ADCS
31,CYTD,-10.044784904040233,0.922962113506447,CYTD
32,EX_mobd_e,,,EX_mobd_e
33,EX_na1_e,,,EX_na1_e
34,EX_nac_e,,,EX_nac_e
35,EX_nh4_e,,,EX_nh4_e
36,EX_ni2_e,,,EX_ni2_e
37,EX_no2_e,,,EX_no2_e
38,EX_no3_e,,,EX_no3_e
39,EX_o2_e,,,EX_o2_e
40,EX_orn_e,,,EX_orn_e
41,CYTDK2,-27.178972608690287,0.4125547534152755,CYTDK2
42,CYTK1,-0.5716314841541035,0.1503063291311264,CYTK1
43,CYTK2_2,,,CYTK2_2
44,EX_phe__L_e,,,EX_phe__L_e
45,EX_pheme_e,,,EX_pheme_e
46,ADK1,-0.5745101678175644,0.1503184586763382,ADK1
47,EX_pi_e,,,EX_pi_e
48,EX_pro__L_e,,,EX_pro__L_e
49,DAPDC,-9.379945901282255,2.190675208088729,DAPDC
50,DAPE,-3.662109293145477e-06,1.4495046343654394e-05,DAPE
51,ADPRDP,-56.65139194510259,0.6906010710124073,ADPRDP
52,DB4PS,-107.51116563421796,2.152903320151729,DB4PS
53,EX_ptrc_e,,,EX_ptrc_e
54,ADPT,-19.59215946654733,0.610396683216095,ADPT
55,DDPA,-70.99063026560965,1.39822256565094,DDPA
56,EX_rib__D_e,,,EX_rib__D_e
57,ADSK,-14.493495966739337,1.768095815425042,ADSK
58,DGK1,-0.5764199656786602,0.1503354609012603,DGK1
59,DHAD1,-27.90441995044439,5.043394088745117,DHAD1
60,DHAD2,-29.688412412115674,4.662306785583496,DHAD2
61,ADSL2r,25.07882996367403,2.718246936798096,ADSL2r
62,DHDPRy,-54.13914144019096,5.798463528343235,DHDPRy
63,ADSS,-25.32899729951064,1.0285769995239966,ADSS
64,DHDPS,-12.970076807112257,7.018442120768468,DHDPS
65,DHFR,-22.73938560983101,1.6684364733514871,DHFR
66,EX_salcn_e,,,EX_salcn_e
67,AGMHE,4.882812390860636e-06,6.668212881777436e-05,AGMHE
68,EX_ser__L_e,,,EX_ser__L_e
69,DHFS,-12.599625357930831,6.095533209415948,DHFS
70,DHORD5,-38.57688915658833,23.432308197021484,DHORD5
71,EX_so4_e,,,EX_so4_e
72,DHORTS,-15.351274194412737,1.2104977500361966,DHORTS
73,EX_spmd_e,,,EX_spmd_e
74,AGMT,-30.940042937262948,3.28606915473938,AGMT
75,EX_sucr_e,,,EX_sucr_e
76,EX_thm_e,,,EX_thm_e
77,EX_thr__L_e,,,EX_thr__L_e
78,EX_thymd_e,,,EX_thymd_e
79,DHPS2,-45.77941987750973,4.845687389373779,DHPS2
80,DHQS,-68.5991359986065,2.303438425064087,DHQS
81,DMATT,-69.02103022075418,3.581964492797852,DMATT
82,DNMPPA,-10.57763845757596,0.4067306220531463,DNMPPA
83,DNTPPA,-47.68126835384747,0.6570608210234427,DNTPPA
84,DPCOAK,-14.488646918709188,1.7680714466514051,DPCOAK
85,EX_tre_e,,,EX_tre_e
86,EX_trp__L_e,,,EX_trp__L_e
87,AGPR,2.555860765220379,1.6299926006965997,AGPR
88,EX_tyr__L_e,,,EX_tyr__L_e
89,EX_ura_e,,,EX_ura_e
90,EX_urea_e,,,EX_urea_e
91,EX_uri_e,,,EX_uri_e
92,DPR,-13.835152353668894,3.119082210950364,DPR
93,DRPA,21.72502815307072,1.843690276145935,DRPA
94,DTMPK,-0.5863728251164915,0.1502992510795593,DTMPK
95,EX_val__L_e,,,EX_val__L_e
96,DURIK1,-27.17523193648654,0.4125791547861084,DURIK1
97,AHCYSNS,-8.07758032113992,0.7177047729492188,AHCYSNS
98,DURIPP,-2.391910958790268,2.1131844520568848,DURIPP
99,EX_xan_e,,,EX_xan_e
100,EX_zn2_e,,,EX_zn2_e
101,ECOAH1,3.9051739520043816,0.9697758555412292,ECOAH1
102,AICART,4.957057777787831,2.36149001121521,AICART
103,ECOAH2,1.0338995999304783,1.8370652198791504,ECOAH2
104,AIRC2,-32.379335894488946,5.350114511879914,AIRC2
105,ECOAH3,0.653344208618833,1.8103938102722168,ECOAH3
106,AIRC3,3.962914379586224,6.236680030822754,AIRC3
107,ECOAH4,0.6533257311791862,1.8103843927383425,ECOAH4
108,ECOAH5,0.6533739513367811,1.810381770133972,ECOAH5
109,ECOAH6,0.6533582157105968,1.8103704452514648,ECOAH6
110,FBA,22.117433418143666,0.5638406276702881,FBA
111,FBP,-9.969016652513975,0.8425853252410889,FBP
112,FCLT,306.1437455625341,69.65594134991963,FCLT
113,ECOAH7,0.6533484405488252,1.81037175655365,ECOAH7
114,ENO,-3.1878348396557863,0.2816460430622101,ENO
115,ALAALAr,-38.68207583794093,2.879534489601666,ALAALAr
116,FFSD,-23.271027056200623,1.238478422164917,FFSD
117,ALAR,9.155273232863692e-07,7.94922834757017e-06,ALAR
