Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_acac_e,,,EX_acac_e
1,DM_4crsol_c,,,DM_4crsol_c
2,DM_5drib_c,,,DM_5drib_c
3,DM_aacald_c,,,DM_aacald_c
4,EX_ac_e,,,EX_ac_e
5,EX_acald_e,,,EX_acald_e
6,DM_amob_c,,,DM_amob_c
7,DM_mththf_c,,,DM_mththf_c
8,EX_acgal_e,,,EX_acgal_e
9,DM_oxam_c,,,DM_oxam_c
10,EX_acgal1p_e,,,EX_acgal1p_e
11,EX_acgam_e,,,EX_acgam_e
12,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
13,EX_acgam1p_e,,,EX_acgam1p_e
14,EX_acmana_e,,,EX_acmana_e
15,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
16,EX_acmum_e,,,EX_acmum_e
17,EX_12ppd__R_e,,,EX_12ppd__R_e
18,EX_acnam_e,,,EX_acnam_e
19,EX_acolipa_e,,,EX_acolipa_e
20,EX_12ppd__S_e,,,EX_12ppd__S_e
21,EX_acser_e,,,EX_acser_e
22,EX_ade_e,,,EX_ade_e
23,EX_adn_e,,,EX_adn_e
24,EX_enlipa_e,,,EX_enlipa_e
25,EX_enter_e,,,EX_enter_e
26,EX_14glucan_e,,,EX_14glucan_e
27,EX_etha_e,,,EX_etha_e
28,EX_ethso3_e,,,EX_ethso3_e
29,EX_adocbl_e,,,EX_adocbl_e
30,EX_ag_e,,,EX_ag_e
31,EX_agm_e,,,EX_agm_e
32,EX_etoh_e,,,EX_etoh_e
33,EX_f6p_e,,,EX_f6p_e
34,EX_fald_e,,,EX_fald_e
35,EX_fe2_e,,,EX_fe2_e
36,EX_fe3_e,,,EX_fe3_e
37,EX_fe3dcit_e,,,EX_fe3dcit_e
38,EX_fe3dhbzs_e,,,EX_fe3dhbzs_e
39,EX_fe3hox_e,,,EX_fe3hox_e
40,EX_fe3hox_un_e,,,EX_fe3hox_un_e
41,EX_akg_e,,,EX_akg_e
42,EX_ala_B_e,,,EX_ala_B_e
43,EX_ala__D_e,,,EX_ala__D_e
44,EX_ala__L_e,,,EX_ala__L_e
45,EX_alaala_e,,,EX_alaala_e
46,EX_all__D_e,,,EX_all__D_e
47,EX_alltn_e,,,EX_alltn_e
48,EX_amp_e,,,EX_amp_e
49,EX_anhgm_e,,,EX_anhgm_e
50,EX_arab__L_e,,,EX_arab__L_e
51,EX_fecrm_e,,,EX_fecrm_e
52,EX_fecrm_un_e,,,EX_fecrm_un_e
53,EX_feenter_e,,,EX_feenter_e
54,EX_arbt_e,,,EX_arbt_e
55,EX_15dap_e,,,EX_15dap_e
56,EX_arbtn_e,,,EX_arbtn_e
57,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
58,EX_feoxam_e,,,EX_feoxam_e
59,EX_feoxam_un_e,,,EX_feoxam_un_e
60,EX_23camp_e,,,EX_23camp_e
61,EX_for_e,,,EX_for_e
62,EX_fru_e,,,EX_fru_e
63,EX_arg__L_e,,,EX_arg__L_e
64,EX_ascb__L_e,,,EX_ascb__L_e
65,EX_asn__L_e,,,EX_asn__L_e
66,EX_frulys_e,,,EX_frulys_e
67,EX_23ccmp_e,,,EX_23ccmp_e
68,EX_fruur_e,,,EX_fruur_e
69,EX_fuc__L_e,,,EX_fuc__L_e
70,EX_fum_e,,,EX_fum_e
71,EX_fusa_e,,,EX_fusa_e
72,EX_g1p_e,,,EX_g1p_e
73,EX_g3pc_e,,,EX_g3pc_e
74,EX_aso3_e,,,EX_aso3_e
75,EX_asp__L_e,,,EX_asp__L_e
76,EX_btn_e,,,EX_btn_e
77,EX_but_e,,,EX_but_e
78,EX_butso3_e,,,EX_butso3_e
79,EX_ca2_e,,,EX_ca2_e
80,EX_cbi_e,,,EX_cbi_e
81,EX_g3pe_e,,,EX_g3pe_e
82,EX_g3pg_e,,,EX_g3pg_e
83,EX_g3pi_e,,,EX_g3pi_e
84,EX_cbl1_e,,,EX_cbl1_e
85,EX_23cgmp_e,,,EX_23cgmp_e
86,EX_cd2_e,,,EX_cd2_e
87,EX_cgly_e,,,EX_cgly_e
88,EX_chol_e,,,EX_chol_e
89,EX_g3ps_e,,,EX_g3ps_e
90,EX_g6p_e,,,EX_g6p_e
91,EX_gal_e,,,EX_gal_e
92,EX_gal_bD_e,,,EX_gal_bD_e
93,EX_gal1p_e,,,EX_gal1p_e
94,EX_chtbs_e,,,EX_chtbs_e
95,EX_cit_e,,,EX_cit_e
96,EX_cl_e,,,EX_cl_e
97,EX_galct__D_e,,,EX_galct__D_e
98,EX_23cump_e,,,EX_23cump_e
99,EX_galctn__D_e,,,EX_galctn__D_e
100,EX_galctn__L_e,,,EX_galctn__L_e
101,EX_cm_e,,,EX_cm_e
102,EX_cmp_e,,,EX_cmp_e
103,EX_co2_e,,,EX_co2_e
104,EX_23dappa_e,,,EX_23dappa_e
105,EX_cobalt2_e,,,EX_cobalt2_e
106,EX_galt_e,,,EX_galt_e
107,EX_galur_e,,,EX_galur_e
108,EX_colipa_e,,,EX_colipa_e
109,EX_colipap_e,,,EX_colipap_e
110,EX_cpgn_e,,,EX_cpgn_e
111,EX_gam_e,,,EX_gam_e
112,EX_gam6p_e,,,EX_gam6p_e
113,EX_gbbtn_e,,,EX_gbbtn_e
114,EX_gdp_e,,,EX_gdp_e
115,EX_cpgn_un_e,,,EX_cpgn_un_e
116,EX_glc__D_e,,,EX_glc__D_e
117,EX_26dap__M_e,,,EX_26dap__M_e
118,EX_glcn_e,,,EX_glcn_e
119,EX_crn_e,,,EX_crn_e
120,EX_crn__D_e,,,EX_crn__D_e
121,EX_csn_e,,,EX_csn_e
122,EX_glcr_e,,,EX_glcr_e
123,EX_2ddglcn_e,,,EX_2ddglcn_e
124,EX_glcur_e,,,EX_glcur_e
125,EX_glcur1p_e,,,EX_glcur1p_e
126,EX_cu_e,,,EX_cu_e
127,EX_cu2_e,,,EX_cu2_e
128,EX_cyan_e,,,EX_cyan_e
129,EX_gln__L_e,,,EX_gln__L_e
130,EX_34dhpac_e,,,EX_34dhpac_e
131,EX_cynt_e,,,EX_cynt_e
132,EX_cys__D_e,,,EX_cys__D_e
133,EX_cys__L_e,,,EX_cys__L_e
134,EX_glu__L_e,,,EX_glu__L_e
135,EX_gly_e,,,EX_gly_e
136,EX_cytd_e,,,EX_cytd_e
137,EX_glyald_e,,,EX_glyald_e
138,EX_3amp_e,,,EX_3amp_e
139,EX_glyb_e,,,EX_glyb_e
140,EX_glyc_e,,,EX_glyc_e
141,EX_dad_2_e,,,EX_dad_2_e
142,EX_damp_e,,,EX_damp_e
143,EX_glyc__R_e,,,EX_glyc__R_e
144,EX_3cmp_e,,,EX_3cmp_e
145,EX_glyc2p_e,,,EX_glyc2p_e
146,EX_dca_e,,,EX_dca_e
147,EX_dcmp_e,,,EX_dcmp_e
148,EX_dcyt_e,,,EX_dcyt_e
149,EX_ddca_e,,,EX_ddca_e
150,EX_dgmp_e,,,EX_dgmp_e
151,EX_glyc3p_e,,,EX_glyc3p_e
152,EX_glyclt_e,,,EX_glyclt_e
153,EX_gmp_e,,,EX_gmp_e
154,EX_dgsn_e,,,EX_dgsn_e
155,EX_gsn_e,,,EX_gsn_e
156,EX_3gmp_e,,,EX_3gmp_e
157,EX_gthox_e,,,EX_gthox_e
158,EX_gthrd_e,,,EX_gthrd_e
159,EX_dha_e,,,EX_dha_e
160,EX_dimp_e,,,EX_dimp_e
161,EX_din_e,,,EX_din_e
162,EX_gtp_e,,,EX_gtp_e
163,EX_gua_e,,,EX_gua_e
164,EX_dms_e,,,EX_dms_e
165,EX_3hcinnm_e,,,EX_3hcinnm_e
166,EX_dmso_e,,,EX_dmso_e
167,EX_dopa_e,,,EX_dopa_e
168,EX_h_e,,,EX_h_e
169,EX_h2_e,,,EX_h2_e
170,EX_3hpp_e,,,EX_3hpp_e
171,EX_h2o_e,,,EX_h2o_e
172,EX_h2o2_e,,,EX_h2o2_e
173,EX_doxrbcn_e,,,EX_doxrbcn_e
174,EX_dtmp_e,,,EX_dtmp_e
175,EX_dump_e,,,EX_dump_e
176,EX_3hpppn_e,,,EX_3hpppn_e
177,EX_duri_e,,,EX_duri_e
178,EX_h2s_e,,,EX_h2s_e
179,EX_hacolipa_e,,,EX_hacolipa_e
180,EX_eca4colipa_e,,,EX_eca4colipa_e
181,EX_3ump_e,,,EX_3ump_e
182,EX_halipa_e,,,EX_halipa_e
183,EX_hdca_e,,,EX_hdca_e
184,EX_hdcea_e,,,EX_hdcea_e
185,EX_hg2_e,,,EX_hg2_e
186,EX_his__L_e,,,EX_his__L_e
187,EX_4abut_e,,,EX_4abut_e
188,EX_hom__L_e,,,EX_hom__L_e
189,EX_hxa_e,,,EX_hxa_e
190,EX_hxan_e,,,EX_hxan_e
191,EX_4hoxpacd_e,,,EX_4hoxpacd_e
192,EX_imp_e,,,EX_imp_e
193,EX_5dglcn_e,,,EX_5dglcn_e
194,EX_indole_e,,,EX_indole_e
195,EX_idon__L_e,,,EX_idon__L_e
196,EX_ile__L_e,,,EX_ile__L_e
197,EX_inost_e,,,EX_inost_e
198,EX_5mtr_e,,,EX_5mtr_e
199,EX_ins_e,,,EX_ins_e
200,EX_isetac_e,,,EX_isetac_e
201,EX_LalaDglu_e,,,EX_LalaDglu_e
202,EX_k_e,,,EX_k_e
203,EX_kdo2lipid4_e,,,EX_kdo2lipid4_e
204,EX_rmn_e,,,EX_rmn_e
205,EX_LalaDgluMdap_e,,,EX_LalaDgluMdap_e
