Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_23cump_e,,,EX_23cump_e
1,EX_23dappa_e,,,EX_23dappa_e
2,EX_26dap__M_e,,,EX_26dap__M_e
3,EX_2ddglcn_e,,,EX_2ddglcn_e
4,EX_34dhpac_e,,,EX_34dhpac_e
5,EX_3amp_e,,,EX_3amp_e
6,EX_3cmp_e,,,EX_3cmp_e
7,EX_3gmp_e,,,EX_3gmp_e
8,EX_3hcinnm_e,,,EX_3hcinnm_e
9,EX_3hpp_e,,,EX_3hpp_e
10,EX_3hpppn_e,,,EX_3hpppn_e
11,EX_3ump_e,,,EX_3ump_e
12,EX_4abut_e,,,EX_4abut_e
13,EX_4hoxpacd_e,,,EX_4hoxpacd_e
14,DM_4crsol_c,,,DM_4crsol_c
15,EX_5dglcn_e,,,EX_5dglcn_e
16,DM_5drib_c,,,DM_5drib_c
17,DM_aacald_c,,,DM_aacald_c
18,EX_5mtr_e,,,EX_5mtr_e
19,DM_amob_c,,,DM_amob_c
20,EX_LalaDglu_e,,,EX_LalaDglu_e
21,DM_mththf_c,,,DM_mththf_c
22,DM_oxam_c,,,DM_oxam_c
23,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
24,EX_LalaDgluMdap_e,,,EX_LalaDgluMdap_e
25,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
26,EX_LalaDgluMdapDala_e,,,EX_LalaDgluMdapDala_e
27,EX_12ppd__R_e,,,EX_12ppd__R_e
28,EX_LalaLglu_e,,,EX_LalaLglu_e
29,EX_12ppd__S_e,,,EX_12ppd__S_e
30,EX_14glucan_e,,,EX_14glucan_e
31,EX_cynt_e,,,EX_cynt_e
32,EX_cys__D_e,,,EX_cys__D_e
33,EX_cys__L_e,,,EX_cys__L_e
34,EX_cytd_e,,,EX_cytd_e
35,EX_dad_2_e,,,EX_dad_2_e
36,EX_damp_e,,,EX_damp_e
37,EX_dca_e,,,EX_dca_e
38,EX_dcmp_e,,,EX_dcmp_e
39,EX_dcyt_e,,,EX_dcyt_e
40,EX_ddca_e,,,EX_ddca_e
41,EX_dgmp_e,,,EX_dgmp_e
42,EX_15dap_e,,,EX_15dap_e
43,EX_23camp_e,,,EX_23camp_e
44,EX_23ccmp_e,,,EX_23ccmp_e
45,EX_23cgmp_e,,,EX_23cgmp_e
46,EX_glyclt_e,,,EX_glyclt_e
47,EX_gmp_e,,,EX_gmp_e
48,EX_gsn_e,,,EX_gsn_e
49,EX_gthox_e,,,EX_gthox_e
50,EX_gthrd_e,,,EX_gthrd_e
51,EX_gtp_e,,,EX_gtp_e
52,EX_gua_e,,,EX_gua_e
53,EX_dgsn_e,,,EX_dgsn_e
54,EX_dha_e,,,EX_dha_e
55,EX_dimp_e,,,EX_dimp_e
56,EX_h_e,,,EX_h_e
57,EX_h2_e,,,EX_h2_e
58,EX_ac_e,,,EX_ac_e
59,EX_h2o_e,,,EX_h2o_e
60,EX_h2o2_e,,,EX_h2o2_e
61,EX_din_e,,,EX_din_e
62,EX_dms_e,,,EX_dms_e
63,EX_dmso_e,,,EX_dmso_e
64,EX_acac_e,,,EX_acac_e
65,EX_dopa_e,,,EX_dopa_e
66,EX_doxrbcn_e,,,EX_doxrbcn_e
67,EX_dtmp_e,,,EX_dtmp_e
68,EX_h2s_e,,,EX_h2s_e
69,EX_hacolipa_e,,,EX_hacolipa_e
70,EX_halipa_e,,,EX_halipa_e
71,EX_hdca_e,,,EX_hdca_e
72,EX_hdcea_e,,,EX_hdcea_e
73,EX_hg2_e,,,EX_hg2_e
74,EX_his__L_e,,,EX_his__L_e
75,EX_hom__L_e,,,EX_hom__L_e
76,EX_dump_e,,,EX_dump_e
77,EX_duri_e,,,EX_duri_e
78,EX_eca4colipa_e,,,EX_eca4colipa_e
79,EX_enlipa_e,,,EX_enlipa_e
80,EX_enter_e,,,EX_enter_e
81,EX_etha_e,,,EX_etha_e
82,EX_ethso3_e,,,EX_ethso3_e
83,EX_etoh_e,,,EX_etoh_e
84,EX_hxa_e,,,EX_hxa_e
85,EX_hxan_e,,,EX_hxan_e
86,EX_idon__L_e,,,EX_idon__L_e
87,EX_f6p_e,,,EX_f6p_e
88,EX_fald_e,,,EX_fald_e
89,EX_ile__L_e,,,EX_ile__L_e
90,EX_acald_e,,,EX_acald_e
91,EX_imp_e,,,EX_imp_e
92,EX_indole_e,,,EX_indole_e
93,EX_fe2_e,,,EX_fe2_e
94,EX_fe3_e,,,EX_fe3_e
95,EX_fe3dcit_e,,,EX_fe3dcit_e
96,EX_inost_e,,,EX_inost_e
97,EX_fe3dhbzs_e,,,EX_fe3dhbzs_e
98,EX_ins_e,,,EX_ins_e
99,EX_acgal_e,,,EX_acgal_e
100,EX_isetac_e,,,EX_isetac_e
101,EX_k_e,,,EX_k_e
102,EX_kdo2lipid4_e,,,EX_kdo2lipid4_e
103,EX_fe3hox_e,,,EX_fe3hox_e
104,EX_fe3hox_un_e,,,EX_fe3hox_un_e
105,EX_fecrm_e,,,EX_fecrm_e
106,EX_fecrm_un_e,,,EX_fecrm_un_e
107,EX_feenter_e,,,EX_feenter_e
108,EX_lac__D_e,,,EX_lac__D_e
109,EX_lac__L_e,,,EX_lac__L_e
110,EX_lcts_e,,,EX_lcts_e
111,EX_leu__L_e,,,EX_leu__L_e
112,EX_lipa_e,,,EX_lipa_e
113,EX_feoxam_e,,,EX_feoxam_e
