Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_amp_e,,,EX_amp_e
1,EX_arab__L_e,,,EX_arab__L_e
2,EX_arbt_e,,,EX_arbt_e
3,EX_arbtn_e,,,EX_arbtn_e
4,EX_g3pc_e,,,EX_g3pc_e
5,EX_anhgm_e,,,EX_anhgm_e
6,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
7,EX_arg__L_e,,,EX_arg__L_e
8,EX_ascb__L_e,,,EX_ascb__L_e
9,EX_asn__L_e,,,EX_asn__L_e
10,EX_aso3_e,,,EX_aso3_e
11,EX_alltn_e,,,EX_alltn_e
12,DM_4crsol_c,,,DM_4crsol_c
13,DM_5drib_c,,,DM_5drib_c
14,DM_aacald_c,,,DM_aacald_c
15,DM_amob_c,,,DM_amob_c
16,DM_mththf_c,,,DM_mththf_c
17,DM_oxam_c,,,DM_oxam_c
18,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
19,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
20,EX_12ppd__R_e,,,EX_12ppd__R_e
21,EX_asp__L_e,,,EX_asp__L_e
22,EX_btn_e,,,EX_btn_e
23,EX_but_e,,,EX_but_e
24,EX_butso3_e,,,EX_butso3_e
25,EX_ca2_e,,,EX_ca2_e
26,EX_12ppd__S_e,,,EX_12ppd__S_e
27,EX_g3pe_e,,,EX_g3pe_e
28,EX_14glucan_e,,,EX_14glucan_e
29,EX_15dap_e,,,EX_15dap_e
30,EX_cbi_e,,,EX_cbi_e
31,EX_cbl1_e,,,EX_cbl1_e
32,EX_cd2_e,,,EX_cd2_e
33,EX_cgly_e,,,EX_cgly_e
34,EX_chol_e,,,EX_chol_e
35,EX_chtbs_e,,,EX_chtbs_e
36,EX_cit_e,,,EX_cit_e
37,EX_cl_e,,,EX_cl_e
38,EX_cm_e,,,EX_cm_e
39,EX_cmp_e,,,EX_cmp_e
40,EX_co2_e,,,EX_co2_e
41,EX_cobalt2_e,,,EX_cobalt2_e
42,EX_23camp_e,,,EX_23camp_e
43,EX_23ccmp_e,,,EX_23ccmp_e
44,EX_23cgmp_e,,,EX_23cgmp_e
45,EX_23cump_e,,,EX_23cump_e
46,EX_23dappa_e,,,EX_23dappa_e
47,EX_26dap__M_e,,,EX_26dap__M_e
48,EX_2ddglcn_e,,,EX_2ddglcn_e
49,EX_34dhpac_e,,,EX_34dhpac_e
50,EX_3amp_e,,,EX_3amp_e
51,EX_3cmp_e,,,EX_3cmp_e
52,EX_3gmp_e,,,EX_3gmp_e
53,EX_3hcinnm_e,,,EX_3hcinnm_e
54,EX_3hpp_e,,,EX_3hpp_e
55,EX_3hpppn_e,,,EX_3hpppn_e
56,EX_3ump_e,,,EX_3ump_e
57,EX_colipa_e,,,EX_colipa_e
58,EX_colipap_e,,,EX_colipap_e
59,EX_cpgn_e,,,EX_cpgn_e
60,EX_cpgn_un_e,,,EX_cpgn_un_e
61,EX_crn_e,,,EX_crn_e
62,EX_crn__D_e,,,EX_crn__D_e
63,EX_4abut_e,,,EX_4abut_e
64,EX_4hoxpacd_e,,,EX_4hoxpacd_e
65,EX_csn_e,,,EX_csn_e
66,EX_g3pg_e,,,EX_g3pg_e
67,EX_cu_e,,,EX_cu_e
68,EX_cu2_e,,,EX_cu2_e
69,EX_cyan_e,,,EX_cyan_e
70,EX_cynt_e,,,EX_cynt_e
71,EX_5dglcn_e,,,EX_5dglcn_e
72,EX_5mtr_e,,,EX_5mtr_e
73,EX_LalaDglu_e,,,EX_LalaDglu_e
74,EX_LalaDgluMdap_e,,,EX_LalaDgluMdap_e
75,EX_LalaDgluMdapDala_e,,,EX_LalaDgluMdapDala_e
76,EX_LalaLglu_e,,,EX_LalaLglu_e
77,EX_ac_e,,,EX_ac_e
78,EX_acac_e,,,EX_acac_e
79,EX_acald_e,,,EX_acald_e
80,EX_acgal_e,,,EX_acgal_e
81,EX_cys__D_e,,,EX_cys__D_e
82,EX_cys__L_e,,,EX_cys__L_e
83,EX_cytd_e,,,EX_cytd_e
84,EX_dad_2_e,,,EX_dad_2_e
85,EX_damp_e,,,EX_damp_e
86,EX_dca_e,,,EX_dca_e
87,EX_dcmp_e,,,EX_dcmp_e
88,EX_dcyt_e,,,EX_dcyt_e
89,EX_ddca_e,,,EX_ddca_e
90,EX_acgal1p_e,,,EX_acgal1p_e
91,EX_acgam_e,,,EX_acgam_e
92,EX_acgam1p_e,,,EX_acgam1p_e
93,EX_acmana_e,,,EX_acmana_e
94,EX_dgmp_e,,,EX_dgmp_e
95,EX_dgsn_e,,,EX_dgsn_e
96,EX_acmum_e,,,EX_acmum_e
97,EX_g3pi_e,,,EX_g3pi_e
98,EX_acnam_e,,,EX_acnam_e
99,EX_acolipa_e,,,EX_acolipa_e
100,EX_acser_e,,,EX_acser_e
101,EX_dha_e,,,EX_dha_e
102,EX_dimp_e,,,EX_dimp_e
103,EX_din_e,,,EX_din_e
104,EX_dms_e,,,EX_dms_e
105,EX_g3ps_e,,,EX_g3ps_e
106,EX_dmso_e,,,EX_dmso_e
107,EX_ade_e,,,EX_ade_e
108,EX_adn_e,,,EX_adn_e
109,EX_adocbl_e,,,EX_adocbl_e
