Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_asn__L_e,,,EX_asn__L_e
1,EX_asp__L_e,,,EX_asp__L_e
2,EX_btn_e,,,EX_btn_e
3,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
4,EX_aso3_e,,,EX_aso3_e
5,EX_ascb__L_e,,,EX_ascb__L_e
6,EX_but_e,,,EX_but_e
7,EX_arg__L_e,,,EX_arg__L_e
8,EX_butso3_e,,,EX_butso3_e
9,EX_ca2_e,,,EX_ca2_e
10,DM_4crsol_c,,,DM_4crsol_c
11,EX_cbi_e,,,EX_cbi_e
12,DM_5drib_c,,,DM_5drib_c
13,DM_aacald_c,,,DM_aacald_c
14,EX_gal_bD_e,,,EX_gal_bD_e
15,EX_gal1p_e,,,EX_gal1p_e
16,EX_galct__D_e,,,EX_galct__D_e
17,EX_cbl1_e,,,EX_cbl1_e
18,EX_galctn__D_e,,,EX_galctn__D_e
19,DM_amob_c,,,DM_amob_c
20,DM_mththf_c,,,DM_mththf_c
21,DM_oxam_c,,,DM_oxam_c
22,EX_galctn__L_e,,,EX_galctn__L_e
23,EX_cd2_e,,,EX_cd2_e
24,EX_galt_e,,,EX_galt_e
25,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
26,EX_cgly_e,,,EX_cgly_e
27,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
28,EX_12ppd__R_e,,,EX_12ppd__R_e
29,EX_12ppd__S_e,,,EX_12ppd__S_e
30,EX_galur_e,,,EX_galur_e
31,EX_gam_e,,,EX_gam_e
32,EX_gam6p_e,,,EX_gam6p_e
33,EX_gbbtn_e,,,EX_gbbtn_e
34,EX_gdp_e,,,EX_gdp_e
35,EX_glc__D_e,,,EX_glc__D_e
36,EX_glcn_e,,,EX_glcn_e
37,EX_glcr_e,,,EX_glcr_e
38,EX_glcur_e,,,EX_glcur_e
39,EX_glcur1p_e,,,EX_glcur1p_e
40,EX_gln__L_e,,,EX_gln__L_e
41,EX_glu__L_e,,,EX_glu__L_e
42,EX_gly_e,,,EX_gly_e
43,EX_14glucan_e,,,EX_14glucan_e
44,EX_15dap_e,,,EX_15dap_e
45,EX_23camp_e,,,EX_23camp_e
46,EX_23ccmp_e,,,EX_23ccmp_e
47,EX_23cgmp_e,,,EX_23cgmp_e
48,EX_23cump_e,,,EX_23cump_e
49,EX_23dappa_e,,,EX_23dappa_e
50,EX_26dap__M_e,,,EX_26dap__M_e
51,EX_2ddglcn_e,,,EX_2ddglcn_e
52,EX_34dhpac_e,,,EX_34dhpac_e
53,EX_3amp_e,,,EX_3amp_e
54,EX_3cmp_e,,,EX_3cmp_e
55,EX_3gmp_e,,,EX_3gmp_e
56,EX_3hcinnm_e,,,EX_3hcinnm_e
57,EX_3hpp_e,,,EX_3hpp_e
58,EX_3hpppn_e,,,EX_3hpppn_e
59,EX_glyald_e,,,EX_glyald_e
60,EX_glyb_e,,,EX_glyb_e
61,EX_glyc_e,,,EX_glyc_e
62,EX_glyc__R_e,,,EX_glyc__R_e
63,EX_glyc2p_e,,,EX_glyc2p_e
64,EX_3ump_e,,,EX_3ump_e
65,EX_glyc3p_e,,,EX_glyc3p_e
66,EX_4abut_e,,,EX_4abut_e
67,EX_glyclt_e,,,EX_glyclt_e
68,EX_4hoxpacd_e,,,EX_4hoxpacd_e
69,EX_chol_e,,,EX_chol_e
70,EX_5dglcn_e,,,EX_5dglcn_e
71,EX_5mtr_e,,,EX_5mtr_e
72,EX_LalaDglu_e,,,EX_LalaDglu_e
73,EX_LalaDgluMdap_e,,,EX_LalaDgluMdap_e
74,EX_LalaDgluMdapDala_e,,,EX_LalaDgluMdapDala_e
75,EX_LalaLglu_e,,,EX_LalaLglu_e
76,EX_gmp_e,,,EX_gmp_e
77,EX_gsn_e,,,EX_gsn_e
