Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_acmum_e,,,EX_acmum_e
1,EX_acnam_e,,,EX_acnam_e
2,EX_acgam1p_e,,,EX_acgam1p_e
3,EX_acmana_e,,,EX_acmana_e
4,EX_acgal_e,,,EX_acgal_e
5,EX_acolipa_e,,,EX_acolipa_e
6,EX_acald_e,,,EX_acald_e
7,EX_acser_e,,,EX_acser_e
8,EX_ade_e,,,EX_ade_e
9,EX_acgam_e,,,EX_acgam_e
10,EX_acgal1p_e,,,EX_acgal1p_e
11,EX_fe3dhbzs_e,,,EX_fe3dhbzs_e
12,DM_4crsol_c,,,DM_4crsol_c
13,DM_5drib_c,,,DM_5drib_c
14,DM_aacald_c,,,DM_aacald_c
15,DM_amob_c,,,DM_amob_c
16,DM_mththf_c,,,DM_mththf_c
17,EX_adn_e,,,EX_adn_e
18,EX_adocbl_e,,,EX_adocbl_e
19,EX_ag_e,,,EX_ag_e
20,EX_agm_e,,,EX_agm_e
21,EX_akg_e,,,EX_akg_e
22,EX_ala_B_e,,,EX_ala_B_e
23,EX_ala__D_e,,,EX_ala__D_e
24,DM_oxam_c,,,DM_oxam_c
25,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
26,EX_fe3hox_e,,,EX_fe3hox_e
27,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
28,EX_12ppd__R_e,,,EX_12ppd__R_e
29,EX_12ppd__S_e,,,EX_12ppd__S_e
30,EX_ala__L_e,,,EX_ala__L_e
31,EX_alaala_e,,,EX_alaala_e
32,EX_fe3hox_un_e,,,EX_fe3hox_un_e
33,EX_all__D_e,,,EX_all__D_e
34,EX_alltn_e,,,EX_alltn_e
35,EX_amp_e,,,EX_amp_e
36,EX_anhgm_e,,,EX_anhgm_e
37,EX_arab__L_e,,,EX_arab__L_e
38,EX_arbt_e,,,EX_arbt_e
39,EX_arbtn_e,,,EX_arbtn_e
40,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
41,EX_arg__L_e,,,EX_arg__L_e
42,EX_ascb__L_e,,,EX_ascb__L_e
43,EX_asn__L_e,,,EX_asn__L_e
44,EX_14glucan_e,,,EX_14glucan_e
45,EX_15dap_e,,,EX_15dap_e
46,EX_23camp_e,,,EX_23camp_e
47,EX_23ccmp_e,,,EX_23ccmp_e
48,EX_23cgmp_e,,,EX_23cgmp_e
49,EX_23cump_e,,,EX_23cump_e
50,EX_23dappa_e,,,EX_23dappa_e
51,EX_26dap__M_e,,,EX_26dap__M_e
52,EX_2ddglcn_e,,,EX_2ddglcn_e
53,EX_34dhpac_e,,,EX_34dhpac_e
54,EX_3amp_e,,,EX_3amp_e
