Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,2AGPEAT160,-20.70207977294922,39.93136978149414,2AGPEAT160
1,2AGPEAT180,-19.809606552124023,40.84991455078125,2AGPEAT180
2,5DGLCNR,-23.34635681152344,0.9319572204411836,5DGLCNR
3,AACPS10,,,AACPS10
4,AACPS11,,,AACPS11
5,AACPS3,,,AACPS3
6,ABTA,0.7620733380317688,1.5526500940322876,ABTA
7,ACACT1r,27.407167434692383,0.9905908703804016,ACACT1r
8,ACALD,-15.69726104736328,1.0461676424697854,ACALD
9,ACBIPGT,-2.003485107421875,0.1503219580252218,ACBIPGT
10,AGPAT160,,,AGPAT160
11,ACCC_1,,,ACCC_1
12,AGPAT160190,,,AGPAT160190
13,AGPAT190,,,AGPAT190
14,AGPR,3.1801910400390625,1.6300000968602304,AGPR
15,ACChex,,,ACChex
16,ACGAMPM,5.785953521728516,1.1959526538848877,ACGAMPM
17,AHCi,35.474891662597656,1.950730919837952,AHCi
18,CHLabc,-82.39242129429917,0.3305075556954967,CHLabc
19,ACGAMT,4.882812390860636e-06,0.0002908861497417,ACGAMT
20,CHOLD,25.257422790527343,3.918909512507354,CHOLD
21,CHORM,-42.84779739379883,12.40912914276123,CHORM
22,AHCYSNS,-8.076629638671875,0.717705249786377,AHCYSNS
23,ACGK,15.183178901672363,0.9608868956565856,ACGK
24,AHMMPS,,,AHMMPS
25,AICART,5.017594814300537,2.3614888191223145,AICART
26,CHORS,-30.157629013061523,5.158493518829346,CHORS
27,CHRPL,-184.7603454589844,7.456295967102051,CHRPL
28,ACGS,-27.161377868652345,1.5099034690693294,ACGS
29,CIGAMS,,,CIGAMS
30,CITL,6.202431678771973,0.6494463682174683,CITL
31,AIRCr,-4.253966064453125,3.358846635012068,AIRCr
32,ACHBS,-28.875150909423827,5.047435964811214,ACHBS
33,AKGDb,0.089960940182209,0.6156948804855347,AKGDb
34,ALAALAD,0.9380789399147034,2.8304789066314697,ALAALAD
35,ALAALAr,-27.42203140258789,2.879527916713907,ALAALAr
36,ALAD_L,37.16117568969727,0.5751128594042507,ALAD_L
37,ALAR,-6.866455350973411e-07,7.083021046128124e-06,ALAR
38,ALAt2r,-31.914610739865623,5.058466935501335e-06,ALAt2r
39,CITabc,-46.72469423903584,0.3305070822565263,CITabc
40,CLPNS160190,,,CLPNS160190
41,CMCBTFL,,,CMCBTFL
42,CMCBTFU,,,CMCBTFU
43,CMLDC,-65.0993734741211,12.171195678599585,CMLDC
44,CO2t,0.0,0.0,CO2t
45,COAt,-126.8611088576929,5.031606997363269e-05,COAt
46,COBALTt5,-3.9932181133048417,0.0,COBALTt5
47,ALDD1,-42.88372844696045,1.485554929075667,ALDD1
48,ACKr,15.024733543395996,0.7306398153305054,ACKr
49,ACLS,-32.91549560546875,4.534313293553106,ACLS
50,ALDD19xr,-9.050307312011718,12.486993388969054,ALDD19xr
51,ACODA,-2.060434341430664,1.416364669799805,ACODA
52,ALDD2x,-44.99655181884766,1.3046673569738554,ALDD2x
53,COCHL,51.80184326171875,31.45705893970325,COCHL
54,COt,3.993462026319236,0.0,COt
55,AMAOTr,15.492517471313477,6.139469623565674,AMAOTr
56,CPC6R,-39.93104133605957,12.450546652213864,CPC6R
57,ACONT,7.830303192138672,0.2819019258022308,ACONT
58,CPPPGO,-362.07702382087706,8.958355222092681,CPPPGO
59,ACOTA,2.577502965927124,1.7711628675460815,ACOTA
60,CRNabc,-86.38899371306898,0.3305073489628906,CRNabc
61,ACP1_FMN,-11.091052055358888,0.4067316055297851,ACP1_FMN
62,CS,-35.501724090576175,0.4835990093759402,CS
63,CTPS1,-4.48825439453125,0.9987069116188164,CTPS1
64,CTPS2,-16.218039627075196,1.4522502424790178,CTPS2
65,CYANST,-11.923221435546877,31.97777143636414,CYANST
66,CYO1a,,,CYO1a
67,CYO1b,,,CYO1b
68,CYRDAAT,,,CYRDAAT
69,AMID4,-18.62915802001953,2.4696385860443115,AMID4
70,AMMQT8,,,AMMQT8
71,ACPS1,,,ACPS1
72,CYRDAR2,-63.66742401123047,70.52405842616592,CYRDAR2
73,CYSS,-47.804015007019046,2.909503878413465,CYSS
74,CYSTL,6.300832748413086,3.0878701210021973,CYSTL
75,ACS,-5.776698112487793,0.4244575500488281,ACS
76,CYSTS,-34.59742736816406,2.983370780944824,CYSTS
77,CYTBD,-146.33199239065465,26.28980118578984,CYTBD
78,AMMQT8_2,-69.36900207519531,29.64891213213063,AMMQT8_2
79,CYTBD2,-170.11503682424842,23.381903710570167,CYTBD2
80,ACS2,,,ACS2
81,CYTD,-21.995708923339844,0.9229644815464768,CYTD
82,AMPTASECG,2.940704107284546,2.543767213821411,AMPTASECG
83,ANPRT,-27.816234588623047,5.503787040710449,ANPRT
84,ANS,-199.62913864135743,8.178831793348458,ANS
85,CYTDK2,-15.392879028320312,0.4125524706960198,CYTDK2
86,ACYSBMNt,,,ACYSBMNt
87,CYTDt2,-55.90844399931572,1.2549368405122126e-05,CYTDt2
88,CYTK1,-2.003521680831909,0.1503134369850158,CYTK1
89,AOXSr,-2.441222534179688,3.315141228348757,AOXSr
90,APRAUR,-44.58536560058594,4.873144583742355,APRAUR
91,CYTK2,-2.003504753112793,0.1502975970506668,CYTK2
92,ADA,-22.65272071838379,0.5803452232813395,ADA
93,ARACHTA,,,ARACHTA
94,ARB_Dabc,-66.4180649788828,0.3305073968340574,ARB_Dabc
95,Clt,-2.8421709430404014e-14,0.0,Clt
96,ADCL,-177.78211051940917,8.444753945289753,ADCL
97,Cuabc,-26.48395248413086,0.3305073968340574,Cuabc
98,Cut1,-26.48395248413086,0.3305073968340574,Cut1
99,ARBabc,-66.41852257231517,0.3305073638169437,ARBabc
100,ARBt2r,-43.92803217961921,7.450290292806215e-06,ARBt2r
101,DADA,-22.652725372314453,0.5803451196389311,DADA
102,ARGDC,-21.45830261230469,2.190675322833753,ARGDC
103,ADCPS1,-37.909042510986325,2.557991233160604,ADCPS1
104,ARGDr,-42.86959838867188,3.2012007236480717,ARGDr
105,ARGSL,21.235427856445312,2.5857365131378174,ARGSL
106,ARGSS,-0.8897389221191406,1.664518871126354,ARGSS
107,ARGt5r,-59.82832499668847,9.150186997430865e-06,ARGt5r
108,DADK,-2.00349497795105,0.1503047943115234,DADK
109,DAGK160,-14.613831787109374,0.5683775868057567,DAGK160
110,DALAOX,-100.35888671875,4.119119167327881,DALAOX
111,DALAt2r,-31.914611579099024,8.263377458254501e-06,DALAt2r
112,DAPDC,-21.45830017089844,2.190677579279793,DAPDC
113,DAPE,-1.220703097715159e-06,2.0661998860305172e-05,DAPE
114,DASYN160,,,DASYN160
115,ASAD,3.2543577575683598,1.6676583117419503,ASAD
116,ASNN,-12.365399360656738,1.026664137840271,ASNN
117,DASYN160190,,,DASYN160190
118,ASNS1,-34.44036186218262,0.9287733608106216,ASNS1
119,ADCPS2,-38.20278869628906,2.49865370189074,ADCPS2
120,DASYN190190,,,DASYN190190
121,DB4PS,-95.38237121582031,2.1529022911229085,DB4PS
122,ASNt2r,-35.60826676261621,5.327481155424833e-06,ASNt2r
123,DBTS,-26.92668594360352,6.926701268733211,DBTS
124,ASP1DC,-22.347043609619146,2.5468855036326006,ASP1DC
125,ADCS,-20.912153244018555,2.215970516204834,ADCS
126,ASPCT,-22.47079956054688,1.8382152697455307,ASPCT
127,ASPK,15.183156967163086,0.9609075784683228,ASPK
128,DCPDP,,,DCPDP
129,DCPDPP,,,DCPDPP
130,ADCYRS,,,ADCYRS
131,DCPDPS,,,DCPDPS
132,DCPE,,,DCPE
133,ASPO5,-9.92767120361328,8.058075603979507,ASPO5
134,ASPTA,3.6391546726226807,0.4524413645267486,ASPTA
135,ASPt2r,-27.93131608559559,3.03646068452948e-06,ASPt2r
136,DCPT,,,DCPT
137,ADK1,-2.0035204887390137,0.1503185629844665,ADK1
138,DCTPD,-21.99571029663086,0.922951038273876,DCTPD
139,AST,-30.67614929199219,1.3632299689688907,AST
140,ADK2,-2.00349235534668,0.1503368914127349,ADK2
141,ATPPRT,-16.944721221923828,16.874818801879883,ATPPRT
142,ATPS4r,10.510104118391231,0.3305073968340574,ATPS4r
143,BACCL,16.186707611083985,4.036072518732409,BACCL
144,BALAt2r,-31.945157467942373,9.287514883307986e-06,BALAt2r
145,DCTPD2,-21.99569808959961,0.922960377732212,DCTPD2
146,DCYTD,-21.99570945739746,0.9229635161655634,DCYTD
147,DDPA,-71.32254791259766,1.398224115371704,DDPA
148,ADMDC,-20.883377075195312,4.619305076346232,ADMDC
149,DESAT16,,,DESAT16
150,DESAT18,,,DESAT18
151,DGC3D,21.172355346679687,1.603573298111883,DGC3D
152,BDH,11.720718383789062,0.9084250250448976,BDH
153,BETALDHx,-35.38431137084961,5.258545516994419,BETALDHx
154,BMNMSHS,,,BMNMSHS
155,ADNCYC,2.3159704208374023,2.087124347686768,ADNCYC
156,BMNt,47.9215441824058,1.2549367966130376e-05,BMNt
157,BPNT,-23.91604995727539,1.8800855875015257,BPNT
158,DGK1,-2.003504753112793,0.1503378748893737,DGK1
159,DHAD1,-27.903759002685547,5.043393135070801,DHAD1
160,DHAD2,-29.68753242492676,4.662307262420654,DHAD2
161,BTS2,,,BTS2
162,DHDPRy,-54.13950729370117,5.7984620737473325,DHDPRy
163,ADNK1,-15.392911987304688,0.4125684718542415,ADNK1
164,DHDPS,-0.9658099365234376,7.018444006342224,DHDPS
165,DHFR_copy1,-22.768627319335938,1.668449206691298,DHFR_copy1
166,DHFS,-1.5204531860351562,6.095532461632991,DHFS
167,BTS3r,40.825469970703125,8.126901626586914,BTS3r
168,CAATPS,-30.47692661930564,0.3305073968340574,CAATPS
169,CAT,-183.4488525390625,7.2573161125183105,CAT
170,ADNK3,-15.392883911132811,0.4125526788558698,ADNK3
171,CAt4,-7.986680204739748,0.0,CAt4
172,DHNAOT,,,DHNAOT
173,CBIAT,-78.52075927734376,38.23806125503083,CBIAT
174,ADNK4,-15.392903442382812,0.4125663244149529,ADNK4
175,CBLAT,-87.97537353515625,11.451700407198205,CBLAT
176,CBPS,-13.328432693481446,2.469222882633739,CBPS
177,CDAPPA160,,,CDAPPA160
178,ADOCBIK,-8.0940771484375,2.3132466869793293,ADOCBIK
179,CDAPPA160190,,,CDAPPA160190
180,ADOCBLS,11.144646606445312,10.762869302532554,ADOCBLS
181,CDAPPA190,,,CDAPPA190
182,CDPMEK,-3.672724609375,3.9243271660991743,CDPMEK
183,ADPT,-18.55845260620117,0.6103935241699219,ADPT
184,CDPPT160,,,CDPPT160
185,CDPPT160190,,,CDPPT160190
186,DHNPA_1,,,DHNPA_1
187,ADSK,-2.56788818359375,1.7680979620392308,ADSK
188,DHNPA2r,12.68910789489746,2.766592741012573,DHNPA2r
