Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_5dglcn_e,,,EX_5dglcn_e
1,EX_LalaDgluMdap_e,,,EX_LalaDgluMdap_e
2,EX_LalaDgluMdapDala_e,,,EX_LalaDgluMdapDala_e
3,EX_5mtr_e,,,EX_5mtr_e
4,EX_LalaDglu_e,,,EX_LalaDglu_e
5,EX_3ump_e,,,EX_3ump_e
6,EX_ac_e,,,EX_ac_e
7,EX_LalaLglu_e,,,EX_LalaLglu_e
8,EX_4abut_e,,,EX_4abut_e
9,EX_acac_e,,,EX_acac_e
10,EX_4hoxpacd_e,,,EX_4hoxpacd_e
11,DM_4crsol_c,,,DM_4crsol_c
12,EX_acald_e,,,EX_acald_e
13,DM_5drib_c,,,DM_5drib_c
14,DM_aacald_c,,,DM_aacald_c
15,DM_amob_c,,,DM_amob_c
16,EX_acgal_e,,,EX_acgal_e
17,DM_mththf_c,,,DM_mththf_c
18,DM_oxam_c,,,DM_oxam_c
19,EX_acgal1p_e,,,EX_acgal1p_e
20,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
21,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
22,EX_acgam_e,,,EX_acgam_e
23,EX_12ppd__R_e,,,EX_12ppd__R_e
24,EX_12ppd__S_e,,,EX_12ppd__S_e
25,EX_14glucan_e,,,EX_14glucan_e
26,EX_duri_e,,,EX_duri_e
27,EX_acgam1p_e,,,EX_acgam1p_e
28,EX_15dap_e,,,EX_15dap_e
29,EX_23camp_e,,,EX_23camp_e
30,EX_eca4colipa_e,,,EX_eca4colipa_e
31,EX_23ccmp_e,,,EX_23ccmp_e
32,EX_acmana_e,,,EX_acmana_e
33,EX_23cgmp_e,,,EX_23cgmp_e
34,EX_23cump_e,,,EX_23cump_e
35,EX_23dappa_e,,,EX_23dappa_e
36,EX_26dap__M_e,,,EX_26dap__M_e
