Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_arab__L_e,,,EX_arab__L_e
1,EX_arbtn_e,,,EX_arbtn_e
2,EX_arg__L_e,,,EX_arg__L_e
3,EX_arbt_e,,,EX_arbt_e
4,EX_anhgm_e,,,EX_anhgm_e
5,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
6,DM_4crsol_c,,,DM_4crsol_c
7,EX_alltn_e,,,EX_alltn_e
8,EX_amp_e,,,EX_amp_e
9,EX_all__D_e,,,EX_all__D_e
10,DM_5drib_c,,,DM_5drib_c
11,EX_ascb__L_e,,,EX_ascb__L_e
12,DM_aacald_c,,,DM_aacald_c
13,EX_asn__L_e,,,EX_asn__L_e
14,EX_aso3_e,,,EX_aso3_e
15,EX_asp__L_e,,,EX_asp__L_e
16,EX_g3pg_e,,,EX_g3pg_e
17,EX_g3pi_e,,,EX_g3pi_e
18,EX_btn_e,,,EX_btn_e
19,EX_g3ps_e,,,EX_g3ps_e
20,EX_but_e,,,EX_but_e
21,DM_amob_c,,,DM_amob_c
22,EX_butso3_e,,,EX_butso3_e
23,EX_g6p_e,,,EX_g6p_e
24,EX_gal_e,,,EX_gal_e
25,EX_ca2_e,,,EX_ca2_e
26,DM_mththf_c,,,DM_mththf_c
27,EX_cbi_e,,,EX_cbi_e
28,EX_gal_bD_e,,,EX_gal_bD_e
29,EX_cbl1_e,,,EX_cbl1_e
30,EX_gal1p_e,,,EX_gal1p_e
31,DM_oxam_c,,,DM_oxam_c
32,EX_galct__D_e,,,EX_galct__D_e
33,EX_cd2_e,,,EX_cd2_e
34,EX_cgly_e,,,EX_cgly_e
35,EX_chol_e,,,EX_chol_e
36,EX_chtbs_e,,,EX_chtbs_e
37,EX_cit_e,,,EX_cit_e
38,EX_cl_e,,,EX_cl_e
39,EX_cm_e,,,EX_cm_e
40,EX_cmp_e,,,EX_cmp_e
41,EX_co2_e,,,EX_co2_e
42,EX_galctn__D_e,,,EX_galctn__D_e
43,EX_galctn__L_e,,,EX_galctn__L_e
44,EX_galt_e,,,EX_galt_e
45,EX_galur_e,,,EX_galur_e
46,EX_gam_e,,,EX_gam_e
47,EX_gam6p_e,,,EX_gam6p_e
48,EX_gbbtn_e,,,EX_gbbtn_e
49,EX_gdp_e,,,EX_gdp_e
50,EX_glc__D_e,,,EX_glc__D_e
51,EX_glcn_e,,,EX_glcn_e
52,EX_glcr_e,,,EX_glcr_e
53,EX_glcur_e,,,EX_glcur_e
54,EX_cobalt2_e,,,EX_cobalt2_e
55,EX_colipa_e,,,EX_colipa_e
56,EX_colipap_e,,,EX_colipap_e
57,EX_cpgn_e,,,EX_cpgn_e
58,EX_cpgn_un_e,,,EX_cpgn_un_e
59,EX_glcur1p_e,,,EX_glcur1p_e
60,EX_gln__L_e,,,EX_gln__L_e
61,EX_glu__L_e,,,EX_glu__L_e
62,EX_crn_e,,,EX_crn_e
63,EX_crn__D_e,,,EX_crn__D_e
64,EX_gly_e,,,EX_gly_e
65,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
66,EX_glyald_e,,,EX_glyald_e
67,EX_glyb_e,,,EX_glyb_e
68,EX_csn_e,,,EX_csn_e
69,EX_cu_e,,,EX_cu_e
