Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_LalaDgluMdapDala_e,,,EX_LalaDgluMdapDala_e
1,EX_LalaLglu_e,,,EX_LalaLglu_e
2,EX_LalaDgluMdap_e,,,EX_LalaDgluMdap_e
3,EX_LalaDglu_e,,,EX_LalaDglu_e
4,EX_3amp_e,,,EX_3amp_e
5,EX_ac_e,,,EX_ac_e
6,EX_acac_e,,,EX_acac_e
7,EX_acald_e,,,EX_acald_e
8,EX_acgal_e,,,EX_acgal_e
9,DM_4crsol_c,,,DM_4crsol_c
10,DM_5drib_c,,,DM_5drib_c
11,DM_aacald_c,,,DM_aacald_c
12,DM_amob_c,,,DM_amob_c
13,EX_acgal1p_e,,,EX_acgal1p_e
14,DM_mththf_c,,,DM_mththf_c
15,EX_acgam_e,,,EX_acgam_e
16,EX_enter_e,,,EX_enter_e
17,EX_etha_e,,,EX_etha_e
18,EX_acgam1p_e,,,EX_acgam1p_e
19,EX_ethso3_e,,,EX_ethso3_e
20,EX_acmana_e,,,EX_acmana_e
21,DM_oxam_c,,,DM_oxam_c
22,EX_acmum_e,,,EX_acmum_e
23,EX_acnam_e,,,EX_acnam_e
24,EX_etoh_e,,,EX_etoh_e
25,EX_f6p_e,,,EX_f6p_e
26,EX_fald_e,,,EX_fald_e
27,EX_acolipa_e,,,EX_acolipa_e
28,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
29,EX_acser_e,,,EX_acser_e
30,EX_ade_e,,,EX_ade_e
31,EX_fe2_e,,,EX_fe2_e
32,EX_fe3_e,,,EX_fe3_e
33,EX_fe3dcit_e,,,EX_fe3dcit_e
34,EX_fe3dhbzs_e,,,EX_fe3dhbzs_e
35,EX_fe3hox_e,,,EX_fe3hox_e
36,EX_fe3hox_un_e,,,EX_fe3hox_un_e
37,EX_fecrm_e,,,EX_fecrm_e
38,EX_fecrm_un_e,,,EX_fecrm_un_e
39,EX_feenter_e,,,EX_feenter_e
40,EX_feoxam_e,,,EX_feoxam_e
41,EX_feoxam_un_e,,,EX_feoxam_un_e
42,EX_adn_e,,,EX_adn_e
43,EX_adocbl_e,,,EX_adocbl_e
44,EX_ag_e,,,EX_ag_e
45,EX_agm_e,,,EX_agm_e
46,EX_akg_e,,,EX_akg_e
47,EX_ala_B_e,,,EX_ala_B_e
48,EX_ala__D_e,,,EX_ala__D_e
49,EX_ala__L_e,,,EX_ala__L_e
50,EX_alaala_e,,,EX_alaala_e
51,EX_all__D_e,,,EX_all__D_e
52,EX_alltn_e,,,EX_alltn_e
53,EX_amp_e,,,EX_amp_e
54,EX_anhgm_e,,,EX_anhgm_e
55,EX_for_e,,,EX_for_e
56,EX_fru_e,,,EX_fru_e
57,EX_frulys_e,,,EX_frulys_e
58,EX_fruur_e,,,EX_fruur_e
59,EX_fuc__L_e,,,EX_fuc__L_e
60,EX_fum_e,,,EX_fum_e
61,EX_arab__L_e,,,EX_arab__L_e
62,EX_arbt_e,,,EX_arbt_e
63,EX_fusa_e,,,EX_fusa_e
64,EX_arbtn_e,,,EX_arbtn_e
65,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
66,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
67,EX_g1p_e,,,EX_g1p_e
68,EX_g3pc_e,,,EX_g3pc_e
69,EX_g3pe_e,,,EX_g3pe_e
70,EX_arg__L_e,,,EX_arg__L_e
71,EX_ascb__L_e,,,EX_ascb__L_e
72,EX_asn__L_e,,,EX_asn__L_e
73,EX_aso3_e,,,EX_aso3_e
74,EX_asp__L_e,,,EX_asp__L_e
75,EX_g3pg_e,,,EX_g3pg_e
76,EX_g3pi_e,,,EX_g3pi_e
77,EX_g3ps_e,,,EX_g3ps_e
78,EX_g6p_e,,,EX_g6p_e
79,EX_gal_e,,,EX_gal_e
80,EX_btn_e,,,EX_btn_e
81,EX_but_e,,,EX_but_e
82,EX_butso3_e,,,EX_butso3_e
83,EX_gal_bD_e,,,EX_gal_bD_e
84,EX_gal1p_e,,,EX_gal1p_e
85,EX_ca2_e,,,EX_ca2_e
86,EX_12ppd__R_e,,,EX_12ppd__R_e
87,EX_cbi_e,,,EX_cbi_e
88,EX_cbl1_e,,,EX_cbl1_e
89,EX_cd2_e,,,EX_cd2_e
90,EX_cgly_e,,,EX_cgly_e
91,EX_galct__D_e,,,EX_galct__D_e
92,EX_galctn__D_e,,,EX_galctn__D_e
93,EX_galctn__L_e,,,EX_galctn__L_e
94,EX_galt_e,,,EX_galt_e
95,EX_galur_e,,,EX_galur_e
96,EX_chol_e,,,EX_chol_e
97,EX_chtbs_e,,,EX_chtbs_e
98,EX_cit_e,,,EX_cit_e
99,EX_gam_e,,,EX_gam_e
100,EX_12ppd__S_e,,,EX_12ppd__S_e
101,EX_gam6p_e,,,EX_gam6p_e
102,EX_gbbtn_e,,,EX_gbbtn_e
103,EX_cl_e,,,EX_cl_e
104,EX_cm_e,,,EX_cm_e
105,EX_cmp_e,,,EX_cmp_e
106,EX_co2_e,,,EX_co2_e
107,EX_gdp_e,,,EX_gdp_e
108,EX_glc__D_e,,,EX_glc__D_e
109,EX_glcn_e,,,EX_glcn_e
110,EX_glcr_e,,,EX_glcr_e
111,EX_glcur_e,,,EX_glcur_e
112,EX_glcur1p_e,,,EX_glcur1p_e
113,EX_cobalt2_e,,,EX_cobalt2_e
114,EX_colipa_e,,,EX_colipa_e
115,EX_colipap_e,,,EX_colipap_e
116,EX_cpgn_e,,,EX_cpgn_e
117,EX_gln__L_e,,,EX_gln__L_e
118,EX_14glucan_e,,,EX_14glucan_e
119,EX_glu__L_e,,,EX_glu__L_e
120,EX_gly_e,,,EX_gly_e
121,EX_cpgn_un_e,,,EX_cpgn_un_e
122,EX_crn_e,,,EX_crn_e
123,EX_glyald_e,,,EX_glyald_e
124,EX_crn__D_e,,,EX_crn__D_e
125,EX_15dap_e,,,EX_15dap_e
126,EX_csn_e,,,EX_csn_e
127,EX_cu_e,,,EX_cu_e
128,EX_cu2_e,,,EX_cu2_e
129,EX_glyb_e,,,EX_glyb_e
130,EX_glyc_e,,,EX_glyc_e
131,EX_glyc__R_e,,,EX_glyc__R_e
132,EX_glyc2p_e,,,EX_glyc2p_e
133,EX_glyc3p_e,,,EX_glyc3p_e
134,EX_cyan_e,,,EX_cyan_e
135,EX_cynt_e,,,EX_cynt_e
136,EX_glyclt_e,,,EX_glyclt_e
137,EX_cys__D_e,,,EX_cys__D_e
138,EX_gmp_e,,,EX_gmp_e
139,EX_cys__L_e,,,EX_cys__L_e
140,EX_gsn_e,,,EX_gsn_e
141,EX_23camp_e,,,EX_23camp_e
142,EX_gthox_e,,,EX_gthox_e
143,EX_cytd_e,,,EX_cytd_e
144,EX_gthrd_e,,,EX_gthrd_e
145,EX_dad_2_e,,,EX_dad_2_e
146,EX_23ccmp_e,,,EX_23ccmp_e
147,EX_damp_e,,,EX_damp_e
148,EX_dca_e,,,EX_dca_e
149,EX_dcmp_e,,,EX_dcmp_e
150,EX_dcyt_e,,,EX_dcyt_e
151,EX_ddca_e,,,EX_ddca_e
152,EX_gtp_e,,,EX_gtp_e
153,EX_gua_e,,,EX_gua_e
154,EX_h_e,,,EX_h_e
155,EX_h2_e,,,EX_h2_e
156,EX_h2o_e,,,EX_h2o_e
157,EX_h2o2_e,,,EX_h2o2_e
158,EX_h2s_e,,,EX_h2s_e
159,EX_hacolipa_e,,,EX_hacolipa_e
160,EX_halipa_e,,,EX_halipa_e
161,EX_dgmp_e,,,EX_dgmp_e
162,EX_dgsn_e,,,EX_dgsn_e
163,EX_dha_e,,,EX_dha_e
164,EX_dimp_e,,,EX_dimp_e
165,EX_din_e,,,EX_din_e
166,EX_hdca_e,,,EX_hdca_e
167,EX_hdcea_e,,,EX_hdcea_e
168,EX_23cgmp_e,,,EX_23cgmp_e
169,EX_hg2_e,,,EX_hg2_e
170,EX_his__L_e,,,EX_his__L_e
171,EX_dms_e,,,EX_dms_e
172,EX_dmso_e,,,EX_dmso_e
173,EX_hom__L_e,,,EX_hom__L_e
174,EX_dopa_e,,,EX_dopa_e
175,EX_hxa_e,,,EX_hxa_e
176,EX_doxrbcn_e,,,EX_doxrbcn_e
177,EX_23cump_e,,,EX_23cump_e
178,EX_dtmp_e,,,EX_dtmp_e
179,EX_dump_e,,,EX_dump_e
180,EX_hxan_e,,,EX_hxan_e
181,EX_idon__L_e,,,EX_idon__L_e
182,EX_ile__L_e,,,EX_ile__L_e
183,EX_duri_e,,,EX_duri_e
184,EX_23dappa_e,,,EX_23dappa_e
185,EX_eca4colipa_e,,,EX_eca4colipa_e
186,EX_enlipa_e,,,EX_enlipa_e
187,EX_imp_e,,,EX_imp_e
188,EX_indole_e,,,EX_indole_e
189,EX_inost_e,,,EX_inost_e
190,EX_sbt__D_e,,,EX_sbt__D_e
191,EX_26dap__M_e,,,EX_26dap__M_e
192,EX_sel_e,,,EX_sel_e
193,EX_ins_e,,,EX_ins_e
194,EX_isetac_e,,,EX_isetac_e
195,EX_k_e,,,EX_k_e
196,EX_ser__D_e,,,EX_ser__D_e
197,EX_ser__L_e,,,EX_ser__L_e
198,EX_kdo2lipid4_e,,,EX_kdo2lipid4_e
199,EX_2ddglcn_e,,,EX_2ddglcn_e
200,EX_lac__D_e,,,EX_lac__D_e
201,EX_lac__L_e,,,EX_lac__L_e
202,EX_skm_e,,,EX_skm_e
203,EX_slnt_e,,,EX_slnt_e
204,EX_34dhpac_e,,,EX_34dhpac_e
205,EX_so2_e,,,EX_so2_e
206,EX_so3_e,,,EX_so3_e
207,EX_so4_e,,,EX_so4_e
208,EX_lcts_e,,,EX_lcts_e
209,EX_leu__L_e,,,EX_leu__L_e
210,EX_lipa_e,,,EX_lipa_e
211,EX_lipa_cold_e,,,EX_lipa_cold_e
212,EX_lipoate_e,,,EX_lipoate_e
213,EX_spmd_e,,,EX_spmd_e
214,EX_succ_e,,,EX_succ_e
215,EX_3cmp_e,,,EX_3cmp_e
216,EX_sucr_e,,,EX_sucr_e
217,EX_sulfac_e,,,EX_sulfac_e
218,EX_lys__L_e,,,EX_lys__L_e
219,EX_lyx__L_e,,,EX_lyx__L_e
220,EX_mal__D_e,,,EX_mal__D_e
221,EX_tartr__D_e,,,EX_tartr__D_e
222,EX_tartr__L_e,,,EX_tartr__L_e
223,EX_taur_e,,,EX_taur_e
224,EX_tcynt_e,,,EX_tcynt_e
225,EX_mal__L_e,,,EX_mal__L_e
226,EX_malt_e,,,EX_malt_e
227,EX_malthx_e,,,EX_malthx_e
228,EX_maltpt_e,,,EX_maltpt_e
229,EX_malttr_e,,,EX_malttr_e
230,EX_maltttr_e,,,EX_maltttr_e
231,EX_thm_e,,,EX_thm_e
232,EX_thr__L_e,,,EX_thr__L_e
233,EX_man_e,,,EX_man_e
234,EX_thrp_e,,,EX_thrp_e
235,EX_3gmp_e,,,EX_3gmp_e
236,EX_thym_e,,,EX_thym_e
237,EX_thymd_e,,,EX_thymd_e
238,EX_tma_e,,,EX_tma_e
239,EX_tmao_e,,,EX_tmao_e
240,EX_man6p_e,,,EX_man6p_e
241,EX_manglyc_e,,,EX_manglyc_e
242,EX_melib_e,,,EX_melib_e
243,EX_meoh_e,,,EX_meoh_e
244,EX_met__D_e,,,EX_met__D_e
245,EX_tre_e,,,EX_tre_e
246,EX_trp__L_e,,,EX_trp__L_e
247,EX_met__L_e,,,EX_met__L_e
248,EX_tsul_e,,,EX_tsul_e
249,EX_metsox_R__L_e,,,EX_metsox_R__L_e
250,EX_ttdca_e,,,EX_ttdca_e
251,EX_3hcinnm_e,,,EX_3hcinnm_e
252,EX_ttdcea_e,,,EX_ttdcea_e
253,EX_ttrcyc_e,,,EX_ttrcyc_e
254,EX_metsox_S__L_e,,,EX_metsox_S__L_e
255,EX_mg2_e,,,EX_mg2_e
256,EX_mincyc_e,,,EX_mincyc_e
257,EX_minohp_e,,,EX_minohp_e
258,EX_tungs_e,,,EX_tungs_e
259,EX_3hpp_e,,,EX_3hpp_e
260,EX_tym_e,,,EX_tym_e
261,EX_tyr__L_e,,,EX_tyr__L_e
262,EX_tyrp_e,,,EX_tyrp_e
263,EX_uacgam_e,,,EX_uacgam_e
264,EX_udpacgal_e,,,EX_udpacgal_e
265,EX_udpg_e,,,EX_udpg_e
266,EX_udpgal_e,,,EX_udpgal_e
267,EX_udpglcur_e,,,EX_udpglcur_e
268,EX_mmet_e,,,EX_mmet_e
269,EX_mn2_e,,,EX_mn2_e
