Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_alaala_e,,,EX_alaala_e
1,EX_alltn_e,,,EX_alltn_e
2,EX_amp_e,,,EX_amp_e
3,EX_anhgm_e,,,EX_anhgm_e
4,EX_fum_e,,,EX_fum_e
5,EX_all__D_e,,,EX_all__D_e
6,EX_arab__L_e,,,EX_arab__L_e
7,EX_ala__L_e,,,EX_ala__L_e
8,DM_4crsol_c,,,DM_4crsol_c
9,DM_5drib_c,,,DM_5drib_c
10,EX_arbt_e,,,EX_arbt_e
11,EX_fusa_e,,,EX_fusa_e
12,EX_arbtn_e,,,EX_arbtn_e
13,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
14,DM_aacald_c,,,DM_aacald_c
15,DM_amob_c,,,DM_amob_c
16,EX_g1p_e,,,EX_g1p_e
17,DM_mththf_c,,,DM_mththf_c
18,EX_arg__L_e,,,EX_arg__L_e
19,DM_oxam_c,,,DM_oxam_c
20,EX_ascb__L_e,,,EX_ascb__L_e
21,EX_g3pc_e,,,EX_g3pc_e
22,EX_asn__L_e,,,EX_asn__L_e
23,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
24,EX_aso3_e,,,EX_aso3_e
25,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
26,EX_g3pe_e,,,EX_g3pe_e
27,EX_12ppd__R_e,,,EX_12ppd__R_e
28,EX_asp__L_e,,,EX_asp__L_e
29,EX_g3pg_e,,,EX_g3pg_e
30,EX_btn_e,,,EX_btn_e
31,EX_but_e,,,EX_but_e
32,EX_butso3_e,,,EX_butso3_e
33,EX_12ppd__S_e,,,EX_12ppd__S_e
34,EX_14glucan_e,,,EX_14glucan_e
35,EX_15dap_e,,,EX_15dap_e
36,EX_23camp_e,,,EX_23camp_e
37,EX_23ccmp_e,,,EX_23ccmp_e
38,EX_23cgmp_e,,,EX_23cgmp_e
39,EX_23cump_e,,,EX_23cump_e
40,EX_23dappa_e,,,EX_23dappa_e
41,EX_ca2_e,,,EX_ca2_e
42,EX_cbi_e,,,EX_cbi_e
43,EX_cbl1_e,,,EX_cbl1_e
44,EX_cd2_e,,,EX_cd2_e
45,EX_cgly_e,,,EX_cgly_e
46,EX_chol_e,,,EX_chol_e
47,EX_chtbs_e,,,EX_chtbs_e
48,EX_cit_e,,,EX_cit_e
49,EX_cl_e,,,EX_cl_e
50,EX_26dap__M_e,,,EX_26dap__M_e
51,EX_2ddglcn_e,,,EX_2ddglcn_e
52,EX_34dhpac_e,,,EX_34dhpac_e
53,EX_cm_e,,,EX_cm_e
54,EX_cmp_e,,,EX_cmp_e
55,EX_3amp_e,,,EX_3amp_e
56,EX_g3pi_e,,,EX_g3pi_e
57,EX_3cmp_e,,,EX_3cmp_e
58,EX_3gmp_e,,,EX_3gmp_e
59,EX_3hcinnm_e,,,EX_3hcinnm_e
60,EX_co2_e,,,EX_co2_e
61,EX_cobalt2_e,,,EX_cobalt2_e
62,EX_colipa_e,,,EX_colipa_e
63,EX_colipap_e,,,EX_colipap_e
64,EX_g3ps_e,,,EX_g3ps_e
65,EX_cpgn_e,,,EX_cpgn_e
66,EX_cpgn_un_e,,,EX_cpgn_un_e
67,EX_3hpp_e,,,EX_3hpp_e
68,EX_3hpppn_e,,,EX_3hpppn_e
69,EX_3ump_e,,,EX_3ump_e
70,EX_4abut_e,,,EX_4abut_e
71,EX_4hoxpacd_e,,,EX_4hoxpacd_e
72,EX_crn_e,,,EX_crn_e
73,EX_crn__D_e,,,EX_crn__D_e
74,EX_5dglcn_e,,,EX_5dglcn_e
75,EX_5mtr_e,,,EX_5mtr_e
76,EX_csn_e,,,EX_csn_e
77,EX_cu_e,,,EX_cu_e
78,EX_g6p_e,,,EX_g6p_e
79,EX_cu2_e,,,EX_cu2_e
80,EX_cyan_e,,,EX_cyan_e
