Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_h2_e,,,EX_h2_e
1,EX_h2o_e,,,EX_h2o_e
2,EX_his__L_e,,,EX_his__L_e
3,EX_ile__L_e,,,EX_ile__L_e
4,EX_lac__D_e,,,EX_lac__D_e
5,EX_murein4p3p_e,,,EX_murein4p3p_e
6,EX_murein4p4p_e,,,EX_murein4p4p_e
7,EX_murein4px4p_e,,,EX_murein4px4p_e
8,EX_k_e,,,EX_k_e
9,EX_murein4px4px4p_e,,,EX_murein4px4px4p_e
10,EX_alaala_e,,,EX_alaala_e
11,EX_murein5p3p_e,,,EX_murein5p3p_e
12,EX_murein5p4p_e,,,EX_murein5p4p_e
13,EX_murein5p5p_e,,,EX_murein5p5p_e
14,EX_murein5p5p5p_e,,,EX_murein5p5p5p_e
15,EX_lac__L_e,,,EX_lac__L_e
16,EX_leu__L_e,,,EX_leu__L_e
17,EX_lys__L_e,,,EX_lys__L_e
18,EX_alltn_e,,,EX_alltn_e
19,EX_malt_e,,,EX_malt_e
20,EX_murein5px3p_e,,,EX_murein5px3p_e
21,EX_murein5px4p_e,,,EX_murein5px4p_e
22,EX_malthx_e,,,EX_malthx_e
23,EX_murein5px4px4p_e,,,EX_murein5px4px4p_e
24,EX_arab__L_e,,,EX_arab__L_e
25,EX_malttr_e,,,EX_malttr_e
26,EX_man_e,,,EX_man_e
27,EX_araban__L_e,,,EX_araban__L_e
28,EX_met__L_e,,,EX_met__L_e
29,EX_mg2_e,,,EX_mg2_e
30,EX_mn2_e,,,EX_mn2_e
31,EX_na1_e,,,EX_na1_e
32,EX_nh4_e,,,EX_nh4_e
33,EX_ni2_e,,,EX_ni2_e
34,EX_no2_e,,,EX_no2_e
35,EX_no3_e,,,EX_no3_e
36,EX_pi_e,,,EX_pi_e
37,EX_pro__L_e,,,EX_pro__L_e
38,EX_mobd_e,,,EX_mobd_e
39,EX_xan_e,,,EX_xan_e
40,EX_xyl__D_e,,,EX_xyl__D_e
41,EX_ptrc_e,,,EX_ptrc_e
42,EX_arg__L_e,,,EX_arg__L_e
43,EX_pydxn_e,,,EX_pydxn_e
44,EX_pyr_e,,,EX_pyr_e
45,EX_zn2_e,,,EX_zn2_e
46,BIOMASS_Cl_DSM_WT_46p666M1,,,BIOMASS_Cl_DSM_WT_46p666M1
47,EX_rib__D_e,,,EX_rib__D_e
48,DM_mththf_c,,,DM_mththf_c
49,5HBZIDMT,,,5HBZIDMT
50,5HBZIDS2,,,5HBZIDS2
51,DM_succ_c,,,DM_succ_c
52,ABUTD,-50.5362137871568,1.5647281297530535,ABUTD
53,ACACT1r,26.75969721777949,0.9905864000320436,ACACT1r
54,EX_ac_e,,,EX_ac_e
55,EX_ala__D_e,,,EX_ala__D_e
56,EX_asn__L_e,,,EX_asn__L_e
57,EX_asp__L_e,,,EX_asp__L_e
58,EX_ribflv_e,,,EX_ribflv_e
59,EX_rmn_e,,,EX_rmn_e
60,EX_ser__D_e,,,EX_ser__D_e
61,EX_btd_RR_e,,,EX_btd_RR_e
62,EX_ser__L_e,,,EX_ser__L_e
63,EX_btn_e,,,EX_btn_e
64,EX_so4_e,,,EX_so4_e
65,EX_btoh_e,,,EX_btoh_e
