Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,TKT2g,-7.934710502624512,1.484092354774475,TKT2g
1,GLUDxi,34.267326418179096,0.3379766594684378,GLUDxi
2,GLUDy,34.26732249637067,0.3379976350016767,GLUDy
3,GLYKg,-15.392904815673829,0.4125903118207544,GLYKg
4,ALAtmi,-35.869615264067605,7.396972250717226e-06,ALAtmi
5,FUMm,-3.5329383947188475,0.1696067154407501,FUMm
6,RPEg,0.0,2.441406286379788e-05,RPEg
7,GLYC3P_DHAPtg,-1.200478373706254,9.37639779294841e-05,GLYC3P_DHAPtg
8,H2Otm,10.268900330649087,0.0,H2Otm
9,GLUDym,34.04959901196028,0.3379980917838446,GLUDym
10,THRt2m,36.15987504317783,3.03646068452948e-06,THRt2m
11,GLCBt,,,GLCBt
12,NADH2_u6m,-74.9389473935386,26.179434682270795,NADH2_u6m
13,PROabc,-41.63244029224799,0.3305115023493894,PROabc
14,DRPArg,21.61526870727539,1.843690276145935,DRPArg
15,ENO,-3.648819221467639,0.2816462814807892,ENO
16,GND,8.728013231566731,2.015899658203125,GND
17,PYR5CDm,-53.33586935067049,1.5647580988111178,PYR5CDm
18,CITtam,5.352057313676799,5.421832611318678e-05,CITtam
19,PEPt,-1.3523585361367267,0.0,PEPt
20,CYOR_u6m_1,,,CYOR_u6m_1
21,FRDm_1,-66.95960630786806,1.5095145210860672,FRDm_1
22,PDHam2mi,-6.2809424973975325,11.323558807373049,PDHam2mi
23,TALA,-2.0587790399877584,1.0990513563156128,TALA
24,GLYCt,13.691870293210492,6.5648268900986295e-06,GLYCt
25,3PGtx,2.4025590585878263,0.0,3PGtx
26,PGLg,-22.55222274780273,1.2351390645012212,PGLg
27,PDHam1m,-34.06786714196677,11.255556106567385,PDHam1m
28,TKT1g,6.132670879364014,0.8721697330474854,TKT1g
29,r0009,-15.888409271240237,0.2858358037874161,r0009
30,ICDHym,22.99024388576117,2.226491451263428,ICDHym
31,NADH2_u6cm,-64.66898239940681,26.17943754019635,NADH2_u6cm
32,GAPDg,2.73737548828125,0.6437094259391911,GAPDg
33,ASPTA,3.6392706954541936,0.452442854642868,ASPTA
34,NH4t,-6.803978602769874,0.0,NH4t
35,O2t,0.0,0.0,O2t
36,GCC2cm,4.387121500328404,0.2485610869265558,GCC2cm
37,PDHe2,15.907501748120453,3.0987955438824435,PDHe2
38,ME1m,30.46195747114808,1.739429950714111,ME1m
39,PYRt2m,5.582777340717178,6.072921369058959e-06,PYRt2m
40,ME1,15.52877756662241,1.7394320964813232,ME1
41,PROtm_1,36.379185174962565,1.087851071623182e-05,PROtm_1
42,PROt2r_copy1,-17.113385970713793,8.8920912379965e-06,PROt2r_copy1
43,SUCD1m,55.04534245097746,5.242191314697266,SUCD1m
44,ACCOAtm_1,174.71277565746584,3.208847192581743e-05,ACCOAtm_1
45,PGI1c,0.2634570123313722,0.1824320256710052,PGI1c
46,PYRt_x,1.711526593127051,6.0729216784238815e-06,PYRt_x
47,H2Otp,-1.1409891041044218,0.0,H2Otp
48,COAtim,162.5326022483481,5.3710937208961695e-05,COAtim
49,ASPGLU2m,10.260843628267189,1.9213959603803232e-05,ASPGLU2m
50,GLYt,-8.539610781426543,0.0,GLYt
51,PIt2m,-3.5710080858779563,0.0,PIt2m
52,NH4tm,20.25891324462465,0.0,NH4tm
53,ASPTAm,3.630562008219563,0.4524429440498352,ASPTAm
54,ACtr,-5.137874102853179,0.0,ACtr
55,SUCCtp,-2.305879548293841,1.6044235962908715e-05,SUCCtp
56,THRt2r_copy1,-17.080623205917448,4.2724609375e-06,THRt2r_copy1
57,ATPtm,0.0073908118545489,0.0001034649394568,ATPtm
58,O2tm,0.0,0.0,O2tm
59,GLCAt,,,GLCAt
60,ASPt2r_copy1,-11.973448817353244,3.03646068452948e-06,ASPt2r_copy1
61,G6PI3,0.2634594263194856,0.1824355572462082,G6PI3
62,OAtm1,10.269594807270607,6.072922133171232e-06,OAtm1
63,MDHm,28.89020236046633,0.3388902086089564,MDHm
64,PYK,-26.12925068432797,0.5352485119871111,PYK
65,MDHp,28.91823608398437,0.3389054185897562,MDHp
66,ALATA_L,2.8872963222035217,0.4688969850540161,ALATA_L
67,PItx,-0.8231786806020942,0.0,PItx
68,PFKg,-15.877039794921876,0.8198196836863004,PFKg
69,Htx,-0.5704945844906959,0.0,Htx
70,ACONTm,7.721389198485092,0.2819038331508636,ACONTm
71,ASPt3m,30.75538020413515,0.0,ASPt3m
72,FUM,-3.5510912209040035,0.1696063876152038,FUM
73,PPCKg,12.534496307373049,1.847632884979248,PPCKg
74,PPA,-15.604071967391135,0.2858358037874161,PPA
75,RPIg,4.759159088134766,0.6056734919548035,RPIg
76,PPM,-6.947576725848705,0.535635232925415,PPM
77,EX_h2o_e,,,EX_h2o_e
78,EX_pro__L_e,,,EX_pro__L_e
79,EX_glu__L_e,,,EX_glu__L_e
80,EX_co2_e,,,EX_co2_e
81,EX_nh4_e,,,EX_nh4_e
82,EX_glyc_e,,,EX_glyc_e
83,EX_gly_e,,,EX_gly_e
84,EX_o2_e,,,EX_o2_e
85,EX_h_e,,,EX_h_e
86,EX_thr__L_e,,,EX_thr__L_e
87,EX_ala__L_e,,,EX_ala__L_e
88,EX_succ_e,,,EX_succ_e
89,EX_b_D_glucose_e,,,EX_b_D_glucose_e
90,EX_a_D_glucose_e,,,EX_a_D_glucose_e
91,EX_ac_e,,,EX_ac_e
92,EX_asp__L_e,,,EX_asp__L_e
93,EX_pi_e,,,EX_pi_e
94,ASNTRS,,,ASNTRS
95,ASNS3,-14.448539581845084,1.0095791816711426,ASNS3
96,ASPTRS,,,ASPTRS
97,ASNNg,-12.365398406982422,1.0266650915145874,ASNNg
98,ALAR,-2.288818308215923e-07,6.862639565952122e-06,ALAR
99,ALATRS,,,ALATRS
100,CYSTA,0.0870693971938969,5.95151948928833,CYSTA
101,ASPTA3,,,ASPTA3
102,UAGDP,-2.256108073039795,0.1503051781407671,UAGDP
103,ACGAMPM,5.784309740970535,1.1959571838378906,ACGAMPM
104,GF6PTA,-19.07899204512747,2.3243722915649414,GF6PTA
105,G6PDAr,7.29134464263916,2.1046030521392822,G6PDAr
106,ACGAM6PS,-40.03981079231919,4.3139953303546426,ACGAM6PS
107,ARGNg,-30.94050025939941,3.286059617996216,ARGNg
108,ARGTRS,,,ARGTRS
109,HACOADm,,,HACOADm
110,SUCOAS1m,3.177081453219955,0.3724492788314819,SUCOAS1m
111,SLCYSS,-45.90935110545061,14.413580894470217,SLCYSS
112,CYSS_2,-48.001920540625605,2.9095046520233154,CYSS_2
113,AHSERL5i,,,AHSERL5i
114,MCPST,-88.72696884440515,6.408053069800887,MCPST
115,SERAT,-10.811872795435164,1.7772523164749146,SERAT
116,EX_gln__L_e,,,EX_gln__L_e
117,EX_arg__L_e,,,EX_arg__L_e
118,EX_urea_e,,,EX_urea_e
119,EX_phe__L_e,,,EX_phe__L_e
120,EX_ile__L_e,,,EX_ile__L_e
121,EX_his__L_e,,,EX_his__L_e
122,EX_val__L_e,,,EX_val__L_e
123,EX_leu__L_e,,,EX_leu__L_e
124,EX_lys__L_e,,,EX_lys__L_e
125,EX_ala__D_e,,,EX_ala__D_e
126,EX_ergst_e,,,EX_ergst_e
127,EX_ser__L_e,,,EX_ser__L_e
128,EX_ura_e,,,EX_ura_e
129,EX_met__L_e,,,EX_met__L_e
130,EX_cys__L_e,,,EX_cys__L_e
131,EX_asn__L_e,,,EX_asn__L_e
132,EX_chol_e,,,EX_chol_e
133,EX_cit_e,,,EX_cit_e
134,EX_gthrd_e,,,EX_gthrd_e
135,EX_h2s_e,,,EX_h2s_e
136,EX_nac_e,,,EX_nac_e
137,EX_ncam_e,,,EX_ncam_e
138,EX_inost_e,,,EX_inost_e
139,EX_nh3_e,,,EX_nh3_e
140,EX_gua_e,,,EX_gua_e
141,EX_drib_e,,,EX_drib_e
142,EX_thym_e,,,EX_thym_e
143,EX_hxan_e,,,EX_hxan_e
144,HBUHL1m,,,HBUHL1m
145,HHYHL2m,,,HHYHL2m
146,HOCHL3m,,,HOCHL3m
147,HDEHL4m,,,HDEHL4m
148,TRYS,,,TRYS
149,GSPMDS,-29.15245252214208,3.178274132341219,GSPMDS
150,ADHAPRg_LM,,,ADHAPRg_LM
151,MannanSys,,,MannanSys
152,CA2abc,-24.51917508666135,0.330511307448053,CA2abc
153,RBLKg,-11.848263854980468,0.9628753458371424,RBLKg
154,DRBK,-15.313253526225932,0.4125843400504635,DRBK
155,PHETRS,,,PHETRS
156,TYRTRS,,,TYRTRS
157,PROTRS,,,PROTRS
158,ADPT,-18.740218181763503,0.6104047894477844,ADPT
159,ADPT2_1,,,ADPT2_1
160,GUAPRT,-18.7380703218466,0.610407829284668,GUAPRT
161,RNDR1_n,,,RNDR1_n
162,ADSS,-1.9936250757185108,1.0285814557156738,ADSS
163,ADNK1,-15.31285080127655,0.4125746399208879,ADNK1
164,ADNK1g,-15.392903747558591,0.4125760301431095,ADNK1g
165,ADNK1m,-29.9723596310365,0.4125790555840009,ADNK1m
166,ADNK1er,-15.247173877920485,0.4125724897976545,ADNK1er
167,DADNK,-15.311671883534652,0.4125643124011572,DADNK
168,HXPRTg,-18.558446884155277,0.6104099154472351,HXPRTg
169,ADK1,-1.6815171998434335,0.1503323465585708,ADK1
170,ADK1m,0.2606465308991801,0.1503235250711441,ADK1m
171,ADSL1r,10.98105091964218,1.0199960470199585,ADSL1r
172,ADSL2r,25.095735325007524,2.7182493209838867,ADSL2r
173,IMPDg,-7.1164775085449214,1.911797489988909,IMPDg
174,AMPDg,-22.652719497680664,0.5803470015525818,AMPDg
175,PRPPS_copy2,-8.358157872162513,0.5740093740497285,PRPPS_copy2
176,PRPPSig,-8.440885009765625,0.5740042389212554,PRPPSig
177,NDPK1,-6.226011278442911e-05,0.0002148437342839,NDPK1
178,NDPK2,-2.1990532161453306e-05,0.000290763186058,NDPK2
179,NDPK3,-3.9641647234134325e-05,0.000233355545788,NDPK3
180,NDPK4,-4.697849620072248e-05,0.0002561034052632,NDPK4
181,NDPK5,-4.060711603415257e-05,0.0002234786952612,NDPK5
182,NDPK6,-1.3531591861237756e-05,0.0002783631498459,NDPK6
183,NDPK7,-3.964730650807269e-05,0.0002333555166842,NDPK7
184,NDPK8,-8.249029583851097e-06,0.0002353267482249,NDPK8
185,NDPK9,1.1889168057166444e-05,0.0002202143077738,NDPK9
186,NDPK10_1,-0.5705699738550345,0.0001872735245191,NDPK10_1
187,ADNCYC,2.137129698325676,2.087130546569824,ADNCYC
188,GK1,-1.6806823131785578,0.1503104418516159,GK1
189,GK1er,-1.3722510105967878,0.1503080278635025,GK1er
190,DGK1,-1.6818262732278413,0.150343969464302,DGK1
191,DGK1er,-1.3743448619673373,0.1503423005342483,DGK1er
192,GMPS2,-31.040311179624982,9.260968413387598,GMPS2
193,GUAD,-17.53035421296138,9.539829639923818,GUAD
194,NDPK1n,-8.357726775187757e-05,0.0002157711569452,NDPK1n
195,NDPK2n,-3.1020304469109306e-05,0.0002957529504783,NDPK2n
196,NDPK3n,-6.122280288423099e-05,0.0002379588549956,NDPK3n
197,NDPK4n,-4.941729582697008e-05,0.0002543752780184,NDPK4n
198,NDPK5n,-5.1860763164768287e-05,0.0002339040365768,NDPK5n
199,NDPK6n,-3.397594197451781e-05,0.0002615269040688,NDPK6n
200,NDPK7n,-4.415082895548039e-05,0.0002249673270853,NDPK7n
201,NDPK8n,-9.39068906546936e-06,0.0002403390681138,NDPK8n
202,NDPK9n,-1.0702007955387671e-06,0.0002196044515585,NDPK9n
203,NDPKn10,-1.1411333751010408,0.0001985322680922,NDPKn10
204,HXANt2r,-8.515858185623248,1.0965114882337453e-05,HXANt2r
205,ORNtg,7.413755068871616,2.6384911961940816e-06,ORNtg
206,ARGtg,-8.552610245694602,1.4261868273024447e-05,ARGtg
207,GLY3Pt,4.126511139520474,2.980116369144525e-05,GLY3Pt
208,Gthrdtg,-8.942127388208455,1.3427733392745722e-05,Gthrdtg
209,HMR_9680,1.141195004135433,1.0553965694271028e-05,HMR_9680
210,ASNtg,-4.54107029421121,8.26795439934358e-06,ASNtg
211,GTHOXtg,-17.107067914702355,1.6136846170411445e-05,GTHOXtg
212,RBLLtg,-5.704616348635074,6.072922133171232e-06,RBLLtg
213,RU5PLtg,-5.260782771488085,2.660460813785903e-05,RU5PLtg
214,HMGCOAtx,-22.29159618787679,7.704948075115681e-05,HMGCOAtx
215,UDPGtg,-12.546463529075377,4.2215859139105305e-05,UDPGtg
216,UDPGALtg_1,-12.54646597048157,3.4526696254033595e-05,UDPGALtg_1
217,CMPtm,61.897347235441096,2.2706393792759627e-05,CMPtm
218,GLYC3Ptm,36.45178765061484,2.980116187245585e-05,GLYC3Ptm
219,GLNtm,51.24080011659447,3.0172302558639785e-06,GLNtm
220,GLUt7m,41.016225663456986,0.0,GLUt7m
221,12DGRtm,,,12DGRtm
222,ACACtm,25.674078747587817,1.0965115507133303e-05,ACACtm
223,r1117,66.89900957377033,2.7268444682704285e-05,r1117
224,THYMDtm,71.74519729776588,8.764179256104399e-06,THYMDtm
225,ACPexch,5.12550186431429,0.0,ACPexch
226,3MGCOAtm,190.12331592605068,5.698213499272242e-05,3MGCOAtm
227,LEUt5m,66.68287763656238,5.39695383849903e-06,LEUt5m
228,VALt5m,56.42477299150682,5.907733338972321e-06,VALt5m
229,PMTCOAtm,-318.4774213250993,5.313565270625986e-05,PMTCOAtm
230,GTHOXtm,153.77900359531102,2.2706391973770224e-05,GTHOXtm
231,TYRt2m,46.468746439319,1.1099130306346635e-05,TYRt2m
232,CMPtn,6.909887523530745,1.4900580936227923e-05,CMPtn
233,UDPtn,6.639155433239374,3.208847192581743e-05,UDPtn
234,DTDPtn,7.78073800097016,2.7048972697230056e-05,DTDPtn
235,DTTPtn,7.779936514721811,4.164726851740852e-05,DTTPtn
236,TRPDRDtn,,,TRPDRDtn
237,TRPDOXtn,,,TRPDOXtn
238,DUMPtn,6.335556773741452,3.1661897082813084e-05,DUMPtn
239,DIDPtn,6.634256696988231,3.4440272429492325e-05,DIDPtn
240,DITPtn,6.633383949972696,5.96023237449117e-05,DITPtn
241,GTPtn,7.216043076126056,2.429168671369553e-05,GTPtn
242,DGTPtn,7.216062279504584,3.4526696254033595e-05,DGTPtn
243,DCTPtn,7.216827870993768,5.4097941756481305e-05,DCTPtn
244,IDPtn,6.634160022805311,1.7089843822759576e-05,IDPtn
245,ITPtn,6.633346795285547,3.417968764551915e-05,ITPtn
246,G5SD,-3.0316200569175646,1.6299779232008154,G5SD
247,AGMT,-30.94043812613654,3.2860679626464844,AGMT
248,LEUTRS,,,LEUTRS
249,ACACT10m,-18.97132440978845,3.012947797775269,ACACT10m
250,ODHmi,,,ODHmi
251,ILETRS,,,ILETRS
252,ACOAD8m,21.914280582824404,6.827163696289063,ACOAD8m
253,VALTRS,,,VALTRS
254,MCCCrm,-15.271712682612652,2.1502791567126294,MCCCrm
255,HIBHrm,-51.34725851739292,3.24777375182728,HIBHrm
256,3MBTm,,,3MBTm
257,MGCH,2.1220368253860187,5.162425994873047,MGCH
258,CLPNSm_LM,,,CLPNSm_LM
259,P5CR,-48.60392946452006,2.7739748713737606,P5CR
260,CYSTRS,,,CYSTRS
261,TYRTAim,3.790435753890016,1.1636539697647097,TYRTAim
262,BIOMASS_t_cruzi,,,BIOMASS_t_cruzi
263,GLYATm,20.67987814939892,3.46045994758606,GLYATm
264,G5SADrm,-2.579962439021484,3.797974867134622,G5SADrm
265,ALATA_Lm,2.8982583426193216,0.4688948690891266,ALATA_Lm
266,R01465m,12.008767162874893,3.2851494628473685,R01465m
267,PRPPS_copy1,-8.358157872162513,0.5740093740497285,PRPPS_copy1
268,TKT1,6.1669096659075535,0.8721656799316406,TKT1
269,TKT2,-8.001336402109526,1.4840917587280271,TKT2
270,CO2t,0.0,0.0,CO2t
271,ALAPAT4te,-11.970025412487512,6.514538199553499e-06,ALAPAT4te
272,G6PBDH,-9.735426024335547,0.9001344127908159,G6PBDH
273,TPIg,5.170516490936279,0.5584104657173157,TPIg
274,GLUt2r_copy1,-15.396120222932446,3.03646068452948e-06,GLUt2r_copy1
275,PPAm,-28.409991008039345,0.2858358037874161,PPAm
276,AKGDam,-22.523861049413064,2.434843211384842,AKGDam
277,ALTOXIDm2,-308.61320144060903,52.57964706420898,ALTOXIDm2
278,FBPg,-10.606921195983888,0.8425886034965515,FBPg
279,CYOO6m_1,,,CYOO6m_1
280,ATPS3m,10.600888123037011,0.3305110815819408,ATPS3m
281,GLYCtg,-4.563954678996082,8.435226845904253e-06,GLYCtg
282,GLCBtg,,,GLCBtg
283,13DPGtg,2.4929881878545785,0.0,13DPGtg
284,G6PDHg,-9.7488134765625,0.900128177297118,G6PDHg
285,SUCD3_u6m,-63.02469528591564,26.507606506347656,SUCD3_u6m
286,PRO1xm,33.66199370236275,2.7739404346655108,PRO1xm
287,P5CDm,-50.75527902220854,3.9400465988540376,P5CDm
288,PGKg,-19.269182205200195,0.575176477432251,PGKg
289,MAL_Ltx,2.288809607562765,1.220703143189894e-05,MAL_Ltx
290,GLCAtg,,,GLCAtg
291,FBAg,22.07296371459961,0.5638461709022522,FBAg
292,GLYtm,25.550511457301557,0.0,GLYtm
293,RPE,-7.324218586290954e-06,3.3740907383617014e-05,RPE
294,AKGMALtm,0.0218549951990816,4.7261866711778566e-05,AKGMALtm
295,GDHm,34.05022690140076,0.3379699079700427,GDHm
296,FRDgr,-67.05827209472656,1.5095155222278205,FRDgr
297,RPI,4.807725937684719,0.6056711077690125,RPI
298,GNKg,-15.392913818359377,0.4125845153792608,GNKg
299,DICtm,-0.0592065288073229,4.9525060603627935e-05,DICtm
300,GLUKg,,,GLUKg
301,CSm,-52.14724828232774,0.4836030973666498,CSm
302,PGM,-4.566574327245107,0.2890410125255584,PGM
303,PGL,-22.48990063663838,1.235141231882994,PGL
304,PGK,19.360334639854106,0.5751640796661377,PGK
305,G3PD2m,20.759436277167083,5.184175968170166,G3PD2m
306,PGI3,0.0,0.0,PGI3
307,G6PI4,0.2639587521553039,0.1824312806129455,G6PI4
308,PGI1,0.2639587521553039,0.1824312806129455,PGI1
309,H2Ot,-3.422967192999336,0.0,H2Ot
310,A1Eg,,,A1Eg
311,ADK1g,-2.0035228729248047,0.1503251045942306,ADK1g
312,ATPS,-24.51905432153421,0.330511307448053,ATPS
313,ACtm,15.40935500860431,0.0,ACtm
314,PIt2r,-3.9971114351507815,0.0,PIt2r
315,SUCCt2r,-8.60410974346949,1.6136845784182477e-05,SUCCt2r
316,AKGDbm,2.233922142485113,0.615692138671875,AKGDbm
317,PPDKgr,17.32517608642578,0.7334817869296111,PPDKgr
318,r0202,22.463194580078124,0.7575171686607501,r0202
319,SUCOASm,3.1768648001140605,0.3724944591522217,SUCOASm
320,HEX,,,HEX
321,FBP,-10.445774926720246,0.8425835371017456,FBP
322,DRBKg,-15.392903900146484,0.4125871637487286,DRBKg
323,CO2tp,0.0,0.0,CO2tp
324,RBKrg,-14.019185485839843,0.7890485989301572,RBKrg
325,CO2tm,0.0,0.0,CO2tm
326,NADH2_u6am,-35.65605243520386,26.179434682270795,NADH2_u6am
327,ASCTmr,-3.00520519839921,0.6263467073440552,ASCTmr
328,FUMg,-3.5564301013946533,0.1696058958768844,FUMg
329,HDDHL5m,,,HDDHL5m
330,HTDHL6m,,,HTDHL6m
331,HHDHL7m,,,HHDHL7m
332,HODHL8m,,,HODHL8m
333,HACD1m_1,,,HACD1m_1
334,3OAS40_m,23.730175504853484,2.865201831328131,3OAS40_m
335,MCMAT2m,,,MCMAT2m
336,MCMAT3m,,,MCMAT3m
337,MCMAT4m,,,MCMAT4m
338,MCMAT5m,,,MCMAT5m
339,MCMAT6m,,,MCMAT6m
340,MCMAT7m,,,MCMAT7m
341,MCMAT8m,,,MCMAT8m
342,HBUR1m,,,HBUR1m
343,HHYR2m,,,HHYR2m
344,HOCR3m,,,HOCR3m
345,HDER4m,,,HDER4m
346,HDDR5m,,,HDDR5m
347,HTDR6m,,,HTDR6m
348,HHDR7m,,,HHDR7m
349,HODR8m,,,HODR8m
350,ACOADH160_m,41.23992030755585,5.490808010101318,ACOADH160_m
351,TDCOADm,,,TDCOADm
352,DDCOADm,,,DDCOADm
353,DCCOADm,,,DCCOADm
354,OCCOADm,,,OCCOADm
355,HXCOADm,,,HXCOADm
356,BTCOADm,,,BTCOADm
357,FACOAL160,-8.189820571354893,0.7961933016777039,FACOAL160
358,FACOAL1,,,FACOAL1
359,FACOAL2,,,FACOAL2
360,FACOAL140,,,FACOAL140
361,FACOAL180_2,-8.189834876469895,0.7962274551391602,FACOAL180_2
362,FACOAL181_2,,,FACOAL181_2
363,FACOAL182_1,,,FACOAL182_1
364,DESAT180_9,,,DESAT180_9
365,ACCOACrm,-14.047070018211423,2.1046905261423663,ACCOACrm
366,MAN6PI,0.2634582342265901,0.1824346631765365,MAN6PI
367,PMANM,-6.947547414871327,0.5356380343437195,PMANM
368,MAN1PT1,,,MAN1PT1
369,PFK26,-0.1679714376300603,3.786470158153573,PFK26
370,FBP26,-26.06257213054032,3.789320707321167,FBP26
371,GALUi,-2.253200804477323,0.1503220827731879,GALUi
372,GALKx,-8.440904541015625,0.574008162304642,GALKx
373,UDPG4Ex,-2.441406195430318e-06,5.453688936540857e-05,UDPG4Ex
374,UDPGALM,4.994102057526121,1.3844146728515625,UDPGALM
375,GLUCYS,-30.644759758214875,2.177781813657043,GLUCYS
376,GLUTRS,,,GLUTRS
377,GLUTRSm,,,GLUTRSm
378,GLNTRS,,,GLNTRS
379,GTHS,-27.33395902623234,2.396344812723352,GTHS
380,GLNS,-14.494201460210869,0.8914572229128789,GLNS
381,NADS2,-9.475499780642815,6.4079286464314045,NADS2
382,GTHPi,-308.88709808111065,3.63820219039917,GTHPi
