Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,TKT2g,-7.934714317321777,1.484090805053711,TKT2g
1,H2Otp,-1.1409891041044218,0.0,H2Otp
2,COAtim,162.53261933819147,4.8275684093823656e-05,COAtim
3,ASPGLU2m,10.260843933442906,1.899703784147277e-05,ASPGLU2m
4,GLYt,-8.539610781426543,0.0,GLYt
5,PIt2m,-3.5710080858779563,0.0,PIt2m
6,NH4tm,20.25891324462465,0.0,NH4tm
7,ASPTAm,3.630560816126668,0.4524424970149994,ASPTAm
8,ACtr,-5.137874102853179,0.0,ACtr
9,SUCCtp,-2.3058752758329994,1.474981036153622e-05,SUCCtp
10,THRt2r_copy1,-17.08062366368112,3.4085552831556207e-06,THRt2r_copy1
11,ATPtm,0.0073956946669397,0.0001087454002117,ATPtm
12,O2tm,0.0,0.0,O2tm
13,GLCAt,,,GLCAt
14,ASPt2r_copy1,-11.973448512177464,0.0,ASPt2r_copy1
15,G6PI3,0.2634545685409364,0.1824315339326858,G6PI3
16,OAtm1,10.269595417622156,1.220703143189894e-05,OAtm1
17,MDHm,28.890206632927267,0.3389036345325989,MDHm
18,PYK,-26.129246411867037,0.53524033659318,PYK
19,MDHp,28.91823486328125,0.3389032702537031,MDHp
20,ALATA_L,2.88729679904068,0.4688943326473236,ALATA_L
21,PItx,-0.8231786806020942,0.0,PItx
22,PFKg,-15.8770458984375,0.8198271565605632,PFKg
23,Htx,-0.5704945844906959,0.0,Htx
24,ACONTm,7.721391105833725,0.2819010317325592,ACONTm
25,ASPt3m,30.755379898959376,3.0364608392119408e-06,ASPt3m
26,FUM,-3.5510885982996334,0.1696067750453949,FUM
27,PPCKg,12.534489631652832,1.8476405143737795,PPCKg
28,PPA,-15.604071967391135,0.2858358037874161,PPA
29,RPIg,4.759161472320557,0.6056755185127258,RPIg
30,PPM,-6.947575295337231,0.5356375575065613,PPM
31,EX_h2o_e,,,EX_h2o_e
32,EX_pro__L_e,,,EX_pro__L_e
33,EX_glu__L_e,,,EX_glu__L_e
34,EX_co2_e,,,EX_co2_e
35,EX_nh4_e,,,EX_nh4_e
36,EX_glyc_e,,,EX_glyc_e
37,EX_gly_e,,,EX_gly_e
38,EX_o2_e,,,EX_o2_e
39,EX_h_e,,,EX_h_e
40,EX_thr__L_e,,,EX_thr__L_e
41,EX_ala__L_e,,,EX_ala__L_e
42,EX_succ_e,,,EX_succ_e
43,EX_b_D_glucose_e,,,EX_b_D_glucose_e
44,EX_a_D_glucose_e,,,EX_a_D_glucose_e
45,EX_ac_e,,,EX_ac_e
46,EX_asp__L_e,,,EX_asp__L_e
47,EX_pi_e,,,EX_pi_e
48,ASNTRS,,,ASNTRS
49,ASNS3,-14.448543396542348,1.0095826387405396,ASNS3
50,ASPTRS,,,ASPTRS
51,ASNNg,-12.365398406982422,1.026665449142456,ASNNg
52,ALAR,-9.155273232863692e-07,7.179742169682868e-06,ALAR
53,ALATRS,,,ALATRS
54,CYSTA,0.0870718372590424,5.951520442962647,CYSTA
55,ASPTA3,,,ASPTA3
56,UAGDP,-2.256090983196045,0.1502976904927362,UAGDP
57,ACGAMPM,5.784308787296219,1.1959526538848877,ACGAMPM
58,GF6PTA,-19.078988230430205,2.324371576309204,GF6PTA
59,G6PDAr,7.291342258453369,2.1046066284179688,G6PDAr
60,ACGAM6PS,-40.03981811653794,4.313990553083596,ACGAM6PS
61,ARGNg,-30.94049835205078,3.2860610485076904,ARGNg
62,ARGTRS,,,ARGTRS
63,HACOADm,,,HACOADm
64,SUCOAS1m,3.1770668053785016,0.3724348545074463,SUCOAS1m
65,SLCYSS,-45.90935110545061,14.413582801818848,SLCYSS
66,CYSS_2,-48.001928170020136,2.9095046520233154,CYSS_2
67,AHSERL5i,,,AHSERL5i
68,MCPST,-88.72696823405359,6.408053604149452,MCPST
69,SERAT,-10.811877563806746,1.7772555351257324,SERAT
70,EX_gln__L_e,,,EX_gln__L_e
71,EX_arg__L_e,,,EX_arg__L_e
72,EX_urea_e,,,EX_urea_e
73,FACOAL181_2,,,FACOAL181_2
74,FACOAL182_1,,,FACOAL182_1
75,DESAT180_9,,,DESAT180_9
76,ACCOACrm,-14.047077342430171,2.104695355739107,ACCOACrm
77,MAN6PI,0.2634533466457185,0.1824316382408142,MAN6PI
78,PMANM,-6.947548845382801,0.5356378555297852,PMANM
79,MAN1PT1,,,MAN1PT1
80,PFK26,-0.1679726583331853,3.786473141665232,PFK26
81,FBP26,-26.06257213054032,3.7893295288085938,FBP26
