Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,AKGMALtm,0.0218495020350282,4.825639189220965e-05,AKGMALtm
1,TKT2g,-7.934713363647461,1.4840912818908691,TKT2g
2,G6PI_1,2.441406195430318e-06,2.429168671369553e-05,G6PI_1
3,GLYATm,20.679881964096182,3.4604651927948,GLYATm
4,G5SADrm,-2.579961981257812,3.797973816444255,G5SADrm
5,ALATA_Lm,2.89825881945648,0.4688941240310669,ALATA_Lm
6,R01465m,12.008765789583876,3.2851558448615314,R01465m
7,PRPPS_copy1,-8.358154210053138,0.5740098186148059,PRPPS_copy1
8,TKT1,6.166916818464927,0.8721660375595093,TKT1
9,TKT2,-8.00133258741226,1.4840943813323977,TKT2
10,CO2t,0.0,0.0,CO2t
11,ALAPAT4te,-11.97002579395723,7.97846405475866e-06,ALAPAT4te
12,G6PBDH,-9.735422362226174,0.9001363113080915,G6PBDH
13,TPIg,5.170517444610596,0.5584118366241455,TPIg
14,GLUt2r_copy1,-15.396120528108227,4.315837287515549e-06,GLUt2r_copy1
15,PPAm,-28.409991008039345,0.2858358037874161,PPAm
16,AKGDam,-22.523862880467757,2.4348443277296843,AKGDam
17,ALTOXIDm2,-308.61320144060903,52.57965850830078,ALTOXIDm2
18,FBPg,-10.606911659240724,0.8425838947296143,FBPg
19,CYOO6m_1,,,CYOO6m_1
20,ATPS3m,10.600886902333889,0.3305068216283568,ATPS3m
21,GLYCtg,-4.563956967814391,8.483392775815446e-06,GLYCtg
22,GLCBtg,,,GLCBtg
23,13DPGtg,2.4929881878545785,0.0,13DPGtg
24,G6PDHg,-9.74881103515625,0.9001288637353269,G6PDHg
25,SUCD3_u6m,-63.02469528591564,26.50760078430176,SUCD3_u6m
26,PRO1xm,33.66199179501412,2.773943424445127,PRO1xm
27,P5CDm,-50.75528207396636,3.94004189137964,P5CDm
28,PGKg,-19.269182205200195,0.5751706957817078,PGKg
29,MAL_Ltx,2.2888071661565697,2.100177334796172e-05,MAL_Ltx
30,GLCAtg,,,GLCAtg
31,FBAg,22.072973251342773,0.5638436079025269,FBAg
32,GLYtm,25.550511457301557,0.0,GLYtm
33,RPE,-2.441406195430318e-06,2.980116187245585e-05,RPE
34,GCC2cm,4.387117838219029,0.2485613471275768,GCC2cm
35,PDHe2,15.90749869636264,3.098783068906648,PDHe2
36,ME1m,30.461961285845348,1.7394317388534546,ME1m
37,PYRt2m,5.582776730365616,0.0,PYRt2m
