Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,SUCCt2r,-8.604107912414802,1.4749811979485562e-05,SUCCt2r
1,AKGDbm,2.2339123747739507,0.6156891584396362,AKGDbm
2,PPDKgr,17.325172424316406,0.7334754905196003,PPDKgr
3,r0202,22.463193359375,0.7575169103768152,r0202
4,SUCOASm,3.176852588612462,0.3724947869777679,SUCOASm
5,HEX,,,HEX
6,FBP,-10.445783509789091,0.8425873517990112,FBP
7,DRBKg,-15.39291000366211,0.4125881536640833,DRBKg
8,CO2tp,0.0,0.0,CO2tp
9,RBKrg,-14.01919189453125,0.7890471473380567,RBKrg
10,CO2tm,0.0,0.0,CO2tm
11,NADH2_u6am,-35.65606342153198,26.179439384379226,NADH2_u6am
12,ASCTmr,-3.00520257579484,0.6263421773910522,ASCTmr
13,FUMg,-3.5564305782318115,0.169607475399971,FUMg
14,GLUDxi,34.26732336642128,0.3379722873654226,GLUDxi
15,GLUDy,34.26732310672223,0.3379991504803973,GLUDy
16,GLYKg,-15.39291244506836,0.4125924760114922,GLYKg
17,ALAtmi,-35.86961488259787,4.749259460368194e-06,ALAtmi
18,FUMm,-3.5329383947188475,0.169604018330574,FUMm
19,RPEg,-2.441406195430318e-06,1.7089843822759576e-05,RPEg
20,GLYC3P_DHAPtg,-1.2004747115976429,9.400999260833488e-05,GLYC3P_DHAPtg
21,H2Otm,10.268900330649087,0.0,H2Otm
22,GLUDym,34.04959596020247,0.3380030710266731,GLUDym
23,THRt2m,36.15987565352939,3.03646068452948e-06,THRt2m
24,GLCBt,,,GLCBt
25,NADH2_u6m,-74.93895837986672,26.179439384379226,NADH2_u6m
26,PROabc,-41.632439910778274,0.3305115628030686,PROabc
27,DRPArg,21.61526870727539,1.843690276145935,DRPArg
28,ENO,-3.648818029374744,0.2816460430622101,ENO
29,GND,8.728012277892415,2.015886783599853,GND
30,PYR5CDm,-53.33587286019198,1.5647569192981583,PYR5CDm
31,CITtam,5.352061586137868,4.92081162519753e-05,CITtam
32,PEPt,-1.3523585361367267,0.0,PEPt
33,CYOR_u6m_1,,,CYOR_u6m_1
34,FRDm_1,-66.95960691821963,1.5095201647253436,FRDm_1
35,PDHam2mi,-6.280939159537425,11.32356071472168,PDHam2mi
36,TALA,-2.058782854685024,1.0990519523620603,TALA
37,GLYCt,13.691869530271028,6.817111170676071e-06,GLYCt
38,3PGtx,2.4025590585878263,0.0,3PGtx
39,PGLg,-22.55222274780273,1.235138048983378,PGLg
40,PDHam1m,-34.06786714196677,11.255555152893066,PDHam1m
41,TKT1g,6.132672309875488,0.8721684813499451,TKT1g
42,r0009,-15.888409271240237,0.2858358037874161,r0009
43,ICDHym,22.99023721004096,2.2264962196350098,ICDHym
