Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,CPPPGO,-361.9424843361992,8.95835924595081,CPPPGO
1,CS,-36.6040632963161,0.4836045351638716,CS
2,CTPS1,-7.649888265270042,0.9987000870209412,CTPS1
3,CYOO_HP,,,CYOO_HP
4,CYSS,-49.862493916143,2.909505257751563,CYSS
5,CYSabc,78.366290980629,0.3305132509970249,CYSabc
6,CYTDt2,215.65961594328363,1.0965114882337453e-05,CYTDt2
7,CYTK1,-4.461014302906655,0.1503236293792724,CYTK1
8,ADMDC,-20.889630604319223,4.6193044569577415,ADMDC
9,DAAD,21.534474006216264,5.240174770355225,DAAD
10,ADNUC,-9.495096238861926,0.8949799537658691,ADNUC
11,DADK,-4.432403843993804,0.1503104567527771,DADK
12,EX_pime_e,,,EX_pime_e
13,DADNt2,221.72890058460567,1.6408697581506424e-05,DADNt2
14,ADNt2,221.62898845230688,2.0095309610784093e-05,ADNt2
15,ADPT,-17.676085595883897,0.610404908657074,ADPT
16,DAGK_HP,,,DAGK_HP
17,ADSK,-3.402068969128639,1.768106878542328,ADSK
18,ADSL1r,10.937544697814126,1.0200026035308838,ADSL1r
19,EX_phe__L_e,,,EX_phe__L_e
20,ADSL2r,25.237752361449857,2.718247890472412,ADSL2r
21,DALAt2r,123.4489574704491,8.195475576685592e-06,DALAt2r
22,ADSS,-5.445524491239358,1.0285832558563248,ADSS
23,DAPDC,-21.465390390729333,2.1906763653207486,DAPDC
24,EX_pheme_e,,,EX_pheme_e
25,DAPE,-2.746582140389364e-06,2.0286730432417244e-05,DAPE
26,EX_pi_e,,,EX_pi_e
27,DASYN_HP,,,DASYN_HP
28,4HGLSD,-41.43944337833658,1.1737454751362002,4HGLSD
29,ADtr,77.01758359348162,8.452803399450204e-07,ADtr
30,DB4PS,-95.19221094279855,2.152907633277331,DB4PS
31,AGMHE,2.441406195430318e-06,3.85247367375996e-05,AGMHE
32,DBTS,-30.795922476082797,6.9267022941436815,DBTS
33,AGMT,-30.94067462878183,3.286068916320801,AGMT
34,AHCYSNS,-8.121193299081199,0.7177090644836426,AHCYSNS
35,A5PISO,4.782722596710364,0.9543057680130004,A5PISO
36,AAtr,77.01753657349093,0.0,AAtr
37,ACACT1r,27.72053968222204,0.9905718564987184,ACACT1r
38,AHSERL2,-47.08087931089278,4.027969652484155,AHSERL2
39,AICART,5.342804345682438,2.361488342285156,AICART
40,AIRC2,-18.954047624303133,5.35011734299463,AIRC2
41,AIRC3,7.085730292157507,6.236686706542969,AIRC3
42,AKGt2r,80.31918369642794,8.544921874999999e-06,AKGt2r
43,AKO,-75.4353332572621,5.522911548614502,AKO
44,ALAALAr,-30.46020326217945,2.879531199374357,ALAALAr
45,DCTPD,-21.946463476591017,0.9229458806786488,DCTPD
46,ALAD_L,37.18201977631792,0.57511243880796,ALAD_L
47,ALAR,1.144409225162235e-06,8.172715752152726e-06,ALAR
48,ACACt2,96.0462088350592,9.572990198582838e-06,ACACt2
49,ALAt2r,123.44895541051258,7.371748247791237e-06,ALAt2r
50,DCTPD2,-21.94239936827554,0.9229512195166258,DCTPD2
51,ALAt4,93.45451399577858,9.515051715425216e-06,ALAt4
52,ALCD2y,20.03180448118464,0.855820488214391,ALCD2y
53,AMAA,,,AMAA
54,ACALDt,61.6134151250294,0.0,ACALDt
55,ACCOAC,-2.303138155992937,2.104693860759483,ACCOAC
56,ACKr,13.554480624758924,0.7306327223777771,ACKr
57,DCYTt2,215.66065804134297,1.2600286342284993e-05,DCYTt2
58,ACOATA,-1.0474081274911953,1.5570703744888306,ACOATA
59,AMAOTr,16.058501750233148,6.139472961425781,AMAOTr
60,ACONT,8.273548714388184,0.2819010317325592,ACONT
61,DDPA,-72.00414256396576,1.3982229232788086,DDPA
62,DDPGA,22.55247949331584,1.249010443687439,DDPGA
63,ACP1_FMN,-12.022325906998049,0.4067320525646209,ACP1_FMN
64,DGK1,-4.446407803748777,0.1503477245569229,DGK1
65,DHDPRy,-54.14316501788824,5.798459234252422,DHDPRy
66,ACPS,-37.4241063873758,0.6905929588057408,ACPS
67,DHDPS,-0.9990831701121384,7.018444836089614,DHDPS
68,ACS,-6.633670881986909,0.4244657754898071,ACS
69,AMID2,12.431808831766071,12.152033805847168,AMID2
70,DHFR,-22.877433391625733,1.6684379465188597,DHFR
71,AMID4,-18.645857380084504,2.4696385860443115,AMID4
72,ACt2r,67.72612506889153,0.0,ACt2r
73,ADCL,-177.8646829120375,8.444754841638915,ADCL
74,AMID5,-26.674406705444632,4.149479389190674,AMID5
75,DHFS,-4.615616309985205,6.095532109726298,DHFS
76,AMMQT6,,,AMMQT6
77,ANPRT,-26.919618329200876,5.50377893447876,ANPRT
78,ANS,-199.73413267913023,8.17883216530579,ANS
79,ANS2,-188.00460259878236,8.108613001093993,ANS2
80,ADD,-22.508040293454485,0.5803473645107693,ADD
81,ADEt2,100.10832093411229,6.072921369058959e-06,ADEt2
82,ADK1,-4.44860790306771,0.1503243148326873,ADK1
83,DHNAOT2,,,DHNAOT2
84,EX_fe2_e,,,EX_fe2_e
85,DHNPA,,,DHNPA
86,EX_fe3_e,,,EX_fe3_e
87,AOXSr,-1.9538980565845736,3.3151357983664758,AOXSr
88,APRAUR,-45.20416232746705,4.873146575470889,APRAUR
89,DHORD3,,,DHORD3
