Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_gln__L_e,,,EX_gln__L_e
1,EX_hco3_e,,,EX_hco3_e
2,EX_mn2_e,,,EX_mn2_e
3,EX_arg__L_e,,,EX_arg__L_e
4,ADPT,-18.936038458078883,0.6103968024253845,ADPT
5,O2tcx,0.0,0.0,O2tcx
6,AOXPBDC,,,AOXPBDC
7,DNTPPA,-35.207446330201925,0.657057615491266,DNTPPA
8,CBMD,-8.216445422740314,2.2480412051654883,CBMD
9,BIOMASS_PIGMENTS,,,BIOMASS_PIGMENTS
10,H2Otu_syn,15.973847984434409,0.0,H2Otu_syn
11,DTMPK,-1.378126638356111,0.1503068506717682,DTMPK
12,BIOMASS__1,,,BIOMASS__1
13,ORNTA,2.491703063041708,1.7137649059295654,ORNTA
14,ATPM,-26.0088655957302,0.3305122374598556,ATPM
15,ACOATA,-1.5516977781917731,1.557061791419983,ACOATA
16,5DOAN,-2.3893025246724227,1.630800485610962,5DOAN
17,3HAD160,-0.4138941909391462,2.662815570831299,3HAD160
18,RNDR3,-60.71949603894344,2.9093000888824463,RNDR3
19,Htex,0.0,0.0,Htex
20,G5SD,-2.8978790147673914,1.62997545079,G5SD
21,HISTDa,,,HISTDa
22,TRPS3,21.77909774857819,2.7019758224487305,TRPS3
23,DMBZIDS2,,,DMBZIDS2
24,HSTPT,10.236754523858018,2.302924394607544,HSTPT
25,ZCAROTDH2,-391.6278955494034,5.76907587231492,ZCAROTDH2
26,ORNDC,-21.45456367381191,2.1906713816668906,ORNDC
27,GND,8.704219330024415,2.0159099102020264,GND
28,CMPA_1,-18.08946594178303,3.365709945719166,CMPA_1
29,U23GAAT2,,,U23GAAT2
30,HOXGfx,-737.1455845512294,68.1265635678385,HOXGfx
31,PGK,19.437210548152088,0.5751675367355347,PGK
32,IMPD,-7.137400252105941,1.911792612034243,IMPD
33,LPOR,,,LPOR
34,CHRPL,-184.76285391725116,7.456299304962158,CHRPL
35,GCALDDy,-46.33524735405999,2.3204347929777778,GCALDDy
36,MSBENZMT,,,MSBENZMT
37,DESAT18a,,,DESAT18a
38,FUM,-3.546839171546429,0.1696072071790695,FUM
39,PHYFXOR,,,PHYFXOR
40,TMPPP_1,,,TMPPP_1
41,VPAMTr,4.036680431989346,2.7971131801605225,VPAMTr
42,RNDR1,-60.71934240154867,2.9092953205108643,RNDR1
43,TALA,-2.0883057534643967,1.0990558862686155,TALA
44,GLYCL,14.434628900202648,2.790581464767456,GLYCL
45,ACONT,7.787441004427695,0.2819003164768219,ACONT
46,NDPK7,-4.903364180108838e-05,0.0002351240254938,NDPK7
47,GTPCI,-51.19218919131977,7.707982774987758,GTPCI
48,AIRC2,-19.453903109328262,5.350117117040497,AIRC2
49,IGPS,-91.28042394349715,6.1528460313968205,IGPS
50,MTAP,9.627698581593268,0.5053878426551819,MTAP
51,HEMEAS_1,73.26286454372675,4.539603783382639,HEMEAS_1
52,DHORD3um,,,DHORD3um
53,MTHFC,-6.688059299691571,0.7694076159362996,MTHFC
54,HBZNPT,,,HBZNPT
55,GCATENEC,-24.99121856689453,9.172327041625977,GCATENEC
56,COCHL_1,54.54697863950737,31.45707067360089,COCHL_1
57,HSDy,18.514601609355683,1.2353017313034975,HSDy
58,TRPS1,-27.14313410347329,3.062471866607666,TRPS1
59,HISTDb,,,HISTDb
60,UPPDC1,-31.819611647561597,19.39838942999588,UPPDC1
61,GARFT,0.68395373926074,3.920403077991577,GARFT
62,H4THDPR,,,H4THDPR
63,UDPG4E,-2.441406195430318e-06,2.429168853268493e-05,UDPG4E
64,GLCS3,,,GLCS3
65,AICART,4.985919548230946,2.36148738861084,AICART
66,ASPTA,3.6392194854564863,0.4524419605731964,ASPTA
67,GLYOX,-27.48122888567953,2.927016774408569,GLYOX
68,PRAGSr,-27.529934264301712,5.481982205700257,PRAGSr
69,SQD1,-82.48793965127523,26.10796124200869,SQD1
70,ACKr,15.17249537367116,0.7306348085403442,ACKr
71,UDCPDPS,-547.0223208226572,28.655784606933597,UDCPDPS
72,GK1,-1.3722486264109968,0.1503067761659622,GK1
73,SHKK,-8.57247213389619,1.3080634362278736,SHKK
74,OXADC,-27.52825845759837,4.2511036187651365,OXADC
75,G1PACT,-40.45493080256182,4.41063498148759,G1PACT
76,3HAD60,-0.033362254069603,2.6801798343658447,3HAD60
77,PGI,0.262910022037925,0.1824356317520141,PGI
78,KAS14,8.837746436847736,2.865201679058863,KAS14
79,OHPBAT,-0.709220334221115,2.311624526977539,OHPBAT
80,PQH2tum,,,PQH2tum
81,O2tu,0.0,0.0,O2tu
82,O2tpp,0.0,0.0,O2tpp
83,H2Otex,0.0,0.0,H2Otex
84,SK_for_c,,,SK_for_c
85,EX_mg2_e,,,EX_mg2_e
86,3HAD80,-0.41390515819357,2.662814140319824,3HAD80
87,3OAR160,-19.440251229023733,1.3798155612767913,3OAR160
88,NMNS,3.0813310342618205,2.400359974076152,NMNS
89,PPK,-10.667273403098676,0.3840017020702362,PPK
90,GALUi,-2.502284746307117,0.1503135488794732,GALUi
91,PHYTES2_1,,,PHYTES2_1
92,IGPDH,-48.96317133971003,4.5406694412231445,IGPDH
93,OMPDC,-6.152229397554756,5.525292714357813,OMPDC
94,DCTPD,-22.02767768801429,0.9229534598091912,DCTPD
95,GLUSfx,158.14934908935916,5.361453851460118,GLUSfx
96,NADS2,-9.60039146244021,6.407917743517712,NADS2
97,GLUTRR,,,GLUTRR
98,G1PTT,-2.50258541945378,0.1503067758822462,G1PTT
99,UAMAGS,-25.67012769377959,2.2811393164962253,UAMAGS
100,SPS,-2.5984796277664266,0.820881883122564,SPS
101,ADCL,-177.7623380125424,8.4447531141932,ADCL
102,CYTK1,-1.3720744807304293,0.1503185629844665,CYTK1
103,DAPDC,-21.45347389396212,2.190676644592293,DAPDC
104,PSIum,,,PSIum
105,R05219,-128.26062951197864,29.93352069439157,R05219
106,Cobalt2abcppI,-27.14974228638785,0.3305122374598556,Cobalt2abcppI
107,PFK_3,-13.350099975344026,1.0548073145055252,PFK_3
108,THRS,-17.692928352174206,2.410519361495972,THRS
109,NAMNPP,-22.380347847162398,1.405939698219299,NAMNPP
110,FOLD3,,,FOLD3
111,P5CR,-48.60480178939487,2.7739751475415293,P5CR
112,MEHLER_1,-458.489056291466,2.301101272657685,MEHLER_1
113,ICHORS,1.744108398488578,1.425854206085205,ICHORS
114,3OAS140,,,3OAS140
115,PPK2,-0.0367555979596261,0.0002770216378849,PPK2
116,IPDPS_syn,-65.94301236666425,3.5896125680829627,IPDPS_syn
117,GLYDHDA,52.60067841335382,1.1523119459896534,GLYDHDA
118,SBP,-12.658774050867128,1.125138759613037,SBP
119,H4THDPS,,,H4THDPS
120,EAR60y,,,EAR60y
121,ZNabcpp,-27.14974228638785,0.3305122374598556,ZNabcpp
122,UAPGR,-48.9221970322829,4.995649306520079,UAPGR
123,DHAD1,-27.904116602234357,5.043394088745117,DHAD1
124,IPPS,-27.94719250589915,3.034014632506161,IPPS
125,ANS,-199.61912722783376,8.178832797163645,ANS
126,SUCBZL,-8.722837702182503,0.5669586658477783,SUCBZL
127,ADSL1r,10.982437194745774,1.0199947357177734,ADSL1r
128,NNATr,-2.512475297140264,0.1503523250163072,NNATr
