Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_ac_e,,,EX_ac_e
1,34DHOXPEGOX,-26.10936245127104,4.069571176794642,34DHOXPEGOX
2,EX_photon_e,,,EX_photon_e
3,34HPPOR,-466.96843092916095,6.017953395843506,34HPPOR
4,EX_ca2_e,,,EX_ca2_e
5,3HAD180,-0.4138990487176883,2.662809133529663,3HAD180
6,ABUTD,-38.48233969924247,1.5647259051526907,ABUTD
7,3HAD181,,,3HAD181
8,3OAR100,-19.44024756691448,1.3798150145761132,3OAR100
9,ASNN,-12.33668286185656,1.026663303375244,ASNN
10,3OAR120,-19.440259163594167,1.3798101370887734,3OAR120
11,3OAR121,-26.193366848190745,2.0072089148547207,3OAR121
12,3OAR140,-19.44025122902408,1.3798042396667745,3OAR140
13,3OAR141,,,3OAR141
14,BAMPPALDOX,,,BAMPPALDOX
15,ACONT,7.787441004427695,0.2819017469882965,ACONT
16,3OAR160,-19.44025061867217,1.3798080940561994,3OAR160
17,3OAR161,-29.403733103987868,2.694111184063627,3OAR161
18,ACP1_FMN,-10.88224117512857,0.4067299365997314,ACP1_FMN
19,3OAR180,,,3OAR180
20,ADNCYC,1.9452714199491543,2.0871264934539795,ADNCYC
21,ADOCBLS,11.284994627733363,10.762870604141172,ADOCBLS
22,CDPMEK,-3.5489456443973406,3.92432681780615,CDPMEK
23,FQR,,,FQR
24,ADPRDP,-32.78719062500183,0.6905982134960135,ADPRDP
25,3OAR181,,,3OAR181
26,DTMPK,-1.3781376056107495,0.1503012627363205,DTMPK
27,3OAR40,,,3OAR40
28,ARGSL,21.237157346528875,2.5857365131378174,ARGSL
29,AGPAT160,,,AGPAT160
30,AGPAT161,,,AGPAT161
31,3OAR60,-19.82079155580015,1.4354733341192547,3OAR60
32,AGPAT180,,,AGPAT180
33,AGPAT181,,,AGPAT181
34,AGPAT181_9,,,AGPAT181_9
35,AGPAT182_9_12,,,AGPAT182_9_12
36,AGPAT183_6_9_12,,,AGPAT183_6_9_12
37,AGPAT183_9_12_15,,,AGPAT183_9_12_15
38,AGPAT184_6_9_12_15,,,AGPAT184_6_9_12_15
39,ARGDC,-21.449891357823223,2.190676173824817,ARGDC
40,ARGSS,-1.1145864070309108,1.6645166868976724,ARGSS
41,ARGTRS,,,ARGTRS
42,ASAD,2.9452600697471536,1.667656226919549,ASAD
43,ASNTRS,,,ASNTRS
44,ASP1DC,-22.343713492304488,2.546885647890993,ASP1DC
45,ASPCT,-22.08854285948944,1.838215459971972,ASPCT
46,ASPK,15.337093914473428,0.9609122276306152,ASPK
47,ASPO6,-80.38547676084482,9.272773457128537,ASPO6
48,ALAD_L,37.14641186902561,0.5751101658415029,ALAD_L
49,ALCD19,-26.854674774101262,0.9018299257789328,ALCD19
50,ASPTRS,,,ASPTRS
51,3OAR80,-19.440253060086743,1.3798075784729291,3OAR80
52,ATPPRT,-17.31343559161499,16.87483024597168,ATPPRT
53,3OAS100,,,3OAS100
54,BCAROHX2,-405.5673019885464,2.88571968848034,BCAROHX2
