Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,ALATA_L2,3.96592551461149,2.832897901535034,ALATA_L2
1,ALAabc,-17.626855835554792,0.3305135036515749,ALAabc
2,ALAt2r,10.74128950247287,6.69433179169352e-06,ALAt2r
3,ALCD19,-26.854861062927085,0.901829004835704,ALCD19
4,ALDD19xr,-18.258199807271232,12.486991987181582,ALDD19xr
5,ALDD2x,-57.05101264606941,1.3046694196428614,ALDD2x
6,ALLTAHr,2.96151328988611,2.492487907409668,ALLTAHr
7,ALLTN,-25.94640588128438,4.294395260128074,ALLTN
8,ALLTNt2r,7.415238614136551,6.072921369058958e-06,ALLTNt2r
9,ABTA,0.7481410543464886,1.5526467561721802,ABTA
10,ABUTD,-50.53621786888288,1.564723948636147,ABUTD
11,ALTRH,-39.65666373449462,1.5208810567855835,ALTRH
12,AMALT1,1.8643571067400444e-05,0.000105652543425,AMALT1
13,AMALT2,2.9802785377341934e-06,0.000113328336738,AMALT2
14,AMALT3,2.0489124580080897e-05,0.0002242109767394,AMALT3
15,AMALT4,2.8672195639956044e-06,0.0002292680583195,AMALT4
16,AMANAPEr,1.220703097715159e-06,2.7268444682704285e-05,AMANAPEr
17,AMANK,-27.180379827928853,0.4125577346831597,AMANK
18,ABUTt2r,16.466505349483572,7.042637848446104e-06,ABUTt2r
19,AMAOTr,2.5364635645367386,6.139472007751465,AMAOTr
20,AMMQT8_2,-81.4258754826937,29.648907850994632,AMMQT8_2
21,ACACCT,6.4557750358782044,1.3319841623306274,ACACCT
22,ACACT1r,26.759681958990427,0.9905898571014404,ACACT1r
23,12PPDt,22.819782961847107,6.814761945861392e-06,12PPDt
24,AMPMS,,,AMPMS
25,AMPN,-8.082828008085265,0.7177067399024963,AMPN
26,ACACt2,5.056004794043305,7.374905989742781e-06,ACACt2
27,ANPRT,-28.858184809507627,5.503787994384766,ANPRT
28,ACALD,-15.050108263319224,1.0461569152986767,ACALD
29,ANS,-211.66601419852785,8.178832179449707,ANS
30,AOXSr,8.605523613853903,3.315132198270619,AOXSr
31,ACALDt,11.409891688812849,0.0,ACALDt
32,ACBIPGT,8.54368367935023,0.1503283944123069,ACBIPGT
33,ACCOAC,-11.506237040611294,2.104692634872908,ACCOAC
34,ACCOAL,,,ACCOAL
35,ACGAMT,-0.5047555970127746,0.000278191815596,ACGAMT
36,2DGLCNRx,-24.370878396803096,1.4636344907876682,2DGLCNRx
37,2DGLCNRy,-24.37074637834089,1.4636202219112264,2DGLCNRy
38,ACGApts,0.9600386266858648,0.5327845811843872,ACGApts
39,ACGK,15.51422836627333,0.960904061794281,ACGK
40,ACGS,-39.84357351501873,1.5099204598248557,ACGS
41,ACHBS,-16.81428537125752,5.047435889177801,ACHBS
42,AP4AH,-57.806609681328766,0.6570469159793302,AP4AH
43,ACKr,15.307380274370589,0.7306405901908875,ACKr
44,ACLS,-20.854707045141023,4.534311295903488,ACLS
45,AP5AH,-57.81092863562782,0.6570559567319644,AP5AH
46,ACMAMUT,-22.874240925346463,1.2965881566308597,ACMAMUT
47,2DGULRx,,,2DGULRx
48,APRAUR,-44.39562002960282,4.873144193620537,APRAUR
49,2DGULRy,,,2DGULRy
50,ARAI,-8.360385736318406,1.077109694480896,ARAI
51,ACMANApts,0.9600348119885992,0.5327946543693542,ACMANApts
52,ACNAMt2,42.13609140606168,1.7263349150062195e-05,ACNAMt2
53,3HCINNMH,-400.7356955232141,7.259297628371359,3HCINNMH
54,ARBabc,-9.05159495077312,0.3305139018968547,ARBabc
55,3HPPPNH,-400.55840407357,6.794788409046845,3HPPPNH
56,4HTHRS,-10.780280237981277,0.4067414402961731,4HTHRS
57,ACNML,6.786891325973853,0.8650608062744141,ACNML
58,ACOATA,-2.0043590771825137,1.5570603609085083,ACOATA
59,ACODA,-2.070270735231041,1.4163624048233032,ACODA
60,ACONMT,-12.086561183156896,31.02399444580078,ACONMT
61,ARBt2r,19.31655038725455,3.03646068452948e-06,ARBt2r
62,ACONT,7.748953460372963,0.2819021940231323,ACONT
63,ACOTA,2.570421219054662,1.7711622714996338,ACOTA
64,ACPS1,,,ACPS1
65,5DGLCNR,-23.346321985868705,0.9319575337908002,5DGLCNR
66,A5PISO,4.823765103083645,0.9543053507804872,A5PISO
67,AACPS1,,,AACPS1
68,AACPS2,,,AACPS2
69,ACS,-5.873285030911696,0.4244669079780578,ACS
70,ACt2r,-0.644827666650384,0.0,ACt2r
71,ADA,-10.730786402859254,0.5803454148785736,ADA
72,ADCL,-189.77796271344044,8.444754889464436,ADCL
73,ADCS,-20.95631146279177,2.2159712314605717,ADCS
74,AACPS3,,,AACPS3
75,AACPS4,,,AACPS4
76,ADD,-10.740991925518085,0.5803468234824203,ADD
77,ARGDC,-9.366746627723906,2.1906759677931142,ARGDC
78,ADEt2,5.059337672449839,0.0,ADEt2
79,AACPS5,,,AACPS5
80,AADDGT,-25.61602375264322,1.170622314063966,AADDGT
81,ADHEr,-4.981984517064924,1.3747698143283351,ADHEr
82,ARGORNt7,5.687402424600705,2.212208710261621e-05,ARGORNt7
83,ADK1,-0.5745199429793075,0.1503235399723053,ADK1
84,ADK3,-0.5743842262875631,0.1503004878759384,ADK3
85,ADK4,-0.5745184746029466,0.1503208875656128,ADK4
86,AB6PGH,-4.106868953938353,8.247143745422363,AB6PGH
87,ADMDC,-20.86709750384244,4.61930218039962,ADMDC
88,ARGSL,21.23832366092343,2.5857365131378174,ARGSL
89,ADNCYC,1.304260332410351,2.0871288776397705,ADNCYC
90,ARGSS,-13.682035482829328,1.6645207286028576,ARGSS
91,ADNK1,-27.175154561504428,0.4125676181909221,ADNK1
92,ADNt2_copy1,27.87954436738569,1.643138504146949e-05,ADNt2_copy1
93,C120SN,,,C120SN
94,ARGabc,5.170866657953557,0.3305144885020275,ARGabc
95,ADNt2_copy2,27.87954436738569,1.643138504146949e-05,ADNt2_copy2
96,ADOCBIK,-19.64984025796285,2.3132484936879845,ADOCBIK
97,ASAD,2.5711636949582504,1.667649858487222,ASAD
98,ADOCBLS,11.42352293184606,10.762870321105174,ADOCBLS
99,ADPT,-19.592157559198697,0.610401451587677,ADPT
100,ASNN,-12.26463660255564,1.026664972305298,ASNN
101,ADSK,-14.49349962884871,1.768100644802165,ADSK
102,ADSL1r,10.985143609103918,1.019993543624878,ADSL1r
103,ADSL2r,25.078820426930864,2.718247175216675,ADSL2r
104,ADSS,-25.32899638398329,1.0285796551582198,ADSS
105,AGDC,10.25832377564447,4.22357177734375,AGDC
106,C140SN,,,C140SN
107,C141SN,-267.75225590996104,18.90153353269336,C141SN
108,C160SN,,,C160SN
109,C161SN,,,C161SN
110,C181SN,,,C181SN
111,CADVt,-12.07422843143726,1.6242549132577675e-05,CADVt
