Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,CARN1636Z9Z12Zt_m,,,CARN1636Z9Z12Zt_m
1,CARN1646Z9Z12Z15Zt_m,,,CARN1646Z9Z12Z15Zt_m
2,CSNATm,5.896441402830959,2.137524127960205,CSNATm
3,DHFR,-22.73228197420531,1.6684276628778931,DHFR
4,AGTim,-15.50246406461629,1.2471801042556765,AGTim
5,ASPATh,3.634665349767509,0.4524416029453277,ASPATh
6,MALSp,-46.34391586303711,1.5501410269908606,MALSp
7,FACOAL1821,-8.281196400118056,0.7962072491645813,FACOAL1821
8,OAAAKGtm,-4.564095416629851,4.26154765591491e-05,OAAAKGtm
9,PDHe3hr,4.36962828131462,0.2485555732110783,PDHe3hr
10,ASPTAm,3.6305577166851393,0.4524435698986053,ASPTAm
11,3OAR180_1,,,3OAR180_1
12,GCC2cm,4.38712027962528,0.2485576677846266,GCC2cm
13,PYDXK,-12.265351220417443,2.865124399268924,PYDXK
14,FACOAL160,-8.27974443200008,0.796174943447113,FACOAL160
15,PYDXPP,-13.134714409685127,2.88791823387146,PYDXPP
16,PRPPS,-8.103264913222686,0.5740009121870455,PRPPS
17,SERDC_m,-2.5528857478112066,2.67593151080342,SERDC_m
18,3OAR181_h,,,3OAR181_h
19,SAL_m,-28.308114748420767,1.0928910970687866,SAL_m
20,GMPS,-19.893802689261516,9.20069789162116,GMPS
21,3OAR60_1,-19.820918809045683,1.43548107362446,3OAR60_1
22,GMPS2,-31.70479551862281,9.26096757995916,GMPS2
23,3OAR80_1,-19.440381276057543,1.3798185747942675,3OAR80_1
24,ALATA_L,2.891693585985543,0.4688962996006012,ALATA_L
25,IMPD,-7.217691236397287,1.911796243659508,IMPD
26,GLYK,-14.864634281699836,0.4125907179000497,GLYK
27,PDHam1hi,-39.7727226446011,11.255552249168309,PDHam1hi
28,MDHm,28.89020724327883,0.3389016339490918,MDHm
29,AKGMALtm,0.0047773743052736,4.399614408612251e-05,AKGMALtm
30,MALOAAtm,-4.568870349528929,4.251045174896717e-05,MALOAAtm
31,ME1m,30.461965100542614,1.739441156387329,ME1m
32,PGI,0.2596854259431822,0.1824373751878738,PGI
33,PGI_h,0.2568509386135602,0.1824330985546112,PGI_h
34,AMPDA,-22.84665779248202,0.5803436690603619,AMPDA
35,AGMTm,-30.938705890553543,3.2860655784606934,AGMTm
36,ANPRT,-29.09960367231849,5.503787040710449,ANPRT
37,HOXG_c,-1312.9243185048913,66.61614239165755,HOXG_c
38,CHLPAS_h,,,CHLPAS_h
39,TRPS1,-27.13535791486938,3.062469959259033,TRPS1
40,NPHS_x,,,NPHS_x
41,PDHam1mi,-24.81764363262573,11.25555965216051,PDHam1mi
42,PDHe2hr,5.9806272070947415,3.098796844482422,PDHe2hr
43,THRD_L,-20.46708560734387,1.947560429573059,THRD_L
44,FACOAL180_1,,,FACOAL180_1
45,THRD_Lm,-20.49994365527624,1.947560429573059,THRD_Lm
46,TRDR,-13.840137744508128,1.3578767383039465,TRDR
47,FTHFD,-15.57530551010336,1.6284725442637995,FTHFD
48,FTHFLi,-9.82476301916913,1.569157361984253,FTHFLi
49,SERTRS,,,SERTRS
50,ASNTRS,,,ASNTRS
51,ALCD2y,20.031994172842943,0.8558189160715395,ALCD2y
52,LYSTRS,,,LYSTRS
53,GACT_h,-0.0892458147636716,0.6676866412162781,GACT_h
54,ASNS1,-35.60091550281893,0.9287708482239144,ASNS1
55,THRA_m,-5.0266018646058015,1.696030616760254,THRA_m
56,ACITL,10.700635733054252,0.5278411507606506,ACITL
57,AKGCITtm,-2.335586126559779,4.2215859139105305e-05,AKGCITtm
58,CITtam,2.3308142454185514,4.39241157437209e-05,CITtam
59,OAACITtm,-6.899677270728898,3.829196430160664e-05,OAACITtm
60,DQDH,-6.078461318568662,3.0199906826019287,DQDH
61,PKETX,-58.567121994356505,1.2072129249572754,PKETX
62,PKETF,-50.3555601704709,1.3588300943374634,PKETF
63,SUAT_h,45.56136015995065,0.6714350328752088,SUAT_h
64,UPPDC1,-31.83319881143517,19.398389022036483,UPPDC1
65,NPDPS_m,,,NPDPS_m
66,CYSS_m,-49.44904327633238,2.90950345993042,CYSS_m
67,CSm,-52.14723912705431,0.4836055299215782,CSm
68,G3PD1,-22.183279184109168,0.7575143954304691,G3PD1
69,RNDR3,-58.42440505464997,2.909301996231079,RNDR3
70,DOLPMT,,,DOLPMT
71,TPIh,5.3344625402949575,0.5584152936935425,TPIh
72,RNDR2,-58.42435038224269,2.909306526184082,RNDR2
73,PGMT,-6.934515171074452,0.5356405377388,PGMT
74,TMDS,-33.77462573660137,6.232311248779297,TMDS
75,PGM_h,-6.932255959730497,0.5356330871582031,PGM_h
76,3MOPt_h,10.268978743166237,3.036461066585616e-06,3MOPt_h
77,DTMPK,-0.3718408025470765,0.1503067016601562,DTMPK
78,URIDK2r,-0.3706437008293051,0.1503415703773498,URIDK2r
79,PCHLDOR_h,,,PCHLDOR_h
80,PCm,-20.55911575329179,0.6891507023346954,PCm
81,CCP2_m,,,CCP2_m
82,AKGICITtm,-2.316208916621584,4.261548019712791e-05,AKGICITtm
83,CITtcm,0.0193747685319962,4.1732160752872005e-05,CITtcm
84,PDXPP,-13.180586075056745,2.8879170417785645,PDXPP
85,MALICITtm,-2.311435814777269,4.805912976735272e-05,MALICITtm
86,CYSS_1,-49.11603904618128,2.9095046520233154,CYSS_1
87,OAAICITtm,-6.880313488525012,4.597936640493572e-05,OAAICITtm
88,METAT,-25.29149418394212,28.560903549194336,METAT
89,GHMT2rm,-6.602185690292757,0.7347134351730347,GHMT2rm
90,PYDXNK,-12.219477952872966,2.8651225561277727,PYDXNK
91,SDH_m,,,SDH_m
92,PYDXS,-230.1965501783641,12.980298034788518,PYDXS
93,PEPC_m,-53.70177293308022,1.75347174507613,PEPC_m
94,AHCi,35.25399846130407,1.9507315158843996,AHCi
95,PYK,-26.797575722861303,0.5352509820662836,PYK
96,UDPGD,-11.831754046079665,2.208601786525275,UDPGD
97,GAPD,2.068039683662052,0.6437053787393759,GAPD
98,MTMOHT,3.0916770949857835,5.8555402755737305,MTMOHT
99,GAPDH_nadp_hi,-1.953878244311047,0.6437333018303857,GAPDH_nadp_hi
100,PGLYCPh,-12.467298327305144,1.2646294832229614,PGLYCPh
101,IPPSh,-29.07279132425245,3.034008186258632,IPPSh
102,PPNCL_m,-56.32080387234336,2.3924154500857586,PPNCL_m
103,AGPOP,-26.79765404705741,0.5352194238195193,AGPOP
104,PYK3,-26.79769699759469,0.5352393845085665,PYK3
105,PEPC_h,-38.77447540565154,1.753472581805707,PEPC_h
106,PPDK_h,15.67533999453753,0.7334825342400679,PPDK_h
107,METS_1,-14.835319150095389,7.551971435546875,METS_1
108,PGKh,-19.688758685929443,0.5751655697822571,PGKh
109,PYKm,-12.066955619587446,0.5352466223922687,PYKm
110,GAPDHm,1.8773312109060352,0.643705489799198,GAPDHm
111,PPCKm,13.638720839216951,1.84763777256012,PPCKm
112,MTHFR2_1,-35.176630658756665,5.029322724162365,MTHFR2_1
113,ENO_h,3.0034296097803974,0.2816409468650818,ENO_h
114,MTHFR3_1,-35.176430077612864,5.029331306466468,MTHFR3_1
115,GND,8.639439916572123,2.0158934593200684,GND
116,PGDHh,8.621242617311566,2.015906572341919,PGDHh
117,SAT,-12.215235751729663,1.7772401571273804,SAT
118,RNDR1,-58.42406016532283,2.909298658370972,RNDR1
119,ENOm,-2.9298329690244724,0.2816460430622101,ENOm
120,r0280,-26.797586738052303,0.5352311842423187,r0280
121,DHFR2i,-22.732482555349137,1.6684164627725866,DHFR2i
122,EAR40x_1,,,EAR40x_1
123,G6PDH2r,-9.694912201396685,0.9001358728853669,G6PDH2r
124,DMORh,-22.888651688484675,5.752400419727029,DMORh
125,KARA1im,-22.888756746098974,5.752394608589667,KARA1im
126,OCBTm,-40.85028472952318,1.8420548277381892,OCBTm
127,3MOPtm,20.53792886050833,0.0,3MOPtm
128,UPPDC1_1,-31.836533562489084,19.398378632673374,UPPDC1_1
129,MG3_c,,,MG3_c
130,DVCHLDR,,,DVCHLDR
131,DVPCHLDOR_h,,,DVPCHLDOR_h
132,RPEh,-1.220703097715159e-06,2.726844286371488e-05,RPEh
133,MG2_c,,,MG2_c
134,TKT1h,6.292920365655064,0.8721664547920227,TKT1h
135,TKL2_h,8.255377386299607,1.4841266870498655,TKL2_h
136,FBP_h,-9.766487134082606,0.8425848484039307,FBP_h
137,FBA_h,22.12950531508971,0.5638464093208313,FBA_h
138,CBL_m,5.600032030984249,3.0878710746765137,CBL_m
139,ORNTArm,2.3642459890721312,1.713762283325195,ORNTArm
140,GRTT,-69.25562723736249,3.581970453262329,GRTT
141,P5CR,-48.60880584181122,2.773982313700623,P5CR
142,DAPEP_h,9.155273232863692e-07,1.5830948541406542e-05,DAPEP_h
143,DPHS,-70.87930741369186,1.398220419883728,DPHS
144,DMATT,-69.25560436307377,3.581963300704956,DMATT
145,FPPS_h,-69.75997794732186,3.5819787979125977,FPPS_h
146,GPPS_h,-69.7599627067552,3.581977128982544,GPPS_h
147,IDIh,-3.0167068923148364,2.560516357421875,IDIh
148,IDS1,-65.94261249095233,3.5896105845463664,IDS1
149,ACACT10m,-18.97133013183435,3.0129611492156982,ACACT10m
150,OIVD3m,-13.48457501872278,3.85585880279541,OIVD3m
151,IDS2,-68.95931937373042,2.4439668225829503,IDS2
152,PETHCT,-3.803944647528708,0.1503224866259892,PETHCT
153,HMGLm,-5.866389578597364,4.252589702606201,HMGLm
154,OIVD2m,-13.578418352961847,3.918312311172485,OIVD2m
155,IMPDH_h,23.669541180543693,3.823325750614994,IMPDH_h
156,DHQS_1,-68.47355632754565,2.3034353256225586,DHQS_1
157,SERPT,-3.458586584138114,3.348075099854276,SERPT
158,DHFOR,-13.005435588877605,3.0918683860225418,DHFOR
159,KARI,-4.116328239987091,6.047294616699219,KARI
160,KARI_23dhmp,-18.447331786875644,4.4154083556908565,KARI_23dhmp
