Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,SK_5mta_c,,,SK_5mta_c
1,SK_apoACP_c,,,SK_apoACP_c
2,SK_gcald_c,,,SK_gcald_c
3,SK_pap_c,,,SK_pap_c
4,ACt2r,-0.644827666650384,0.0,ACt2r
5,ADCL,-189.7779622175298,8.444754102682825,ADCL
6,ADCS,-20.95631146279177,2.215968132019043,ADCS
7,CO2t,0.0,0.0,CO2t
8,BIOMASS_Ecoli_TM,,,BIOMASS_Ecoli_TM
9,ALAR,9.155273232863692e-07,6.317211500572739e-06,ALAR
10,DM_dip_d_d_c,,,DM_dip_d_d_c
11,DM_pydx5p_c,,,DM_pydx5p_c
12,ARBabc,-9.051584574796555,0.330510767182904,ARBabc
13,ACGK,15.514247439759655,0.960890293121338,ACGK
14,ACCOAC,-11.50622849568942,2.1046964009559788,ACCOAC
15,ALCD19,-26.85486457244857,0.9018290515767844,ALCD19
16,ACALD,-15.05010948402235,1.0461621166279862,ACALD
17,ACGS,-39.84357076843671,1.5099246884480064,ACGS
18,CRTNsyn,,,CRTNsyn
19,ACKr,15.307390764788067,0.7306393384933472,ACKr
20,CSNt2,5.056604822871764,1.5182303422647398e-06,CSNt2
21,ACOATA,-2.004355500903827,1.5570669174194336,ACOATA
22,ACLS,-20.854705214086337,4.534311696904096,ACLS
23,ACHBS,-16.814284760905956,5.047436327059391,ACHBS
24,ACYP_2,-52.883677384768966,0.812491793152851,ACYP_2
25,DCYTD,-10.038591996911512,0.9229646824002888,DCYTD
26,DM_sprm_c,,,DM_sprm_c
27,DM_thmpp_c,,,DM_thmpp_c
28,ADAPAT,-0.8091191288433421,0.9571418166160583,ADAPAT
29,ADA,-10.7307848006864,0.5803485590535546,ADA
30,ADK1,-0.5745075452131942,0.1503192484378814,ADK1
31,EX_ac_e,,,EX_ac_e
32,DHNPA,,,DHNPA
33,EX_ala__L_e,,,EX_ala__L_e
34,ADK3,-0.5743830341946676,0.1503036320209503,ADK3
35,EX_amylose300_e,,,EX_amylose300_e
36,EX_arab__L_e,,,EX_arab__L_e
37,EX_cell4_e,,,EX_cell4_e
38,EX_cell500_e,,,EX_cell500_e
39,EX_cell6_e,,,EX_cell6_e
40,CYTD,-10.044784904040233,0.9229628112800832,CYTD
41,DHPPDA,,,DHPPDA
42,ADMDC,-20.867104828061187,4.619302413466885,ADMDC
43,CHORM,-42.849537118785776,12.40912914276123,CHORM
44,EX_cellb_e,,,EX_cellb_e
45,ADPT,-19.592157559198697,0.610397219657898,ADPT
46,BACCL,27.23131151967105,4.036071529302209,BACCL
47,ADSL2r,25.078820426930864,2.718247890472412,ADSL2r
48,EX_co2_e,,,EX_co2_e
49,EX_csn_e,,,EX_csn_e
50,EX_fe2_e,,,EX_fe2_e
51,ADSL1r,10.985149331149817,1.0199973583221436,ADSL1r
52,EX_fe3_e,,,EX_fe3_e
53,ATPS1,-19.15998227415304,0.3305121712310356,ATPS1
54,EX_fru_e,,,EX_fru_e
55,BGLA1,,,BGLA1
56,ADSS,-25.32900065644423,1.028569077368681,ADSS
57,BGLA,-13.368540126906538,0.7894195914268494,BGLA
58,EX_gal_e,,,EX_gal_e
59,AGDC,10.258325682993105,4.22357177734375,AGDC
60,EX_galman4_e,,,EX_galman4_e
61,EX_galman6_e,,,EX_galman6_e
62,BTS3r,38.57061764483858,8.126898765563965,BTS3r
63,AGPAT160,,,AGPAT160
64,AGPR,2.555858781577801,1.6299941063963068,AGPR
65,CDPMEK,-15.497652375647808,3.92432482955957,CDPMEK
66,EX_galman600_e,,,EX_galman600_e
67,EX_glc__D_e,,,EX_glc__D_e
68,AHCi,35.31266970946733,1.9507311582565308,AHCi
69,EX_glcman4_e,,,EX_glcman4_e
70,BUTKr,,,BUTKr
71,EX_glcman6_e,,,EX_glcman6_e
72,AHCYSNS,-8.077579367465603,0.7177070379257202,AHCYSNS
73,EX_glcman600_e,,,EX_glcman600_e
74,EX_glucan1500_e,,,EX_glucan1500_e
75,EX_glucan4_e,,,EX_glucan4_e
76,EX_glucan6_e,,,EX_glucan6_e
77,EX_glyc_e,,,EX_glyc_e
78,CBPS,-36.43197711999793,2.4692343467737348,CBPS
79,CEL6abc,,,CEL6abc
80,CEPA,3.963353378598186,0.7999056577682495,CEPA
81,CELabc,,,CELabc
82,CELASE2,,,CELASE2
83,CELASE1,,,CELASE1
84,EX_glyc3p_e,,,EX_glyc3p_e
85,EX_glycogen1500_e,,,EX_glycogen1500_e
86,AHEXASE3,,,AHEXASE3
