Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,CYTDK2,-27.17897505009654,0.4125557555376583,CYTDK2
1,XPPT,-16.447530990572602,1.707233428955078,XPPT
2,HXPRT,-19.5867069749907,0.6104152798652649,HXPRT
3,NDPK5,-7.762328846894206e-05,0.0002245031937491,NDPK5
4,SHK3Dr,-9.068250915527832,1.0533690293165734,SHK3Dr
5,NDPK6,-1.429125639162976e-05,0.0002750350104179,NDPK6
6,NDPK8,-9.697323029911333e-06,0.0002354280441068,NDPK8
7,DHORTS,-15.351273584061174,1.2104998053283995,DHORTS
8,OMPDC,5.876478037206499,5.525295746504156,OMPDC
9,PYNP2r,-2.068430129916377,1.5795271396636963,PYNP2r
10,G5SD,-2.59418924789352,1.6299793037160752,G5SD
11,CS,-47.97774329365058,0.4836024956814381,CS
12,ICDHyr,20.14419124554818,2.2264962196350098,ICDHyr
13,ALATA_L2,3.965925037774332,2.8328945636749268,ALATA_L2
14,DURIPP,-2.391912150883164,2.113178014755249,DURIPP
15,ACALD,-15.05010460120985,1.0461670639492588,ACALD
16,PTRCTA,1.8526124464702107,1.7308611869812012,PTRCTA
17,ACS,-5.873262142728102,0.4244519770145416,ACS
18,CYSDS,-1.012061881199024,2.302540779113769,CYSDS
19,MAN6PI,0.2607146311522825,0.1824348419904709,MAN6PI
20,PPA,-26.703922133747877,0.2858358037874161,PPA
21,APRAUR,-44.395616367493446,4.8731374882551055,APRAUR
22,TRPAS2,20.588137431414346,0.4663520753383636,TRPAS2
23,PPCK,13.323916308700577,1.8476312160491943,PPCK
24,ME1,27.57378479095683,1.7394322156906128,ME1
25,DB4PS,-107.5111601410539,2.1529074270423374,DB4PS
26,ALAR,-1.373291070194682e-06,6.856275376776466e-06,ALAR
27,RBFK,-26.932463948476705,0.4125685895004739,RBFK
28,ALATA_L,2.8906559908050458,0.4688953161239624,ALATA_L
29,XYLK,-23.4544008530329,0.9628760490422192,XYLK
30,RBK,-25.806933931719374,0.789051520312751,RBK
31,GLYK,-26.97622967299709,0.4125940884566811,GLYK
32,PPM,-6.936267238211066,0.5356338620185852,PPM
33,ASPTA,3.638007432883441,0.4524455964565277,ASPTA
34,ACP1_FMN,-10.64382885131377,0.4067304730415344,ACP1_FMN
35,RBFSb,-54.03629230080563,30.473636627197266,RBFSb
36,NDP3,-37.00393751327938,0.3395032939131061,NDP3
37,CDPPH,-37.004678214745255,0.3395121970542209,CDPPH
38,NDP7,-36.993157840472016,0.3395207930319759,NDP7
39,FBP,-9.96902046721124,0.8425865769386292,FBP
40,EX_pi_e,,,EX_pi_e
41,GLGC,8.793451471279718,0.1503299317988333,GLGC
42,ALATA_D2,3.965926945122965,2.832894802093506,ALATA_D2
43,PYK,-14.646533353960908,0.5352429772064935,PYK
44,SHCHD2,-50.411729826029614,38.49065729347392,SHCHD2
45,EX_co2_e,,,EX_co2_e
46,A5PISO,4.823773686152492,0.9543071985244752,A5PISO
47,PMDPHT,-10.586013916711526,0.406747817993164,PMDPHT
48,CPPPGO,-337.9735704535898,8.958357947033216,CPPPGO
49,EX_met__L_e,,,EX_met__L_e
50,GTHOr,-14.153528777214678,1.35815294520441,GTHOr
51,ILETA,-1.6693479007332783,2.865889549255371,ILETA
52,DHORD5,-38.57689678598286,23.43229484558105,DHORD5
53,EX_metsox_S__L_e,,,EX_metsox_S__L_e
54,GLYCTO2,-35.96079699015954,26.2995548248291,GLYCTO2
55,VALTA,-1.149105649940683,2.827931404113769,VALTA
56,GLYCTO3,-12.218965275683502,23.55306053161621,GLYCTO3
57,IPPMIb,0.163915702275748,3.5770342350006104,IPPMIb
58,GLYCTO4,-18.003222478190022,21.01027107238769,GLYCTO4
