Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_5fthf_e,,,EX_5fthf_e
1,EX_5homeprazole_e,,,EX_5homeprazole_e
2,EX_34dhoxpeg_e,,,EX_34dhoxpeg_e
3,EX_5htrp_e,,,EX_5htrp_e
4,EX_34dhphe_e,,,EX_34dhphe_e
5,EX_35cgmp_e,,,EX_35cgmp_e
6,EX_3aib_e,,,EX_3aib_e
7,EX_3aib__D_e,,,EX_3aib__D_e
8,EX_3mlda_e,,,EX_3mlda_e
9,EX_4abut_e,,,EX_4abut_e
10,EX_4hdebrisoquine_e,,,EX_4hdebrisoquine_e
11,EX_acald_e,,,EX_acald_e
12,DM_Ser_Thr_l,,,DM_Ser_Thr_l
13,EX_4hphac_e,,,EX_4hphac_e
14,ATPM,-26.008870478542697,0.3305119540663727,ATPM
15,DM_avite1_c,,,DM_avite1_c
16,EX_acetone_e,,,EX_acetone_e
17,EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,,,EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e
18,EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e,,,EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e
19,DM_avite2_c,,,DM_avite2_c
20,DM_bvite_c,,,DM_bvite_c
21,EX_4mptnl_e,,,EX_4mptnl_e
22,DM_core5_g,,,DM_core5_g
23,EX_acgam_e,,,EX_acgam_e
24,EX_ach_e,,,EX_ach_e
25,EX_acn13acngalgbside_hs_e,,,EX_acn13acngalgbside_hs_e
26,EX_acn23acngalgbside_hs_e,,,EX_acn23acngalgbside_hs_e
27,EX_4mtolbutamide_e,,,EX_4mtolbutamide_e
28,EX_acnacngal14acglcgalgluside_hs_e,,,EX_acnacngal14acglcgalgluside_hs_e
29,EX_acnacngalgbside_hs_e,,,EX_acnacngalgbside_hs_e
30,EX_acngalacglcgal14acglcgalgluside_hs_e,,,EX_acngalacglcgal14acglcgalgluside_hs_e
31,EX_4nph_e,,,EX_4nph_e
32,EX_ade_e,,,EX_ade_e
33,EX_adn_e,,,EX_adn_e
34,EX_adp_e,,,EX_adp_e
35,EX_adprbp_e,,,EX_adprbp_e
36,EX_adprib_e,,,EX_adprib_e
37,EX_adrn_e,,,EX_adrn_e
38,EX_adrnl_e,,,EX_adrnl_e
39,EX_aflatoxin_e,,,EX_aflatoxin_e
40,EX_ahandrostanglc_e,,,EX_ahandrostanglc_e
41,DM_core7_g,,,DM_core7_g
42,DM_core8_g,,,DM_core8_g
43,DM_datp_m,,,DM_datp_m
44,DM_datp_n,,,DM_datp_n
45,DM_dctp_m,,,DM_dctp_m
46,DM_13_cis_oretn_n,,,DM_13_cis_oretn_n
47,DM_13_cis_retn_n,,,DM_13_cis_retn_n
48,EX_ak2lgchol_hs_e,,,EX_ak2lgchol_hs_e
49,EX_akg_e,,,EX_akg_e
50,EX_ala_B_e,,,EX_ala_B_e
51,DM_Asn_X_Ser_Thr_l,,,DM_Asn_X_Ser_Thr_l
52,EX_4nphsf_e,,,EX_4nphsf_e
53,DM_Ser_Gly_Ala_X_Gly_l,,,DM_Ser_Gly_Ala_X_Gly_l
54,DM_dctp_n,,,DM_dctp_n
55,DM_dem2emgacpail_prot_hs_r,,,DM_dem2emgacpail_prot_hs_r
56,EX_ala__D_e,,,EX_ala__D_e
57,EX_ala__L_e,,,EX_ala__L_e
58,EX_aldstrn_e,,,EX_aldstrn_e
59,EX_amp_e,,,EX_amp_e
60,DM_dgpi_prot_hs_r,,,DM_dgpi_prot_hs_r
61,EX_4pyrdx_e,,,EX_4pyrdx_e
62,DM_dgtp_m,,,DM_dgtp_m
63,EX_andrstrn_e,,,EX_andrstrn_e
64,EX_andrstrnglc_e,,,EX_andrstrnglc_e
65,EX_5adtststerone_e,,,EX_5adtststerone_e
66,EX_antipyrene_e,,,EX_antipyrene_e
67,DM_dgtp_n,,,DM_dgtp_n
68,DM_dsT_antigen_g,,,DM_dsT_antigen_g
69,EX_5adtststeroneglc_e,,,EX_5adtststeroneglc_e
70,DM_dttp_m,,,DM_dttp_m
71,DM_dttp_n,,,DM_dttp_n
72,DM_ethamp_r,,,DM_ethamp_r
73,DM_gncore2_g,,,DM_gncore2_g
74,DM_gpi_sig_r,,,DM_gpi_sig_r
75,EX_5adtststerones_e,,,EX_5adtststerones_e
76,DM_hretn_n,,,DM_hretn_n
77,DM_kdn_c,,,DM_kdn_c
78,EX_apnnox_e,,,EX_apnnox_e
79,EX_appnn_e,,,EX_appnn_e
80,DM_m_em_3gacpail_prot_hs_r,,,DM_m_em_3gacpail_prot_hs_r
81,EX_5dhf_e,,,EX_5dhf_e
82,DM_melanin_c,,,DM_melanin_c
83,EX_aprgstrn_e,,,EX_aprgstrn_e
84,EX_aqcobal_e,,,EX_aqcobal_e
85,EX_5mthf_e,,,EX_5mthf_e
86,EX_arab__L_e,,,EX_arab__L_e
87,EX_arach_e,,,EX_arach_e
88,DM_mem2emgacpail_prot_hs_r,,,DM_mem2emgacpail_prot_hs_r
89,DM_n5m2masn_g,,,DM_n5m2masn_g
90,DM_oretn_n,,,DM_oretn_n
91,EX_arachd_e,,,EX_arachd_e
92,DM_sTn_antigen_g,,,DM_sTn_antigen_g
93,EX_5thf_e,,,EX_5thf_e
94,DM_sprm_c,,,DM_sprm_c
95,DM_yvite_c,,,DM_yvite_c
96,SK_T_antigen_g,,,SK_T_antigen_g
97,EX_arg__L_e,,,EX_arg__L_e
98,EX_ascb__L_e,,,EX_ascb__L_e
99,EX_asn__L_e,,,EX_asn__L_e
100,EX_asp__D_e,,,EX_asp__D_e
101,EX_6dhf_e,,,EX_6dhf_e
102,EX_asp__L_e,,,EX_asp__L_e
103,EX_10fthf_e,,,EX_10fthf_e
104,EX_10fthf5glu_e,,,EX_10fthf5glu_e
105,EX_6htststerone_e,,,EX_6htststerone_e
106,EX_atp_e,,,EX_atp_e
107,EX_avite1_e,,,EX_avite1_e
108,EX_avite2_e,,,EX_avite2_e
109,EX_10fthf6glu_e,,,EX_10fthf6glu_e
110,EX_10fthf7glu_e,,,EX_10fthf7glu_e
111,EX_11_cis_retfa_e,,,EX_11_cis_retfa_e
112,EX_bhb_e,,,EX_bhb_e
113,EX_6thf_e,,,EX_6thf_e
114,EX_13_cis_retnglc_e,,,EX_13_cis_retnglc_e
115,EX_1glyc_hs_e,,,EX_1glyc_hs_e
116,EX_1mncam_e,,,EX_1mncam_e
117,EX_7dhf_e,,,EX_7dhf_e
118,EX_2425dhvitd2_e,,,EX_2425dhvitd2_e
119,EX_2425dhvitd3_e,,,EX_2425dhvitd3_e
120,EX_7thf_e,,,EX_7thf_e
121,EX_24nph_e,,,EX_24nph_e
122,EX_9_cis_retfa_e,,,EX_9_cis_retfa_e
123,EX_25hvitd2_e,,,EX_25hvitd2_e
124,EX_25hvitd3_e,,,EX_25hvitd3_e
125,EX_bildglcur_e,,,EX_bildglcur_e
126,EX_bilglcur_e,,,EX_bilglcur_e
127,EX_bilirub_e,,,EX_bilirub_e
128,EX_clpnd_e,,,EX_clpnd_e
129,EX_biocyt_e,,,EX_biocyt_e
130,EX_cysi__L_e,,,EX_cysi__L_e
131,EX_2hb_e,,,EX_2hb_e
132,EX_2mcit_e,,,EX_2mcit_e
133,EX_Rtotal_e,,,EX_Rtotal_e
134,EX_Rtotal2_e,,,EX_Rtotal2_e
135,EX_Rtotal3_e,,,EX_Rtotal3_e
136,EX_cspg_e_e,,,EX_cspg_e_e
137,EX_Tyr_ggn_e,,,EX_Tyr_ggn_e
138,EX_btn_e,,,EX_btn_e
139,EX_abt_e,,,EX_abt_e
140,EX_but_e,,,EX_but_e
141,EX_bvite_e,,,EX_bvite_e
142,EX_cyan_e,,,EX_cyan_e
143,EX_cys__L_e,,,EX_cys__L_e
144,EX_ac_e,,,EX_ac_e
145,EX_cytd_e,,,EX_cytd_e
146,EX_dad_2_e,,,EX_dad_2_e
147,EX_dad_5_e,,,EX_dad_5_e
148,EX_dag_hs_e,,,EX_dag_hs_e
149,EX_bz_e,,,EX_bz_e
150,EX_ca2_e,,,EX_ca2_e
151,EX_camp_e,,,EX_camp_e
152,EX_caro_e,,,EX_caro_e
153,EX_acac_e,,,EX_acac_e
154,EX_carveol_e,,,EX_carveol_e
155,EX_cca_d3_e,,,EX_cca_d3_e
156,EX_dcsptn1_e,,,EX_dcsptn1_e
157,EX_gq1b_hs_e,,,EX_gq1b_hs_e
158,EX_dcyt_e,,,EX_dcyt_e
159,EX_debrisoquine_e,,,EX_debrisoquine_e
160,EX_dgchol_e,,,EX_dgchol_e
161,EX_dgsn_e,,,EX_dgsn_e
162,EX_dhdascb_e,,,EX_dhdascb_e
163,EX_cgly_e,,,EX_cgly_e
164,EX_chol_e,,,EX_chol_e
165,EX_cholate_e,,,EX_cholate_e
166,EX_chsterol_e,,,EX_chsterol_e
167,EX_chtn_e,,,EX_chtn_e
168,EX_cit_e,,,EX_cit_e
169,EX_cl_e,,,EX_cl_e
170,EX_cmp_e,,,EX_cmp_e
171,EX_co_e,,,EX_co_e
172,EX_co2_e,,,EX_co2_e
173,EX_coumarin_e,,,EX_coumarin_e
174,EX_creat_e,,,EX_creat_e
175,EX_crmp_hs_e,,,EX_crmp_hs_e
176,EX_crn_e,,,EX_crn_e
177,EX_crtsl_e,,,EX_crtsl_e
178,EX_crtstrn_e,,,EX_crtstrn_e
179,EX_crvnc_e,,,EX_crvnc_e
180,EX_csn_e,,,EX_csn_e
181,EX_dheas_e,,,EX_dheas_e
182,EX_dhf_e,,,EX_dhf_e
183,EX_digalsgalside_hs_e,,,EX_digalsgalside_hs_e
184,EX_din_e,,,EX_din_e
185,EX_dlnlcg_e,,,EX_dlnlcg_e
186,EX_dmantipyrine_e,,,EX_dmantipyrine_e
187,EX_dmhptcrn_e,,,EX_dmhptcrn_e
188,EX_dopa_e,,,EX_dopa_e
189,EX_cspg_a_e,,,EX_cspg_a_e
190,EX_cspg_b_e,,,EX_cspg_b_e
191,EX_cspg_c_e,,,EX_cspg_c_e
192,EX_cspg_d_e,,,EX_cspg_d_e
193,EX_dopasf_e,,,EX_dopasf_e
194,EX_gq1balpha_hs_e,,,EX_gq1balpha_hs_e
195,EX_oagd3_hs_e,,,EX_oagd3_hs_e
196,EX_gsn_e,,,EX_gsn_e
197,EX_oagt3_hs_e,,,EX_oagt3_hs_e
198,EX_ocdca_e,,,EX_ocdca_e
199,EX_ocdcea_e,,,EX_ocdcea_e
200,EX_octa_e,,,EX_octa_e
201,EX_drib_e,,,EX_drib_e
202,EX_duri_e,,,EX_duri_e
203,EX_eaflatoxin_e,,,EX_eaflatoxin_e
204,EX_ebastine_e,,,EX_ebastine_e
205,EX_ebastineoh_e,,,EX_ebastineoh_e
206,EX_eicostet_e,,,EX_eicostet_e
207,EX_oh1_e,,,EX_oh1_e
208,EX_omeprazole_e,,,EX_omeprazole_e
209,EX_gt1a_hs_e,,,EX_gt1a_hs_e
210,EX_onpthl_e,,,EX_onpthl_e
211,EX_orn_e,,,EX_orn_e
212,EX_elaid_e,,,EX_elaid_e
213,EX_estradiol_e,,,EX_estradiol_e
214,EX_estradiolglc_e,,,EX_estradiolglc_e
215,EX_estriolglc_e,,,EX_estriolglc_e
216,EX_gthox_e,,,EX_gthox_e
217,EX_estroneglc_e,,,EX_estroneglc_e
218,EX_estrones_e,,,EX_estrones_e
219,EX_gthrd_e,,,EX_gthrd_e
220,EX_etoh_e,,,EX_etoh_e
221,EX_fe2_e,,,EX_fe2_e
222,EX_oxa_e,,,EX_oxa_e
223,EX_paf_hs_e,,,EX_paf_hs_e
224,EX_pchol_hs_e,,,EX_pchol_hs_e
225,EX_pe_hs_e,,,EX_pe_hs_e
226,EX_peplys_e,,,EX_peplys_e
227,EX_perillyl_e,,,EX_perillyl_e
228,EX_fe3_e,,,EX_fe3_e
229,EX_fol_e,,,EX_fol_e
230,EX_for_e,,,EX_for_e
231,EX_pglyc_hs_e,,,EX_pglyc_hs_e
232,EX_phe__L_e,,,EX_phe__L_e
233,EX_gtp_e,,,EX_gtp_e
234,EX_pheacgln_e,,,EX_pheacgln_e
235,EX_pheme_e,,,EX_pheme_e
236,EX_phllqne_e,,,EX_phllqne_e
237,EX_fru_e,,,EX_fru_e
238,EX_fuc__L_e,,,EX_fuc__L_e
239,EX_fuc13galacglcgal14acglcgalgluside_hs_e,,,EX_fuc13galacglcgal14acglcgalgluside_hs_e
240,EX_fuc14galacglcgalgluside_hs_e,,,EX_fuc14galacglcgalgluside_hs_e
241,EX_phyt_e,,,EX_phyt_e
242,EX_gua_e,,,EX_gua_e
243,EX_pi_e,,,EX_pi_e
244,EX_pnto__R_e,,,EX_pnto__R_e
245,EX_fucacgalfucgalacglcgalgluside_hs_e,,,EX_fucacgalfucgalacglcgalgluside_hs_e
246,EX_fucacngal14acglcgalgluside_hs_e,,,EX_fucacngal14acglcgalgluside_hs_e
247,EX_fucacngalacglcgalgluside_hs_e,,,EX_fucacngalacglcgalgluside_hs_e
248,EX_ppa_e,,,EX_ppa_e
249,EX_prgstrn_e,,,EX_prgstrn_e
250,EX_fucfuc12gal14acglcgalgluside_hs_e,,,EX_fucfuc12gal14acglcgalgluside_hs_e
251,EX_pro__D_e,,,EX_pro__D_e
252,EX_h_e,,,EX_h_e
253,EX_pro__L_e,,,EX_pro__L_e
254,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,,,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e
255,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,,,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e
256,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,,,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e
257,EX_prostgd2_e,,,EX_prostgd2_e
258,EX_h2o_e,,,EX_h2o_e
259,EX_prostge1_e,,,EX_prostge1_e
260,EX_prostge2_e,,,EX_prostge2_e
261,EX_prostgf2_e,,,EX_prostgf2_e
262,EX_ps_hs_e,,,EX_ps_hs_e
263,EX_ptdca_e,,,EX_ptdca_e
264,EX_pydam_e,,,EX_pydam_e
265,EX_fucfucgalacglcgalgluside_hs_e,,,EX_fucfucgalacglcgalgluside_hs_e
266,EX_fucgal14acglcgalgluside_hs_e,,,EX_fucgal14acglcgalgluside_hs_e
267,EX_fucgalfucgalacglcgalgluside_hs_e,,,EX_fucgalfucgalacglcgalgluside_hs_e
268,EX_fucgalgbside_hs_e,,,EX_fucgalgbside_hs_e
269,EX_gal_e,,,EX_gal_e
270,EX_galacglcgalgbside_hs_e,,,EX_galacglcgalgbside_hs_e
271,EX_galfuc12gal14acglcgalgluside_hs_e,,,EX_galfuc12gal14acglcgalgluside_hs_e
272,EX_galfucgalacglcgal14acglcgalgluside_hs_e,,,EX_galfucgalacglcgal14acglcgalgluside_hs_e
273,EX_pydx_e,,,EX_pydx_e
274,EX_pydxn_e,,,EX_pydxn_e
275,EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e,,,EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e
276,EX_h2o2_e,,,EX_h2o2_e
277,EX_galgalgalthcrm_hs_e,,,EX_galgalgalthcrm_hs_e
278,EX_gam_e,,,EX_gam_e
279,EX_ha_e,,,EX_ha_e
280,EX_gbside_hs_e,,,EX_gbside_hs_e
281,EX_gchola_e,,,EX_gchola_e
282,EX_gd1b2_hs_e,,,EX_gd1b2_hs_e
283,EX_pyr_e,,,EX_pyr_e
284,EX_rbt_e,,,EX_rbt_e
285,EX_retfa_e,,,EX_retfa_e
286,EX_gd1c_hs_e,,,EX_gd1c_hs_e
287,EX_ha_pre1_e,,,EX_ha_pre1_e
288,EX_gdchola_e,,,EX_gdchola_e
289,EX_gdp_e,,,EX_gdp_e
290,EX_glc__D_e,,,EX_glc__D_e
291,EX_gln__L_e,,,EX_gln__L_e
292,EX_retinol_e,,,EX_retinol_e
293,EX_retinol_9_cis_e,,,EX_retinol_9_cis_e
294,EX_retinol_cis_11_e,,,EX_retinol_cis_11_e
295,EX_retn_e,,,EX_retn_e
296,EX_retnglc_e,,,EX_retnglc_e
297,EX_retpalm_SPACE_deleted_SPACE_10_09_2005_SPACE_SPACE_06_COLON_18_COLON_49_SPACE_PM_e,,,EX_retpalm_SPACE_deleted_SPACE_10_09_2005_SPACE_SPACE_06_COLON_18_COLON_49_SPACE_PM_e
298,EX_glu__L_e,,,EX_glu__L_e
299,EX_gluala_e,,,EX_gluala_e
300,EX_gly_e,,,EX_gly_e
301,EX_glyb_e,,,EX_glyb_e
302,EX_rib__D_e,,,EX_rib__D_e
303,EX_hco3_e,,,EX_hco3_e
304,EX_glyc_e,,,EX_glyc_e
305,EX_glyc__S_e,,,EX_glyc__S_e
306,EX_glygn2_e,,,EX_glygn2_e
307,EX_glygn4_e,,,EX_glygn4_e
