Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_met__L_e,,,EX_met__L_e
1,EX_mmet_e,,,EX_mmet_e
2,EX_na1_e,,,EX_na1_e
3,EX_nh4_e,,,EX_nh4_e
4,EX_nmn_e,,,EX_nmn_e
5,EX_o2_e,,,EX_o2_e
6,EX_ocdca_e,,,EX_ocdca_e
7,EX_ocdcea_e,,,EX_ocdcea_e
8,EX_ocdcya_e,,,EX_ocdcya_e
9,EX_orn_e,,,EX_orn_e
10,EX_pap_e,,,EX_pap_e
11,EX_pepd_e,,,EX_pepd_e
12,EX_phe__L_e,,,EX_phe__L_e
13,EX_pi_e,,,EX_pi_e
14,EX_pnto__R_e,,,EX_pnto__R_e
15,EX_pro__L_e,,,EX_pro__L_e
16,EX_ptrc_e,,,EX_ptrc_e
17,EX_pyr_e,,,EX_pyr_e
18,EX_rib__D_e,,,EX_rib__D_e
19,EX_ribflv_e,,,EX_ribflv_e
20,EX_sbt__D_e,,,EX_sbt__D_e
21,EX_sbt__L_e,,,EX_sbt__L_e
22,EX_ser__L_e,,,EX_ser__L_e
23,EX_so4_e,,,EX_so4_e
24,EX_spmd_e,,,EX_spmd_e
25,EX_sprm_e,,,EX_sprm_e
26,EX_srb__L_e,,,EX_srb__L_e
27,EX_succ_e,,,EX_succ_e
28,EX_sucr_e,,,EX_sucr_e
29,EX_thm_e,,,EX_thm_e
30,EX_thmmp_e,,,EX_thmmp_e
31,EX_thmpp_e,,,EX_thmpp_e
32,EX_thr__L_e,,,EX_thr__L_e
33,EX_thym_e,,,EX_thym_e
34,EX_thymd_e,,,EX_thymd_e
35,EX_tre_e,,,EX_tre_e
36,EX_trp__L_e,,,EX_trp__L_e
37,EX_ttdca_e,,,EX_ttdca_e
38,EX_tyr__L_e,,,EX_tyr__L_e
39,EX_ura_e,,,EX_ura_e
40,EX_urea_e,,,EX_urea_e
41,EX_uri_e,,,EX_uri_e
42,EX_val__L_e,,,EX_val__L_e
43,EX_xan_e,,,EX_xan_e
44,EX_xtsn_e,,,EX_xtsn_e
45,EX_xyl__D_e,,,EX_xyl__D_e
46,EX_xylt_e,,,EX_xylt_e
47,EX_zymst_e,,,EX_zymst_e
48,FA100tp,,,FA100tp
49,FA120ACPHi,,,FA120ACPHi
