Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,ACALDt,13.691870026905974,0.0,ACALDt
1,ACMANApts,9.591989819135335,0.5327880382537842,ACMANApts
2,ACTNdiff,27.38373935591485,7.917220500530675e-06,ACTNdiff
3,ACt2r,13.7021082411059,0.0,ACt2r
4,ADEt2,20.55248822583285,0.0,ADEt2
5,ADPTA,,,ADPTA
6,AKGt2r,17.11713663212706,1.5857398750935765e-05,AKGt2r
7,ALAt2r_copy2,27.368212937429536,7.048833900421812e-06,ALAt2r_copy2
8,ALOX,-246.99930423662656,5.833855262683287,ALOX
9,AMALT1,8.033908130755663e-06,0.0001049804559443,AMALT1
10,AMALT2,7.872813512221909e-11,0.0001140949389082,AMALT2
11,AMALT3,1.7263671480804987e-05,0.0002377583878114,AMALT3
12,AMALT4,-1.203809767957864e-05,0.0002144932223018,AMALT4
13,ACGAMT,-0.4320964033382495,0.0002543167211115,ACGAMT
14,ARGt2r,54.732653412007686,1.0999036432458556e-05,ARGt2r
15,ACGK,15.47165664653514,0.9608853459358216,ACGK
16,ASNt2r,30.642977064784574,6.466558868535488e-06,ASNt2r
17,ACHBS,-28.87493369989045,5.047436198467317,ACHBS
18,BIOMASS_LLA,,,BIOMASS_LLA
19,ACOATA,-1.8277707555854332,1.557062029838562,ACOATA
20,BIOMASS_LLA_noATPnoH,,,BIOMASS_LLA_noATPnoH
21,ASPt2r,23.951322133095186,3.03646068452948e-06,ASPt2r
22,ACLS,-32.915347743625105,4.534313012726233,ACLS
23,2H3MBt,,,2H3MBt
24,2H3MPt,,,2H3MPt
25,ACLDC,-25.986721938366063,4.938585230235056,ACLDC
26,2HXICt_copy1,,,2HXICt_copy1
27,2MBALDH,,,2MBALDH
28,ATPM,-25.653828907138838,0.3305095771155245,ATPM
29,ACODA_1,-2.0662602308888296,1.4163657426834106,ACODA_1
30,ACONT,7.759147115984902,0.2819007635116577,ACONT
31,BTDt_RR,,,BTDt_RR
32,2MBALDt,-34.22967415051994,8.022117981454358e-06,2MBALDt
33,2MBAt6,,,2MBAt6
34,2MPAt6,,,2MPAt6
35,ACKILE,,,ACKILE
36,2HXICt_copy2,,,2HXICt_copy2
37,3MBALt,,,3MBALt
38,3MBAt6,,,3MBAt6
39,3MOPDC,-14.736085347926457,3.4579753592110385,3MOPDC
40,BZALt,-20.5378062623684,5.577291631198023e-06,BZALt
41,CBMKr_copy1,18.76951287826411,2.9337521611406747,CBMKr_copy1
42,ACKLEU,,,ACKLEU
43,2S6HCCi,-116.25860953433886,7.488910717868276,2S6HCCi
44,ACKVAL,,,ACKVAL
45,AALDH,,,AALDH
46,ACKr,15.271365015868298,0.7306292057037354,ACKr
47,ACOTA,2.572873459328278,1.7711652517318726,ACOTA
48,CH4St,13.689710711258806,0.0,CH4St
49,ACTD,8.23208242441436,4.071605422183678,ACTD
50,CITt2r,20.92829940804965,6.072921369058959e-06,CITt2r
51,AB6PGH,-4.105804121015337,8.247138977050781,AB6PGH
52,ACACT1r,26.93711954237176,0.9905771613121032,ACACT1r
53,CITt3,-14.082364394161228,6.072921369058959e-06,CITt3
54,ACPS2,,,ACPS2
55,ACPSc,,,ACPSc
56,ADADir,-15.14979057331963,0.4125839512092501,ADADir
57,CO2t,0.0,0.0,CO2t
58,ADA,-22.751078028913565,0.5803461277470935,ADA
59,CPSS_LLA,,,CPSS_LLA
60,ADK2,-0.6911089321235089,0.1503426879644394,ADK2
61,CYSt2r,27.035178276945903,1.175620134537245e-05,CYSt2r
62,ADK1,-0.817214523648019,0.1503291130065918,ADK1
63,ADCL,-177.73525456869356,8.444753452880786,ADCL
64,ADCS,-20.94273679173916,2.215970039367676,ADCS
65,ADPDS,,,ADPDS
66,ADPT,-19.36318298178147,0.610399603843689,ADPT
67,ADPRDP,-32.59830653269995,0.6905968753916323,ADPRDP
68,ADSL1r,10.98444273147998,1.0199953317642212,ADSL1r
69,CSND,-22.609190017090175,1.6584544490917563,CSND
70,DAPE,-1.220703097715159e-06,1.3593175026471728e-05,DAPE
71,ADSL2r,25.08181697285252,2.718247175216675,ADSL2r
72,DADA,-22.75122726057568,0.5803460990138305,DADA
73,ADSS,-1.3690406431658229,1.0285781807128962,ADSS
74,DHAt,20.537803723100897,5.4825577535666525e-06,DHAt
75,DIACTt,-20.537804807797368,2.0768213744304376e-06,DIACTt
76,DNAS_LLA,,,DNAS_LLA
77,DRIBt2,37.65262151033124,0.0,DRIBt2
78,AGAT_LLA,,,AGAT_LLA
79,CYTDK1,-15.153323018685354,0.4125747852034732,CYTDK1
80,AEPabc,,,AEPabc
81,CYTDK2,-15.153219920314344,0.4125547689301788,CYTDK2
82,DADK,-0.8208313580579514,0.1503099501132965,DADK
83,ASPTRS_1,,,ASPTRS_1
84,ETOHt,20.537805040066036,0.0,ETOHt
85,EX_2aeppn_e,,,EX_2aeppn_e
86,EX_2h3mb_e,,,EX_2h3mb_e
87,AGDC,10.387047375578645,4.223573207855225,AGDC
88,EX_2h3mp_e,,,EX_2h3mp_e
89,EX_2hxic__L_e,,,EX_2hxic__L_e
90,EX_2mba_e,,,EX_2mba_e
91,ATPPRT,-17.729277242551618,16.87483787536621,ATPPRT
