Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,THDPS,-38.373512268066406,4.366929531097412,THDPS
1,NADTRHD_copy1,-2.075195334327873e-05,0.000183556578122,NADTRHD_copy1
2,TDPGDH,-40.2706413269043,2.6688501834869385,TDPGDH
3,TDPDRR,-25.68961059570313,2.188346887228204,TDPDRR
4,TDPDRE,-4.882812390860636e-06,5.15593565069139e-05,TDPDRE
5,TDMS4,,,TDMS4
6,TDMS3,,,TDMS3
7,TDMS2,,,TDMS2
8,TDMS1,,,TDMS1
9,RBFK,-15.39290069580078,0.4125688980566164,RBFK
10,TATSO,,,TATSO
11,TATS,,,TATS
12,THZSN,,,THZSN
13,R05224,-36.20160369873047,1.6634937101122542,R05224
14,TAS,,,TAS
15,R05219,-127.12657203674316,29.933520298532063,R05219
16,TARTRt7,0.0819762401407757,4.291600635042414e-05,TARTRt7
17,R05217,-136.3373584985733,11.365917063110562,R05217
18,TARTD,-41.10572814941406,1.942304253578186,TARTD
19,QULNS,-205.62599182128903,10.594843864440918,QULNS
20,TALA,-2.0243115425109863,1.0990545749664309,TALA
21,THZPSN,-152.4434783935547,33.18432813687841,THZPSN
22,SULabc,-26.4839681578522,0.3305119540663727,SULabc
23,QRr,,,QRr
24,SULR,-121.85998508453368,2.8998289852485204,SULR
25,PYRt2,-15.974017477296718,0.0,PYRt2
26,CYANST_copy1,-11.923221435546877,31.97777143636414,CYANST_copy1
27,SUCOAS,-0.0961767584085464,0.3724879026412964,SUCOAS
28,SUCD1,53.847843170166016,5.242187976837158,SUCD1
29,THRt2r,-39.82637504523951,1.5182303422647398e-06,THRt2r
30,SUCCt2r,-20.0616334474194,1.363422113262248e-05,SUCCt2r
31,THRS,-17.721416473388672,2.410517692565918,THRS
32,SUCBZS,-148.13003540039062,7.040374279022217,SUCBZS
33,THRD_L,-20.449222564697266,1.947560429573059,THRD_L
34,PYRDC,-21.31145874023437,2.2389547644365493,PYRDC
35,PYK,-25.91719390869141,0.5352410726759987,PYK
36,PYDXO,379.70703125,8.063528060913086,PYDXO
37,PYDXNO,-119.4215316772461,5.060608863830566,PYDXNO
38,PYAM5PO,-104.53382873535156,4.565636157989502,PYAM5PO
39,PUNP7,8.590993881225586,1.666716694831848,PUNP7
40,THMDP,,,THMDP
41,THFGLUS,-31.00173706054688,1.1370091267886062,THFGLUS
42,SUCBZL,-8.688204765319824,0.5669680833816528,SUCBZL
43,PUNP6,9.517494201660156,1.755860686302185,PUNP6
44,PUNP5,9.966421127319336,0.5053997039794922,PUNP5
45,PUNP4,9.517494201660156,1.755859136581421,PUNP4
46,PUNP3,9.966423034667969,0.505387544631958,PUNP3
47,PUNP2,9.517497062683104,1.755862593650818,PUNP2
48,PMANM,-6.952020168304443,0.5356370806694031,PMANM
49,PUNP1,9.966418266296388,0.5053951144218445,PUNP1
50,SSALy,-37.91871505737305,1.4856500924404694,SSALy
51,PLIPA1E180,-15.26636459350586,40.79869399645888,PLIPA1E180
52,PTPATi,-2.0034942626953125,0.1503329972606209,PTPATi
53,SSALx,-37.91873092651368,1.48560221806726,SSALx
54,PTAr,12.20937156677246,0.7389927506446838,PTAr
55,PLIPA1E160,-14.373877716064452,39.97550211107443,PLIPA1E160
56,PLCD,,,PLCD
57,PSSA180,-9.113760986328124,2.086573831562773,PSSA180
58,SPODM,58.45570260047913,25.737049606612157,SPODM
59,PIt,5.167317791622686,0.0,PIt
60,PSSA160,,,PSSA160
61,SPMS,-44.86848236083984,28.601575802160447,SPMS
62,PSP_L,-10.482810020446776,0.3886644244194031,PSP_L
63,SOTA,2.577507734298706,1.7711716890335083,SOTA
64,PSERT,-10.074090957641602,0.4529716968536377,PSERT
65,PIabc,-31.651270275753543,0.3305119540663727,PIabc
66,SKMt2,-39.93712463597736,5.205908846811518e-06,SKMt2
67,PHYCBOXL,-21.182936401367183,2.7006977831525867,PHYCBOXL
68,PHTO,,,PHTO
69,PSD180,-17.868062133789063,2.6336796466942243,PSD180
70,PSD160,-18.314281616210938,40.54989962512292,PSD160
71,PSCVT,-22.385316848754883,4.152379512786865,PSCVT
72,PRPPS,-8.440884399414063,0.5740135844492501,PRPPS
73,PROt2r,-39.929965813339074,1.2978046371438546e-05,PROt2r
74,PHTHS2,,,PHTHS2
75,PHTHS,,,PHTHS
76,PHTHDLS2,,,PHTHDLS2
77,SHSL4r,-44.76257797241211,2.5646340888499246,SHSL4r
78,PHTHDLS,,,PHTHDLS
79,PHTHCLS,,,PHTHCLS
80,PROabc,-62.42045620603503,0.3305108241363505,PROabc
81,PHTHCLR2,,,PHTHCLR2
82,PROD2,35.39258575439453,5.462231985752287,PROD2
83,PHTHCLR1,,,PHTHCLR1
84,SHSL1,-49.23209579467773,3.3961240979817755,SHSL1
85,PRMICI,-17.156015396118164,4.9447784423828125,PRMICI
86,SHKK,-8.783805847167969,1.3080559804637326,SHKK
87,PRFGS,4.395673446655273,6.468010079124273,PRFGS
88,PREPTTA,,,PREPTTA
89,PHEt2r,-47.88611414399078,1.2957398548273702e-05,PHEt2r
90,PHETA1,-3.8539514541625977,1.1636590957641602,PHETA1
91,SHK3Dr,-9.070031127929688,1.0533726962692675,SHK3Dr
92,PHDCAt,,,PHDCAt
93,PREPTHS2,,,PREPTHS2
94,PREPTHS,,,PREPTHS
95,PREPPACPH,,,PREPPACPH
96,PHDCATA,,,PHDCATA
97,PREPHACPH,,,PREPHACPH
98,SHCHF3,,,SHCHF3
99,PRDX,-288.76922607421875,4.662221908569336,PRDX
100,PGSA190,,,PGSA190
101,PRATPP,-35.07600448608398,0.6570736512076379,PRATPP
102,SHCHF2,,,SHCHF2
103,PGSA160190,,,PGSA160190
104,SHCHF,339.66948364257814,61.20007830565224,SHCHF
105,PGSA160,,,PGSA160
106,PRASCSi,-4.637091064453125,6.8423033139888885,PRASCSi
107,PRAMPC,-21.21871566772461,22.929733276367188,PRAMPC
108,PGPPT3,,,PGPPT3
109,PGPP190,,,PGPP190
110,PGPP160190,,,PGPP160190
111,PGPP160,-11.09106731414795,0.4067538678646087,PGPP160
112,PRAIi,-17.610347747802734,5.4328932762146,PRAIi
113,PRAIS,-12.96929931640625,11.006319832864596,PRAIS
114,PRAGSr,-28.06055084228516,5.481981169885267,PRAGSr
115,PPTGS_TB2,,,PPTGS_TB2
116,PPTGS_TB1,,,PPTGS_TB1
117,PGMT,-6.952022552490234,0.5356385111808777,PGMT
118,SHCHD3,,,SHCHD3
119,PGM,-4.639849662780762,0.2890390455722809,PGM
120,PGLYCP,-13.289678573608398,1.2646294832229614,PGLYCP
121,PGLS,,,PGLS
122,PPTGS,,,PPTGS
123,PPPGO,-573.7615356445312,60.8389892578125,PPPGO
124,PPNDH,-177.19273880004883,11.533359945982172,PPNDH
125,PPND,-124.86930847167967,11.583456993103027,PPND
126,PGL,-22.552221527099608,1.2351355899975631,PGL
127,PGK,19.269176483154297,0.5751660466194153,PGK
128,PPNCL3,-38.45356552124024,2.3923763045677213,PPNCL3
129,SHCHD2,-50.40211608886719,38.4906616829148,SHCHD2
130,PPNCL2,-38.45356063842773,2.3924156645457946,PPNCL2
131,PGI,0.263957530260086,0.1824338734149933,PGI
132,SHCHCS2,,,SHCHCS2
133,PGCD,31.55406005859375,1.078053206253729,PGCD
134,PGAMT,-6.079238414764404,1.0683925151824951,PGAMT
135,PPNCL,-29.861527557373048,2.248209425300069,PPNCL
136,PPK2,-1.7089843822759576e-05,0.0002873297489713,PPK2
137,PFL,-24.488059997558597,1.178273320198059,PFL
138,PFK,-15.87705078125,0.8198219907274809,PFK
139,SHCHCS,-94.92908477783205,7.659660339355469,SHCHCS
140,PERD,20.425867919921878,1.80170502477671,PERD
141,G6PP,-11.091020584106444,0.4067519903182983,G6PP
142,PEPCK_re,12.534507751464844,1.847633957862854,PEPCK_re
143,PPDK,17.32517303466797,0.7334759581577919,PPDK
144,SGSAD,-38.48694961547852,1.5647261313926633,SGSAD
145,PPDIMAT,,,PPDIMAT
146,PEAMNO,-103.7770004272461,5.13461971282959,PEAMNO
147,PPDIMAS,,,PPDIMAS
148,PPCSCT,,,PPCSCT
149,PPCOAC,-4.1973486328125,1.8636770674609784,PPCOAC
150,PPCK,12.534489631652832,1.8476290702819824,PPCK
151,PDX5POi,-119.4215316772461,5.060609817504883,PDX5POi
152,PDIMAT,,,PDIMAT
153,PDIMAS,,,PDIMAS
154,SGDS,4.210851669311523,1.1126277446746826,SGDS
155,PDHcr_copy1,4.344319763183594,0.2485549171721494,PDHcr_copy1
156,PDHcr_copy2,4.344319763183594,0.2485549171721494,PDHcr_copy2
157,PPCDC,-26.4901318359375,3.4602991727057337,PPCDC
158,PPBNGS,-69.18736129760742,13.63860421171215,PPBNGS
159,PPAtr,,,PPAtr
160,SERt2r,-31.820891321375,6.7138671875e-06,SERt2r
161,PPA,-15.888409271240237,0.2858358037874161,PPA
162,SERD_L,-28.29659652709961,1.092889428138733,SERD_L
163,PNTK,-14.302599716186524,1.154558134737232,PNTK
164,PNCDC,-26.49014495849609,3.460303648773914,PNCDC
165,PDHbr,4.561461925506592,3.098802328109741,PDHbr
166,PDHa,-45.914501953125,3.912930567803054,PDHa
167,PMPK,-2.0035107135772705,0.1502966284751892,PMPK
168,SERD_D,-28.296594619750977,1.0928916931152344,SERD_D
169,PMDPHT,-11.09103298187256,0.4067428112030029,PMDPHT
170,PDH,-37.00871276855469,1.9717609882354736,PDH
171,PDE4,-37.39194564819336,2.4517916847982675,PDE4
172,PDE1,-37.39194595336914,2.451801241186076,PDE1
173,PC8XM,-25.660081176757814,16.328600944682194,PC8XM
174,SERAT,-10.71737289428711,1.7772473096847534,SERAT
175,PC6YM,-123.09146018981932,61.82803956463051,PC6YM
176,SELCYSLY,-29.399067187309264,9.988880306967973,SELCYSLY
177,PC6AR,-39.28900436401367,12.163550056331704,PC6AR
178,EX_mal__L_e,,,EX_mal__L_e
179,PC20M,-70.87957794189452,30.39639685128997,PC20M
180,SDPTA,0.806748628616333,0.9571426510810852,SDPTA
181,PC17M,-14.114591522216797,38.944419252802525,PC17M
182,SDPDS,4.288328170776367,1.2106364965438845,SDPDS
183,PC11M,23.413736572265623,34.45204313697452,PC11M
184,MPML,387.5716310119629,102.14709784574984,MPML
185,MOTS,,,MOTS
186,MOTH,,,MOTH
187,PC,-6.749269714355469,0.6891449023227301,PC
188,PATS,,,PATS
189,PAPSR,-33.9000178527832,2.880404154270585,PAPSR
190,PAPPT3,-2.8076172384317036e-05,0.0004909761482849,PAPPT3
191,SALCS,-187.1429901123047,7.775729179382324,SALCS
192,PAPPT2,0.911108374595642,40.70570373535156,PAPPT2
193,SADT2,20.82582092285156,0.7222325205802917,SADT2
194,PAPPT1,150.74668884277344,40.383079528808594,PAPPT1
195,MOHMT,3.050970554351806,5.855544567108154,MOHMT
196,PAPA160,-11.870126724243164,0.6161560416221619,PAPA160
197,SADT,47.30975219726562,0.6714416397092368,SADT
198,PANTS,-42.14784469604492,1.2901171853165627,PANTS
199,PACt2r,-35.94115912808996,6.8171105663112405e-06,PACt2r
200,MNDNS2,27.76843643188477,19.62134522025092,MNDNS2
201,MNDNS1,27.768404693603514,19.621340604187377,MNDNS1
202,MN6PP,-11.091022491455078,0.4067531228065491,MN6PP
203,P5CRx,-48.6030093383789,2.7739471153831365,P5CRx
204,SADH,-60.93882537841797,4.1672388426135,SADH
205,P5CR,-48.60302520751953,2.773975080673333,P5CR
206,P5CD,-50.69345199584961,3.940039497445913,P5CD
207,MMSAD3,-28.82494163513184,2.3320188522338867,MMSAD3
208,RZ5PP,-11.09104347229004,0.4067412614822387,RZ5PP
209,OXGDC2,,,OXGDC2
210,RRPPDIMAS,,,RRPPDIMAS
211,RPPDIMAS,,,RPPDIMAS
212,MTHFD,5.183349609375,1.5280160903930664,MTHFD
213,RPI,4.759160041809082,0.605678379535675,RPI
214,MTHFC,-6.730753021240234,0.7694032654606984,MTHFC
215,MTAN,-8.076628684997559,0.7176934480667114,MTAN
216,RPE,0.0,2.9900997105869465e-05,RPE
217,MSHS,,,MSHS
218,MSHOXH,,,MSHOXH
219,RNTR4,-61.58335113525391,2.909320592880249,RNTR4
220,MSHAMID,,,MSHAMID
221,MMSAD2,-11.89305015563965,1.78186731784271,MMSAD2
222,RNDR4,-61.58335494995117,2.909306764602661,RNDR4
223,MMSAD1,-29.42733192443848,3.0688464641571045,MMSAD1
224,UDPGALM,4.994103908538818,1.384412407875061,UDPGALM
225,UDPG4E,-2.441406195430318e-06,2.429168671369553e-05,UDPG4E
226,UDPDPS2,,,UDPDPS2
227,RNDR3,-61.58335494995117,2.9093010425567627,RNDR3
228,UDPDPS,-68.00591278076172,3.581960916519165,UDPDPS
229,UDCPDPS,-544.0469360351562,28.655780792236328,UDCPDPS
230,MMM2,5.840754508972168,1.4112985134124756,MMM2
231,UDCPDP,-24.480430755615235,0.3395070805670262,UDCPDP
232,RNDR2,-61.58335113525391,2.909310817718506,RNDR2
233,UAPGR,-49.02819702148437,4.995645396431115,UAPGR
234,UAMRH,,,UAMRH
235,MME,-7.324218586290954e-06,7.287506014108658e-05,MME
236,MMCD,-15.934627075195312,2.256582411396121,MMCD
237,UAMAS,-25.56276550292969,2.718994173721446,UAMAS
238,MI4PP,-23.916061401367188,1.8800759315490725,MI4PP
239,RNDR1,-61.58335494995117,2.909299373626709,RNDR1
240,MI3PP,-23.916061401367188,1.880077600479126,MI3PP
241,UAMAGS,-26.15278106689453,2.281125173423879,UAMAGS
242,UAGPT3,-12.485087890625,1.296621997550284,UAGPT3
243,UAGPT2,-12.48509521484375,1.2966838720535396,UAGPT2
244,RIBabc,-66.4180649788828,0.3305119540663727,RIBabc
245,MI1PS,-3.870073318481445,2.785385608673096,MI1PS
246,RBK_L1,-11.848267517089845,0.9628719734495438,RBK_L1
247,MI1PP,-23.916061401367188,1.8800770044326784,MI1PP
248,MHPGLUT,-15.056751251220703,7.551977157592773,MHPGLUT
249,UAGPT1,,,UAGPT1
250,UAGDP,-2.003486328125,0.1503057208683735,UAGDP
251,RBK_Dr,-11.848263854980468,0.9628708176393476,RBK_Dr
252,UAGCVT,-21.313825607299805,4.370323181152344,UAGCVT
253,UAAGLS2,-31.079229431152346,1.2963607992263972,UAAGLS2
254,MGt5,-3.99321811330487,0.0,MGt5
255,RBK,-14.019189147949218,0.7890490251076917,RBK
256,METabc,-70.38082306254451,0.3305118312010613,METabc
257,UAAGLS1,-26.316259460449217,2.2419379797904697,UAAGLS1
258,UAAGDS,-39.777298583984376,40.93554543637813,UAAGDS
259,TYRt2r,-47.8330025523368,9.888825528576446e-06,TYRt2r
260,TYRTA,-3.853947639465332,1.1636550426483154,TYRTA
261,METSOXR2,-114.1147232055664,27.52552032470703,METSOXR2
262,METSOXR1,-114.1147232055664,27.52552032470703,METSOXR1
263,TTDCAt2,,,TTDCAt2
264,METS,-15.056749649047852,7.551974221171629,METS
265,RBFSb,-54.153438568115234,30.4736385345459,RBFSb
266,METOX2s,-196.17312622070312,27.6031494140625,METOX2s
267,METOX1s,-196.1731109619141,27.603145599365234,METOX1s
268,TSULabc,-30.477414576617814,0.3305119540663727,TSULabc
269,TRPt2r,-51.87523817725159,1.7989846988756705e-05,TRPt2r
270,TRPTA,-5.410023212432861,1.316433072090149,TRPTA
271,METAT,-25.119518280029297,28.56088256835937,METAT
272,RBFSa,-98.91691589355467,21.775266647338867,RBFSa
273,MEPCT,-2.003466796875,0.1503087165023257,MEPCT
274,MEOHt2,-15.973848348852217,0.0,MEOHt2
275,TRPS3,21.814882278442383,2.701975584030152,TRPS3
276,TRPS2,-48.9353141784668,1.1874836683273315,TRPS2
277,IPPMIa,-2.181579113006592,3.773500442504883,IPPMIa
278,TRPS1,-27.120424270629883,3.062469959259033,TRPS1
279,TRIATS,,,TRIATS
280,TREabc,-114.33994103856897,0.330514136825619,TREabc
281,MECDPS,-2.2583008103538305e-05,0.0001747045316733,MECDPS
282,MECDPDH,,,MECDPDH
283,ME1,15.535531997680664,1.7394341230392456,ME1
284,MDH,28.918240356445317,0.3389023725041385,MDH
285,TRESULT,-46.454450073242185,9.589123006195509,TRESULT
286,TRE6PS,-12.284505615234377,1.3334870577958269,TRE6PS
287,TRE6PP,-11.09103012084961,0.406751424074173,TRE6PP
288,MDFDH,,,MDFDH
289,IPMD,23.73507598876953,3.823318095276908,IPMD
290,MCOATA,-1.426358699798584,2.236889362335205,MCOATA
291,MCD,-19.89167297363281,2.646852645451764,MCD
292,TRDR,-10.681060638427734,1.3578798037012103,TRDR
293,TPI,5.170516490936279,0.5584098696708679,TPI
294,TMPPP,-9.705890579223633,1.9271091530907176,TMPPP
295,TMPK,-2.003486394882202,0.150320291519165,TMPK
296,TMN,,,TMN
297,TMHAS6,,,TMHAS6
298,MCBTS3,,,MCBTS3
299,MCBTS2,,,MCBTS2
300,MCBTS,,,MCBTS
301,MANAT3,,,MANAT3
302,MANAT2,,,MANAT2
303,TMHAS5,,,TMHAS5
304,MANAT1,,,MANAT1
305,TMHAS4,,,TMHAS4
306,IPDPS,-65.94315567016602,3.589610356592184,IPDPS
307,TMHAS3,,,TMHAS3
308,TMHAS2,,,TMHAS2
309,MAN6PI,0.2639563083648681,0.1824331283569336,MAN6PI
310,MAN1PT2,8.592034912109375,0.4050266918813713,MAN1PT2
311,MAN1PT,-2.003480224609375,0.1503104865787901,MAN1PT
312,MALt2r,-19.994001534081107,2.44140625e-05,MALt2r
313,TMHAS1,,,TMHAS1
314,IPDDI,-3.015887498855591,2.560518741607666,IPDDI
315,TMDS,-33.74931716918945,6.232309341430664,TMDS
316,TMDPP,-1.126215577125549,2.2189764976501465,TMDPP
317,TMDK1,-15.39289810180664,0.412583102818612,TMDK1
318,BIOMASS_Mtb_9_60atp,,,BIOMASS_Mtb_9_60atp
319,YUMPS,,,YUMPS
320,TKT2,-7.934716701507568,1.4840898513793943,TKT2
321,XYLabc,-66.41806467370702,0.3305120560474215,XYLabc
322,INSK,-15.392912521362303,0.4125781319192276,INSK
323,TKT1,6.132666110992432,0.8721628785133362,TKT1
324,INSH,-9.450357437133787,0.8949816823005676,INSH
325,MALTabc,-114.33947386391688,0.3305128050449419,MALTabc
326,XYLK,-11.84826416015625,0.9628757659883712,XYLK
327,MALTHPabc,-314.012062275496,0.3305021723563049,MALTHPabc
328,INDPYRD,-17.86066246032715,3.297755417024747,INDPYRD
329,MALT,-13.368328094482422,0.7894216179847717,MALT
330,XPPT,-17.183021545410156,1.7072393894195557,XPPT
331,VALt2r,-47.89657096068539,8.204348790753214e-06,VALt2r
332,VALTA,-1.1491695642471311,2.82793402671814,VALTA
333,URIK2,-15.392874908447263,0.4125651008265836,URIK2
334,URIDK2r,-2.003514289855957,0.1503260433673858,URIDK2r
335,UMPK_copy1,-2.003497362136841,0.1503088027238845,UMPK_copy1
336,UREA,-29.99832546234131,3.0461018220903724,UREA
337,MALS,-46.34391342163086,1.550139860222458,MALS
338,L_LACt3,15.975056497175723,4.2724609375e-06,L_LACt3
339,L_LACt2r,-23.96198068004554,4.2724609375e-06,L_LACt2r
340,UPPRT,-7.286473274230957,1.6222809553146362,UPPRT
341,IMPD,-7.116475677490234,1.9117873002195287,IMPD
342,UPPDC2,-31.8064599609375,19.39837034373554,UPPDC2
343,UPPDC1,-31.806446533203125,19.39838218709622,UPPDC1
344,UPP3S,-65.68130493164062,12.309578895568848,UPP3S
345,UPP3MT,7.628177795410156,73.69796515341083,UPP3MT
346,L_LACD3,-25.424711227416992,23.32892799377441,L_LACD3
347,L_LACD2,-49.20773315429688,26.316164016723636,L_LACD2
348,L_LACD,,,L_LACD
349,LYSt5r,-59.861126697272944,1.1620747500273865e-05,LYSt5r
350,LPLIPAL2E180,-21.51336227416992,40.18891135423237,LPLIPAL2E180
351,UMPK_copy2,-2.003497362136841,0.1503088027238845,UMPK_copy2
352,UGMDDS2,,,UGMDDS2
353,LPLIPAL2E160,-21.959612579345706,2.397868352938131,LPLIPAL2E160
354,IMPC,7.302007675170898,12.060503959655762,IMPC
355,LO,-499.0792236328125,3.221442699432373,LO
356,UGMDDS,-15.154098052978515,41.28526812030031,UGMDDS
357,LEUt2r,-55.87847943918089,6.990790520602605e-06,LEUt2r
358,UGMAS,,,UGMAS
359,ILEt2r,-55.883062324823655,0.0,ILEt2r
360,UGMAGS,,,UGMAGS
361,UGLDDS2,-24.76328659057617,40.8365478515625,UGLDDS2
362,LEUTA,1.108815312385559,1.1632232666015625,LEUTA
363,LDH_L,25.717810974121093,0.6792197158684492,LDH_L
364,UGLDDS1,-28.615114212036133,2.287184238433838,UGLDDS1
365,LCTSabc,-114.33947386391688,0.3305132190092775,LCTSabc
366,ILETA,-1.6698015928268433,2.865891933441162,ILETA
367,UGGPT3,,,UGGPT3
368,LACZ,-13.368322372436523,0.7894235849380493,LACZ
369,Kt3r,-7.986680204739748,0.0,Kt3r
370,Kabc,-22.49073437082602,0.3305119540663727,Kabc
371,UGAGDS,,,UGAGDS
372,UDPGD,-11.846031341552736,2.2085962139912776,UDPGD
373,KARA2,-22.564405822753905,5.571329537921862,KARA2
374,IGPS,-91.27727127075195,6.152847921789511,IGPS
375,KARA1,22.88914978027344,5.752406103218683,KARA1
376,GLYCTO1,-98.55181884765624,4.228511810302734,GLYCTO1
377,IGPDH,-49.141544342041016,4.54066801071167,IGPDH
378,IGAMD,,,IGAMD
379,IG3PS,-50.1709642791748,12.076800672251926,IG3PS
380,GLYCL,14.45005702972412,2.790570974349976,GLYCL
381,IPPS,-27.78738906860352,3.0340169077636387,IPPS
382,ID3ACALDt,35.941157608197415,1.77946531039197e-05,ID3ACALDt
383,IPPMIb,0.2835363745689392,3.5770392417907715,IPPMIb
384,GLYCK,-14.61378662109375,0.5683938504987511,GLYCK
385,ICL,16.801616668701172,1.593266248703003,ICL
386,GLYC3Pabc,-55.00188939329888,0.3305128669818279,GLYC3Pabc
387,GLYBabc,-70.41239703008526,0.3305120182892317,GLYBabc
388,ICHORS,1.744157075881958,1.4258520603179932,ICHORS
389,ICDHyr,8.2329683303833,2.2264864444732666,ICDHyr
390,GLXO1,-27.767664642333983,3.932142207937869,GLXO1
391,IACGAMS,,,IACGAMS
392,HXPRT,-18.55845642089844,0.6104087829589844,HXPRT
393,HSTPT,10.26007843017578,2.3029210567474365,HSTPT
394,GLUt2r,-35.91592034275273,0.0,GLUt2r
395,EX_lys__L_e,,,EX_lys__L_e
396,HSST,-8.458374977111816,1.991541028022766,HSST
397,EX_leu__L_e,,,EX_leu__L_e
398,GLUTRR,,,GLUTRR
399,GLUSy,-46.00453361511231,1.0118534517436626,GLUSy
400,GLUR,-3.0517577442878974e-07,3.036461066585616e-06,GLUR
401,HSK,-15.14646270751953,1.0167639355639717,HSK
402,GLUPRT,-35.98503875732422,5.775002479553223,GLUPRT
403,GLUDxi,34.27473281860352,0.3379722235246327,GLUDxi
404,HSERTA,-10.255093574523926,1.9056626558303835,HSERTA
405,GLUDC,-22.09176935195923,2.1709423628129083,GLUDC
406,GLUCYS,-30.851873016357423,2.1777801545770843,GLUCYS
407,GLU5K,15.183155059814451,0.9609124660491944,GLU5K
408,GLNSP3,,,GLNSP3
409,EX_lcts_e,,,EX_lcts_e
410,EX_lac__L_e,,,EX_lac__L_e
411,EX_k_e,,,EX_k_e
412,EX_ile__L_e,,,EX_ile__L_e
413,GLNSP2,-12.1496728515625,2.200363058642991,GLNSP2
414,GLNSP1,,,GLNSP1
415,HSDy,18.51948638916016,1.2352951576428852,HSDy
416,GLNS,-14.754167556762695,0.8914619152300683,GLNS
417,GLGC,-2.003482666015625,0.1503303342130928,GLGC
418,EX_id3acald_e,,,EX_id3acald_e
419,HSDxi,-18.51947052001953,1.2352888878332748,HSDxi
420,EX_his__L_e,,,EX_his__L_e
421,GLCabc,-74.40497465458952,0.3305107274515234,GLCabc
422,GLCS1,,,GLCS1
423,GLCP,,,GLCP
424,HPPK2,-13.613189697265623,1.180162491587449,HPPK2
425,EX_hdca_e,,,EX_hdca_e
426,HPPK,,,HPPK
427,EX_h_e,,,EX_h_e
428,GK1,-2.0034899711608887,0.1503034681081771,GK1
429,GHMT2r,-6.711851596832275,0.7347102165222168,GHMT2r
430,EX_h2s_e,,,EX_h2s_e
431,EX_h2o_e,,,EX_h2o_e
432,GGLUCT2,-0.5586891174316406,1.5196772813796997,GGLUCT2
433,HOPNTAL,12.65518569946289,1.6817033290863037,HOPNTAL
434,GFUCS,-25.6895947265625,2.188358366111688,GFUCS
435,GF6PTA,-19.0211238861084,2.324369430541992,GF6PTA
436,GCCc,4.344315185546875,0.2485513266483525,GCCc
437,EX_h2co3_e,,,EX_h2co3_e
438,EX_h2_e,,,EX_h2_e
439,GCCb,1.5541038513183594,8.863961219787598,GCCb
440,HMPK4,-13.043358154296875,2.8651364392239125,HMPK4
441,GCCa,8.551646423339843,8.717505129516288,GCCa
442,GCC2,1.5540825128555298,8.863969802856445,GCC2
443,GARFT,0.581923828125,3.920404711397728,GARFT
444,GAPD,2.737379150390625,0.6437047775585412,GAPD
445,GALt2,-51.91448059978419,1.7464482333770137e-05,GALt2
446,EX_gthrd_e,,,EX_gthrd_e
447,EX_glyc_e,,,EX_glyc_e
448,EX_glyc3p_e,,,EX_glyc3p_e
449,EX_glyb_e,,,EX_glyb_e
450,EX_gly_e,,,EX_gly_e
451,EX_glu__L_e,,,EX_glu__L_e
452,GALUi,-2.00349365234375,0.1503116437725019,GALUi
453,GALT,-2.003494873046875,0.1503081253023837,GALT
454,GALKr,-8.440908813476563,0.5740078598915486,GALKr
455,GALFT,,,GALFT
456,G6PDH2r,-9.748818359375,0.9001280378752083,G6PDH2r
457,EX_glc__D_e,,,EX_glc__D_e
458,EX_gal_e,,,EX_gal_e
459,HMPK3,-13.043372802734376,2.8650922459769603,HMPK3
460,EX_fum_e,,,EX_fum_e
461,EX_fe3_e,,,EX_fe3_e
462,EX_fe2_e,,,EX_fe2_e
463,EX_etha_e,,,EX_etha_e
464,G5SD2,-3.180169982910156,1.629944387308734,G5SD2
465,G5SD,-3.1801858520507813,1.6299850461691987,G5SD
466,G5SADs,12.206502990722656,3.797974648340048,G5SADs
467,G3PD1ir,-22.4631982421875,0.7575258622302661,G3PD1ir
468,G3PAT190,,,G3PAT190
469,EX_cytd_e,,,EX_cytd_e
470,HMPK2,-13.043369140625,2.865136760890839,HMPK2
471,EX_cu2_e,,,EX_cu2_e
472,EX_crn_e,,,EX_crn_e
473,G3PAT160,,,G3PAT160
474,G1SAT,-19.5214786529541,3.4541499614715576,G1SAT
475,G1PTT,-2.00348876953125,0.1503055551673316,G1PTT
476,HMPK1,-13.04338623046875,2.8651160200187813,HMPK1
477,G1PACT,-40.30654296875,4.410636951681158,G1PACT
478,G16MTM9,,,G16MTM9
479,G16MTM8,,,G16MTM8
480,G16MTM7,,,G16MTM7
481,G16MTM6,,,G16MTM6
482,EX_cobalt2_e,,,EX_cobalt2_e
483,EX_coa_e,,,EX_coa_e
484,EX_co_e,,,EX_co_e
485,EX_co2_e,,,EX_co2_e
486,EX_cl_e,,,EX_cl_e
487,G16MTM5,,,G16MTM5
488,HMBS,-135.64828491210938,37.441993713378906,HMBS
489,G16MTM4,,,G16MTM4
490,G16MTM2,,,G16MTM2
491,EX_cit_e,,,EX_cit_e
492,EX_chol_e,,,EX_chol_e
493,EX_ca2_e,,,EX_ca2_e
494,EX_bmn_e,,,EX_bmn_e
495,G16MTM10,,,G16MTM10
496,G16MTM1,,,G16MTM1
497,HISt2r,-40.65279025777452,1.1819407184470875e-05,HISt2r
498,EX_atp_e,,,EX_atp_e
499,EX_asp__L_e,,,EX_asp__L_e
500,EX_asn__L_e,,,EX_asn__L_e
501,FUMt2r,-11.986203542323985,0.0,FUMt2r
