Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,GAM6Pt6_2pp,29.25630288888808,0.0001090737787308,GAM6Pt6_2pp
1,GAMAN6Ptex,3.662109293145477e-06,2.0823636077693664e-05,GAMAN6Ptex
2,GALCTNLt2pp,22.16944802158431,0.0,GALCTNLt2pp
3,GALCTt2rpp,13.615136463013714,0.0,GALCTt2rpp
4,GAMptspp,-2.353984028747405,0.5327996015548706,GAMptspp
5,GALCTNLtex,6.103515488575795e-07,6.072922133171232e-06,GALCTNLtex
6,GAMtex,-1.0681152389224735e-06,1.0406226465420332e-05,GAMtex
7,GALCTNt2pp,22.16944802158431,0.0,GALCTNt2pp
8,GALCTNtex,-6.103515488575795e-07,6.072922133171232e-06,GALCTNtex
9,GAPD,2.142468907049616,0.6437045452530418,GAPD
10,GALCTtex,0.0,0.0,GALCTtex
11,DDGLCNt2rpp,16.464237146809893,1.3634221132622484e-05,DDGLCNt2rpp
12,GALKr,-20.244395670323343,0.5740040400021663,GALKr
13,GARFT,-11.12911056071773,3.9204059344064186,GARFT
14,GALt2pp,25.02123528950549,1.6991468392425605e-05,GALt2pp
15,GALtex,1.5258789289873675e-06,1.2489858818298671e-05,GALtex
16,DDGLCNtex,2.441406195430318e-06,1.914598215080332e-05,DDGLCNtex
17,DDGLK,-26.89348761984355,0.4125873785131541,DDGLK
18,GALTtex,3.0517577442878974e-07,1.6988726201816462e-05,GALTtex
19,DDPA,-70.99063026560965,1.398221731185913,DDPA
20,GALURt2rpp,16.464101560055546,0.0,GALURt2rpp
21,GART,-21.06844163441852,4.254186058627593,GART
22,GALURtex,0.0,0.0,GALURtex
23,DGK1,-0.5764199656786602,0.1503394693136215,DGK1
24,DGMPtex,6.103515488575795e-07,1.0553964784776326e-05,DGMPtex
25,DGSNt2pp,27.870403071363715,1.131519204190821e-05,DGSNt2pp
26,GBBTNtex,9.155273232863692e-07,1.0965115507133303e-05,GBBTNtex
27,DGSNtex,3.0517577442878974e-07,9.645678801462054e-06,DGSNtex
28,DHAD1,-27.90441995044439,5.043393135070801,DHAD1
29,DHAD2,-29.688412412115674,4.6623077392578125,DHAD2
30,DHAtex,6.103515488575795e-07,6.0729216784238815e-06,DHAtex
31,DHAtpp,17.11483549269088,6.823937837907579e-06,DHAtpp
32,GDPDPK,-14.406890718886151,1.7680888396252936,GDPDPK
33,GDPtex,-2.441406195430318e-06,1.7089843822759576e-05,GDPtex
34,EX_cys__L_e,,,EX_cys__L_e
35,GF6PTA,-19.46554019719544,2.3243730068206787,GF6PTA
36,EX_cytd_e,,,EX_cytd_e
37,GHMT2r,-6.685556521306317,0.734713613986969,GHMT2r
38,EX_dad_2_e,,,EX_dad_2_e
39,GK1,-0.572338635357525,0.1503039747476577,GK1
40,EX_ala__D_e,,,EX_ala__D_e
41,EX_damp_e,,,EX_damp_e
42,GLBRAN2,-6.10351571594947e-06,6.769126048311591e-05,GLBRAN2
43,EX_15dap_e,,,EX_15dap_e
44,EX_dca_e,,,EX_dca_e
45,GLCabcpp,-3.346900282897174,0.3305099779260229,GLCabcpp
46,EX_dcmp_e,,,EX_dcmp_e
47,EX_dcyt_e,,,EX_dcyt_e
48,EX_ddca_e,,,EX_ddca_e
49,GLCNt2rpp,22.16944802158431,8.631674575031098e-06,GLCNt2rpp
50,EX_2ddglcn_e,,,EX_2ddglcn_e
51,GLCNtex,0.0,8.631674063508399e-06,GLCNtex
52,EX_dgmp_e,,,EX_dgmp_e
53,EX_dgsn_e,,,EX_dgsn_e
54,GLCP,,,GLCP
