Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_hxan_e,,,EX_hxan_e
1,EX_alltn_e,,,EX_alltn_e
2,EX_orn_e,,,EX_orn_e
3,EX_gln__L_e,,,EX_gln__L_e
4,EX_urate_e,,,EX_urate_e
5,EX_so3_e,,,EX_so3_e
6,EX_s_e,,,EX_s_e
7,EX_no3_e,,,EX_no3_e
8,EX_so4_e,,,EX_so4_e
9,EX_fe2_e,,,EX_fe2_e
10,EX_fe3_e,,,EX_fe3_e
11,PRISM_solar_litho,,,PRISM_solar_litho
12,PRISM_solar_exo,,,PRISM_solar_exo
13,PRISM_incandescent_60W,,,PRISM_incandescent_60W
14,EX_slnt_e,,,EX_slnt_e
15,EX_leu__L_e,,,EX_leu__L_e
16,PRISM_fluorescent_warm_18W,,,PRISM_fluorescent_warm_18W
17,PRISM_fluorescent_cool_215W,,,PRISM_fluorescent_cool_215W
18,PRISM_metal_halide,,,PRISM_metal_halide
19,EX_etoh_e,,,EX_etoh_e
20,EX_arg__L_e,,,EX_arg__L_e
21,EX_for_e,,,EX_for_e
22,EX_h2_e,,,EX_h2_e
23,PRISM_high_pressure_sodium,,,PRISM_high_pressure_sodium
24,PRISM_growth_room,,,PRISM_growth_room
25,PRISM_white_LED,,,PRISM_white_LED
26,EX_glyclt_e,,,EX_glyclt_e
27,CMPth,48.18028390807812,1.7089842003770173e-05,CMPth
28,EX_succ_e,,,EX_succ_e
29,EX_lac__D_e,,,EX_lac__D_e
30,EX_6mpur_e,,,EX_6mpur_e
31,PRISM_red_LED_array_653nm,,,PRISM_red_LED_array_653nm
32,PRISM_red_LED_674nm,,,PRISM_red_LED_674nm
33,PRISM_design_growth,,,PRISM_design_growth
34,EX_h_e,,,EX_h_e
35,EX_h2o_e,,,EX_h2o_e
36,EX_pi_e,,,EX_pi_e
37,EX_nh4_e,,,EX_nh4_e
38,EX_mg2_e,,,EX_mg2_e
39,EX_tgua_e,,,EX_tgua_e
40,EX_tega_e,,,EX_tega_e
41,EX_5flura_e,,,EX_5flura_e
42,EX_cital_e,,,EX_cital_e
43,EX_lido_e,,,EX_lido_e
44,PS_asn__L_c,,,PS_asn__L_c
45,CY_focytc_h,,,CY_focytc_h
46,CY_focytb5_c,,,CY_focytb5_c
47,BIOMASS_Chlamy_auto,,,BIOMASS_Chlamy_auto
48,EX_na1_e,,,EX_na1_e
49,EX_photonVis_e,,,EX_photonVis_e
50,EX_o2_e,,,EX_o2_e
51,BIOMASS_Chlamy_mixo,,,BIOMASS_Chlamy_mixo
52,CO2th,0.0,0.0,CO2th
53,BIOMASS_Chlamy_hetero,,,BIOMASS_Chlamy_hetero
54,EX_co2_e,,,EX_co2_e
55,COAth,126.64638499051604,5.980199421173893e-05,COAth
56,CTPth,49.85107911179439,4.858337706536986e-05,CTPth
57,ATPM,-26.230538075006315,0.3305087152655672,ATPM
58,DM_apotfen_h,,,DM_apotfen_h
59,DM_asnglcnacglcnacman_man_man_c,,,DM_asnglcnacglcnacman_man_man_c
60,CYSth,27.143550700401263,1.3213617421570234e-05,CYSth
61,DM_bhb_m,,,DM_bhb_m
62,DM_bhb_x,,,DM_bhb_x
63,DM_cat_c,,,DM_cat_c
64,DHAP_pi_thr,15.216739330028446,8.617852290626615e-05,DHAP_pi_thr
65,DM_ficytb5_c,,,DM_ficytb5_c
66,DM_glu5sa_m,,,DM_glu5sa_m
67,DMPPth,-37.87646998322727,2.429168671369553e-05,DMPPth
68,DM_hcarn_c,,,DM_hcarn_c
69,DM_icit_h,,,DM_icit_h
70,DM_leutrna_c,,,DM_leutrna_c
71,ETOHth,23.96077254431516,0.0,ETOHth
72,EX_hco3_e,,,EX_hco3_e
73,F6P_pi_thi,-39.1853434913598,8.360701758647338e-05,F6P_pi_thi
74,SK_starch300_h,,,SK_starch300_h
75,F6PBth,-44.17817607157314,1.7089843822759576e-05,F6PBth
76,FA160h,-123.81136035263944,2.1143197955098003e-05,FA160h
77,EX_ac_e,,,EX_ac_e
78,EX_rib__D_e,,,EX_rib__D_e
79,FA1619Zh,,,FA1619Zh
80,EX_no2_e,,,EX_no2_e
81,FA180h,-139.78520749767588,1.2145844266342465e-05,FA180h
82,EX_his__L_e,,,EX_his__L_e
83,DM_na1_c,,,DM_na1_c
84,FA18111Zh,-131.79949406119414,1.7089843822759576e-05,FA18111Zh
85,DM_na1_h,,,DM_na1_h
86,FA1819Zh,,,FA1819Zh
87,DM_na1_m,,,DM_na1_m
88,DM_na1_x,,,DM_na1_x
89,FADH2th,128.85760866986195,4.001877459813841e-05,FADH2th
90,DM_no_h,,,DM_no_h
91,DM_o2D_u,,,DM_o2D_u
92,FADth,119.91802050635908,1.6044235962908715e-05,FADth
93,DM_photon298_c,,,DM_photon298_c
