Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,ADMDC,-20.86710116595181,4.619296362798339,ADMDC
1,CO2t,0.0,0.0,CO2t
2,CSNt2,5.056604517695982,1.5182303422647398e-06,CSNt2
3,CYSabc,-17.995355327564,0.3305061131131762,CYSabc
4,DAPE,1.5258789289873675e-06,1.3901418242312502e-05,DAPE
5,DKMPPD,-524.6084150505613,4.159246355808674,DKMPPD
6,DKMPPD2,,,DKMPPD2
7,D_LACt2,5.055243876753431,8.544921874999999e-06,D_LACt2
8,6PGALSZ,,,6PGALSZ
9,6PHBG,-3.8892292124130776,8.204177856445312,6PHBG
10,ETOHt,17.114837494735596,3.79557633323202e-07,ETOHt
11,EX_26dap__M_e,,,EX_26dap__M_e
12,ABTA,0.7481398026489483,1.5526498556137085,ABTA
13,EX_Cit_Mg_e,,,EX_Cit_Mg_e
14,CHOLD,25.2576828850962,3.918907062623516,CHOLD
15,ACACT1r,26.75967051489863,0.990590751171112,ACACT1r
16,ACACT2r,26.31985748674471,1.4967083930969238,ACACT2r
17,DDPA,-70.99063789500418,1.3982224464416504,DDPA
18,ACALD,-15.0500972769911,1.0461600153179893,ACALD
19,CHORM,-42.849537118785776,12.409131050109863,CHORM
20,ACOATA,-2.004368852344257,1.55706787109375,ACOATA
21,ADNt2,27.87954497773725,1.7507091686112628e-05,ADNt2
22,ACLDC,-13.926148304775944,4.938583810190076,ACLDC
23,ACNAMt2,42.13609262676481,2.110793025609202e-05,ACNAMt2
24,CHORS,-29.63777744387589,5.158496379852295,CHORS
25,ACCOAC,-11.50625046834567,2.104689319140052,ACCOAC
26,CIT_Mgt,5.286397366483338,2.1107930256092023e-05,CIT_Mgt
27,ACGApts,0.9600386266858648,0.5327908992767334,ACGApts
28,CPPPGO,-337.97357228464443,8.958352264456865,CPPPGO
29,ACGK,15.514240764039442,0.9608997106552124,ACGK
30,ACNML,6.786892279648169,0.8650587797164917,ACNML
31,ASPabc,-20.4734218374588,0.3305050610878108,ASPabc
32,ACHBS,-16.81428537125752,5.047436650202037,ACHBS
33,CLPNS_SA,,,CLPNS_SA
34,ACLS,-20.85470612961368,4.534310566563447,ACLS
35,ACOAD1,-52.79821452942492,2.262856979184519,ACOAD1
36,ACOAD2,,,ACOAD2
37,ACOAD3,53.153387869268485,2.261616172440913,ACOAD3
38,ACOAD4,53.15336955872182,2.261625583843039,ACOAD4
39,ACOAD5,53.15338054504992,2.261620503103209,ACOAD5
40,ACONT,7.748953460372963,0.2819007635116577,ACONT
41,ATPM,-37.57629253276166,0.3305049843603955,ATPM
42,BPNT,-23.147868134556493,1.8800783157348635,BPNT
43,BTNt2i,33.58322746686864,1.918000044246908e-05,BTNt2i
44,CDAPPA_SA,,,CDAPPA_SA
45,ADPT,-19.59215946654733,0.6104048490524292,ADPT
46,ADSK,-14.493489863223711,1.7681089207874483,ADSK
47,ADSL2r,25.078820426930864,2.718247175216675,ADSL2r
48,ACOTA,2.5704176427759755,1.7711663246154783,ACOTA
49,ACPS1,,,ACPS1
50,ADSS,-25.329000046092663,1.0285794424075356,ADSS
51,COabc,-64.54980704829407,0.3305049843603955,COabc
52,AGDC,10.258325682993105,4.223573684692383,AGDC
53,AGMHE,-1.3427734302240424e-05,5.6982131354743615e-05,AGMHE
54,ACPpds,,,ACPpds
55,ACYP_2,-52.883677384768966,0.812491793152851,ACYP_2
56,ACS,-5.873259758542311,0.4244662523269653,ACS
57,CS,-47.97775000751777,0.4836042013212533,CS
58,ADCL,-189.7779613782964,8.444753623641553,ADCL
59,ADCS,-20.956313370140403,2.2159688472747803,ADCS
60,ARGN,-30.922957679937834,3.2860608100891118,ARGN
61,AGMT,-30.940048659308847,3.286064863204956,AGMT
62,ADCYRS,,,ADCYRS
63,ADK1,-0.5745173203749374,0.1503251641988754,ADK1
64,CTPS1,-27.519803306465956,0.9987016086942408,CTPS1
65,ADKd,-0.5787034410518572,0.1502992659807205,ADKd
66,AGPR,2.555855424644207,1.6299878474538918,AGPR
67,AHCYSNS,-8.07757459909402,0.7177073955535889,AHCYSNS
68,AICART,4.957059208299306,2.361478805541992,AICART
