Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_cit_e,,,EX_cit_e
1,EX_cm_e,,,EX_cm_e
2,EX_cmp_e,,,EX_cmp_e
3,EX_glcr_e,,,EX_glcr_e
4,EX_cl_e,,,EX_cl_e
5,EX_co2_e,,,EX_co2_e
6,EX_cobalt2_e,,,EX_cobalt2_e
7,EX_colipa_e,,,EX_colipa_e
8,EX_colipap_e,,,EX_colipap_e
9,EX_chtbs_e,,,EX_chtbs_e
10,DM_4crsol_c,,,DM_4crsol_c
11,DM_5drib_c,,,DM_5drib_c
12,DM_aacald_c,,,DM_aacald_c
13,DM_amob_c,,,DM_amob_c
14,EX_cpgn_e,,,EX_cpgn_e
15,EX_cpgn_un_e,,,EX_cpgn_un_e
16,DM_mththf_c,,,DM_mththf_c
17,EX_glcur_e,,,EX_glcur_e
18,DM_oxam_c,,,DM_oxam_c
19,EX_crn_e,,,EX_crn_e
20,EX_crn__D_e,,,EX_crn__D_e
21,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
22,EX_csn_e,,,EX_csn_e
23,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
24,EX_cu_e,,,EX_cu_e
25,EX_glcur1p_e,,,EX_glcur1p_e
26,EX_cu2_e,,,EX_cu2_e
27,EX_cyan_e,,,EX_cyan_e
28,EX_12ppd__R_e,,,EX_12ppd__R_e
29,EX_12ppd__S_e,,,EX_12ppd__S_e
30,EX_cynt_e,,,EX_cynt_e
31,EX_cys__D_e,,,EX_cys__D_e
32,EX_14glucan_e,,,EX_14glucan_e
33,EX_15dap_e,,,EX_15dap_e
34,EX_23camp_e,,,EX_23camp_e
35,EX_23ccmp_e,,,EX_23ccmp_e
36,EX_23cgmp_e,,,EX_23cgmp_e
37,EX_23cump_e,,,EX_23cump_e
38,EX_23dappa_e,,,EX_23dappa_e
39,EX_26dap__M_e,,,EX_26dap__M_e
40,EX_2ddglcn_e,,,EX_2ddglcn_e
41,EX_34dhpac_e,,,EX_34dhpac_e
42,EX_3amp_e,,,EX_3amp_e
43,EX_cys__L_e,,,EX_cys__L_e
44,EX_cytd_e,,,EX_cytd_e
45,EX_dad_2_e,,,EX_dad_2_e
46,EX_damp_e,,,EX_damp_e
47,EX_dca_e,,,EX_dca_e
48,EX_dcmp_e,,,EX_dcmp_e
49,EX_dcyt_e,,,EX_dcyt_e
50,EX_ddca_e,,,EX_ddca_e
51,EX_dgmp_e,,,EX_dgmp_e
52,EX_dgsn_e,,,EX_dgsn_e
53,EX_dha_e,,,EX_dha_e
54,EX_dimp_e,,,EX_dimp_e
55,EX_din_e,,,EX_din_e
56,EX_3cmp_e,,,EX_3cmp_e
57,EX_3gmp_e,,,EX_3gmp_e
58,EX_3hcinnm_e,,,EX_3hcinnm_e
59,EX_3hpp_e,,,EX_3hpp_e
60,EX_3hpppn_e,,,EX_3hpppn_e
61,EX_dms_e,,,EX_dms_e
62,EX_dmso_e,,,EX_dmso_e
63,EX_3ump_e,,,EX_3ump_e
64,EX_gln__L_e,,,EX_gln__L_e
65,EX_4abut_e,,,EX_4abut_e
66,EX_4hoxpacd_e,,,EX_4hoxpacd_e
67,EX_dopa_e,,,EX_dopa_e
68,EX_doxrbcn_e,,,EX_doxrbcn_e
69,EX_5dglcn_e,,,EX_5dglcn_e
70,EX_5mtr_e,,,EX_5mtr_e
71,EX_dtmp_e,,,EX_dtmp_e
72,EX_dump_e,,,EX_dump_e
73,EX_duri_e,,,EX_duri_e
74,EX_eca4colipa_e,,,EX_eca4colipa_e
75,EX_enlipa_e,,,EX_enlipa_e
76,EX_LalaDglu_e,,,EX_LalaDglu_e
77,EX_LalaDgluMdap_e,,,EX_LalaDgluMdap_e
78,EX_LalaDgluMdapDala_e,,,EX_LalaDgluMdapDala_e
79,EX_LalaLglu_e,,,EX_LalaLglu_e
80,EX_ac_e,,,EX_ac_e
81,EX_acac_e,,,EX_acac_e
82,EX_enter_e,,,EX_enter_e
83,EX_etha_e,,,EX_etha_e
84,EX_acald_e,,,EX_acald_e
85,EX_ethso3_e,,,EX_ethso3_e
86,EX_glu__L_e,,,EX_glu__L_e
87,EX_etoh_e,,,EX_etoh_e
88,EX_f6p_e,,,EX_f6p_e
89,EX_fald_e,,,EX_fald_e
90,EX_acgal_e,,,EX_acgal_e
91,EX_acgal1p_e,,,EX_acgal1p_e
92,EX_acgam_e,,,EX_acgam_e
93,EX_acgam1p_e,,,EX_acgam1p_e
94,EX_fe2_e,,,EX_fe2_e
95,EX_fe3_e,,,EX_fe3_e
96,EX_acmana_e,,,EX_acmana_e
97,EX_fe3dcit_e,,,EX_fe3dcit_e
98,EX_acmum_e,,,EX_acmum_e
99,EX_gly_e,,,EX_gly_e
100,EX_acnam_e,,,EX_acnam_e
101,EX_acolipa_e,,,EX_acolipa_e
102,EX_fe3dhbzs_e,,,EX_fe3dhbzs_e
103,EX_fe3hox_e,,,EX_fe3hox_e
104,EX_fe3hox_un_e,,,EX_fe3hox_un_e
105,EX_acser_e,,,EX_acser_e
106,EX_fecrm_e,,,EX_fecrm_e
107,EX_ade_e,,,EX_ade_e
108,EX_adn_e,,,EX_adn_e
109,EX_adocbl_e,,,EX_adocbl_e
110,EX_ag_e,,,EX_ag_e
111,EX_agm_e,,,EX_agm_e
112,EX_fecrm_un_e,,,EX_fecrm_un_e
113,EX_feenter_e,,,EX_feenter_e
114,EX_feoxam_e,,,EX_feoxam_e
115,EX_feoxam_un_e,,,EX_feoxam_un_e
116,EX_akg_e,,,EX_akg_e
117,EX_ala_B_e,,,EX_ala_B_e
118,EX_glyald_e,,,EX_glyald_e
119,EX_ala__D_e,,,EX_ala__D_e
120,EX_ala__L_e,,,EX_ala__L_e
121,EX_for_e,,,EX_for_e
122,EX_fru_e,,,EX_fru_e
123,EX_frulys_e,,,EX_frulys_e
124,EX_alaala_e,,,EX_alaala_e
125,EX_glyb_e,,,EX_glyb_e
126,EX_all__D_e,,,EX_all__D_e
127,EX_fruur_e,,,EX_fruur_e
128,EX_fuc__L_e,,,EX_fuc__L_e
129,EX_alltn_e,,,EX_alltn_e
130,EX_fum_e,,,EX_fum_e
131,EX_amp_e,,,EX_amp_e
132,EX_glyc_e,,,EX_glyc_e
133,EX_anhgm_e,,,EX_anhgm_e
134,EX_fusa_e,,,EX_fusa_e
