Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_doxrbcn_e,,,EX_doxrbcn_e
1,EX_dtmp_e,,,EX_dtmp_e
2,EX_dump_e,,,EX_dump_e
3,EX_duri_e,,,EX_duri_e
4,EX_eca4colipa_e,,,EX_eca4colipa_e
5,EX_enlipa_e,,,EX_enlipa_e
6,EX_enter_e,,,EX_enter_e
7,EX_etha_e,,,EX_etha_e
8,EX_ethso3_e,,,EX_ethso3_e
9,EX_etoh_e,,,EX_etoh_e
10,EX_f6p_e,,,EX_f6p_e
11,EX_fald_e,,,EX_fald_e
12,EX_fe2_e,,,EX_fe2_e
13,EX_LalaDgluMdapDala_e,,,EX_LalaDgluMdapDala_e
14,EX_fe3_e,,,EX_fe3_e
15,EX_fe3dcit_e,,,EX_fe3dcit_e
16,EX_LalaLglu_e,,,EX_LalaLglu_e
17,EX_fe3dhbzs_e,,,EX_fe3dhbzs_e
18,EX_ac_e,,,EX_ac_e
19,EX_acac_e,,,EX_acac_e
20,DM_4crsol_c,,,DM_4crsol_c
21,DM_5drib_c,,,DM_5drib_c
22,EX_acald_e,,,EX_acald_e
23,DM_aacald_c,,,DM_aacald_c
24,EX_fe3hox_e,,,EX_fe3hox_e
25,EX_acgal_e,,,EX_acgal_e
26,DM_amob_c,,,DM_amob_c
27,EX_fe3hox_un_e,,,EX_fe3hox_un_e
28,DM_mththf_c,,,DM_mththf_c
29,DM_oxam_c,,,DM_oxam_c
30,EX_acgal1p_e,,,EX_acgal1p_e
31,EX_acgam_e,,,EX_acgam_e
32,EX_fecrm_e,,,EX_fecrm_e
33,EX_acgam1p_e,,,EX_acgam1p_e
34,EX_acmana_e,,,EX_acmana_e
35,EX_acmum_e,,,EX_acmum_e
36,EX_acnam_e,,,EX_acnam_e
37,EX_acolipa_e,,,EX_acolipa_e
38,EX_acser_e,,,EX_acser_e
39,EX_ade_e,,,EX_ade_e
40,EX_adn_e,,,EX_adn_e
