Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,ATPM,-26.00886437502707,0.3305074056004103,ATPM
1,CRBNTD,,,CRBNTD
2,NH3c,-1.140989168981399,0.0,NH3c
3,MGDGE160,,,MGDGE160
4,MGDGE161,,,MGDGE161
5,MGDGE180,,,MGDGE180
6,MGDGE181,,,MGDGE181
7,MGDGE181_9,,,MGDGE181_9
8,MGDGE182_9_12,,,MGDGE182_9_12
9,MGDGE183_6_9_12,,,MGDGE183_6_9_12
10,MGDGE183_9_12_15,,,MGDGE183_9_12_15
11,MGDGE184_6_9_12_15,,,MGDGE184_6_9_12_15
12,HSERTA,-10.44272741394252,1.9056522846221924,HSERTA
13,DDPA,-71.16727558895387,1.3982242345809937,DDPA
14,AHSERL2,-44.17784422534475,4.027969011340872,AHSERL2
15,DHQS,-68.79439475127992,2.3034377098083496,DHQS
16,DHQTi,-6.078424188102417,3.019989013671875,DHQTi
17,ADMDC,-20.87896406988557,4.619301765622195,ADMDC
18,G5SADs,12.218704146210396,3.797974826378267,G5SADs
19,HPPK,,,HPPK
20,GOPP,,,GOPP
21,PAPSR,-32.16100583586878,2.880401660745251,PAPSR
22,BPNT2,-23.512266557393342,1.8800514936447144,BPNT2
23,ASNS1,-34.71078952203829,0.928782697047424,ASNS1
24,SHK3Dr,-9.069042466622218,1.05336652554497,SHK3Dr
25,SHKK,-8.572473049423532,1.3080544222482515,SHKK
26,BIOMASS_Ec_SynAuto_1,,,BIOMASS_Ec_SynAuto_1
27,BPNT,-23.54442170794116,1.8800818920135496,BPNT
28,BIOMASS_Ec_SynMixo_1,,,BIOMASS_Ec_SynMixo_1
29,BIOMASS_Ec_SynHetero_1,,,BIOMASS_Ec_SynHetero_1
30,PSCVT,-22.28431191271389,4.152377128601074,PSCVT
31,SULR_syn,489.0639230012968,15.69389924128894,SULR_syn
32,CHORS,-29.91391389012937,5.158494472503662,CHORS
33,ORNTA,2.4917023477859708,1.713763952255249,ORNTA
34,GHMT2r,-6.705377617126807,0.7347148656845093,GHMT2r
35,ANPRT,-28.196433248149905,5.503787517547607,ANPRT
36,ANS,-199.6191287537127,8.178831201191167,ANS
37,PRAIi,-17.51942583253649,5.432898044586182,PRAIi
38,IGPS,-91.28041845033307,6.152849060390242,IGPS
39,PHCD,-48.447931239470535,4.692852543859986,PHCD
40,GLYCLa,,,GLYCLa
41,GLYCLb,,,GLYCLb
42,HPROb,-53.55380635317993,4.42356447487373,HPROb
43,CHORM,-42.84873631753763,12.40912914276123,CHORM
44,GLYCLc,,,GLYCLc
45,PPNDH,-177.1933004730133,11.533363455481592,PPNDH
46,ACGK,15.355352634426442,0.9608840346336364,ACGK
47,METS,-13.870705561885364,7.551971715560544,METS
48,AGPR,2.8841852282774285,1.629990495431367,AGPR
49,TRPS3_1,,,TRPS3_1
50,PPND,-124.87453855208186,11.58346176147461,PPND
51,AHCi,35.4299223956239,1.9507322311401367,AHCi
52,ACOTA,2.576072588471732,1.7711641788482666,ACOTA
53,GLUN_1,-10.603995156660265,0.9397269325654464,GLUN_1
54,OCBT,-26.587178809251352,1.842057172505435,OCBT
55,ARGSL,21.23715353183161,2.5857365131378174,ARGSL
56,DNAMTn3r,,,DNAMTn3r
57,METAT,-25.017723256680465,28.56089973449707,METAT
58,GLUSx,-46.00328320979219,1.0118477317756571,GLUSx
59,GLNS_1,-15.40489183952159,0.8914573788642883,GLNS_1
60,GLUDy_1,35.39926440253724,0.3379965788290261,GLUDy_1
61,HPYRRy,-30.303571622105164,0.4567741297510393,HPYRRy
62,GLU5K,15.36730849129848,0.9609142541885376,GLU5K
63,ARGSS,-1.1145801509273952,1.6645245360386745,ARGSS
64,CBMK4,17.523722990639865,2.9337657804873523,CBMK4
65,SPT_syn,-10.890281983112306,1.4468071460723877,SPT_syn
66,GLYTA,-18.34237624856365,1.1722537279129028,GLYTA
67,NAR_syn,62.13922238002935,5.890957925843525,NAR_syn
68,PUTA3,-38.47828381943272,1.5647235140158962,PUTA3
69,G5SD,-2.8978743608367274,1.629978508162038,G5SD
70,NOR_syn_1,218.79843631418612,15.850800007196138,NOR_syn_1
71,GLYCK2,-9.887108515719586,0.6507688776055989,GLYCK2
72,GLMS_syn,158.1493487841834,5.361452665976658,GLMS_syn
73,P5CD,-50.69698796564312,3.940041328341602,P5CD
74,P5CR,-48.60479789840366,2.773974666288197,P5CR
75,ACGS,-27.34452908131088,1.5099165108853765,ACGS
76,TRSARyr,-28.724582261513472,2.566999733720833,TRSARyr
77,ORNTAC,0.082665048918983,0.6676889061927795,ORNTAC
78,TRSARr,-28.72460591210814,2.5669805874040343,TRSARr
79,ACODA,-2.0615218685351664,1.416364073753357,ACODA
80,GLXCL,-43.92993765119687,3.363331510232471,GLXCL
81,GLXO3r,-165.28662329234206,5.526540965134541,GLXO3r
82,OMCDC,-13.398498392225845,4.1906272539487714,OMCDC
83,GLYALDDr,-43.01546033524464,0.603831657144319,GLYALDDr
84,PSTA,,,PSTA
85,ACLSa_1,,,ACLSa_1
86,PSP_1,,,PSP_1
87,ENO,-3.5052927890865195,0.2816460430622101,ENO
88,PGI,0.2629076080498116,0.1824311017990112,PGI
89,HEX1,-15.249939215082629,0.4125779357552658,HEX1
90,TPI,5.236015895918985,0.5584145188331604,TPI
91,FBP,-10.301400417211855,0.8425843119621277,FBP
92,PFK,-15.707477995901147,0.8198130687834666,PFK
93,FBA,22.09725568852608,0.5638437271118164,FBA
94,GAPDi_nadp,-2.452002201658708,0.6437276419858744,GAPDi_nadp
95,GAPD,2.4520258522533807,0.6437063737676582,GAPD
96,PGK,19.437214362849357,0.575165331363678,PGK
97,PGM,-4.504675737401222,0.2890390455722809,PGM
98,PGMT,-6.943806961422887,0.5356407761573792,PGMT
99,HEX7,-15.250295967227103,0.4125739686475232,HEX7
100,MAN6PI,0.2629088299450295,0.1824353188276291,MAN6PI
101,MAN1PT,-2.506321268411481,0.1503055852213543,MAN1PT
102,PMANM,-6.943806961422887,0.5356364250183105,PMANM
103,G1PTT,-2.50258786086003,0.1503090015012173,G1PTT
104,MAN1PT2,8.160879848923786,0.4050302598147359,MAN1PT2
105,G1PCTYT,-2.506689964092427,0.1503140812074921,G1PCTYT
106,UDG4EP,,,UDG4EP
107,TDPDRR_2,,,TDPDRR_2
108,UDPG4E,-4.882812390860636e-06,3.417968764551915e-05,UDPG4E
109,TDPGDH_2,,,TDPGDH_2
110,TDPDRE_1,,,TDPDRE_1
111,GALUi,-2.502290849822742,0.1503213754668589,GALUi
112,ALCD19y,-26.854647003633552,0.9018295594046954,ALCD19y
113,GLYK,-15.147294104602224,0.4125922318189731,GLYK
114,G3PD1ir,-22.3527587814154,0.7575197186161826,G3PD1ir
115,G3PDau,,,G3PDau
116,ARGDI_1,-41.74612445892079,3.201200334667766,ARGDI_1
117,ARGOXu,,,ARGOXu
118,DDPGA,22.55083253023945,1.249011754989624,DDPGA
119,GUDBUTNAH,-31.76422127570542,3.339850664138794,GUDBUTNAH
120,PROAKGOX1,-459.8545808915696,3.730778217315674,PROAKGOX1
121,THRD_L_1,-19.311767375035327,1.947560420127298,THRD_L_1
122,ARGDC,-21.449892273350567,2.1906746310394256,ARGDC
123,HSK,-14.705892274016676,1.0167580531045657,HSK
124,THRS,-17.692928352174206,2.410519361495972,THRS
125,HSDy,18.5145964213674,1.2353023036599202,HSDy
126,ASAD,2.945255186934653,1.6676627106642166,ASAD
127,ASPK,15.337103451216592,0.9609168171882628,ASPK
128,DHDPS,-0.9500437332324128,7.018445656131575,DHDPS
129,DHDPRy,-54.13927149466271,5.798455506575404,DHDPRy
130,LDAPAT,8.512807637503062,4.136527595927312,LDAPAT
131,DAPE,-9.155273232863692e-07,1.3270760973682629e-05,DAPE
132,DAPDC,-21.45347435172579,2.190675936204025,DAPDC
133,LTHRK,-7.282949945464487,2.171373254019888,LTHRK
134,ASNN_1,-11.195693502140298,1.0266665765034446,ASNN_1
135,THRPDC,-20.64222937441108,3.0219455196421454,THRPDC
136,PHYTES,-88.55402666206538,11.680801391601562,PHYTES
137,PHYTES2,,,PHYTES2
138,PHYTEDH2,,,PHYTEDH2
139,PHYTFDH2,,,PHYTFDH2
140,LYCOPC,-24.991188049316406,9.172323226928713,LYCOPC
