Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_cpgn_e,,,EX_cpgn_e
1,EX_crn_e,,,EX_crn_e
2,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
3,EX_cpgn_un_e,,,EX_cpgn_un_e
4,EX_colipap_e,,,EX_colipap_e
5,DM_4crsol_c,,,DM_4crsol_c
6,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
7,DM_5drib_c,,,DM_5drib_c
8,DM_aacald_c,,,DM_aacald_c
9,DM_oxam_c,,,DM_oxam_c
10,EX_crn__D_e,,,EX_crn__D_e
11,DM_amob_c,,,DM_amob_c
12,EX_12ppd__R_e,,,EX_12ppd__R_e
13,DM_mththf_c,,,DM_mththf_c
14,EX_csn_e,,,EX_csn_e
15,EX_cu_e,,,EX_cu_e
16,EX_12ppd__S_e,,,EX_12ppd__S_e
17,EX_cu2_e,,,EX_cu2_e
18,EX_glyc_e,,,EX_glyc_e
19,EX_14glucan_e,,,EX_14glucan_e
20,EX_glyc__R_e,,,EX_glyc__R_e
21,EX_cyan_e,,,EX_cyan_e
22,EX_cynt_e,,,EX_cynt_e
23,EX_glyc2p_e,,,EX_glyc2p_e
24,EX_cys__D_e,,,EX_cys__D_e
25,EX_glyc3p_e,,,EX_glyc3p_e
26,EX_15dap_e,,,EX_15dap_e
27,EX_glyclt_e,,,EX_glyclt_e
28,EX_cys__L_e,,,EX_cys__L_e
29,EX_cytd_e,,,EX_cytd_e
30,EX_gmp_e,,,EX_gmp_e
31,EX_dad_2_e,,,EX_dad_2_e
32,EX_23camp_e,,,EX_23camp_e
33,EX_damp_e,,,EX_damp_e
34,EX_dca_e,,,EX_dca_e
35,EX_dcmp_e,,,EX_dcmp_e
36,EX_dcyt_e,,,EX_dcyt_e
37,EX_ddca_e,,,EX_ddca_e
38,EX_dgmp_e,,,EX_dgmp_e
39,EX_dgsn_e,,,EX_dgsn_e
40,EX_dha_e,,,EX_dha_e
41,EX_gsn_e,,,EX_gsn_e
42,EX_gthox_e,,,EX_gthox_e
43,EX_gthrd_e,,,EX_gthrd_e
44,EX_gtp_e,,,EX_gtp_e
45,EX_gua_e,,,EX_gua_e
46,EX_h_e,,,EX_h_e
47,EX_h2_e,,,EX_h2_e
48,EX_h2o_e,,,EX_h2o_e
49,EX_h2o2_e,,,EX_h2o2_e
50,EX_h2s_e,,,EX_h2s_e
51,EX_hacolipa_e,,,EX_hacolipa_e
52,EX_halipa_e,,,EX_halipa_e
53,EX_hdca_e,,,EX_hdca_e
54,EX_dimp_e,,,EX_dimp_e
55,EX_din_e,,,EX_din_e
56,EX_dms_e,,,EX_dms_e
57,EX_dmso_e,,,EX_dmso_e
58,EX_hdcea_e,,,EX_hdcea_e
59,EX_dopa_e,,,EX_dopa_e
60,EX_23ccmp_e,,,EX_23ccmp_e
61,EX_doxrbcn_e,,,EX_doxrbcn_e
62,EX_dtmp_e,,,EX_dtmp_e
63,EX_dump_e,,,EX_dump_e
64,EX_duri_e,,,EX_duri_e
65,EX_hg2_e,,,EX_hg2_e
66,EX_his__L_e,,,EX_his__L_e
67,EX_hom__L_e,,,EX_hom__L_e
68,EX_eca4colipa_e,,,EX_eca4colipa_e
69,EX_hxa_e,,,EX_hxa_e
70,EX_23cgmp_e,,,EX_23cgmp_e
71,EX_hxan_e,,,EX_hxan_e
72,EX_idon__L_e,,,EX_idon__L_e
73,EX_ile__L_e,,,EX_ile__L_e
74,EX_enlipa_e,,,EX_enlipa_e
75,EX_enter_e,,,EX_enter_e
76,EX_etha_e,,,EX_etha_e
77,EX_ethso3_e,,,EX_ethso3_e
78,EX_etoh_e,,,EX_etoh_e
79,EX_imp_e,,,EX_imp_e
80,EX_f6p_e,,,EX_f6p_e
81,EX_23cump_e,,,EX_23cump_e
82,EX_fald_e,,,EX_fald_e
83,EX_indole_e,,,EX_indole_e
84,EX_inost_e,,,EX_inost_e
85,EX_ins_e,,,EX_ins_e
86,EX_fe2_e,,,EX_fe2_e
87,EX_fe3_e,,,EX_fe3_e
88,EX_isetac_e,,,EX_isetac_e
89,EX_fe3dcit_e,,,EX_fe3dcit_e
90,EX_k_e,,,EX_k_e
91,EX_23dappa_e,,,EX_23dappa_e
92,EX_kdo2lipid4_e,,,EX_kdo2lipid4_e
93,EX_fe3dhbzs_e,,,EX_fe3dhbzs_e
94,EX_26dap__M_e,,,EX_26dap__M_e
95,EX_fe3hox_e,,,EX_fe3hox_e
96,EX_lac__D_e,,,EX_lac__D_e
97,EX_fe3hox_un_e,,,EX_fe3hox_un_e
98,EX_2ddglcn_e,,,EX_2ddglcn_e
99,EX_fecrm_e,,,EX_fecrm_e
100,EX_fecrm_un_e,,,EX_fecrm_un_e
101,EX_lac__L_e,,,EX_lac__L_e
102,EX_lcts_e,,,EX_lcts_e
103,EX_34dhpac_e,,,EX_34dhpac_e
104,EX_leu__L_e,,,EX_leu__L_e
105,EX_feenter_e,,,EX_feenter_e
106,EX_lipa_e,,,EX_lipa_e
107,EX_3amp_e,,,EX_3amp_e
108,EX_lipa_cold_e,,,EX_lipa_cold_e
109,EX_lipoate_e,,,EX_lipoate_e
110,EX_lys__L_e,,,EX_lys__L_e
111,EX_lyx__L_e,,,EX_lyx__L_e
112,EX_mal__D_e,,,EX_mal__D_e
113,EX_feoxam_e,,,EX_feoxam_e
114,EX_feoxam_un_e,,,EX_feoxam_un_e
115,EX_for_e,,,EX_for_e
116,EX_fru_e,,,EX_fru_e
117,EX_frulys_e,,,EX_frulys_e
118,EX_fruur_e,,,EX_fruur_e
119,EX_mal__L_e,,,EX_mal__L_e
120,EX_fuc__L_e,,,EX_fuc__L_e
121,EX_malt_e,,,EX_malt_e
122,EX_3cmp_e,,,EX_3cmp_e
123,EX_malthx_e,,,EX_malthx_e
124,EX_maltpt_e,,,EX_maltpt_e
125,EX_fum_e,,,EX_fum_e
126,EX_fusa_e,,,EX_fusa_e
127,EX_g1p_e,,,EX_g1p_e
128,EX_malttr_e,,,EX_malttr_e
129,EX_g3pc_e,,,EX_g3pc_e
130,EX_maltttr_e,,,EX_maltttr_e
131,EX_3gmp_e,,,EX_3gmp_e
132,EX_man_e,,,EX_man_e
133,EX_g3pe_e,,,EX_g3pe_e
134,EX_g3pg_e,,,EX_g3pg_e
135,EX_g3pi_e,,,EX_g3pi_e
136,EX_man6p_e,,,EX_man6p_e
137,EX_3hcinnm_e,,,EX_3hcinnm_e
138,EX_manglyc_e,,,EX_manglyc_e
139,EX_g3ps_e,,,EX_g3ps_e
140,EX_g6p_e,,,EX_g6p_e
141,EX_3hpp_e,,,EX_3hpp_e
142,EX_gal_e,,,EX_gal_e
143,EX_gal_bD_e,,,EX_gal_bD_e
144,EX_melib_e,,,EX_melib_e
145,EX_meoh_e,,,EX_meoh_e
146,EX_met__D_e,,,EX_met__D_e
147,EX_met__L_e,,,EX_met__L_e
148,EX_metsox_R__L_e,,,EX_metsox_R__L_e
149,EX_gal1p_e,,,EX_gal1p_e
150,EX_galct__D_e,,,EX_galct__D_e
151,EX_galctn__D_e,,,EX_galctn__D_e
152,EX_galctn__L_e,,,EX_galctn__L_e
153,EX_galt_e,,,EX_galt_e
154,EX_metsox_S__L_e,,,EX_metsox_S__L_e
155,EX_mg2_e,,,EX_mg2_e
156,EX_galur_e,,,EX_galur_e
157,EX_mincyc_e,,,EX_mincyc_e
158,EX_3hpppn_e,,,EX_3hpppn_e
159,EX_minohp_e,,,EX_minohp_e
160,EX_gam_e,,,EX_gam_e
161,EX_gam6p_e,,,EX_gam6p_e
162,EX_gbbtn_e,,,EX_gbbtn_e
163,EX_mmet_e,,,EX_mmet_e
164,EX_mn2_e,,,EX_mn2_e
165,EX_3ump_e,,,EX_3ump_e
166,EX_mnl_e,,,EX_mnl_e
167,EX_gdp_e,,,EX_gdp_e
168,EX_glc__D_e,,,EX_glc__D_e
169,EX_glcn_e,,,EX_glcn_e
170,EX_mobd_e,,,EX_mobd_e
171,EX_4abut_e,,,EX_4abut_e
172,EX_mso3_e,,,EX_mso3_e
173,EX_glcr_e,,,EX_glcr_e
174,EX_glcur_e,,,EX_glcur_e
175,EX_n2o_e,,,EX_n2o_e
176,EX_glcur1p_e,,,EX_glcur1p_e
177,EX_4hoxpacd_e,,,EX_4hoxpacd_e
178,EX_gln__L_e,,,EX_gln__L_e
179,EX_na1_e,,,EX_na1_e
180,EX_nac_e,,,EX_nac_e
181,EX_glu__L_e,,,EX_glu__L_e
182,EX_nh4_e,,,EX_nh4_e
183,EX_5dglcn_e,,,EX_5dglcn_e
184,EX_ni2_e,,,EX_ni2_e
185,EX_nmn_e,,,EX_nmn_e
186,EX_no_e,,,EX_no_e
187,EX_no2_e,,,EX_no2_e
188,EX_gly_e,,,EX_gly_e
189,EX_glyald_e,,,EX_glyald_e
190,EX_glyb_e,,,EX_glyb_e
191,EX_no3_e,,,EX_no3_e
192,EX_5mtr_e,,,EX_5mtr_e
193,EX_novbcn_e,,,EX_novbcn_e
194,EX_o16a4colipa_e,,,EX_o16a4colipa_e
195,EX_ocdcea_e,,,EX_ocdcea_e
196,EX_octa_e,,,EX_octa_e
197,EX_orn_e,,,EX_orn_e
198,EX_orot_e,,,EX_orot_e
199,EX_o2_e,,,EX_o2_e
200,EX_o2s_e,,,EX_o2s_e
201,EX_LalaDglu_e,,,EX_LalaDglu_e
202,EX_ocdca_e,,,EX_ocdca_e
203,EX_pacald_e,,,EX_pacald_e
204,EX_peamn_e,,,EX_peamn_e
205,EX_phe__L_e,,,EX_phe__L_e
206,EX_pheme_e,,,EX_pheme_e
207,12DGR160tipp,193.96817323194605,8.329453703481704e-05,12DGR160tipp
208,EX_LalaDgluMdap_e,,,EX_LalaDgluMdap_e
209,12DGR161tipp,182.5582620108827,4.8583369789412245e-05,12DGR161tipp
210,EX_pi_e,,,EX_pi_e
211,EX_pnto__R_e,,,EX_pnto__R_e
212,EX_ppa_e,,,EX_ppa_e
213,12DGR180tipp,216.7879444045435,5.453688936540857e-05,12DGR180tipp
214,12DGR181tipp,205.3780478319169,5.453688936540857e-05,12DGR181tipp
215,EX_ppal_e,,,EX_ppal_e
216,EX_LalaDgluMdapDala_e,,,EX_LalaDgluMdapDala_e
217,EX_pppn_e,,,EX_pppn_e
218,EX_ppt_e,,,EX_ppt_e
219,12PPDRtex,1.9073485901799362e-08,6.751556611561682e-06,12PPDRtex
220,12PPDRtpp,22.81978326702288,4.448008894541999e-06,12PPDRtpp
221,12PPDStex,-5.722045770539808e-08,4.737410563393496e-06,12PPDStex
222,12PPDStpp,22.819782885553163,3.802470473601716e-06,12PPDStpp
223,14GLUCANabcpp,,,14GLUCANabcpp
224,14GLUCANtexi,,,14GLUCANtexi
225,EX_pro__L_e,,,EX_pro__L_e
226,EX_progly_e,,,EX_progly_e
227,EX_psclys_e,,,EX_psclys_e
228,EX_pser__L_e,,,EX_pser__L_e
229,EX_ptrc_e,,,EX_ptrc_e
230,23CAMPtex,1.8310546465727384e-06,1.7700194803182967e-05,23CAMPtex
231,EX_pydam_e,,,EX_pydam_e
232,23CCMPtex,-1.8310546465727384e-06,1.041181712935213e-05,23CCMPtex
233,EX_LalaLglu_e,,,EX_LalaLglu_e
234,23CGMPtex,0.0,1.7263348127016798e-05,23CGMPtex
235,EX_pydx_e,,,EX_pydx_e
236,EX_pydxn_e,,,EX_pydxn_e
237,EX_pyr_e,,,EX_pyr_e
238,23CUMPtex,3.662109293145477e-06,2.563476300565526e-05,23CUMPtex
239,EX_ac_e,,,EX_ac_e
240,23DAPPAt2pp,14.12233279756983,8.61006834696404e-06,23DAPPAt2pp
241,EX_quin_e,,,EX_quin_e
242,EX_r5p_e,,,EX_r5p_e
243,EX_acac_e,,,EX_acac_e
244,23DAPPAtex,-1.220703097715159e-06,9.57299107540166e-06,23DAPPAtex
245,23PDE2pp,-33.196020965576174,2.6265050112532062,23PDE2pp
246,23PDE4pp,-33.196006317138675,2.6265117538716747,23PDE4pp
247,23PDE7pp,-33.19602493286133,2.6265161613445174,23PDE7pp
248,23PDE9pp,-33.19602523803711,2.626515643819692,23PDE9pp
249,26DAHtex,9.155273232863692e-07,1.583094672241714e-05,26DAHtex
250,2AGPA120tipp,,,2AGPA120tipp
251,2AGPA140tipp,,,2AGPA140tipp
252,2AGPA141tipp,,,2AGPA141tipp
253,2AGPA160tipp,105.86910341679652,3.109799945377745e-05,2AGPA160tipp
254,2AGPA161tipp,,,2AGPA161tipp
255,2AGPA180tipp,117.2789969376654,3.05114735965617e-05,2AGPA180tipp
256,2AGPA181tipp,,,2AGPA181tipp
257,2AGPE120tipp,102.68363082424008,3.4928962122648954e-05,2AGPE120tipp
258,EX_rfamp_e,,,EX_rfamp_e
259,EX_rib__D_e,,,EX_rib__D_e
260,EX_rmn_e,,,EX_rmn_e
261,EX_sbt__D_e,,,EX_sbt__D_e
262,EX_sel_e,,,EX_sel_e
263,EX_ser__D_e,,,EX_ser__D_e
264,EX_ser__L_e,,,EX_ser__L_e
265,EX_skm_e,,,EX_skm_e
266,EX_slnt_e,,,EX_slnt_e
267,EX_so2_e,,,EX_so2_e
268,2AGPE140tipp,114.0935228192298,2.8982061849092133e-05,2AGPE140tipp
269,2AGPE141tipp,108.38858494333866,3.0289367714431137e-05,2AGPE141tipp
270,2AGPE160tipp,125.50341603492284,1.92623683687998e-05,2AGPE160tipp
271,EX_so3_e,,,EX_so3_e
272,EX_acald_e,,,EX_acald_e
273,EX_so4_e,,,EX_so4_e
274,EX_spmd_e,,,EX_spmd_e
275,EX_succ_e,,,EX_succ_e
276,2AGPE161tipp,,,2AGPE161tipp
277,2AGPE180tipp,136.9133150489559,3.712623583851382e-05,2AGPE180tipp
278,2AGPE181tipp,131.20836740743928,3.556836600182578e-05,2AGPE181tipp
279,2AGPEAT120,,,2AGPEAT120
280,2AGPEAT140,,,2AGPEAT140
281,EX_sucr_e,,,EX_sucr_e
282,EX_sulfac_e,,,EX_sulfac_e
283,EX_tartr__D_e,,,EX_tartr__D_e
284,EX_tartr__L_e,,,EX_tartr__L_e
285,EX_taur_e,,,EX_taur_e
286,2AGPEAT141,,,2AGPEAT141
287,2AGPEAT160,-21.45471878047628,39.93135070800781,2AGPEAT160
288,2AGPEAT161,,,2AGPEAT161
289,2AGPEAT180,-20.562241744953617,40.84990310668945,2AGPEAT180
290,2AGPEAT181,-15.937193371528627,2.819757461547852,2AGPEAT181
291,2AGPG120tipp,,,2AGPG120tipp
292,EX_tcynt_e,,,EX_tcynt_e
293,EX_acgal_e,,,EX_acgal_e
294,EX_thm_e,,,EX_thm_e
295,EX_thr__L_e,,,EX_thr__L_e
296,EX_thrp_e,,,EX_thrp_e
297,2AGPG140tipp,114.0989328003716,1.7220136214746162e-05,2AGPG140tipp
298,2AGPG141tipp,108.39399435563982,2.1143197955098003e-05,2AGPG141tipp
299,2AGPG160tipp,125.50882449018556,3.858271520584822e-05,2AGPG160tipp
300,2AGPG161tipp,,,2AGPG161tipp
301,EX_thym_e,,,EX_thym_e
302,EX_thymd_e,,,EX_thymd_e
303,2AGPG180tipp,136.9187277766796,4.652705320040696e-05,2AGPG180tipp
304,EX_acgal1p_e,,,EX_acgal1p_e
305,2AGPG181tipp,131.21377773526802,2.9900997105869465e-05,2AGPG181tipp
306,EX_tma_e,,,EX_tma_e
307,EX_tmao_e,,,EX_tmao_e
308,EX_tre_e,,,EX_tre_e
309,2AGPGAT120,,,2AGPGAT120
310,EX_trp__L_e,,,EX_trp__L_e
311,EX_acgam_e,,,EX_acgam_e
312,EX_tsul_e,,,EX_tsul_e
313,2AGPGAT140,,,2AGPGAT140
314,2AGPGAT141,,,2AGPGAT141
315,2AGPGAT160,-21.00848312613585,2.2059950828552246,2AGPGAT160
316,2AGPGAT161,,,2AGPGAT161
317,2AGPGAT180,-21.008477404089756,2.2060248851776123,2AGPGAT180
318,EX_ttdca_e,,,EX_ttdca_e
319,EX_ttdcea_e,,,EX_ttdcea_e
320,EX_ttrcyc_e,,,EX_ttrcyc_e
321,EX_tungs_e,,,EX_tungs_e
322,2AGPGAT181,,,2AGPGAT181
323,2DGULRGx,,,2DGULRGx
324,EX_tym_e,,,EX_tym_e
325,EX_acgam1p_e,,,EX_acgam1p_e
326,EX_tyr__L_e,,,EX_tyr__L_e
327,EX_tyrp_e,,,EX_tyrp_e
328,EX_uacgam_e,,,EX_uacgam_e
329,2DGULRGy,,,2DGULRGy
330,2DGULRx,,,2DGULRx
331,EX_acmana_e,,,EX_acmana_e
332,2DGULRy,,,2DGULRy
333,EX_udpacgal_e,,,EX_udpacgal_e
334,EX_udpg_e,,,EX_udpg_e
335,EX_udpgal_e,,,EX_udpgal_e
336,EX_acmum_e,,,EX_acmum_e
337,EX_udpglcur_e,,,EX_udpglcur_e
338,EX_ump_e,,,EX_ump_e
339,2MAHMP,-36.4968022749519,0.3395041461599361,2MAHMP
340,34dhpactex,-1.525878872143949e-07,1.0681152389224735e-06,34dhpactex
341,EX_ura_e,,,EX_ura_e
342,3AMACHYD,7.200599933032152,6.261633626847648,3AMACHYD
343,EX_urea_e,,,EX_urea_e
344,EX_acnam_e,,,EX_acnam_e
345,EX_uri_e,,,EX_uri_e
346,3AMPtex,-2.441406195430318e-06,2.2706391973770224e-05,3AMPtex
347,3CMPtex,-1.8310546465727384e-06,2.35677925957134e-05,3CMPtex
348,EX_val__L_e,,,EX_val__L_e
349,EX_xan_e,,,EX_xan_e
350,EX_xmp_e,,,EX_xmp_e
351,3GMPtex,6.103515488575795e-07,1.6136846170411445e-05,3GMPtex
352,3HAD100,-0.4139030748815457,2.662813901901245,3HAD100
353,3HAD120,-0.4139140719383931,2.6628048419952397,3HAD120
354,EX_xtsn_e,,,EX_xtsn_e
355,3HAD121,11.706752356630346,3.8664281368255615,3HAD121
356,EX_acolipa_e,,,EX_acolipa_e
357,3HAD140,-0.4139037007302306,2.6628074645996094,3HAD140
358,3HAD141,,,3HAD141
359,EX_xyl__D_e,,,EX_xyl__D_e
360,EX_xylu__L_e,,,EX_xylu__L_e
361,EX_zn2_e,,,EX_zn2_e
362,12DGR120tipp,148.3285954863626,3.643753007054329e-05,12DGR120tipp
363,12DGR140tipp,,,12DGR140tipp
364,3HAD160,-0.4139018529863563,2.6628172397613525,3HAD160
365,EX_acser_e,,,EX_acser_e
366,3HAD161,,,3HAD161
367,3HAD180,-0.4139018529863705,2.6628100872039795,3HAD180
368,12DGR141tipp,159.738492058989,6.51791415293701e-05,12DGR141tipp
369,3HAD181,,,3HAD181
370,EX_ade_e,,,EX_ade_e
371,3HAD40,,,3HAD40
372,EX_adn_e,,,EX_adn_e
373,3HAD60,-0.0333671929690915,2.6801793575286865,3HAD60
374,3HAD80,-0.4139045947999094,2.662810802459717,3HAD80
375,4PCP,,,4PCP
376,4PCPpp,,,4PCPpp
377,3HPPtex,3.0517577442878974e-07,8.068423994700424e-06,3HPPtex
378,3HPPtpp,-5.056902494373775,5.276982564023006e-06,3HPPtpp
379,EX_adocbl_e,,,EX_adocbl_e
380,3KGK,-26.915209673672607,0.4125868469158626,3KGK
381,3NTD2pp,-23.916051864624023,1.88005006313324,3NTD2pp
382,3NTD4pp,-23.916065216064453,1.8800636529922483,3NTD4pp
383,3NTD7pp,-23.916059494018555,1.8800657987594604,3NTD7pp
384,4PEPTabcpp,47.51434358747645,0.3305095623218726,4PEPTabcpp
385,4PEPTtex,2.441406195430318e-06,2.055353979812935e-05,4PEPTtex
386,5DGLCNR,-23.34632564797808,0.931959682775981,5DGLCNR
387,5DGLCNt2rpp,16.464357252169336,0.0,5DGLCNt2rpp
388,5DGLCNtex,0.0,0.0,5DGLCNtex
